age,sex,mort,ylds (years lived with disability)_rate_brsc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,51136,brsc,0,10,0,0,0,5,female_brsc,South East England
1,female,0,0,0,1e-8,51136,brsc,0,10,0,0,0,5,female_brsc,South East England
2,female,0,0,0,1e-8,51136,brsc,0,10,0,0,0,5,female_brsc,South East England
3,female,0,0,0,1e-8,51136,brsc,0,10,0,0,0,5,female_brsc,South East England
4,female,0,0,0,1e-8,51136,brsc,0,10,0,0,0,5,female_brsc,South East England
5,female,0,0,0,1e-8,55096,brsc,0,10,5,0,0,5,female_brsc,South East England
6,female,0,0,0,1e-8,55096,brsc,0,10,5,0,0,5,female_brsc,South East England
7,female,0,0,0,1e-8,55096,brsc,0,10,5,0,0,5,female_brsc,South East England
8,female,0,0,0,1e-8,55096,brsc,0,10,5,0,0,5,female_brsc,South East England
9,female,0,0,0,1e-8,55096,brsc,0,10,5,0,0,5,female_brsc,South East England
10,female,0,0,0,1e-8,51918,brsc,0,50,10,0,0,5,female_brsc,South East England
11,female,0,0,0,1e-8,51918,brsc,0,50,10,0,0,5,female_brsc,South East England
12,female,0,0,0,1e-8,51918,brsc,0,50,10,0,0,5,female_brsc,South East England
13,female,0,0,0,1e-8,51918,brsc,0,50,10,0,0,5,female_brsc,South East England
14,female,0,0,0,1e-8,51918,brsc,0,50,10,0,0,5,female_brsc,South East England
15,female,1.717223939883948e-7,2.001280067266601e-6,2.474362450025304e-5,2.4634762597654812e-6,51053,brsc,0,50,15,0,0,5,female_brsc,South East England
16,female,1.717223939883948e-7,2.001280067266601e-6,2.474362450025304e-5,2.4634762597654812e-6,51053,brsc,0,50,15,0,0,5,female_brsc,South East England
17,female,1.717223939883948e-7,2.001280067266601e-6,2.474362450025304e-5,2.4634762597654812e-6,51053,brsc,0,50,15,0,0,5,female_brsc,South East England
18,female,1.717223939883948e-7,2.001280067266601e-6,2.474362450025304e-5,2.4634762597654812e-6,51053,brsc,0,50,15,0,0,5,female_brsc,South East England
19,female,1.717223939883948e-7,2.001280067266601e-6,2.474362450025304e-5,2.4634762597654812e-6,51053,brsc,0,50,15,0,0,5,female_brsc,South East England
20,female,8.415744736761852e-7,1.1352795105469507e-5,1.379214644138447e-4,1.4053601461603471e-5,53762,brsc,0,50,20,0,0,5,female_brsc,South East England
21,female,8.415744736761852e-7,1.1352795105469507e-5,1.379214644138447e-4,1.4053601461603471e-5,53762,brsc,0,50,20,0,0,5,female_brsc,South East England
22,female,8.415744736761852e-7,1.1352795105469507e-5,1.379214644138447e-4,1.4053601461603471e-5,53762,brsc,0,50,20,0,0,5,female_brsc,South East England
23,female,8.415744736761852e-7,1.1352795105469507e-5,1.379214644138447e-4,1.4053601461603471e-5,53762,brsc,0,50,20,0,0,5,female_brsc,South East England
24,female,8.415744736761852e-7,1.1352795105469507e-5,1.379214644138447e-4,1.4053601461603471e-5,53762,brsc,0,50,20,0,0,5,female_brsc,South East England
25,female,8.48069969280601e-6,1.2060587948761876e-4,0.001416877519779731,1.6048105052589195e-4,57318,brsc,0,50,25,0,0,5,female_brsc,South East England
26,female,8.48069969280601e-6,1.2060587948761876e-4,0.001416877519779731,1.6048105052589195e-4,57318,brsc,0,50,25,0,0,5,female_brsc,South East England
27,female,8.48069969280601e-6,1.2060587948761876e-4,0.001416877519779731,1.6048105052589195e-4,57318,brsc,0,50,25,0,0,5,female_brsc,South East England
28,female,8.48069969280601e-6,1.2060587948761876e-4,0.001416877519779731,1.6048105052589195e-4,57318,brsc,0,50,25,0,0,5,female_brsc,South East England
29,female,8.48069969280601e-6,1.2060587948761876e-4,0.001416877519779731,1.6048105052589195e-4,57318,brsc,0,50,25,0,0,5,female_brsc,South East England
30,female,4.031422172990913e-5,3.503816125082169e-4,0.004227678367714588,4.86011189661891e-4,58028,brsc,0,50,30,0,2,5,female_brsc,South East England
31,female,4.031422172990913e-5,3.503816125082169e-4,0.004227678367714588,4.86011189661891e-4,58028,brsc,0,50,30,0,2,5,female_brsc,South East England
32,female,4.031422172990913e-5,3.503816125082169e-4,0.004227678367714588,4.86011189661891e-4,58028,brsc,0,50,30,0,2,5,female_brsc,South East England
33,female,4.031422172990913e-5,3.503816125082169e-4,0.004227678367714588,4.86011189661891e-4,58028,brsc,0,50,30,0,2,5,female_brsc,South East England
34,female,4.031422172990913e-5,3.503816125082169e-4,0.004227678367714588,4.86011189661891e-4,58028,brsc,0,50,30,0,2,5,female_brsc,South East England
35,female,7.879756699925518e-5,5.597552683959477e-4,0.006911247755777304,7.879888060625893e-4,59355,brsc,0,50,35,0,5,5,female_brsc,South East England
36,female,7.879756699925518e-5,5.597552683959477e-4,0.006911247755777304,7.879888060625893e-4,59355,brsc,0,50,35,0,5,5,female_brsc,South East England
37,female,7.879756699925518e-5,5.597552683959477e-4,0.006911247755777304,7.879888060625893e-4,59355,brsc,0,50,35,0,5,5,female_brsc,South East England
38,female,7.879756699925518e-5,5.597552683959477e-4,0.006911247755777304,7.879888060625893e-4,59355,brsc,0,50,35,0,5,5,female_brsc,South East England
39,female,7.879756699925518e-5,5.597552683959477e-4,0.006911247755777304,7.879888060625893e-4,59355,brsc,0,50,35,0,5,5,female_brsc,South East England
40,female,1.5036486293429477e-4,0.0010182552015572776,0.012697822792289632,0.0014311161008864338,59104,brsc,0,50,40,1,9,5,female_brsc,South East England
41,female,1.5036486293429477e-4,0.0010182552015572776,0.012697822792289632,0.0014311161008864338,59104,brsc,0,50,40,1,9,5,female_brsc,South East England
42,female,1.5036486293429477e-4,0.0010182552015572776,0.012697822792289632,0.0014311161008864338,59104,brsc,0,50,40,1,9,5,female_brsc,South East England
43,female,1.5036486293429477e-4,0.0010182552015572776,0.012697822792289632,0.0014311161008864338,59104,brsc,0,50,40,1,9,5,female_brsc,South East England
44,female,1.5036486293429477e-4,0.0010182552015572776,0.012697822792289632,0.0014311161008864338,59104,brsc,0,50,40,1,9,5,female_brsc,South East England
45,female,2.4228674311410427e-4,0.0015148235364918527,0.019078320700693693,0.0021090344649116973,66068,brsc,0,50,45,1,16,5,female_brsc,South East England
46,female,2.4228674311410427e-4,0.0015148235364918527,0.019078320700693693,0.0021090344649116973,66068,brsc,0,50,45,1,16,5,female_brsc,South East England
47,female,2.4228674311410427e-4,0.0015148235364918527,0.019078320700693693,0.0021090344649116973,66068,brsc,0,50,45,1,16,5,female_brsc,South East England
48,female,2.4228674311410427e-4,0.0015148235364918527,0.019078320700693693,0.0021090344649116973,66068,brsc,0,50,45,1,16,5,female_brsc,South East England
49,female,2.4228674311410427e-4,0.0015148235364918527,0.019078320700693693,0.0021090344649116973,66068,brsc,0,50,45,1,16,5,female_brsc,South East England
50,female,3.6911723384763274e-4,0.0018910218826651548,0.024269665577269853,0.0026216364566159643,66506,brsc,0,50,50,1,25,5,female_brsc,South East England
51,female,3.6911723384763274e-4,0.0018910218826651548,0.024269665577269853,0.0026216364566159643,66506,brsc,0,50,50,1,25,5,female_brsc,South East England
52,female,3.6911723384763274e-4,0.0018910218826651548,0.024269665577269853,0.0026216364566159643,66506,brsc,0,50,50,1,25,5,female_brsc,South East England
53,female,3.6911723384763274e-4,0.0018910218826651548,0.024269665577269853,0.0026216364566159643,66506,brsc,0,50,50,1,25,5,female_brsc,South East England
54,female,3.6911723384763274e-4,0.0018910218826651548,0.024269665577269853,0.0026216364566159643,66506,brsc,0,50,50,1,25,5,female_brsc,South East England
