age,sex,mort,ylds (years lived with disability)_rate_carc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,51136,carc,0,10,0,0,0,5,female_carc,South East England
1,female,0,0,0,1e-8,51136,carc,0,10,0,0,0,5,female_carc,South East England
2,female,0,0,0,1e-8,51136,carc,0,10,0,0,0,5,female_carc,South East England
3,female,0,0,0,1e-8,51136,carc,0,10,0,0,0,5,female_carc,South East England
4,female,0,0,0,1e-8,51136,carc,0,10,0,0,0,5,female_carc,South East England
5,female,0,0,0,1e-8,55096,carc,0,10,5,0,0,5,female_carc,South East England
6,female,0,0,0,1e-8,55096,carc,0,10,5,0,0,5,female_carc,South East England
7,female,0,0,0,1e-8,55096,carc,0,10,5,0,0,5,female_carc,South East England
8,female,0,0,0,1e-8,55096,carc,0,10,5,0,0,5,female_carc,South East England
9,female,0,0,0,1e-8,55096,carc,0,10,5,0,0,5,female_carc,South East England
10,female,0,0,0,1e-8,51918,carc,0,50,10,0,0,5,female_carc,South East England
11,female,0,0,0,1e-8,51918,carc,0,50,10,0,0,5,female_carc,South East England
12,female,0,0,0,1e-8,51918,carc,0,50,10,0,0,5,female_carc,South East England
13,female,0,0,0,1e-8,51918,carc,0,50,10,0,0,5,female_carc,South East England
14,female,0,0,0,1e-8,51918,carc,0,50,10,0,0,5,female_carc,South East England
15,female,2.3204085380310254e-7,1.004794914920155e-6,9.11399343700031e-6,1.2791243108781701e-6,51053,carc,0,50,15,0,0,5,female_carc,South East England
16,female,2.3204085380310254e-7,1.004794914920155e-6,9.11399343700031e-6,1.2791243108781701e-6,51053,carc,0,50,15,0,0,5,female_carc,South East England
17,female,2.3204085380310254e-7,1.004794914920155e-6,9.11399343700031e-6,1.2791243108781701e-6,51053,carc,0,50,15,0,0,5,female_carc,South East England
18,female,2.3204085380310254e-7,1.004794914920155e-6,9.11399343700031e-6,1.2791243108781701e-6,51053,carc,0,50,15,0,0,5,female_carc,South East England
19,female,2.3204085380310254e-7,1.004794914920155e-6,9.11399343700031e-6,1.2791243108781701e-6,51053,carc,0,50,15,0,0,5,female_carc,South East England
20,female,1.032421650002596e-6,5.065255662480237e-6,4.783991123027526e-5,6.618291606057782e-6,53762,carc,0,50,20,0,0,5,female_carc,South East England
21,female,1.032421650002596e-6,5.065255662480237e-6,4.783991123027526e-5,6.618291606057782e-6,53762,carc,0,50,20,0,0,5,female_carc,South East England
22,female,1.032421650002596e-6,5.065255662480237e-6,4.783991123027526e-5,6.618291606057782e-6,53762,carc,0,50,20,0,0,5,female_carc,South East England
