age,sex,mort,ylds (years lived with disability)_rate_crdd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,7.902525615390344e-6,6.383480590173776e-5,2.5760173640866434e-4,3.070856120685096e-4,51136,crdd,0,10,0,0,0,5,female_crdd,South East England
1,female,7.902525615390344e-6,6.383480590173776e-5,2.5760173640866434e-4,3.070856120685096e-4,51136,crdd,0,10,0,0,0,5,female_crdd,South East England
2,female,7.902525615390344e-6,6.383480590173776e-5,2.5760173640866434e-4,3.070856120685096e-4,51136,crdd,0,10,0,0,0,5,female_crdd,South East England
3,female,7.902525615390344e-6,6.383480590173776e-5,2.5760173640866434e-4,3.070856120685096e-4,51136,crdd,0,10,0,0,0,5,female_crdd,South East England
4,female,7.902525615390344e-6,6.383480590173776e-5,2.5760173640866434e-4,3.070856120685096e-4,51136,crdd,0,10,0,0,0,5,female_crdd,South East England
5,female,1.4606708374337239e-6,1.1832720294360625e-4,1.9708898825062304e-4,2.62732634483677e-4,55096,crdd,0,10,5,0,0,5,female_crdd,South East England
6,female,1.4606708374337239e-6,1.1832720294360625e-4,1.9708898825062304e-4,2.62732634483677e-4,55096,crdd,0,10,5,0,0,5,female_crdd,South East England
7,female,1.4606708374337239e-6,1.1832720294360625e-4,1.9708898825062304e-4,2.62732634483677e-4,55096,crdd,0,10,5,0,0,5,female_crdd,South East England
8,female,1.4606708374337239e-6,1.1832720294360625e-4,1.9708898825062304e-4,2.62732634483677e-4,55096,crdd,0,10,5,0,0,5,female_crdd,South East England
9,female,1.4606708374337239e-6,1.1832720294360625e-4,1.9708898825062304e-4,2.62732634483677e-4,55096,crdd,0,10,5,0,0,5,female_crdd,South East England
10,female,2.1546483458913374e-6,2.1580146585484206e-4,0.001344110408148129,2.3165856748992756e-4,51918,crdd,0,50,10,0,0,5,female_crdd,South East England
11,female,2.1546483458913374e-6,2.1580146585484206e-4,0.001344110408148129,2.3165856748992756e-4,51918,crdd,0,50,10,0,0,5,female_crdd,South East England
12,female,2.1546483458913374e-6,2.1580146585484206e-4,0.001344110408148129,2.3165856748992756e-4,51918,crdd,0,50,10,0,0,5,female_crdd,South East England
13,female,2.1546483458913374e-6,2.1580146585484206e-4,0.001344110408148129,2.3165856748992756e-4,51918,crdd,0,50,10,0,0,5,female_crdd,South East England
14,female,2.1546483458913374e-6,2.1580146585484206e-4,0.001344110408148129,2.3165856748992756e-4,51918,crdd,0,50,10,0,0,5,female_crdd,South East England
15,female,6.201112264118606e-6,5.352947004812646e-4,0.00658832693743455,3.081448644671863e-4,51053,crdd,0,50,15,0,0,5,female_crdd,South East England
16,female,6.201112264118606e-6,5.352947004812646e-4,0.00658832693743455,3.081448644671863e-4,51053,crdd,0,50,15,0,0,5,female_crdd,South East England
17,female,6.201112264118606e-6,5.352947004812646e-4,0.00658832693743455,3.081448644671863e-4,51053,crdd,0,50,15,0,0,5,female_crdd,South East England
18,female,6.201112264118606e-6,5.352947004812646e-4,0.00658832693743455,3.081448644671863e-4,51053,crdd,0,50,15,0,0,5,female_crdd,South East England
19,female,6.201112264118606e-6,5.352947004812646e-4,0.00658832693743455,3.081448644671863e-4,51053,crdd,0,50,15,0,0,5,female_crdd,South East England
20,female,1.1345223984601124e-5,6.571642072498745e-4,0.00796203288099893,5.620417596656469e-4,53762,crdd,0,50,20,0,1,5,female_crdd,South East England
21,female,1.1345223984601124e-5,6.571642072498745e-4,0.00796203288099893,5.620417596656469e-4,53762,crdd,0,50,20,0,1,5,female_crdd,South East England
22,female,1.1345223984601124e-5,6.571642072498745e-4,0.00796203288099893,5.620417596656469e-4,53762,crdd,0,50,20,0,1,5,female_crdd,South East England
23,female,1.1345223984601124e-5,6.571642072498745e-4,0.00796203288099893,5.620417596656469e-4,53762,crdd,0,50,20,0,1,5,female_crdd,South East England
24,female,1.1345223984601124e-5,6.571642072498745e-4,0.00796203288099893,5.620417596656469e-4,53762,crdd,0,50,20,0,1,5,female_crdd,South East England
25,female,2.0921036245595716e-5,0.001033034468526606,0.014447430673951623,0.0010089420076660137,57318,crdd,0,50,25,1,1,5,female_crdd,South East England
26,female,2.0921036245595716e-5,0.001033034468526606,0.014447430673951623,0.0010089420076660137,57318,crdd,0,50,25,1,1,5,female_crdd,South East England
27,female,2.0921036245595716e-5,0.001033034468526606,0.014447430673951623,0.0010089420076660137,57318,crdd,0,50,25,1,1,5,female_crdd,South East England
28,female,2.0921036245595716e-5,0.001033034468526606,0.014447430673951623,0.0010089420076660137,57318,crdd,0,50,25,1,1,5,female_crdd,South East England
