age,sex,mort,ylds (years lived with disability)_rate_ishd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,51136,ishd,0,10,0,0,0,5,female_ishd,South East England
1,female,0,0,0,1e-8,51136,ishd,0,10,0,0,0,5,female_ishd,South East England
2,female,0,0,0,1e-8,51136,ishd,0,10,0,0,0,5,female_ishd,South East England
3,female,0,0,0,1e-8,51136,ishd,0,10,0,0,0,5,female_ishd,South East England
4,female,0,0,0,1e-8,51136,ishd,0,10,0,0,0,5,female_ishd,South East England
5,female,0,0,0,1e-8,55096,ishd,0,10,5,0,0,5,female_ishd,South East England
6,female,0,0,0,1e-8,55096,ishd,0,10,5,0,0,5,female_ishd,South East England
7,female,0,0,0,1e-8,55096,ishd,0,10,5,0,0,5,female_ishd,South East England
8,female,0,0,0,1e-8,55096,ishd,0,10,5,0,0,5,female_ishd,South East England
9,female,0,0,0,1e-8,55096,ishd,0,10,5,0,0,5,female_ishd,South East England
10,female,0,0,0,1e-8,51918,ishd,0,50,10,0,0,5,female_ishd,South East England
11,female,0,0,0,1e-8,51918,ishd,0,50,10,0,0,5,female_ishd,South East England
12,female,0,0,0,1e-8,51918,ishd,0,50,10,0,0,5,female_ishd,South East England
13,female,0,0,0,1e-8,51918,ishd,0,50,10,0,0,5,female_ishd,South East England
14,female,0,0,0,1e-8,51918,ishd,0,50,10,0,0,5,female_ishd,South East England
15,female,3.509403495343e-7,4.245789233152708e-6,1.114636130581648e-4,1.545360728774787e-5,51053,ishd,0,50,15,0,0,5,female_ishd,South East England
16,female,3.509403495343e-7,4.245789233152708e-6,1.114636130581648e-4,1.545360728774787e-5,51053,ishd,0,50,15,0,0,5,female_ishd,South East England
17,female,3.509403495343e-7,4.245789233152708e-6,1.114636130581648e-4,1.545360728774787e-5,51053,ishd,0,50,15,0,0,5,female_ishd,South East England
18,female,3.509403495343e-7,4.245789233152708e-6,1.114636130581648e-4,1.545360728774787e-5,51053,ishd,0,50,15,0,0,5,female_ishd,South East England
19,female,3.509403495343e-7,4.245789233152708e-6,1.114636130581648e-4,1.545360728774787e-5,51053,ishd,0,50,15,0,0,5,female_ishd,South East England
20,female,9.07394472253765e-7,1.8376968518566e-5,3.695706346959795e-4,3.539377826606099e-5,53762,ishd,0,50,20,0,0,5,female_ishd,South East England
21,female,9.07394472253765e-7,1.8376968518566e-5,3.695706346959795e-4,3.539377826606099e-5,53762,ishd,0,50,20,0,0,5,female_ishd,South East England
22,female,9.07394472253765e-7,1.8376968518566e-5,3.695706346959795e-4,3.539377826606099e-5,53762,ishd,0,50,20,0,0,5,female_ishd,South East England
23,female,9.07394472253765e-7,1.8376968518566e-5,3.695706346959795e-4,3.539377826606099e-5,53762,ishd,0,50,20,0,0,5,female_ishd,South East England
