age,sex,mort,ylds (years lived with disability)_rate_lvrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,51136,lvrc,0,10,0,0,0,5,female_lvrc,South East England
1,female,0,0,0,1e-8,51136,lvrc,0,10,0,0,0,5,female_lvrc,South East England
2,female,0,0,0,1e-8,51136,lvrc,0,10,0,0,0,5,female_lvrc,South East England
3,female,0,0,0,1e-8,51136,lvrc,0,10,0,0,0,5,female_lvrc,South East England
4,female,0,0,0,1e-8,51136,lvrc,0,10,0,0,0,5,female_lvrc,South East England
5,female,1.5840714043498234e-7,1.2588962818638602e-7,0,5.976807009781475e-7,55096,lvrc,0,10,5,0,0,5,female_lvrc,South East England
6,female,1.5840714043498234e-7,1.2588962818638602e-7,0,5.976807009781475e-7,55096,lvrc,0,10,5,0,0,5,female_lvrc,South East England
7,female,1.5840714043498234e-7,1.2588962818638602e-7,0,5.976807009781475e-7,55096,lvrc,0,10,5,0,0,5,female_lvrc,South East England
8,female,1.5840714043498234e-7,1.2588962818638602e-7,0,5.976807009781475e-7,55096,lvrc,0,10,5,0,0,5,female_lvrc,South East England
9,female,1.5840714043498234e-7,1.2588962818638602e-7,0,5.976807009781475e-7,55096,lvrc,0,10,5,0,0,5,female_lvrc,South East England
10,female,2.437045794955093e-7,1.9099864953807927e-7,0,8.909140277423699e-7,51918,lvrc,0,50,10,0,0,5,female_lvrc,South East England
11,female,2.437045794955093e-7,1.9099864953807927e-7,0,8.909140277423699e-7,51918,lvrc,0,50,10,0,0,5,female_lvrc,South East England
12,female,2.437045794955093e-7,1.9099864953807927e-7,0,8.909140277423699e-7,51918,lvrc,0,50,10,0,0,5,female_lvrc,South East England
13,female,2.437045794955093e-7,1.9099864953807927e-7,0,8.909140277423699e-7,51918,lvrc,0,50,10,0,0,5,female_lvrc,South East England
14,female,2.437045794955093e-7,1.9099864953807927e-7,0,8.909140277423699e-7,51918,lvrc,0,50,10,0,0,5,female_lvrc,South East England
15,female,6.449457422238087e-7,6.263292320939906e-7,0,2.915278360036519e-6,51053,lvrc,0,50,15,0,0,5,female_lvrc,South East England
16,female,6.449457422238087e-7,6.263292320939906e-7,0,2.915278360036519e-6,51053,lvrc,0,50,15,0,0,5,female_lvrc,South East England
17,female,6.449457422238087e-7,6.263292320939906e-7,0,2.915278360036519e-6,51053,lvrc,0,50,15,0,0,5,female_lvrc,South East England
18,female,6.449457422238087e-7,6.263292320939906e-7,0,2.915278360036519e-6,51053,lvrc,0,50,15,0,0,5,female_lvrc,South East England
19,female,6.449457422238087e-7,6.263292320939906e-7,0,2.915278360036519e-6,51053,lvrc,0,50,15,0,0,5,female_lvrc,South East England
20,female,7.01799399234926e-7,7.330488745357443e-7,0,3.432505892429491e-6,53762,lvrc,0,50,20,0,0,5,female_lvrc,South East England
21,female,7.01799399234926e-7,7.330488745357443e-7,0,3.432505892429491e-6,53762,lvrc,0,50,20,0,0,5,female_lvrc,South East England
22,female,7.01799399234926e-7,7.330488745357443e-7,0,3.432505892429491e-6,53762,lvrc,0,50,20,0,0,5,female_lvrc,South East England
23,female,7.01799399234926e-7,7.330488745357443e-7,0,3.432505892429491e-6,53762,lvrc,0,50,20,0,0,5,female_lvrc,South East England
24,female,7.01799399234926e-7,7.330488745357443e-7,0,3.432505892429491e-6,53762,lvrc,0,50,20,0,0,5,female_lvrc,South East England
25,female,1.460401295619442e-6,1.1756710376447557e-6,0,4.288559220120526e-6,57318,lvrc,0,50,25,0,0,5,female_lvrc,South East England
26,female,1.460401295619442e-6,1.1756710376447557e-6,0,4.288559220120526e-6,57318,lvrc,0,50,25,0,0,5,female_lvrc,South East England
27,female,1.460401295619442e-6,1.1756710376447557e-6,0,4.288559220120526e-6,57318,lvrc,0,50,25,0,0,5,female_lvrc,South East England
28,female,1.460401295619442e-6,1.1756710376447557e-6,0,4.288559220120526e-6,57318,lvrc,0,50,25,0,0,5,female_lvrc,South East England
29,female,1.460401295619442e-6,1.1756710376447557e-6,0,4.288559220120526e-6,57318,lvrc,0,50,25,0,0,5,female_lvrc,South East England
30,female,2.413765390104166e-6,2.1609300078734587e-6,0,7.643493136826316e-6,58028,lvrc,0,50,30,0,0,5,female_lvrc,South East England
31,female,2.413765390104166e-6,2.1609300078734587e-6,0,7.643493136826316e-6,58028,lvrc,0,50,30,0,0,5,female_lvrc,South East England
32,female,2.413765390104166e-6,2.1609300078734587e-6,0,7.643493136826316e-6,58028,lvrc,0,50,30,0,0,5,female_lvrc,South East England
33,female,2.413765390104166e-6,2.1609300078734587e-6,0,7.643493136826316e-6,58028,lvrc,0,50,30,0,0,5,female_lvrc,South East England
34,female,2.413765390104166e-6,2.1609300078734587e-6,0,7.643493136826316e-6,58028,lvrc,0,50,30,0,0,5,female_lvrc,South East England
35,female,3.175786894442374e-6,2.2200167056837634e-6,0,7.375677911092599e-6,59355,lvrc,0,50,35,0,0,5,female_lvrc,South East England
36,female,3.175786894442374e-6,2.2200167056837634e-6,0,7.375677911092599e-6,59355,lvrc,0,50,35,0,0,5,female_lvrc,South East England
37,female,3.175786894442374e-6,2.2200167056837634e-6,0,7.375677911092599e-6,59355,lvrc,0,50,35,0,0,5,female_lvrc,South East England
38,female,3.175786894442374e-6,2.2200167056837634e-6,0,7.375677911092599e-6,59355,lvrc,0,50,35,0,0,5,female_lvrc,South East England
39,female,3.175786894442374e-6,2.2200167056837634e-6,0,7.375677911092599e-6,59355,lvrc,0,50,35,0,0,5,female_lvrc,South East England
40,female,5.431851368230509e-6,3.464335645347999e-6,0,1.1488578451895872e-5,59104,lvrc,0,50,40,0,0,5,female_lvrc,South East England
41,female,5.431851368230509e-6,3.464335645347999e-6,0,1.1488578451895872e-5,59104,lvrc,0,50,40,0,0,5,female_lvrc,South East England
42,female,5.431851368230509e-6,3.464335645347999e-6,0,1.1488578451895872e-5,59104,lvrc,0,50,40,0,0,5,female_lvrc,South East England
43,female,5.431851368230509e-6,3.464335645347999e-6,0,1.1488578451895872e-5,59104,lvrc,0,50,40,0,0,5,female_lvrc,South East England
44,female,5.431851368230509e-6,3.464335645347999e-6,0,1.1488578451895872e-5,59104,lvrc,0,50,40,0,0,5,female_lvrc,South East England
45,female,1.007374334224247e-5,4.8013240076394375e-6,0,1.668912165058692e-5,66068,lvrc,0,50,45,0,1,5,female_lvrc,South East England
46,female,1.007374334224247e-5,4.8013240076394375e-6,0,1.668912165058692e-5,66068,lvrc,0,50,45,0,1,5,female_lvrc,South East England
47,female,1.007374334224247e-5,4.8013240076394375e-6,0,1.668912165058692e-5,66068,lvrc,0,50,45,0,1,5,female_lvrc,South East England
48,female,1.007374334224247e-5,4.8013240076394375e-6,0,1.668912165058692e-5,66068,lvrc,0,50,45,0,1,5,female_lvrc,South East England
49,female,1.007374334224247e-5,4.8013240076394375e-6,0,1.668912165058692e-5,66068,lvrc,0,50,45,0,1,5,female_lvrc,South East England
50,female,2.0978739893750856e-5,9.429207525430001e-6,0,3.3348750681290566e-5,66506,lvrc,0,50,50,0,1,5,female_lvrc,South East England
51,female,2.0978739893750856e-5,9.429207525430001e-6,0,3.3348750681290566e-5,66506,lvrc,0,50,50,0,1,5,female_lvrc,South East England
52,female,2.0978739893750856e-5,9.429207525430001e-6,0,3.3348750681290566e-5,66506,lvrc,0,50,50,0,1,5,female_lvrc,South East England
53,female,2.0978739893750856e-5,9.429207525430001e-6,0,3.3348750681290566e-5,66506,lvrc,0,50,50,0,1,5,female_lvrc,South East England
54,female,2.0978739893750856e-5,9.429207525430001e-6,0,3.3348750681290566e-5,66506,lvrc,0,50,50,0,1,5,female_lvrc,South East England
55,female,3.9574085576958786e-5,1.5897190818025806e-5,0,5.7825390945711584e-5,57929,lvrc,0,50,55,0,2,5,female_lvrc,South East England
56,female,3.9574085576958786e-5,1.5897190818025806e-5,0,5.7825390945711584e-5,57929,lvrc,0,50,55,0,2,5,female_lvrc,South East England
57,female,3.9574085576958786e-5,1.5897190818025806e-5,0,5.7825390945711584e-5,57929,lvrc,0,50,55,0,2,5,female_lvrc,South East England
58,female,3.9574085576958786e-5,1.5897190818025806e-5,0,5.7825390945711584e-5,57929,lvrc,0,50,55,0,2,5,female_lvrc,South East England
59,female,3.9574085576958786e-5,1.5897190818025806e-5,0,5.7825390945711584e-5,57929,lvrc,0,50,55,0,2,5,female_lvrc,South East England
60,female,6.169975176242219e-5,1.9750103811745593e-5,0,7.680865826890198e-5,49602,lvrc,0,50,60,0,3,5,female_lvrc,South East England
61,female,6.169975176242219e-5,1.9750103811745593e-5,0,7.680865826890198e-5,49602,lvrc,0,50,60,0,3,5,female_lvrc,South East England
62,female,6.169975176242219e-5,1.9750103811745593e-5,0,7.680865826890198e-5,49602,lvrc,0,50,60,0,3,5,female_lvrc,South East England
63,female,6.169975176242219e-5,1.9750103811745593e-5,0,7.680865826890198e-5,49602,lvrc,0,50,60,0,3,5,female_lvrc,South East England
64,female,6.169975176242219e-5,1.9750103811745593e-5,0,7.680865826890198e-5,49602,lvrc,0,50,60,0,3,5,female_lvrc,South East England
65,female,1.020519498611112e-4,3.151293022880895e-5,0,1.2335177758144596e-4,50949,lvrc,0,50,65,0,5,5,female_lvrc,South East England
66,female,1.020519498611112e-4,3.151293022880895e-5,0,1.2335177758144596e-4,50949,lvrc,0,50,65,0,5,5,female_lvrc,South East England
67,female,1.020519498611112e-4,3.151293022880895e-5,0,1.2335177758144596e-4,50949,lvrc,0,50,65,0,5,5,female_lvrc,South East England
68,female,1.020519498611112e-4,3.151293022880895e-5,0,1.2335177758144596e-4,50949,lvrc,0,50,65,0,5,5,female_lvrc,South East England
69,female,1.020519498611112e-4,3.151293022880895e-5,0,1.2335177758144596e-4,50949,lvrc,0,50,65,0,5,5,female_lvrc,South East England
70,female,1.48545076260742e-4,4.2710772321391115e-5,9.563777206138638e-6,1.714696462059362e-4,45174,lvrc,0,50,70,0,7,5,female_lvrc,South East England
71,female,1.48545076260742e-4,4.2710772321391115e-5,9.563777206138638e-6,1.714696462059362e-4,45174,lvrc,0,50,70,0,7,5,female_lvrc,South East England
72,female,1.48545076260742e-4,4.2710772321391115e-5,9.563777206138638e-6,1.714696462059362e-4,45174,lvrc,0,50,70,0,7,5,female_lvrc,South East England
73,female,1.48545076260742e-4,4.2710772321391115e-5,9.563777206138638e-6,1.714696462059362e-4,45174,lvrc,0,50,70,0,7,5,female_lvrc,South East England
74,female,1.48545076260742e-4,4.2710772321391115e-5,9.563777206138638e-6,1.714696462059362e-4,45174,lvrc,0,50,70,0,7,5,female_lvrc,South East England
75,female,2.475455933250718e-4,7.170008683778652e-5,1.7711228789550173e-4,2.8795758911414156e-4,33035,lvrc,0,50,75,0,8,5,female_lvrc,South East England
76,female,2.475455933250718e-4,7.170008683778652e-5,1.7711228789550173e-4,2.8795758911414156e-4,33035,lvrc,0,50,75,0,8,5,female_lvrc,South East England
77,female,2.475455933250718e-4,7.170008683778652e-5,1.7711228789550173e-4,2.8795758911414156e-4,33035,lvrc,0,50,75,0,8,5,female_lvrc,South East England
78,female,2.475455933250718e-4,7.170008683778652e-5,1.7711228789550173e-4,2.8795758911414156e-4,33035,lvrc,0,50,75,0,8,5,female_lvrc,South East England
79,female,2.475455933250718e-4,7.170008683778652e-5,1.7711228789550173e-4,2.8795758911414156e-4,33035,lvrc,0,50,75,0,8,5,female_lvrc,South East England
80,female,3.415617988857932e-4,9.940459869551474e-5,2.8425108618997303e-4,3.9626869511305525e-4,26052,lvrc,0,20,80,0,9,5,female_lvrc,South East England
81,female,3.415617988857932e-4,9.940459869551474e-5,2.8425108618997303e-4,3.9626869511305525e-4,26052,lvrc,0,20,80,0,9,5,female_lvrc,South East England
82,female,3.415617988857932e-4,9.940459869551474e-5,2.8425108618997303e-4,3.9626869511305525e-4,26052,lvrc,0,20,80,0,9,5,female_lvrc,South East England
83,female,3.415617988857932e-4,9.940459869551474e-5,2.8425108618997303e-4,3.9626869511305525e-4,26052,lvrc,0,20,80,0,9,5,female_lvrc,South East England
84,female,3.415617988857932e-4,9.940459869551474e-5,2.8425108618997303e-4,3.9626869511305525e-4,26052,lvrc,0,20,80,0,9,5,female_lvrc,South East England
85,female,4.7477657688289627e-4,1.3529443875105754e-4,3.6858286515462156e-4,5.509465911965025e-4,17928,lvrc,0,20,85,0,9,5,female_lvrc,South East England
86,female,4.7477657688289627e-4,1.3529443875105754e-4,3.6858286515462156e-4,5.509465911965025e-4,17928,lvrc,0,20,85,0,9,5,female_lvrc,South East England
87,female,4.7477657688289627e-4,1.3529443875105754e-4,3.6858286515462156e-4,5.509465911965025e-4,17928,lvrc,0,20,85,0,9,5,female_lvrc,South East England
