age,sex,mort,ylds (years lived with disability)_rate_strk,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,8.959270879275871e-7,2.8498710457020567e-5,0,7.115396791804994e-5,51136,strk,0,10,0,0,0,5,female_strk,South East England
1,female,8.959270879275871e-7,2.8498710457020567e-5,0,7.115396791804994e-5,51136,strk,0,10,0,0,0,5,female_strk,South East England
2,female,8.959270879275871e-7,2.8498710457020567e-5,0,7.115396791804994e-5,51136,strk,0,10,0,0,0,5,female_strk,South East England
3,female,8.959270879275871e-7,2.8498710457020567e-5,0,7.115396791804994e-5,51136,strk,0,10,0,0,0,5,female_strk,South East England
4,female,8.959270879275871e-7,2.8498710457020567e-5,0,7.115396791804994e-5,51136,strk,0,10,0,0,0,5,female_strk,South East England
5,female,3.1480528725548864e-7,7.972120949059183e-5,1.8399643028890321e-4,5.959205134814179e-5,55096,strk,0,10,5,0,0,5,female_strk,South East England
6,female,3.1480528725548864e-7,7.972120949059183e-5,1.8399643028890321e-4,5.959205134814179e-5,55096,strk,0,10,5,0,0,5,female_strk,South East England
7,female,3.1480528725548864e-7,7.972120949059183e-5,1.8399643028890321e-4,5.959205134814179e-5,55096,strk,0,10,5,0,0,5,female_strk,South East England
8,female,3.1480528725548864e-7,7.972120949059183e-5,1.8399643028890321e-4,5.959205134814179e-5,55096,strk,0,10,5,0,0,5,female_strk,South East England
9,female,3.1480528725548864e-7,7.972120949059183e-5,1.8399643028890321e-4,5.959205134814179e-5,55096,strk,0,10,5,0,0,5,female_strk,South East England
10,female,5.940951865278533e-7,1.2754480373561522e-4,3.5263918361961845e-4,5.442773706412566e-5,51918,strk,0,50,10,0,0,5,female_strk,South East England
11,female,5.940951865278533e-7,1.2754480373561522e-4,3.5263918361961845e-4,5.442773706412566e-5,51918,strk,0,50,10,0,0,5,female_strk,South East England
12,female,5.940951865278533e-7,1.2754480373561522e-4,3.5263918361961845e-4,5.442773706412566e-5,51918,strk,0,50,10,0,0,5,female_strk,South East England
13,female,5.940951865278533e-7,1.2754480373561522e-4,3.5263918361961845e-4,5.442773706412566e-5,51918,strk,0,50,10,0,0,5,female_strk,South East England
14,female,5.940951865278533e-7,1.2754480373561522e-4,3.5263918361961845e-4,5.442773706412566e-5,51918,strk,0,50,10,0,0,5,female_strk,South East England
