age,sex,mort,ylds (years lived with disability)_rate_tbalc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,51136,tbalc,0,10,0,0,0,5,female_tbalc,South East England
1,female,0,0,0,1e-8,51136,tbalc,0,10,0,0,0,5,female_tbalc,South East England
2,female,0,0,0,1e-8,51136,tbalc,0,10,0,0,0,5,female_tbalc,South East England
3,female,0,0,0,1e-8,51136,tbalc,0,10,0,0,0,5,female_tbalc,South East England
4,female,0,0,0,1e-8,51136,tbalc,0,10,0,0,0,5,female_tbalc,South East England
5,female,0,0,0,1e-8,55096,tbalc,0,10,5,0,0,5,female_tbalc,South East England
6,female,0,0,0,1e-8,55096,tbalc,0,10,5,0,0,5,female_tbalc,South East England
7,female,0,0,0,1e-8,55096,tbalc,0,10,5,0,0,5,female_tbalc,South East England
8,female,0,0,0,1e-8,55096,tbalc,0,10,5,0,0,5,female_tbalc,South East England
9,female,0,0,0,1e-8,55096,tbalc,0,10,5,0,0,5,female_tbalc,South East England
10,female,0,0,0,1e-8,51918,tbalc,0,50,10,0,0,5,female_tbalc,South East England
11,female,0,0,0,1e-8,51918,tbalc,0,50,10,0,0,5,female_tbalc,South East England
12,female,0,0,0,1e-8,51918,tbalc,0,50,10,0,0,5,female_tbalc,South East England
13,female,0,0,0,1e-8,51918,tbalc,0,50,10,0,0,5,female_tbalc,South East England
14,female,0,0,0,1e-8,51918,tbalc,0,50,10,0,0,5,female_tbalc,South East England
15,female,2.404127624852843e-7,1.0400408043964527e-7,6.196090251265605e-7,3.6446743331687416e-7,51053,tbalc,0,50,15,0,0,5,female_tbalc,South East England
16,female,2.404127624852843e-7,1.0400408043964527e-7,6.196090251265605e-7,3.6446743331687416e-7,51053,tbalc,0,50,15,0,0,5,female_tbalc,South East England
17,female,2.404127624852843e-7,1.0400408043964527e-7,6.196090251265605e-7,3.6446743331687416e-7,51053,tbalc,0,50,15,0,0,5,female_tbalc,South East England
18,female,2.404127624852843e-7,1.0400408043964527e-7,6.196090251265605e-7,3.6446743331687416e-7,51053,tbalc,0,50,15,0,0,5,female_tbalc,South East England
19,female,2.404127624852843e-7,1.0400408043964527e-7,6.196090251265605e-7,3.6446743331687416e-7,51053,tbalc,0,50,15,0,0,5,female_tbalc,South East England
20,female,4.5887450444855054e-7,2.3734820238354103e-7,1.5093625911877508e-6,8.087631533452588e-7,53762,tbalc,0,50,20,0,0,5,female_tbalc,South East England
21,female,4.5887450444855054e-7,2.3734820238354103e-7,1.5093625911877508e-6,8.087631533452588e-7,53762,tbalc,0,50,20,0,0,5,female_tbalc,South East England
22,female,4.5887450444855054e-7,2.3734820238354103e-7,1.5093625911877508e-6,8.087631533452588e-7,53762,tbalc,0,50,20,0,0,5,female_tbalc,South East England
23,female,4.5887450444855054e-7,2.3734820238354103e-7,1.5093625911877508e-6,8.087631533452588e-7,53762,tbalc,0,50,20,0,0,5,female_tbalc,South East England
24,female,4.5887450444855054e-7,2.3734820238354103e-7,1.5093625911877508e-6,8.087631533452588e-7,53762,tbalc,0,50,20,0,0,5,female_tbalc,South East England
25,female,1.3643928426135935e-6,8.748883018548062e-7,6.431916148126059e-6,2.7691421933444328e-6,57318,tbalc,0,50,25,0,0,5,female_tbalc,South East England
26,female,1.3643928426135935e-6,8.748883018548062e-7,6.431916148126059e-6,2.7691421933444328e-6,57318,tbalc,0,50,25,0,0,5,female_tbalc,South East England
27,female,1.3643928426135935e-6,8.748883018548062e-7,6.431916148126059e-6,2.7691421933444328e-6,57318,tbalc,0,50,25,0,0,5,female_tbalc,South East England
28,female,1.3643928426135935e-6,8.748883018548062e-7,6.431916148126059e-6,2.7691421933444328e-6,57318,tbalc,0,50,25,0,0,5,female_tbalc,South East England
29,female,1.3643928426135935e-6,8.748883018548062e-7,6.431916148126059e-6,2.7691421933444328e-6,57318,tbalc,0,50,25,0,0,5,female_tbalc,South East England
30,female,5.705467748525877e-6,3.194221962414056e-6,2.186049444130244e-5,1.0500025643309498e-5,58028,tbalc,0,50,30,0,0,5,female_tbalc,South East England
31,female,5.705467748525877e-6,3.194221962414056e-6,2.186049444130244e-5,1.0500025643309498e-5,58028,tbalc,0,50,30,0,0,5,female_tbalc,South East England
32,female,5.705467748525877e-6,3.194221962414056e-6,2.186049444130244e-5,1.0500025643309498e-5,58028,tbalc,0,50,30,0,0,5,female_tbalc,South East England
33,female,5.705467748525877e-6,3.194221962414056e-6,2.186049444130244e-5,1.0500025643309498e-5,58028,tbalc,0,50,30,0,0,5,female_tbalc,South East England
34,female,5.705467748525877e-6,3.194221962414056e-6,2.186049444130244e-5,1.0500025643309498e-5,58028,tbalc,0,50,30,0,0,5,female_tbalc,South East England
35,female,1.0569628779371084e-5,5.198152022343498e-6,3.538212283709113e-5,1.7139171562049164e-5,59355,tbalc,0,50,35,0,1,5,female_tbalc,South East England
36,female,1.0569628779371084e-5,5.198152022343498e-6,3.538212283709113e-5,1.7139171562049164e-5,59355,tbalc,0,50,35,0,1,5,female_tbalc,South East England
37,female,1.0569628779371084e-5,5.198152022343498e-6,3.538212283709113e-5,1.7139171562049164e-5,59355,tbalc,0,50,35,0,1,5,female_tbalc,South East England
38,female,1.0569628779371084e-5,5.198152022343498e-6,3.538212283709113e-5,1.7139171562049164e-5,59355,tbalc,0,50,35,0,1,5,female_tbalc,South East England
39,female,1.0569628779371084e-5,5.198152022343498e-6,3.538212283709113e-5,1.7139171562049164e-5,59355,tbalc,0,50,35,0,1,5,female_tbalc,South East England
40,female,3.1108475975609534e-5,1.3414164292065635e-5,9.018085970510976e-5,4.456313540554512e-5,59104,tbalc,0,50,40,0,2,5,female_tbalc,South East England
41,female,3.1108475975609534e-5,1.3414164292065635e-5,9.018085970510976e-5,4.456313540554512e-5,59104,tbalc,0,50,40,0,2,5,female_tbalc,South East England
42,female,3.1108475975609534e-5,1.3414164292065635e-5,9.018085970510976e-5,4.456313540554512e-5,59104,tbalc,0,50,40,0,2,5,female_tbalc,South East England
43,female,3.1108475975609534e-5,1.3414164292065635e-5,9.018085970510976e-5,4.456313540554512e-5,59104,tbalc,0,50,40,0,2,5,female_tbalc,South East England
44,female,3.1108475975609534e-5,1.3414164292065635e-5,9.018085970510976e-5,4.456313540554512e-5,59104,tbalc,0,50,40,0,2,5,female_tbalc,South East England
45,female,8.27592434065503e-5,3.288398218573371e-5,2.1669374602691544e-4,1.1220435307503524e-4,66068,tbalc,0,50,45,0,5,5,female_tbalc,South East England
46,female,8.27592434065503e-5,3.288398218573371e-5,2.1669374602691544e-4,1.1220435307503524e-4,66068,tbalc,0,50,45,0,5,5,female_tbalc,South East England
47,female,8.27592434065503e-5,3.288398218573371e-5,2.1669374602691544e-4,1.1220435307503524e-4,66068,tbalc,0,50,45,0,5,5,female_tbalc,South East England
48,female,8.27592434065503e-5,3.288398218573371e-5,2.1669374602691544e-4,1.1220435307503524e-4,66068,tbalc,0,50,45,0,5,5,female_tbalc,South East England
49,female,8.27592434065503e-5,3.288398218573371e-5,2.1669374602691544e-4,1.1220435307503524e-4,66068,tbalc,0,50,45,0,5,5,female_tbalc,South East England
50,female,1.8239137708699394e-4,8.625166965589177e-5,6.792649681214795e-4,2.750531707285068e-4,66506,tbalc,0,50,50,0,12,5,female_tbalc,South East England
