age,sex,mort,ylds (years lived with disability)_rate_utrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,51136,utrc,0,10,0,0,0,5,female_utrc,South East England
1,female,0,0,0,1e-8,51136,utrc,0,10,0,0,0,5,female_utrc,South East England
2,female,0,0,0,1e-8,51136,utrc,0,10,0,0,0,5,female_utrc,South East England
3,female,0,0,0,1e-8,51136,utrc,0,10,0,0,0,5,female_utrc,South East England
4,female,0,0,0,1e-8,51136,utrc,0,10,0,0,0,5,female_utrc,South East England
5,female,0,0,0,1e-8,55096,utrc,0,10,5,0,0,5,female_utrc,South East England
6,female,0,0,0,1e-8,55096,utrc,0,10,5,0,0,5,female_utrc,South East England
7,female,0,0,0,1e-8,55096,utrc,0,10,5,0,0,5,female_utrc,South East England
8,female,0,0,0,1e-8,55096,utrc,0,10,5,0,0,5,female_utrc,South East England
9,female,0,0,0,1e-8,55096,utrc,0,10,5,0,0,5,female_utrc,South East England
10,female,0,0,0,1e-8,51918,utrc,0,50,10,0,0,5,female_utrc,South East England
11,female,0,0,0,1e-8,51918,utrc,0,50,10,0,0,5,female_utrc,South East England
12,female,0,0,0,1e-8,51918,utrc,0,50,10,0,0,5,female_utrc,South East England
13,female,0,0,0,1e-8,51918,utrc,0,50,10,0,0,5,female_utrc,South East England
14,female,0,0,0,1e-8,51918,utrc,0,50,10,0,0,5,female_utrc,South East England
15,female,8.593623033481108e-8,9.88659329453071e-7,1.4785002450919452e-5,1.7184095891062248e-6,51053,utrc,0,50,15,0,0,5,female_utrc,South East England
16,female,8.593623033481108e-8,9.88659329453071e-7,1.4785002450919452e-5,1.7184095891062248e-6,51053,utrc,0,50,15,0,0,5,female_utrc,South East England
17,female,8.593623033481108e-8,9.88659329453071e-7,1.4785002450919452e-5,1.7184095891062248e-6,51053,utrc,0,50,15,0,0,5,female_utrc,South East England
18,female,8.593623033481108e-8,9.88659329453071e-7,1.4785002450919452e-5,1.7184095891062248e-6,51053,utrc,0,50,15,0,0,5,female_utrc,South East England
19,female,8.593623033481108e-8,9.88659329453071e-7,1.4785002450919452e-5,1.7184095891062248e-6,51053,utrc,0,50,15,0,0,5,female_utrc,South East England
20,female,1.201549925244047e-7,1.551169451331586e-6,2.3218241127856784e-5,2.6930766836602786e-6,53762,utrc,0,50,20,0,0,5,female_utrc,South East England
21,female,1.201549925244047e-7,1.551169451331586e-6,2.3218241127856784e-5,2.6930766836602786e-6,53762,utrc,0,50,20,0,0,5,female_utrc,South East England
22,female,1.201549925244047e-7,1.551169451331586e-6,2.3218241127856784e-5,2.6930766836602786e-6,53762,utrc,0,50,20,0,0,5,female_utrc,South East England
23,female,1.201549925244047e-7,1.551169451331586e-6,2.3218241127856784e-5,2.6930766836602786e-6,53762,utrc,0,50,20,0,0,5,female_utrc,South East England
24,female,1.201549925244047e-7,1.551169451331586e-6,2.3218241127856784e-5,2.6930766836602786e-6,53762,utrc,0,50,20,0,0,5,female_utrc,South East England
25,female,4.119418008411717e-7,6.317263043109947e-6,9.55207027757801e-5,1.1075352033411441e-5,57318,utrc,0,50,25,0,0,5,female_utrc,South East England
26,female,4.119418008411717e-7,6.317263043109947e-6,9.55207027757801e-5,1.1075352033411441e-5,57318,utrc,0,50,25,0,0,5,female_utrc,South East England
27,female,4.119418008411717e-7,6.317263043109947e-6,9.55207027757801e-5,1.1075352033411441e-5,57318,utrc,0,50,25,0,0,5,female_utrc,South East England
