age,sex,mort,ylds (years lived with disability)_rate_brsc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,53915,brsc,0,10,0,0,0,5,male_brsc,South East England
1,male,0,0,0,1e-8,53915,brsc,0,10,0,0,0,5,male_brsc,South East England
2,male,0,0,0,1e-8,53915,brsc,0,10,0,0,0,5,male_brsc,South East England
3,male,0,0,0,1e-8,53915,brsc,0,10,0,0,0,5,male_brsc,South East England
4,male,0,0,0,1e-8,53915,brsc,0,10,0,0,0,5,male_brsc,South East England
5,male,0,0,0,1e-8,58045,brsc,0,10,5,0,0,5,male_brsc,South East England
6,male,0,0,0,1e-8,58045,brsc,0,10,5,0,0,5,male_brsc,South East England
7,male,0,0,0,1e-8,58045,brsc,0,10,5,0,0,5,male_brsc,South East England
8,male,0,0,0,1e-8,58045,brsc,0,10,5,0,0,5,male_brsc,South East England
9,male,0,0,0,1e-8,58045,brsc,0,10,5,0,0,5,male_brsc,South East England
10,male,0,0,0,1e-8,54635,brsc,0,50,10,0,0,5,male_brsc,South East England
11,male,0,0,0,1e-8,54635,brsc,0,50,10,0,0,5,male_brsc,South East England
12,male,0,0,0,1e-8,54635,brsc,0,50,10,0,0,5,male_brsc,South East England
13,male,0,0,0,1e-8,54635,brsc,0,50,10,0,0,5,male_brsc,South East England
14,male,0,0,0,1e-8,54635,brsc,0,50,10,0,0,5,male_brsc,South East England
15,male,8.42950243431479e-8,5.499782760279245e-7,5.913867771993129e-6,6.61601627464158e-7,53831,brsc,0,50,15,0,0,5,male_brsc,South East England
16,male,8.42950243431479e-8,5.499782760279245e-7,5.913867771993129e-6,6.61601627464158e-7,53831,brsc,0,50,15,0,0,5,male_brsc,South East England
17,male,8.42950243431479e-8,5.499782760279245e-7,5.913867771993129e-6,6.61601627464158e-7,53831,brsc,0,50,15,0,0,5,male_brsc,South East England
18,male,8.42950243431479e-8,5.499782760279245e-7,5.913867771993129e-6,6.61601627464158e-7,53831,brsc,0,50,15,0,0,5,male_brsc,South East England
19,male,8.42950243431479e-8,5.499782760279245e-7,5.913867771993129e-6,6.61601627464158e-7,53831,brsc,0,50,15,0,0,5,male_brsc,South East England
20,male,9.178539255495538e-8,7.42821064273988e-7,8.505637197380328e-6,8.398001255357028e-7,55703,brsc,0,50,20,0,0,5,male_brsc,South East England
21,male,9.178539255495538e-8,7.42821064273988e-7,8.505637197380328e-6,8.398001255357028e-7,55703,brsc,0,50,20,0,0,5,male_brsc,South East England
22,male,9.178539255495538e-8,7.42821064273988e-7,8.505637197380328e-6,8.398001255357028e-7,55703,brsc,0,50,20,0,0,5,male_brsc,South East England
23,male,9.178539255495538e-8,7.42821064273988e-7,8.505637197380328e-6,8.398001255357028e-7,55703,brsc,0,50,20,0,0,5,male_brsc,South East England
24,male,9.178539255495538e-8,7.42821064273988e-7,8.505637197380328e-6,8.398001255357028e-7,55703,brsc,0,50,20,0,0,5,male_brsc,South East England
25,male,1.2001333264661896e-7,1.1069752723657497e-6,1.2691799283680394e-5,1.2572351827526228e-6,58059,brsc,0,50,25,0,0,5,male_brsc,South East England
26,male,1.2001333264661896e-7,1.1069752723657497e-6,1.2691799283680394e-5,1.2572351827526228e-6,58059,brsc,0,50,25,0,0,5,male_brsc,South East England
27,male,1.2001333264661896e-7,1.1069752723657497e-6,1.2691799283680394e-5,1.2572351827526228e-6,58059,brsc,0,50,25,0,0,5,male_brsc,South East England
28,male,1.2001333264661896e-7,1.1069752723657497e-6,1.2691799283680394e-5,1.2572351827526228e-6,58059,brsc,0,50,25,0,0,5,male_brsc,South East England
29,male,1.2001333264661896e-7,1.1069752723657497e-6,1.2691799283680394e-5,1.2572351827526228e-6,58059,brsc,0,50,25,0,0,5,male_brsc,South East England
30,male,2.0291065562868644e-7,1.2231744202290025e-6,1.4004115259717982e-5,1.4084277422551634e-6,57970,brsc,0,50,30,0,0,5,male_brsc,South East England
31,male,2.0291065562868644e-7,1.2231744202290025e-6,1.4004115259717982e-5,1.4084277422551634e-6,57970,brsc,0,50,30,0,0,5,male_brsc,South East England
32,male,2.0291065562868644e-7,1.2231744202290025e-6,1.4004115259717982e-5,1.4084277422551634e-6,57970,brsc,0,50,30,0,0,5,male_brsc,South East England
33,male,2.0291065562868644e-7,1.2231744202290025e-6,1.4004115259717982e-5,1.4084277422551634e-6,57970,brsc,0,50,30,0,0,5,male_brsc,South East England
34,male,2.0291065562868644e-7,1.2231744202290025e-6,1.4004115259717982e-5,1.4084277422551634e-6,57970,brsc,0,50,30,0,0,5,male_brsc,South East England
35,male,4.319161573362277e-7,2.0308457339351806e-6,2.26040178446189e-5,2.4042663291879055e-6,58810,brsc,0,50,35,0,0,5,male_brsc,South East England
36,male,4.319161573362277e-7,2.0308457339351806e-6,2.26040178446189e-5,2.4042663291879055e-6,58810,brsc,0,50,35,0,0,5,male_brsc,South East England
37,male,4.319161573362277e-7,2.0308457339351806e-6,2.26040178446189e-5,2.4042663291879055e-6,58810,brsc,0,50,35,0,0,5,male_brsc,South East England
38,male,4.319161573362277e-7,2.0308457339351806e-6,2.26040178446189e-5,2.4042663291879055e-6,58810,brsc,0,50,35,0,0,5,male_brsc,South East England
39,male,4.319161573362277e-7,2.0308457339351806e-6,2.26040178446189e-5,2.4042663291879055e-6,58810,brsc,0,50,35,0,0,5,male_brsc,South East England
40,male,8.729615214876016e-7,3.708283217693975e-6,4.042647966192148e-5,4.447087351807734e-6,58396,brsc,0,50,40,0,0,5,male_brsc,South East England
41,male,8.729615214876016e-7,3.708283217693975e-6,4.042647966192148e-5,4.447087351807734e-6,58396,brsc,0,50,40,0,0,5,male_brsc,South East England
42,male,8.729615214876016e-7,3.708283217693975e-6,4.042647966192148e-5,4.447087351807734e-6,58396,brsc,0,50,40,0,0,5,male_brsc,South East England
43,male,8.729615214876016e-7,3.708283217693975e-6,4.042647966192148e-5,4.447087351807734e-6,58396,brsc,0,50,40,0,0,5,male_brsc,South East England
44,male,8.729615214876016e-7,3.708283217693975e-6,4.042647966192148e-5,4.447087351807734e-6,58396,brsc,0,50,40,0,0,5,male_brsc,South East England
45,male,1.5708867734777648e-6,5.864785444604411e-6,6.305849475053014e-5,7.0078066049554115e-6,64400,brsc,0,50,45,0,0,5,male_brsc,South East England
46,male,1.5708867734777648e-6,5.864785444604411e-6,6.305849475053014e-5,7.0078066049554115e-6,64400,brsc,0,50,45,0,0,5,male_brsc,South East England
47,male,1.5708867734777648e-6,5.864785444604411e-6,6.305849475053014e-5,7.0078066049554115e-6,64400,brsc,0,50,45,0,0,5,male_brsc,South East England
48,male,1.5708867734777648e-6,5.864785444604411e-6,6.305849475053014e-5,7.0078066049554115e-6,64400,brsc,0,50,45,0,0,5,male_brsc,South East England
49,male,1.5708867734777648e-6,5.864785444604411e-6,6.305849475053014e-5,7.0078066049554115e-6,64400,brsc,0,50,45,0,0,5,male_brsc,South East England
50,male,2.804967022833642e-6,7.884241127148087e-6,8.421515031477845e-5,9.431712438670778e-6,65354,brsc,0,50,50,0,0,5,male_brsc,South East England
51,male,2.804967022833642e-6,7.884241127148087e-6,8.421515031477845e-5,9.431712438670778e-6,65354,brsc,0,50,50,0,0,5,male_brsc,South East England
52,male,2.804967022833642e-6,7.884241127148087e-6,8.421515031477845e-5,9.431712438670778e-6,65354,brsc,0,50,50,0,0,5,male_brsc,South East England
53,male,2.804967022833642e-6,7.884241127148087e-6,8.421515031477845e-5,9.431712438670778e-6,65354,brsc,0,50,50,0,0,5,male_brsc,South East England
54,male,2.804967022833642e-6,7.884241127148087e-6,8.421515031477845e-5,9.431712438670778e-6,65354,brsc,0,50,50,0,0,5,male_brsc,South East England
55,male,5.152344047402941e-6,1.2869370519753044e-5,1.3560960800133566e-4,1.5363172186839607e-5,57364,brsc,0,50,55,0,0,5,male_brsc,South East England
56,male,5.152344047402941e-6,1.2869370519753044e-5,1.3560960800133566e-4,1.5363172186839607e-5,57364,brsc,0,50,55,0,0,5,male_brsc,South East England
57,male,5.152344047402941e-6,1.2869370519753044e-5,1.3560960800133566e-4,1.5363172186839607e-5,57364,brsc,0,50,55,0,0,5,male_brsc,South East England
58,male,5.152344047402941e-6,1.2869370519753044e-5,1.3560960800133566e-4,1.5363172186839607e-5,57364,brsc,0,50,55,0,0,5,male_brsc,South East England
59,male,5.152344047402941e-6,1.2869370519753044e-5,1.3560960800133566e-4,1.5363172186839607e-5,57364,brsc,0,50,55,0,0,5,male_brsc,South East England
60,male,9.626119364447214e-6,2.342545822600577e-5,2.4756410008494026e-4,2.8630332189749797e-5,48094,brsc,0,50,60,0,0,5,male_brsc,South East England
61,male,9.626119364447214e-6,2.342545822600577e-5,2.4756410008494026e-4,2.8630332189749797e-5,48094,brsc,0,50,60,0,0,5,male_brsc,South East England
62,male,9.626119364447214e-6,2.342545822600577e-5,2.4756410008494026e-4,2.8630332189749797e-5,48094,brsc,0,50,60,0,0,5,male_brsc,South East England
63,male,9.626119364447214e-6,2.342545822600577e-5,2.4756410008494026e-4,2.8630332189749797e-5,48094,brsc,0,50,60,0,0,5,male_brsc,South East England
64,male,9.626119364447214e-6,2.342545822600577e-5,2.4756410008494026e-4,2.8630332189749797e-5,48094,brsc,0,50,60,0,0,5,male_brsc,South East England
65,male,1.530883060767101e-5,3.4351630095748964e-5,3.6313567991966283e-4,4.254973185884901e-5,47564,brsc,0,50,65,0,1,5,male_brsc,South East England
