age,sex,mort,ylds (years lived with disability)_rate_carc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,53915,carc,0,10,0,0,0,5,male_carc,South East England
1,male,0,0,0,1e-8,53915,carc,0,10,0,0,0,5,male_carc,South East England
2,male,0,0,0,1e-8,53915,carc,0,10,0,0,0,5,male_carc,South East England
3,male,0,0,0,1e-8,53915,carc,0,10,0,0,0,5,male_carc,South East England
4,male,0,0,0,1e-8,53915,carc,0,10,0,0,0,5,male_carc,South East England
5,male,0,0,0,1e-8,58045,carc,0,10,5,0,0,5,male_carc,South East England
6,male,0,0,0,1e-8,58045,carc,0,10,5,0,0,5,male_carc,South East England
7,male,0,0,0,1e-8,58045,carc,0,10,5,0,0,5,male_carc,South East England
8,male,0,0,0,1e-8,58045,carc,0,10,5,0,0,5,male_carc,South East England
9,male,0,0,0,1e-8,58045,carc,0,10,5,0,0,5,male_carc,South East England
10,male,0,0,0,1e-8,54635,carc,0,50,10,0,0,5,male_carc,South East England
11,male,0,0,0,1e-8,54635,carc,0,50,10,0,0,5,male_carc,South East England
12,male,0,0,0,1e-8,54635,carc,0,50,10,0,0,5,male_carc,South East England
13,male,0,0,0,1e-8,54635,carc,0,50,10,0,0,5,male_carc,South East England
14,male,0,0,0,1e-8,54635,carc,0,50,10,0,0,5,male_carc,South East England
15,male,3.709919918178945e-7,1.5780649799727444e-6,1.4202815162731077e-5,2.0023305721604795e-6,53831,carc,0,50,15,0,0,5,male_carc,South East England
16,male,3.709919918178945e-7,1.5780649799727444e-6,1.4202815162731077e-5,2.0023305721604795e-6,53831,carc,0,50,15,0,0,5,male_carc,South East England
17,male,3.709919918178945e-7,1.5780649799727444e-6,1.4202815162731077e-5,2.0023305721604795e-6,53831,carc,0,50,15,0,0,5,male_carc,South East England
18,male,3.709919918178945e-7,1.5780649799727444e-6,1.4202815162731077e-5,2.0023305721604795e-6,53831,carc,0,50,15,0,0,5,male_carc,South East England
19,male,3.709919918178945e-7,1.5780649799727444e-6,1.4202815162731077e-5,2.0023305721604795e-6,53831,carc,0,50,15,0,0,5,male_carc,South East England
20,male,1.5323634537496896e-6,7.430378285696366e-6,6.946489691992921e-5,9.642885970607368e-6,55703,carc,0,50,20,0,0,5,male_carc,South East England
21,male,1.5323634537496896e-6,7.430378285696366e-6,6.946489691992921e-5,9.642885970607368e-6,55703,carc,0,50,20,0,0,5,male_carc,South East England
22,male,1.5323634537496896e-6,7.430378285696366e-6,6.946489691992921e-5,9.642885970607368e-6,55703,carc,0,50,20,0,0,5,male_carc,South East England
23,male,1.5323634537496896e-6,7.430378285696366e-6,6.946489691992921e-5,9.642885970607368e-6,55703,carc,0,50,20,0,0,5,male_carc,South East England
24,male,1.5323634537496896e-6,7.430378285696366e-6,6.946489691992921e-5,9.642885970607368e-6,55703,carc,0,50,20,0,0,5,male_carc,South East England
25,male,4.283977695311968e-6,1.821867921138147e-5,1.7876436704397387e-4,2.497500446824281e-5,58059,carc,0,50,25,0,0,5,male_carc,South East England
26,male,4.283977695311968e-6,1.821867921138147e-5,1.7876436704397387e-4,2.497500446824281e-5,58059,carc,0,50,25,0,0,5,male_carc,South East England
27,male,4.283977695311968e-6,1.821867921138147e-5,1.7876436704397387e-4,2.497500446824281e-5,58059,carc,0,50,25,0,0,5,male_carc,South East England
28,male,4.283977695311968e-6,1.821867921138147e-5,1.7876436704397387e-4,2.497500446824281e-5,58059,carc,0,50,25,0,0,5,male_carc,South East England
29,male,4.283977695311968e-6,1.821867921138147e-5,1.7876436704397387e-4,2.497500446824281e-5,58059,carc,0,50,25,0,0,5,male_carc,South East England
30,male,1.091175438051147e-5,4.444541611547222e-5,4.7029496047062177e-4,6.593984613925447e-5,57970,carc,0,50,30,0,1,5,male_carc,South East England
31,male,1.091175438051147e-5,4.444541611547222e-5,4.7029496047062177e-4,6.593984613925447e-5,57970,carc,0,50,30,0,1,5,male_carc,South East England
32,male,1.091175438051147e-5,4.444541611547222e-5,4.7029496047062177e-4,6.593984613925447e-5,57970,carc,0,50,30,0,1,5,male_carc,South East England
33,male,1.091175438051147e-5,4.444541611547222e-5,4.7029496047062177e-4,6.593984613925447e-5,57970,carc,0,50,30,0,1,5,male_carc,South East England
34,male,1.091175438051147e-5,4.444541611547222e-5,4.7029496047062177e-4,6.593984613925447e-5,57970,carc,0,50,30,0,1,5,male_carc,South East England
35,male,1.6715392467806052e-5,6.056386366473136e-5,6.701242242030112e-4,9.31625404557719e-5,58810,carc,0,50,35,0,1,5,male_carc,South East England
36,male,1.6715392467806052e-5,6.056386366473136e-5,6.701242242030112e-4,9.31625404557719e-5,58810,carc,0,50,35,0,1,5,male_carc,South East England
