age,sex,mort,ylds (years lived with disability)_rate_crdd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,8.47668562570954e-6,7.428005476392756e-5,6.441721347535007e-4,2.7434148130969994e-4,53915,crdd,0,10,0,0,0,5,male_crdd,South East England
1,male,8.47668562570954e-6,7.428005476392756e-5,6.441721347535007e-4,2.7434148130969994e-4,53915,crdd,0,10,0,0,0,5,male_crdd,South East England
2,male,8.47668562570954e-6,7.428005476392756e-5,6.441721347535007e-4,2.7434148130969994e-4,53915,crdd,0,10,0,0,0,5,male_crdd,South East England
3,male,8.47668562570954e-6,7.428005476392756e-5,6.441721347535007e-4,2.7434148130969994e-4,53915,crdd,0,10,0,0,0,5,male_crdd,South East England
4,male,8.47668562570954e-6,7.428005476392756e-5,6.441721347535007e-4,2.7434148130969994e-4,53915,crdd,0,10,0,0,0,5,male_crdd,South East England
5,male,1.6310165679966808e-6,1.7529801190410742e-4,0.0016675025914626694,2.208375212747225e-4,58045,crdd,0,10,5,0,0,5,male_crdd,South East England
6,male,1.6310165679966808e-6,1.7529801190410742e-4,0.0016675025914626694,2.208375212747225e-4,58045,crdd,0,10,5,0,0,5,male_crdd,South East England
7,male,1.6310165679966808e-6,1.7529801190410742e-4,0.0016675025914626694,2.208375212747225e-4,58045,crdd,0,10,5,0,0,5,male_crdd,South East England
8,male,1.6310165679966808e-6,1.7529801190410742e-4,0.0016675025914626694,2.208375212747225e-4,58045,crdd,0,10,5,0,0,5,male_crdd,South East England
9,male,1.6310165679966808e-6,1.7529801190410742e-4,0.0016675025914626694,2.208375212747225e-4,58045,crdd,0,10,5,0,0,5,male_crdd,South East England
10,male,3.089186048137405e-6,1.644730282355938e-4,0.001103267053971267,2.2807050921088201e-4,54635,crdd,0,50,10,0,0,5,male_crdd,South East England
11,male,3.089186048137405e-6,1.644730282355938e-4,0.001103267053971267,2.2807050921088201e-4,54635,crdd,0,50,10,0,0,5,male_crdd,South East England
12,male,3.089186048137405e-6,1.644730282355938e-4,0.001103267053971267,2.2807050921088201e-4,54635,crdd,0,50,10,0,0,5,male_crdd,South East England
13,male,3.089186048137405e-6,1.644730282355938e-4,0.001103267053971267,2.2807050921088201e-4,54635,crdd,0,50,10,0,0,5,male_crdd,South East England
14,male,3.089186048137405e-6,1.644730282355938e-4,0.001103267053971267,2.2807050921088201e-4,54635,crdd,0,50,10,0,0,5,male_crdd,South East England
15,male,1.032588527705704e-5,2.448469692529551e-4,0.0019775354143875138,3.711749948932976e-4,53831,crdd,0,50,15,0,1,5,male_crdd,South East England
16,male,1.032588527705704e-5,2.448469692529551e-4,0.0019775354143875138,3.711749948932976e-4,53831,crdd,0,50,15,0,1,5,male_crdd,South East England
17,male,1.032588527705704e-5,2.448469692529551e-4,0.0019775354143875138,3.711749948932976e-4,53831,crdd,0,50,15,0,1,5,male_crdd,South East England
18,male,1.032588527705704e-5,2.448469692529551e-4,0.0019775354143875138,3.711749948932976e-4,53831,crdd,0,50,15,0,1,5,male_crdd,South East England
19,male,1.032588527705704e-5,2.448469692529551e-4,0.0019775354143875138,3.711749948932976e-4,53831,crdd,0,50,15,0,1,5,male_crdd,South East England
