age,sex,mort,ylds (years lived with disability)_rate_dmt2,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,53915,dmt2,0,10,0,0,0,5,male_dmt2,South East England
1,male,0,0,0,1e-8,53915,dmt2,0,10,0,0,0,5,male_dmt2,South East England
2,male,0,0,0,1e-8,53915,dmt2,0,10,0,0,0,5,male_dmt2,South East England
3,male,0,0,0,1e-8,53915,dmt2,0,10,0,0,0,5,male_dmt2,South East England
4,male,0,0,0,1e-8,53915,dmt2,0,10,0,0,0,5,male_dmt2,South East England
5,male,0,0,0,1e-8,58045,dmt2,0,10,5,0,0,5,male_dmt2,South East England
6,male,0,0,0,1e-8,58045,dmt2,0,10,5,0,0,5,male_dmt2,South East England
7,male,0,0,0,1e-8,58045,dmt2,0,10,5,0,0,5,male_dmt2,South East England
8,male,0,0,0,1e-8,58045,dmt2,0,10,5,0,0,5,male_dmt2,South East England
9,male,0,0,0,1e-8,58045,dmt2,0,10,5,0,0,5,male_dmt2,South East England
10,male,0,6.057818754155694e-5,0.001216715431967599,8.271048764998789e-4,54635,dmt2,0,50,10,0,0,5,male_dmt2,South East England
11,male,0,6.057818754155694e-5,0.001216715431967599,8.271048764998789e-4,54635,dmt2,0,50,10,0,0,5,male_dmt2,South East England
12,male,0,6.057818754155694e-5,0.001216715431967599,8.271048764998789e-4,54635,dmt2,0,50,10,0,0,5,male_dmt2,South East England
13,male,0,6.057818754155694e-5,0.001216715431967599,8.271048764998789e-4,54635,dmt2,0,50,10,0,0,5,male_dmt2,South East England
14,male,0,6.057818754155694e-5,0.001216715431967599,8.271048764998789e-4,54635,dmt2,0,50,10,0,0,5,male_dmt2,South East England
15,male,8.158287785457079e-8,5.77289396923086e-4,0.010981401940958735,0.003250224705631383,53831,dmt2,0,50,15,1,0,5,male_dmt2,South East England
16,male,8.158287785457079e-8,5.77289396923086e-4,0.010981401940958735,0.003250224705631383,53831,dmt2,0,50,15,1,0,5,male_dmt2,South East England
17,male,8.158287785457079e-8,5.77289396923086e-4,0.010981401940958735,0.003250224705631383,53831,dmt2,0,50,15,1,0,5,male_dmt2,South East England
18,male,8.158287785457079e-8,5.77289396923086e-4,0.010981401940958735,0.003250224705631383,53831,dmt2,0,50,15,1,0,5,male_dmt2,South East England
19,male,8.158287785457079e-8,5.77289396923086e-4,0.010981401940958735,0.003250224705631383,53831,dmt2,0,50,15,1,0,5,male_dmt2,South East England
20,male,1.7715996379442035e-7,0.0016688533767029155,0.029862212659570234,0.003489883020533932,55703,dmt2,0,50,20,1,0,5,male_dmt2,South East England
21,male,1.7715996379442035e-7,0.0016688533767029155,0.029862212659570234,0.003489883020533932,55703,dmt2,0,50,20,1,0,5,male_dmt2,South East England
22,male,1.7715996379442035e-7,0.0016688533767029155,0.029862212659570234,0.003489883020533932,55703,dmt2,0,50,20,1,0,5,male_dmt2,South East England
23,male,1.7715996379442035e-7,0.0016688533767029155,0.029862212659570234,0.003489883020533932,55703,dmt2,0,50,20,1,0,5,male_dmt2,South East England
24,male,1.7715996379442035e-7,0.0016688533767029155,0.029862212659570234,0.003489883020533932,55703,dmt2,0,50,20,1,0,5,male_dmt2,South East England
25,male,2.933513172122502e-7,0.002416563844618321,0.04096975057966149,0.00145114598105416,58059,dmt2,0,50,25,2,0,5,male_dmt2,South East England
26,male,2.933513172122502e-7,0.002416563844618321,0.04096975057966149,0.00145114598105416,58059,dmt2,0,50,25,2,0,5,male_dmt2,South East England
27,male,2.933513172122502e-7,0.002416563844618321,0.04096975057966149,0.00145114598105416,58059,dmt2,0,50,25,2,0,5,male_dmt2,South East England
28,male,2.933513172122502e-7,0.002416563844618321,0.04096975057966149,0.00145114598105416,58059,dmt2,0,50,25,2,0,5,male_dmt2,South East England
29,male,2.933513172122502e-7,0.002416563844618321,0.04096975057966149,0.00145114598105416,58059,dmt2,0,50,25,2,0,5,male_dmt2,South East England
30,male,1.32555682368166e-6,0.0028065285822716983,0.045506857334979146,0.0010713686632087573,57970,dmt2,0,50,30,2,0,5,male_dmt2,South East England
31,male,1.32555682368166e-6,0.0028065285822716983,0.045506857334979146,0.0010713686632087573,57970,dmt2,0,50,30,2,0,5,male_dmt2,South East England
32,male,1.32555682368166e-6,0.0028065285822716983,0.045506857334979146,0.0010713686632087573,57970,dmt2,0,50,30,2,0,5,male_dmt2,South East England
33,male,1.32555682368166e-6,0.0028065285822716983,0.045506857334979146,0.0010713686632087573,57970,dmt2,0,50,30,2,0,5,male_dmt2,South East England
34,male,1.32555682368166e-6,0.0028065285822716983,0.045506857334979146,0.0010713686632087573,57970,dmt2,0,50,30,2,0,5,male_dmt2,South East England
35,male,1.7154166487893262e-6,0.003195356215691147,0.04988064769146219,0.0013494782240266782,58810,dmt2,0,50,35,2,0,5,male_dmt2,South East England
36,male,1.7154166487893262e-6,0.003195356215691147,0.04988064769146219,0.0013494782240266782,58810,dmt2,0,50,35,2,0,5,male_dmt2,South East England
37,male,1.7154166487893262e-6,0.003195356215691147,0.04988064769146219,0.0013494782240266782,58810,dmt2,0,50,35,2,0,5,male_dmt2,South East England
