age,sex,mort,ylds (years lived with disability)_rate_lvrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,53915,lvrc,0,10,0,0,0,5,male_lvrc,South East England
1,male,0,0,0,1e-8,53915,lvrc,0,10,0,0,0,5,male_lvrc,South East England
2,male,0,0,0,1e-8,53915,lvrc,0,10,0,0,0,5,male_lvrc,South East England
3,male,0,0,0,1e-8,53915,lvrc,0,10,0,0,0,5,male_lvrc,South East England
4,male,0,0,0,1e-8,53915,lvrc,0,10,0,0,0,5,male_lvrc,South East England
5,male,2.603107819436748e-7,2.6879680240678055e-7,0,1.303440989820019e-6,58045,lvrc,0,10,5,0,0,5,male_lvrc,South East England
6,male,2.603107819436748e-7,2.6879680240678055e-7,0,1.303440989820019e-6,58045,lvrc,0,10,5,0,0,5,male_lvrc,South East England
7,male,2.603107819436748e-7,2.6879680240678055e-7,0,1.303440989820019e-6,58045,lvrc,0,10,5,0,0,5,male_lvrc,South East England
8,male,2.603107819436748e-7,2.6879680240678055e-7,0,1.303440989820019e-6,58045,lvrc,0,10,5,0,0,5,male_lvrc,South East England
9,male,2.603107819436748e-7,2.6879680240678055e-7,0,1.303440989820019e-6,58045,lvrc,0,10,5,0,0,5,male_lvrc,South East England
10,male,3.4166992569730294e-7,3.5108626845408665e-7,0,1.6684999168326443e-6,54635,lvrc,0,50,10,0,0,5,male_lvrc,South East England
11,male,3.4166992569730294e-7,3.5108626845408665e-7,0,1.6684999168326443e-6,54635,lvrc,0,50,10,0,0,5,male_lvrc,South East England
12,male,3.4166992569730294e-7,3.5108626845408665e-7,0,1.6684999168326443e-6,54635,lvrc,0,50,10,0,0,5,male_lvrc,South East England
13,male,3.4166992569730294e-7,3.5108626845408665e-7,0,1.6684999168326443e-6,54635,lvrc,0,50,10,0,0,5,male_lvrc,South East England
14,male,3.4166992569730294e-7,3.5108626845408665e-7,0,1.6684999168326443e-6,54635,lvrc,0,50,10,0,0,5,male_lvrc,South East England
15,male,5.818365337556723e-7,7.41919007067188e-7,0,3.5210624067256843e-6,53831,lvrc,0,50,15,0,0,5,male_lvrc,South East England
16,male,5.818365337556723e-7,7.41919007067188e-7,0,3.5210624067256843e-6,53831,lvrc,0,50,15,0,0,5,male_lvrc,South East England
17,male,5.818365337556723e-7,7.41919007067188e-7,0,3.5210624067256843e-6,53831,lvrc,0,50,15,0,0,5,male_lvrc,South East England
18,male,5.818365337556723e-7,7.41919007067188e-7,0,3.5210624067256843e-6,53831,lvrc,0,50,15,0,0,5,male_lvrc,South East England
19,male,5.818365337556723e-7,7.41919007067188e-7,0,3.5210624067256843e-6,53831,lvrc,0,50,15,0,0,5,male_lvrc,South East England
20,male,1.0695842866529892e-6,1.443886968782099e-6,0,6.880244519323556e-6,55703,lvrc,0,50,20,0,0,5,male_lvrc,South East England
21,male,1.0695842866529892e-6,1.443886968782099e-6,0,6.880244519323556e-6,55703,lvrc,0,50,20,0,0,5,male_lvrc,South East England
22,male,1.0695842866529892e-6,1.443886968782099e-6,0,6.880244519323556e-6,55703,lvrc,0,50,20,0,0,5,male_lvrc,South East England
23,male,1.0695842866529892e-6,1.443886968782099e-6,0,6.880244519323556e-6,55703,lvrc,0,50,20,0,0,5,male_lvrc,South East England
24,male,1.0695842866529892e-6,1.443886968782099e-6,0,6.880244519323556e-6,55703,lvrc,0,50,20,0,0,5,male_lvrc,South East England
25,male,1.7997537850046397e-6,1.5519753426671124e-6,0,5.677789859831528e-6,58059,lvrc,0,50,25,0,0,5,male_lvrc,South East England
26,male,1.7997537850046397e-6,1.5519753426671124e-6,0,5.677789859831528e-6,58059,lvrc,0,50,25,0,0,5,male_lvrc,South East England
27,male,1.7997537850046397e-6,1.5519753426671124e-6,0,5.677789859831528e-6,58059,lvrc,0,50,25,0,0,5,male_lvrc,South East England
