age,sex,mort,ylds (years lived with disability)_rate_brsc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,29108,brsc,0,10,0,0,0,5,female_brsc,South West England
1,female,0,0,0,1e-8,29108,brsc,0,10,0,0,0,5,female_brsc,South West England
2,female,0,0,0,1e-8,29108,brsc,0,10,0,0,0,5,female_brsc,South West England
3,female,0,0,0,1e-8,29108,brsc,0,10,0,0,0,5,female_brsc,South West England
4,female,0,0,0,1e-8,29108,brsc,0,10,0,0,0,5,female_brsc,South West England
5,female,0,0,0,1e-8,30672,brsc,0,10,5,0,0,5,female_brsc,South West England
6,female,0,0,0,1e-8,30672,brsc,0,10,5,0,0,5,female_brsc,South West England
7,female,0,0,0,1e-8,30672,brsc,0,10,5,0,0,5,female_brsc,South West England
8,female,0,0,0,1e-8,30672,brsc,0,10,5,0,0,5,female_brsc,South West England
9,female,0,0,0,1e-8,30672,brsc,0,10,5,0,0,5,female_brsc,South West England
10,female,0,0,0,1e-8,29175,brsc,0,50,10,0,0,5,female_brsc,South West England
11,female,0,0,0,1e-8,29175,brsc,0,50,10,0,0,5,female_brsc,South West England
12,female,0,0,0,1e-8,29175,brsc,0,50,10,0,0,5,female_brsc,South West England
13,female,0,0,0,1e-8,29175,brsc,0,50,10,0,0,5,female_brsc,South West England
14,female,0,0,0,1e-8,29175,brsc,0,50,10,0,0,5,female_brsc,South West England
15,female,2.794396666036825e-7,3.084940978481396e-6,3.692934263139313e-5,3.88055361692118e-6,29922,brsc,0,50,15,0,0,5,female_brsc,South West England
16,female,2.794396666036825e-7,3.084940978481396e-6,3.692934263139313e-5,3.88055361692118e-6,29922,brsc,0,50,15,0,0,5,female_brsc,South West England
17,female,2.794396666036825e-7,3.084940978481396e-6,3.692934263139313e-5,3.88055361692118e-6,29922,brsc,0,50,15,0,0,5,female_brsc,South West England
18,female,2.794396666036825e-7,3.084940978481396e-6,3.692934263139313e-5,3.88055361692118e-6,29922,brsc,0,50,15,0,0,5,female_brsc,South West England
19,female,2.794396666036825e-7,3.084940978481396e-6,3.692934263139313e-5,3.88055361692118e-6,29922,brsc,0,50,15,0,0,5,female_brsc,South West England
20,female,1.3583955331320024e-6,1.7282416777837944e-5,2.0693904050857843e-4,2.2057824719804238e-5,32369,brsc,0,50,20,0,0,5,female_brsc,South West England
21,female,1.3583955331320024e-6,1.7282416777837944e-5,2.0693904050857843e-4,2.2057824719804238e-5,32369,brsc,0,50,20,0,0,5,female_brsc,South West England
22,female,1.3583955331320024e-6,1.7282416777837944e-5,2.0693904050857843e-4,2.2057824719804238e-5,32369,brsc,0,50,20,0,0,5,female_brsc,South West England
23,female,1.3583955331320024e-6,1.7282416777837944e-5,2.0693904050857843e-4,2.2057824719804238e-5,32369,brsc,0,50,20,0,0,5,female_brsc,South West England
24,female,1.3583955331320024e-6,1.7282416777837944e-5,2.0693904050857843e-4,2.2057824719804238e-5,32369,brsc,0,50,20,0,0,5,female_brsc,South West England
25,female,1.1054794448984027e-5,1.5434109039914184e-4,0.0018052802491364136,2.0531377870729596e-4,35027,brsc,0,50,25,0,0,5,female_brsc,South West England
26,female,1.1054794448984027e-5,1.5434109039914184e-4,0.0018052802491364136,2.0531377870729596e-4,35027,brsc,0,50,25,0,0,5,female_brsc,South West England
27,female,1.1054794448984027e-5,1.5434109039914184e-4,0.0018052802491364136,2.0531377870729596e-4,35027,brsc,0,50,25,0,0,5,female_brsc,South West England
28,female,1.1054794448984027e-5,1.5434109039914184e-4,0.0018052802491364136,2.0531377870729596e-4,35027,brsc,0,50,25,0,0,5,female_brsc,South West England
29,female,1.1054794448984027e-5,1.5434109039914184e-4,0.0018052802491364136,2.0531377870729596e-4,35027,brsc,0,50,25,0,0,5,female_brsc,South West England
