age,sex,mort,ylds (years lived with disability)_rate_crdd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,8.296862455512008e-6,6.823032908961605e-5,2.9249554373497576e-4,3.147221006294421e-4,29108,crdd,0,10,0,0,0,5,female_crdd,South West England
1,female,8.296862455512008e-6,6.823032908961605e-5,2.9249554373497576e-4,3.147221006294421e-4,29108,crdd,0,10,0,0,0,5,female_crdd,South West England
2,female,8.296862455512008e-6,6.823032908961605e-5,2.9249554373497576e-4,3.147221006294421e-4,29108,crdd,0,10,0,0,0,5,female_crdd,South West England
3,female,8.296862455512008e-6,6.823032908961605e-5,2.9249554373497576e-4,3.147221006294421e-4,29108,crdd,0,10,0,0,0,5,female_crdd,South West England
4,female,8.296862455512008e-6,6.823032908961605e-5,2.9249554373497576e-4,3.147221006294421e-4,29108,crdd,0,10,0,0,0,5,female_crdd,South West England
5,female,1.850322711703199e-6,1.2481822414924697e-4,2.660074640806311e-4,2.662681934116463e-4,30672,crdd,0,10,5,0,0,5,female_crdd,South West England
6,female,1.850322711703199e-6,1.2481822414924697e-4,2.660074640806311e-4,2.662681934116463e-4,30672,crdd,0,10,5,0,0,5,female_crdd,South West England
7,female,1.850322711703199e-6,1.2481822414924697e-4,2.660074640806311e-4,2.662681934116463e-4,30672,crdd,0,10,5,0,0,5,female_crdd,South West England
8,female,1.850322711703199e-6,1.2481822414924697e-4,2.660074640806311e-4,2.662681934116463e-4,30672,crdd,0,10,5,0,0,5,female_crdd,South West England
9,female,1.850322711703199e-6,1.2481822414924697e-4,2.660074640806311e-4,2.662681934116463e-4,30672,crdd,0,10,5,0,0,5,female_crdd,South West England
10,female,2.703840339987559e-6,2.336336540452137e-4,0.0015617146095972389,2.348779878417683e-4,29175,crdd,0,50,10,0,0,5,female_crdd,South West England
11,female,2.703840339987559e-6,2.336336540452137e-4,0.0015617146095972389,2.348779878417683e-4,29175,crdd,0,50,10,0,0,5,female_crdd,South West England
12,female,2.703840339987559e-6,2.336336540452137e-4,0.0015617146095972389,2.348779878417683e-4,29175,crdd,0,50,10,0,0,5,female_crdd,South West England
13,female,2.703840339987559e-6,2.336336540452137e-4,0.0015617146095972389,2.348779878417683e-4,29175,crdd,0,50,10,0,0,5,female_crdd,South West England
14,female,2.703840339987559e-6,2.336336540452137e-4,0.0015617146095972389,2.348779878417683e-4,29175,crdd,0,50,10,0,0,5,female_crdd,South West England
15,female,1.022933519967325e-5,6.011137357952189e-4,0.007651891677788131,3.125724496619616e-4,29922,crdd,0,50,15,0,0,5,female_crdd,South West England
16,female,1.022933519967325e-5,6.011137357952189e-4,0.007651891677788131,3.125724496619616e-4,29922,crdd,0,50,15,0,0,5,female_crdd,South West England
17,female,1.022933519967325e-5,6.011137357952189e-4,0.007651891677788131,3.125724496619616e-4,29922,crdd,0,50,15,0,0,5,female_crdd,South West England
18,female,1.022933519967325e-5,6.011137357952189e-4,0.007651891677788131,3.125724496619616e-4,29922,crdd,0,50,15,0,0,5,female_crdd,South West England
19,female,1.022933519967325e-5,6.011137357952189e-4,0.007651891677788131,3.125724496619616e-4,29922,crdd,0,50,15,0,0,5,female_crdd,South West England
20,female,1.8403230359127633e-5,7.292694885272807e-4,0.009175393383882796,5.715182859377544e-4,32369,crdd,0,50,20,0,1,5,female_crdd,South West England
21,female,1.8403230359127633e-5,7.292694885272807e-4,0.009175393383882796,5.715182859377544e-4,32369,crdd,0,50,20,0,1,5,female_crdd,South West England
22,female,1.8403230359127633e-5,7.292694885272807e-4,0.009175393383882796,5.715182859377544e-4,32369,crdd,0,50,20,0,1,5,female_crdd,South West England
23,female,1.8403230359127633e-5,7.292694885272807e-4,0.009175393383882796,5.715182859377544e-4,32369,crdd,0,50,20,0,1,5,female_crdd,South West England
24,female,1.8403230359127633e-5,7.292694885272807e-4,0.009175393383882796,5.715182859377544e-4,32369,crdd,0,50,20,0,1,5,female_crdd,South West England
25,female,2.7641004885958783e-5,0.0011536035376424367,0.01642619083941068,0.0010265304945123062,35027,crdd,0,50,25,1,1,5,female_crdd,South West England
26,female,2.7641004885958783e-5,0.0011536035376424367,0.01642619083941068,0.0010265304945123062,35027,crdd,0,50,25,1,1,5,female_crdd,South West England
27,female,2.7641004885958783e-5,0.0011536035376424367,0.01642619083941068,0.0010265304945123062,35027,crdd,0,50,25,1,1,5,female_crdd,South West England
28,female,2.7641004885958783e-5,0.0011536035376424367,0.01642619083941068,0.0010265304945123062,35027,crdd,0,50,25,1,1,5,female_crdd,South West England
29,female,2.7641004885958783e-5,0.0011536035376424367,0.01642619083941068,0.0010265304945123062,35027,crdd,0,50,25,1,1,5,female_crdd,South West England
30,female,4.600024453779827e-5,0.001393710204686316,0.02047455814747767,0.001828979394162244,33987,crdd,0,50,30,1,2,5,female_crdd,South West England
31,female,4.600024453779827e-5,0.001393710204686316,0.02047455814747767,0.001828979394162244,33987,crdd,0,50,30,1,2,5,female_crdd,South West England
32,female,4.600024453779827e-5,0.001393710204686316,0.02047455814747767,0.001828979394162244,33987,crdd,0,50,30,1,2,5,female_crdd,South West England
33,female,4.600024453779827e-5,0.001393710204686316,0.02047455814747767,0.001828979394162244,33987,crdd,0,50,30,1,2,5,female_crdd,South West England
34,female,4.600024453779827e-5,0.001393710204686316,0.02047455814747767,0.001828979394162244,33987,crdd,0,50,30,1,2,5,female_crdd,South West England
35,female,7.139522969587953e-5,0.0014877076299271027,0.022232296739808872,0.0029634117107505435,32432,crdd,0,50,35,1,2,5,female_crdd,South West England
36,female,7.139522969587953e-5,0.0014877076299271027,0.022232296739808872,0.0029634117107505435,32432,crdd,0,50,35,1,2,5,female_crdd,South West England
37,female,7.139522969587953e-5,0.0014877076299271027,0.022232296739808872,0.0029634117107505435,32432,crdd,0,50,35,1,2,5,female_crdd,South West England
38,female,7.139522969587953e-5,0.0014877076299271027,0.022232296739808872,0.0029634117107505435,32432,crdd,0,50,35,1,2,5,female_crdd,South West England
39,female,7.139522969587953e-5,0.0014877076299271027,0.022232296739808872,0.0029634117107505435,32432,crdd,0,50,35,1,2,5,female_crdd,South West England
40,female,1.2936229226067633e-4,0.002434209929361313,0.049377626871775174,0.006103327163507833,32666,crdd,0,50,40,2,4,5,female_crdd,South West England
41,female,1.2936229226067633e-4,0.002434209929361313,0.049377626871775174,0.006103327163507833,32666,crdd,0,50,40,2,4,5,female_crdd,South West England
42,female,1.2936229226067633e-4,0.002434209929361313,0.049377626871775174,0.006103327163507833,32666,crdd,0,50,40,2,4,5,female_crdd,South West England
43,female,1.2936229226067633e-4,0.002434209929361313,0.049377626871775174,0.006103327163507833,32666,crdd,0,50,40,2,4,5,female_crdd,South West England
44,female,1.2936229226067633e-4,0.002434209929361313,0.049377626871775174,0.006103327163507833,32666,crdd,0,50,40,2,4,5,female_crdd,South West England
45,female,2.1656133609074423e-4,0.003129814521283982,0.06361438590756124,0.0075635297327882765,38903,crdd,0,50,45,3,8,5,female_crdd,South West England
46,female,2.1656133609074423e-4,0.003129814521283982,0.06361438590756124,0.0075635297327882765,38903,crdd,0,50,45,3,8,5,female_crdd,South West England
47,female,2.1656133609074423e-4,0.003129814521283982,0.06361438590756124,0.0075635297327882765,38903,crdd,0,50,45,3,8,5,female_crdd,South West England
48,female,2.1656133609074423e-4,0.003129814521283982,0.06361438590756124,0.0075635297327882765,38903,crdd,0,50,45,3,8,5,female_crdd,South West England
49,female,2.1656133609074423e-4,0.003129814521283982,0.06361438590756124,0.0075635297327882765,38903,crdd,0,50,45,3,8,5,female_crdd,South West England
50,female,3.295929516391055e-4,0.004050422476127288,0.08037117534505782,0.010284910212442136,40699,crdd,0,50,50,4,13,5,female_crdd,South West England
51,female,3.295929516391055e-4,0.004050422476127288,0.08037117534505782,0.010284910212442136,40699,crdd,0,50,50,4,13,5,female_crdd,South West England
52,female,3.295929516391055e-4,0.004050422476127288,0.08037117534505782,0.010284910212442136,40699,crdd,0,50,50,4,13,5,female_crdd,South West England
53,female,3.295929516391055e-4,0.004050422476127288,0.08037117534505782,0.010284910212442136,40699,crdd,0,50,50,4,13,5,female_crdd,South West England
54,female,3.295929516391055e-4,0.004050422476127288,0.08037117534505782,0.010284910212442136,40699,crdd,0,50,50,4,13,5,female_crdd,South West England
55,female,5.377566433715509e-4,0.0057742091018419435,0.11113467736842736,0.015216044180580117,36902,crdd,0,50,55,6,20,5,female_crdd,South West England
56,female,5.377566433715509e-4,0.0057742091018419435,0.11113467736842736,0.015216044180580117,36902,crdd,0,50,55,6,20,5,female_crdd,South West England
57,female,5.377566433715509e-4,0.0057742091018419435,0.11113467736842736,0.015216044180580117,36902,crdd,0,50,55,6,20,5,female_crdd,South West England
58,female,5.377566433715509e-4,0.0057742091018419435,0.11113467736842736,0.015216044180580117,36902,crdd,0,50,55,6,20,5,female_crdd,South West England
59,female,5.377566433715509e-4,0.0057742091018419435,0.11113467736842736,0.015216044180580117,36902,crdd,0,50,55,6,20,5,female_crdd,South West England
60,female,9.271158800680556e-4,0.008389308159071893,0.1590213683320864,0.024603560573065234,33147,crdd,0,50,60,8,31,5,female_crdd,South West England
61,female,9.271158800680556e-4,0.008389308159071893,0.1590213683320864,0.024603560573065234,33147,crdd,0,50,60,8,31,5,female_crdd,South West England
62,female,9.271158800680556e-4,0.008389308159071893,0.1590213683320864,0.024603560573065234,33147,crdd,0,50,60,8,31,5,female_crdd,South West England
63,female,9.271158800680556e-4,0.008389308159071893,0.1590213683320864,0.024603560573065234,33147,crdd,0,50,60,8,31,5,female_crdd,South West England
64,female,9.271158800680556e-4,0.008389308159071893,0.1590213683320864,0.024603560573065234,33147,crdd,0,50,60,8,31,5,female_crdd,South West England
65,female,0.0016207885155186481,0.011888602770562392,0.22793534019363995,0.0414928080326371,34954,crdd,0,50,65,11,57,5,female_crdd,South West England
66,female,0.0016207885155186481,0.011888602770562392,0.22793534019363995,0.0414928080326371,34954,crdd,0,50,65,11,57,5,female_crdd,South West England
67,female,0.0016207885155186481,0.011888602770562392,0.22793534019363995,0.0414928080326371,34954,crdd,0,50,65,11,57,5,female_crdd,South West England
68,female,0.0016207885155186481,0.011888602770562392,0.22793534019363995,0.0414928080326371,34954,crdd,0,50,65,11,57,5,female_crdd,South West England
69,female,0.0016207885155186481,0.011888602770562392,0.22793534019363995,0.0414928080326371,34954,crdd,0,50,65,11,57,5,female_crdd,South West England
70,female,0.0030196507559556306,0.016830244038676945,0.3087557514130874,0.06399168692987744,31581,crdd,0,50,70,15,95,5,female_crdd,South West England
71,female,0.0030196507559556306,0.016830244038676945,0.3087557514130874,0.06399168692987744,31581,crdd,0,50,70,15,95,5,female_crdd,South West England
72,female,0.0030196507559556306,0.016830244038676945,0.3087557514130874,0.06399168692987744,31581,crdd,0,50,70,15,95,5,female_crdd,South West England
73,female,0.0030196507559556306,0.016830244038676945,0.3087557514130874,0.06399168692987744,31581,crdd,0,50,70,15,95,5,female_crdd,South West England
74,female,0.0030196507559556306,0.016830244038676945,0.3087557514130874,0.06399168692987744,31581,crdd,0,50,70,15,95,5,female_crdd,South West England
75,female,0.0070341791093456695,0.023841473963065737,0.3958629656229999,0.09165827894719403,22857,crdd,0,50,75,20,160,5,female_crdd,South West England
76,female,0.0070341791093456695,0.023841473963065737,0.3958629656229999,0.09165827894719403,22857,crdd,0,50,75,20,160,5,female_crdd,South West England
77,female,0.0070341791093456695,0.023841473963065737,0.3958629656229999,0.09165827894719403,22857,crdd,0,50,75,20,160,5,female_crdd,South West England
78,female,0.0070341791093456695,0.023841473963065737,0.3958629656229999,0.09165827894719403,22857,crdd,0,50,75,20,160,5,female_crdd,South West England
79,female,0.0070341791093456695,0.023841473963065737,0.3958629656229999,0.09165827894719403,22857,crdd,0,50,75,20,160,5,female_crdd,South West England
80,female,0.01582973723672553,0.030936287859651482,0.4565325296860425,0.1251552534465665,17816,crdd,0,20,80,9,280,5,female_crdd,South West England
81,female,0.01582973723672553,0.030936287859651482,0.4565325296860425,0.1251552534465665,17816,crdd,0,20,80,9,280,5,female_crdd,South West England
82,female,0.01582973723672553,0.030936287859651482,0.4565325296860425,0.1251552534465665,17816,crdd,0,20,80,9,280,5,female_crdd,South West England
83,female,0.01582973723672553,0.030936287859651482,0.4565325296860425,0.1251552534465665,17816,crdd,0,20,80,9,280,5,female_crdd,South West England
84,female,0.01582973723672553,0.030936287859651482,0.4565325296860425,0.1251552534465665,17816,crdd,0,20,80,9,280,5,female_crdd,South West England
85,female,0.03704360595401438,0.03784693045516466,0.4894119093014935,0.15777226719409054,12271,crdd,0,20,85,10,446,5,female_crdd,South West England
86,female,0.03704360595401438,0.03784693045516466,0.4894119093014935,0.15777226719409054,12271,crdd,0,20,85,10,446,5,female_crdd,South West England
87,female,0.03704360595401438,0.03784693045516466,0.4894119093014935,0.15777226719409054,12271,crdd,0,20,85,10,446,5,female_crdd,South West England
88,female,0.03704360595401438,0.03784693045516466,0.4894119093014935,0.15777226719409054,12271,crdd,0,20,85,10,446,5,female_crdd,South West England
89,female,0.03704360595401438,0.03784693045516466,0.4894119093014935,0.15777226719409054,12271,crdd,0,20,85,10,446,5,female_crdd,South West England
90,female,0.0634007801232643,0.04220708273663155,0.49037316804735764,0.18602294806626388,6445,crdd,0,10,90,5,396,5,female_crdd,South West England
91,female,0.0634007801232643,0.04220708273663155,0.49037316804735764,0.18602294806626388,6445,crdd,0,10,90,5,396,5,female_crdd,South West England
92,female,0.0634007801232643,0.04220708273663155,0.49037316804735764,0.18602294806626388,6445,crdd,0,10,90,5,396,5,female_crdd,South West England
93,female,0.0634007801232643,0.04220708273663155,0.49037316804735764,0.18602294806626388,6445,crdd,0,10,90,5,396,5,female_crdd,South West England
94,female,0.0634007801232643,0.04220708273663155,0.49037316804735764,0.18602294806626388,6445,crdd,0,10,90,5,396,5,female_crdd,South West England
95,female,0.11339922498624462,0.04524444084950073,0.4571373678405549,0.2192440172387073,1771,crdd,0,10,95,5,190,6,female_crdd,South West England
96,female,0.11339922498624462,0.04524444084950073,0.4571373678405549,0.2192440172387073,1771,crdd,0,10,95,5,190,6,female_crdd,South West England
97,female,0.11339922498624462,0.04524444084950073,0.4571373678405549,0.2192440172387073,1771,crdd,0,10,95,5,190,6,female_crdd,South West England
98,female,0.11339922498624462,0.04524444084950073,0.4571373678405549,0.2192440172387073,1771,crdd,0,10,95,5,190,6,female_crdd,South West England
99,female,0.11339922498624462,0.04524444084950073,0.4571373678405549,0.2192440172387073,1771,crdd,0,10,95,5,190,6,female_crdd,South West England
100,female,0.11339922498624462,0.04524444084950073,0.4571373678405549,0.2192440172387073,1771,crdd,0,10,95,5,190,6,female_crdd,South West England
