age,sex,mort,ylds (years lived with disability)_rate_dmt2,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,29108,dmt2,0,10,0,0,0,5,female_dmt2,South West England
1,female,0,0,0,1e-8,29108,dmt2,0,10,0,0,0,5,female_dmt2,South West England
2,female,0,0,0,1e-8,29108,dmt2,0,10,0,0,0,5,female_dmt2,South West England
3,female,0,0,0,1e-8,29108,dmt2,0,10,0,0,0,5,female_dmt2,South West England
4,female,0,0,0,1e-8,29108,dmt2,0,10,0,0,0,5,female_dmt2,South West England
5,female,0,0,0,1e-8,30672,dmt2,0,10,5,0,0,5,female_dmt2,South West England
6,female,0,0,0,1e-8,30672,dmt2,0,10,5,0,0,5,female_dmt2,South West England
7,female,0,0,0,1e-8,30672,dmt2,0,10,5,0,0,5,female_dmt2,South West England
8,female,0,0,0,1e-8,30672,dmt2,0,10,5,0,0,5,female_dmt2,South West England
9,female,0,0,0,1e-8,30672,dmt2,0,10,5,0,0,5,female_dmt2,South West England
10,female,0,1.5120799383247326e-4,0.003040150957012076,0.0015806133423706074,29175,dmt2,0,50,10,0,0,5,female_dmt2,South West England
11,female,0,1.5120799383247326e-4,0.003040150957012076,0.0015806133423706074,29175,dmt2,0,50,10,0,0,5,female_dmt2,South West England
12,female,0,1.5120799383247326e-4,0.003040150957012076,0.0015806133423706074,29175,dmt2,0,50,10,0,0,5,female_dmt2,South West England
13,female,0,1.5120799383247326e-4,0.003040150957012076,0.0015806133423706074,29175,dmt2,0,50,10,0,0,5,female_dmt2,South West England
14,female,0,1.5120799383247326e-4,0.003040150957012076,0.0015806133423706074,29175,dmt2,0,50,10,0,0,5,female_dmt2,South West England
15,female,1.408349241237828e-7,8.253602531878164e-4,0.015830157949622704,0.0028217212204960113,29922,dmt2,0,50,15,1,0,5,female_dmt2,South West England
16,female,1.408349241237828e-7,8.253602531878164e-4,0.015830157949622704,0.0028217212204960113,29922,dmt2,0,50,15,1,0,5,female_dmt2,South West England
17,female,1.408349241237828e-7,8.253602531878164e-4,0.015830157949622704,0.0028217212204960113,29922,dmt2,0,50,15,1,0,5,female_dmt2,South West England
18,female,1.408349241237828e-7,8.253602531878164e-4,0.015830157949622704,0.0028217212204960113,29922,dmt2,0,50,15,1,0,5,female_dmt2,South West England
19,female,1.408349241237828e-7,8.253602531878164e-4,0.015830157949622704,0.0028217212204960113,29922,dmt2,0,50,15,1,0,5,female_dmt2,South West England
20,female,1.7237631808128853e-7,0.0015099860742377896,0.027376507219244235,0.0018813449969332832,32369,dmt2,0,50,20,1,0,5,female_dmt2,South West England
21,female,1.7237631808128853e-7,0.0015099860742377896,0.027376507219244235,0.0018813449969332832,32369,dmt2,0,50,20,1,0,5,female_dmt2,South West England
22,female,1.7237631808128853e-7,0.0015099860742377896,0.027376507219244235,0.0018813449969332832,32369,dmt2,0,50,20,1,0,5,female_dmt2,South West England
23,female,1.7237631808128853e-7,0.0015099860742377896,0.027376507219244235,0.0018813449969332832,32369,dmt2,0,50,20,1,0,5,female_dmt2,South West England
24,female,1.7237631808128853e-7,0.0015099860742377896,0.027376507219244235,0.0018813449969332832,32369,dmt2,0,50,20,1,0,5,female_dmt2,South West England
25,female,3.114854650162597e-7,0.0019052774176340915,0.03281928911086073,7.262523976400625e-4,35027,dmt2,0,50,25,2,0,5,female_dmt2,South West England
26,female,3.114854650162597e-7,0.0019052774176340915,0.03281928911086073,7.262523976400625e-4,35027,dmt2,0,50,25,2,0,5,female_dmt2,South West England
