age,sex,mort,ylds (years lived with disability)_rate_iscs,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,3.7755270668575074e-7,2.2225058524439972e-5,1.5614564058521435e-4,5.291544321248559e-5,29108,iscs,0,10,0,0,0,5,female_iscs,South West England
1,female,3.7755270668575074e-7,2.2225058524439972e-5,1.5614564058521435e-4,5.291544321248559e-5,29108,iscs,0,10,0,0,0,5,female_iscs,South West England
2,female,3.7755270668575074e-7,2.2225058524439972e-5,1.5614564058521435e-4,5.291544321248559e-5,29108,iscs,0,10,0,0,0,5,female_iscs,South West England
3,female,3.7755270668575074e-7,2.2225058524439972e-5,1.5614564058521435e-4,5.291544321248559e-5,29108,iscs,0,10,0,0,0,5,female_iscs,South West England
4,female,3.7755270668575074e-7,2.2225058524439972e-5,1.5614564058521435e-4,5.291544321248559e-5,29108,iscs,0,10,0,0,0,5,female_iscs,South West England
5,female,6.474341161757147e-8,5.970402473056488e-5,4.239616518296283e-4,3.5430921337353366e-5,30672,iscs,0,10,5,0,0,5,female_iscs,South West England
6,female,6.474341161757147e-8,5.970402473056488e-5,4.239616518296283e-4,3.5430921337353366e-5,30672,iscs,0,10,5,0,0,5,female_iscs,South West England
7,female,6.474341161757147e-8,5.970402473056488e-5,4.239616518296283e-4,3.5430921337353366e-5,30672,iscs,0,10,5,0,0,5,female_iscs,South West England
8,female,6.474341161757147e-8,5.970402473056488e-5,4.239616518296283e-4,3.5430921337353366e-5,30672,iscs,0,10,5,0,0,5,female_iscs,South West England
9,female,6.474341161757147e-8,5.970402473056488e-5,4.239616518296283e-4,3.5430921337353366e-5,30672,iscs,0,10,5,0,0,5,female_iscs,South West England
10,female,7.510983087286796e-8,9.303011054934567e-5,6.578590114518271e-4,3.23031231612402e-5,29175,iscs,0,50,10,0,0,5,female_iscs,South West England
