age,sex,mort,ylds (years lived with disability)_rate_ishd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,29108,ishd,0,10,0,0,0,5,female_ishd,South West England
1,female,0,0,0,1e-8,29108,ishd,0,10,0,0,0,5,female_ishd,South West England
2,female,0,0,0,1e-8,29108,ishd,0,10,0,0,0,5,female_ishd,South West England
3,female,0,0,0,1e-8,29108,ishd,0,10,0,0,0,5,female_ishd,South West England
4,female,0,0,0,1e-8,29108,ishd,0,10,0,0,0,5,female_ishd,South West England
5,female,0,0,0,1e-8,30672,ishd,0,10,5,0,0,5,female_ishd,South West England
6,female,0,0,0,1e-8,30672,ishd,0,10,5,0,0,5,female_ishd,South West England
7,female,0,0,0,1e-8,30672,ishd,0,10,5,0,0,5,female_ishd,South West England
8,female,0,0,0,1e-8,30672,ishd,0,10,5,0,0,5,female_ishd,South West England
9,female,0,0,0,1e-8,30672,ishd,0,10,5,0,0,5,female_ishd,South West England
10,female,0,0,0,1e-8,29175,ishd,0,50,10,0,0,5,female_ishd,South West England
11,female,0,0,0,1e-8,29175,ishd,0,50,10,0,0,5,female_ishd,South West England
12,female,0,0,0,1e-8,29175,ishd,0,50,10,0,0,5,female_ishd,South West England
13,female,0,0,0,1e-8,29175,ishd,0,50,10,0,0,5,female_ishd,South West England
14,female,0,0,0,1e-8,29175,ishd,0,50,10,0,0,5,female_ishd,South West England
15,female,7.079890010684222e-7,4.346625656589783e-6,1.1577637742246463e-4,1.5691295740356137e-5,29922,ishd,0,50,15,0,0,5,female_ishd,South West England
16,female,7.079890010684222e-7,4.346625656589783e-6,1.1577637742246463e-4,1.5691295740356137e-5,29922,ishd,0,50,15,0,0,5,female_ishd,South West England
17,female,7.079890010684222e-7,4.346625656589783e-6,1.1577637742246463e-4,1.5691295740356137e-5,29922,ishd,0,50,15,0,0,5,female_ishd,South West England
18,female,7.079890010684222e-7,4.346625656589783e-6,1.1577637742246463e-4,1.5691295740356137e-5,29922,ishd,0,50,15,0,0,5,female_ishd,South West England
19,female,7.079890010684222e-7,4.346625656589783e-6,1.1577637742246463e-4,1.5691295740356137e-5,29922,ishd,0,50,15,0,0,5,female_ishd,South West England
20,female,1.756122807437405e-6,1.8736957965028383e-5,3.7802507478702725e-4,3.627499568882074e-5,32369,ishd,0,50,20,0,0,5,female_ishd,South West England
21,female,1.756122807437405e-6,1.8736957965028383e-5,3.7802507478702725e-4,3.627499568882074e-5,32369,ishd,0,50,20,0,0,5,female_ishd,South West England
22,female,1.756122807437405e-6,1.8736957965028383e-5,3.7802507478702725e-4,3.627499568882074e-5,32369,ishd,0,50,20,0,0,5,female_ishd,South West England
23,female,1.756122807437405e-6,1.8736957965028383e-5,3.7802507478702725e-4,3.627499568882074e-5,32369,ishd,0,50,20,0,0,5,female_ishd,South West England
24,female,1.756122807437405e-6,1.8736957965028383e-5,3.7802507478702725e-4,3.627499568882074e-5,32369,ishd,0,50,20,0,0,5,female_ishd,South West England
25,female,3.236291228948646e-6,3.778565923049532e-5,8.001598077970561e-4,4.596444342891964e-5,35027,ishd,0,50,25,0,0,5,female_ishd,South West England
26,female,3.236291228948646e-6,3.778565923049532e-5,8.001598077970561e-4,4.596444342891964e-5,35027,ishd,0,50,25,0,0,5,female_ishd,South West England
27,female,3.236291228948646e-6,3.778565923049532e-5,8.001598077970561e-4,4.596444342891964e-5,35027,ishd,0,50,25,0,0,5,female_ishd,South West England
28,female,3.236291228948646e-6,3.778565923049532e-5,8.001598077970561e-4,4.596444342891964e-5,35027,ishd,0,50,25,0,0,5,female_ishd,South West England
29,female,3.236291228948646e-6,3.778565923049532e-5,8.001598077970561e-4,4.596444342891964e-5,35027,ishd,0,50,25,0,0,5,female_ishd,South West England
