age,sex,mort,ylds (years lived with disability)_rate_stmc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,29108,stmc,0,10,0,0,0,5,female_stmc,South West England
1,female,0,0,0,1e-8,29108,stmc,0,10,0,0,0,5,female_stmc,South West England
2,female,0,0,0,1e-8,29108,stmc,0,10,0,0,0,5,female_stmc,South West England
3,female,0,0,0,1e-8,29108,stmc,0,10,0,0,0,5,female_stmc,South West England
4,female,0,0,0,1e-8,29108,stmc,0,10,0,0,0,5,female_stmc,South West England
5,female,0,0,0,1e-8,30672,stmc,0,10,5,0,0,5,female_stmc,South West England
6,female,0,0,0,1e-8,30672,stmc,0,10,5,0,0,5,female_stmc,South West England
7,female,0,0,0,1e-8,30672,stmc,0,10,5,0,0,5,female_stmc,South West England
8,female,0,0,0,1e-8,30672,stmc,0,10,5,0,0,5,female_stmc,South West England
9,female,0,0,0,1e-8,30672,stmc,0,10,5,0,0,5,female_stmc,South West England
10,female,0,0,0,1e-8,29175,stmc,0,50,10,0,0,5,female_stmc,South West England
11,female,0,0,0,1e-8,29175,stmc,0,50,10,0,0,5,female_stmc,South West England
12,female,0,0,0,1e-8,29175,stmc,0,50,10,0,0,5,female_stmc,South West England
13,female,0,0,0,1e-8,29175,stmc,0,50,10,0,0,5,female_stmc,South West England
14,female,0,0,0,1e-8,29175,stmc,0,50,10,0,0,5,female_stmc,South West England
15,female,1.6743419113851804e-7,1.8927913145282795e-7,1.8241731905636608e-6,5.235053258974981e-7,29922,stmc,0,50,15,0,0,5,female_stmc,South West England
16,female,1.6743419113851804e-7,1.8927913145282795e-7,1.8241731905636608e-6,5.235053258974981e-7,29922,stmc,0,50,15,0,0,5,female_stmc,South West England
17,female,1.6743419113851804e-7,1.8927913145282795e-7,1.8241731905636608e-6,5.235053258974981e-7,29922,stmc,0,50,15,0,0,5,female_stmc,South West England
18,female,1.6743419113851804e-7,1.8927913145282795e-7,1.8241731905636608e-6,5.235053258974981e-7,29922,stmc,0,50,15,0,0,5,female_stmc,South West England
19,female,1.6743419113851804e-7,1.8927913145282795e-7,1.8241731905636608e-6,5.235053258974981e-7,29922,stmc,0,50,15,0,0,5,female_stmc,South West England
20,female,4.863063917540192e-7,6.1903015986485e-7,6.12753328526635e-6,1.6699268029091898e-6,32369,stmc,0,50,20,0,0,5,female_stmc,South West England
21,female,4.863063917540192e-7,6.1903015986485e-7,6.12753328526635e-6,1.6699268029091898e-6,32369,stmc,0,50,20,0,0,5,female_stmc,South West England
22,female,4.863063917540192e-7,6.1903015986485e-7,6.12753328526635e-6,1.6699268029091898e-6,32369,stmc,0,50,20,0,0,5,female_stmc,South West England
23,female,4.863063917540192e-7,6.1903015986485e-7,6.12753328526635e-6,1.6699268029091898e-6,32369,stmc,0,50,20,0,0,5,female_stmc,South West England
24,female,4.863063917540192e-7,6.1903015986485e-7,6.12753328526635e-6,1.6699268029091898e-6,32369,stmc,0,50,20,0,0,5,female_stmc,South West England
25,female,1.8449680341790638e-6,2.292432298244552e-6,2.2778526959287957e-5,6.145211079943214e-6,35027,stmc,0,50,25,0,0,5,female_stmc,South West England
26,female,1.8449680341790638e-6,2.292432298244552e-6,2.2778526959287957e-5,6.145211079943214e-6,35027,stmc,0,50,25,0,0,5,female_stmc,South West England
27,female,1.8449680341790638e-6,2.292432298244552e-6,2.2778526959287957e-5,6.145211079943214e-6,35027,stmc,0,50,25,0,0,5,female_stmc,South West England
28,female,1.8449680341790638e-6,2.292432298244552e-6,2.2778526959287957e-5,6.145211079943214e-6,35027,stmc,0,50,25,0,0,5,female_stmc,South West England
29,female,1.8449680341790638e-6,2.292432298244552e-6,2.2778526959287957e-5,6.145211079943214e-6,35027,stmc,0,50,25,0,0,5,female_stmc,South West England
30,female,4.319829237121536e-6,5.288565113130437e-6,5.3232517349776796e-5,1.400025592972739e-5,33987,stmc,0,50,30,0,0,5,female_stmc,South West England
31,female,4.319829237121536e-6,5.288565113130437e-6,5.3232517349776796e-5,1.400025592972739e-5,33987,stmc,0,50,30,0,0,5,female_stmc,South West England
32,female,4.319829237121536e-6,5.288565113130437e-6,5.3232517349776796e-5,1.400025592972739e-5,33987,stmc,0,50,30,0,0,5,female_stmc,South West England
33,female,4.319829237121536e-6,5.288565113130437e-6,5.3232517349776796e-5,1.400025592972739e-5,33987,stmc,0,50,30,0,0,5,female_stmc,South West England
34,female,4.319829237121536e-6,5.288565113130437e-6,5.3232517349776796e-5,1.400025592972739e-5,33987,stmc,0,50,30,0,0,5,female_stmc,South West England
35,female,6.527505816183961e-6,6.6389890048072646e-6,6.375748349734895e-5,1.8304021987352954e-5,32432,stmc,0,50,35,0,0,5,female_stmc,South West England
