age,sex,mort,ylds (years lived with disability)_rate_adaod,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,30524,adaod,0,10,0,0,0,5,male_adaod,South West England
1,male,0,0,0,1e-8,30524,adaod,0,10,0,0,0,5,male_adaod,South West England
2,male,0,0,0,1e-8,30524,adaod,0,10,0,0,0,5,male_adaod,South West England
3,male,0,0,0,1e-8,30524,adaod,0,10,0,0,0,5,male_adaod,South West England
4,male,0,0,0,1e-8,30524,adaod,0,10,0,0,0,5,male_adaod,South West England
5,male,0,0,0,1e-8,32196,adaod,0,10,5,0,0,5,male_adaod,South West England
6,male,0,0,0,1e-8,32196,adaod,0,10,5,0,0,5,male_adaod,South West England
7,male,0,0,0,1e-8,32196,adaod,0,10,5,0,0,5,male_adaod,South West England
8,male,0,0,0,1e-8,32196,adaod,0,10,5,0,0,5,male_adaod,South West England
9,male,0,0,0,1e-8,32196,adaod,0,10,5,0,0,5,male_adaod,South West England
10,male,0,0,0,1e-8,30660,adaod,0,50,10,0,0,5,male_adaod,South West England
11,male,0,0,0,1e-8,30660,adaod,0,50,10,0,0,5,male_adaod,South West England
12,male,0,0,0,1e-8,30660,adaod,0,50,10,0,0,5,male_adaod,South West England
13,male,0,0,0,1e-8,30660,adaod,0,50,10,0,0,5,male_adaod,South West England
14,male,0,0,0,1e-8,30660,adaod,0,50,10,0,0,5,male_adaod,South West England
15,male,0,0,0,1e-8,31440,adaod,0,50,15,0,0,5,male_adaod,South West England
16,male,0,0,0,1e-8,31440,adaod,0,50,15,0,0,5,male_adaod,South West England
17,male,0,0,0,1e-8,31440,adaod,0,50,15,0,0,5,male_adaod,South West England
18,male,0,0,0,1e-8,31440,adaod,0,50,15,0,0,5,male_adaod,South West England
19,male,0,0,0,1e-8,31440,adaod,0,50,15,0,0,5,male_adaod,South West England
20,male,0,0,0,1e-8,33791,adaod,0,50,20,0,0,5,male_adaod,South West England
21,male,0,0,0,1e-8,33791,adaod,0,50,20,0,0,5,male_adaod,South West England
22,male,0,0,0,1e-8,33791,adaod,0,50,20,0,0,5,male_adaod,South West England
23,male,0,0,0,1e-8,33791,adaod,0,50,20,0,0,5,male_adaod,South West England
24,male,0,0,0,1e-8,33791,adaod,0,50,20,0,0,5,male_adaod,South West England
25,male,0,0,0,1e-8,36053,adaod,0,50,25,0,0,5,male_adaod,South West England
26,male,0,0,0,1e-8,36053,adaod,0,50,25,0,0,5,male_adaod,South West England
27,male,0,0,0,1e-8,36053,adaod,0,50,25,0,0,5,male_adaod,South West England
28,male,0,0,0,1e-8,36053,adaod,0,50,25,0,0,5,male_adaod,South West England
29,male,0,0,0,1e-8,36053,adaod,0,50,25,0,0,5,male_adaod,South West England
30,male,0,0,0,1e-8,34723,adaod,0,50,30,0,0,5,male_adaod,South West England
31,male,0,0,0,1e-8,34723,adaod,0,50,30,0,0,5,male_adaod,South West England
32,male,0,0,0,1e-8,34723,adaod,0,50,30,0,0,5,male_adaod,South West England
33,male,0,0,0,1e-8,34723,adaod,0,50,30,0,0,5,male_adaod,South West England
34,male,0,0,0,1e-8,34723,adaod,0,50,30,0,0,5,male_adaod,South West England
35,male,0,0,0,1e-8,33480,adaod,0,50,35,0,0,5,male_adaod,South West England
36,male,0,0,0,1e-8,33480,adaod,0,50,35,0,0,5,male_adaod,South West England
37,male,0,0,0,1e-8,33480,adaod,0,50,35,0,0,5,male_adaod,South West England
38,male,0,0,0,1e-8,33480,adaod,0,50,35,0,0,5,male_adaod,South West England
