age,sex,mort,ylds (years lived with disability)_rate_brsc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,30524,brsc,0,10,0,0,0,5,male_brsc,South West England
1,male,0,0,0,1e-8,30524,brsc,0,10,0,0,0,5,male_brsc,South West England
2,male,0,0,0,1e-8,30524,brsc,0,10,0,0,0,5,male_brsc,South West England
3,male,0,0,0,1e-8,30524,brsc,0,10,0,0,0,5,male_brsc,South West England
4,male,0,0,0,1e-8,30524,brsc,0,10,0,0,0,5,male_brsc,South West England
5,male,0,0,0,1e-8,32196,brsc,0,10,5,0,0,5,male_brsc,South West England
6,male,0,0,0,1e-8,32196,brsc,0,10,5,0,0,5,male_brsc,South West England
7,male,0,0,0,1e-8,32196,brsc,0,10,5,0,0,5,male_brsc,South West England
8,male,0,0,0,1e-8,32196,brsc,0,10,5,0,0,5,male_brsc,South West England
9,male,0,0,0,1e-8,32196,brsc,0,10,5,0,0,5,male_brsc,South West England
10,male,0,0,0,1e-8,30660,brsc,0,50,10,0,0,5,male_brsc,South West England
11,male,0,0,0,1e-8,30660,brsc,0,50,10,0,0,5,male_brsc,South West England
12,male,0,0,0,1e-8,30660,brsc,0,50,10,0,0,5,male_brsc,South West England
13,male,0,0,0,1e-8,30660,brsc,0,50,10,0,0,5,male_brsc,South West England
14,male,0,0,0,1e-8,30660,brsc,0,50,10,0,0,5,male_brsc,South West England
15,male,7.830498393794848e-8,5.046953067548401e-7,5.423413754279427e-6,6.06458210401809e-7,31440,brsc,0,50,15,0,0,5,male_brsc,South West England
16,male,7.830498393794848e-8,5.046953067548401e-7,5.423413754279427e-6,6.06458210401809e-7,31440,brsc,0,50,15,0,0,5,male_brsc,South West England
17,male,7.830498393794848e-8,5.046953067548401e-7,5.423413754279427e-6,6.06458210401809e-7,31440,brsc,0,50,15,0,0,5,male_brsc,South West England
18,male,7.830498393794848e-8,5.046953067548401e-7,5.423413754279427e-6,6.06458210401809e-7,31440,brsc,0,50,15,0,0,5,male_brsc,South West England
19,male,7.830498393794848e-8,5.046953067548401e-7,5.423413754279427e-6,6.06458210401809e-7,31440,brsc,0,50,15,0,0,5,male_brsc,South West England
20,male,8.503857748602934e-8,6.798558143712766e-7,7.79000643518443e-6,7.67389521815995e-7,33791,brsc,0,50,20,0,0,5,male_brsc,South West England
21,male,8.503857748602934e-8,6.798558143712766e-7,7.79000643518443e-6,7.67389521815995e-7,33791,brsc,0,50,20,0,0,5,male_brsc,South West England
22,male,8.503857748602934e-8,6.798558143712766e-7,7.79000643518443e-6,7.67389521815995e-7,33791,brsc,0,50,20,0,0,5,male_brsc,South West England
23,male,8.503857748602934e-8,6.798558143712766e-7,7.79000643518443e-6,7.67389521815995e-7,33791,brsc,0,50,20,0,0,5,male_brsc,South West England
24,male,8.503857748602934e-8,6.798558143712766e-7,7.79000643518443e-6,7.67389521815995e-7,33791,brsc,0,50,20,0,0,5,male_brsc,South West England
25,male,1.0959979047145013e-7,1.0013137945852717e-6,1.1497823267545363e-5,1.1333772665679846e-006,36053,brsc,0,50,25,0,0,5,male_brsc,South West England
26,male,1.0959979047145013e-7,1.0013137945852717e-6,1.1497823267545363e-5,1.1333772665679846e-006,36053,brsc,0,50,25,0,0,5,male_brsc,South West England
27,male,1.0959979047145013e-7,1.0013137945852717e-6,1.1497823267545363e-5,1.1333772665679846e-006,36053,brsc,0,50,25,0,0,5,male_brsc,South West England
28,male,1.0959979047145013e-7,1.0013137945852717e-6,1.1497823267545363e-5,1.1333772665679846e-006,36053,brsc,0,50,25,0,0,5,male_brsc,South West England
29,male,1.0959979047145013e-7,1.0013137945852717e-6,1.1497823267545363e-5,1.1333772665679846e-006,36053,brsc,0,50,25,0,0,5,male_brsc,South West England
30,male,1.8245468449867235e-7,1.0954532119992136e-6,1.2582566373024857e-5,1.2557301180197188e-6,34723,brsc,0,50,30,0,0,5,male_brsc,South West England
31,male,1.8245468449867235e-7,1.0954532119992136e-6,1.2582566373024857e-5,1.2557301180197188e-6,34723,brsc,0,50,30,0,0,5,male_brsc,South West England
32,male,1.8245468449867235e-7,1.0954532119992136e-6,1.2582566373024857e-5,1.2557301180197188e-6,34723,brsc,0,50,30,0,0,5,male_brsc,South West England
33,male,1.8245468449867235e-7,1.0954532119992136e-6,1.2582566373024857e-5,1.2557301180197188e-6,34723,brsc,0,50,30,0,0,5,male_brsc,South West England
34,male,1.8245468449867235e-7,1.0954532119992136e-6,1.2582566373024857e-5,1.2557301180197188e-6,34723,brsc,0,50,30,0,0,5,male_brsc,South West England
35,male,4.719523110095597e-7,2.1952410190737994e-6,2.4189356152178e-5,2.6124209890943078e-6,33480,brsc,0,50,35,0,0,5,male_brsc,South West England
36,male,4.719523110095597e-7,2.1952410190737994e-6,2.4189356152178e-5,2.6124209890943078e-6,33480,brsc,0,50,35,0,0,5,male_brsc,South West England
37,male,4.719523110095597e-7,2.1952410190737994e-6,2.4189356152178e-5,2.6124209890943078e-6,33480,brsc,0,50,35,0,0,5,male_brsc,South West England
38,male,4.719523110095597e-7,2.1952410190737994e-6,2.4189356152178e-5,2.6124209890943078e-6,33480,brsc,0,50,35,0,0,5,male_brsc,South West England
39,male,4.719523110095597e-7,2.1952410190737994e-6,2.4189356152178e-5,2.6124209890943078e-6,33480,brsc,0,50,35,0,0,5,male_brsc,South West England
40,male,9.599101645823503e-7,4.045933510364081e-6,4.368129219386788e-5,4.863691044919623e-6,32756,brsc,0,50,40,0,0,5,male_brsc,South West England
41,male,9.599101645823503e-7,4.045933510364081e-6,4.368129219386788e-5,4.863691044919623e-6,32756,brsc,0,50,40,0,0,5,male_brsc,South West England
42,male,9.599101645823503e-7,4.045933510364081e-6,4.368129219386788e-5,4.863691044919623e-6,32756,brsc,0,50,40,0,0,5,male_brsc,South West England
43,male,9.599101645823503e-7,4.045933510364081e-6,4.368129219386788e-5,4.863691044919623e-6,32756,brsc,0,50,40,0,0,5,male_brsc,South West England
44,male,9.599101645823503e-7,4.045933510364081e-6,4.368129219386788e-5,4.863691044919623e-6,32756,brsc,0,50,40,0,0,5,male_brsc,South West England
45,male,1.6475163192729897e-6,6.082467152695449e-6,6.499291054599718e-5,7.285053154879805e-6,37920,brsc,0,50,45,0,0,5,male_brsc,South West England
46,male,1.6475163192729897e-6,6.082467152695449e-6,6.499291054599718e-5,7.285053154879805e-6,37920,brsc,0,50,45,0,0,5,male_brsc,South West England
