age,sex,mort,ylds (years lived with disability)_rate_carc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,30524,carc,0,10,0,0,0,5,male_carc,South West England
1,male,0,0,0,1e-8,30524,carc,0,10,0,0,0,5,male_carc,South West England
2,male,0,0,0,1e-8,30524,carc,0,10,0,0,0,5,male_carc,South West England
3,male,0,0,0,1e-8,30524,carc,0,10,0,0,0,5,male_carc,South West England
4,male,0,0,0,1e-8,30524,carc,0,10,0,0,0,5,male_carc,South West England
5,male,0,0,0,1e-8,32196,carc,0,10,5,0,0,5,male_carc,South West England
6,male,0,0,0,1e-8,32196,carc,0,10,5,0,0,5,male_carc,South West England
7,male,0,0,0,1e-8,32196,carc,0,10,5,0,0,5,male_carc,South West England
8,male,0,0,0,1e-8,32196,carc,0,10,5,0,0,5,male_carc,South West England
9,male,0,0,0,1e-8,32196,carc,0,10,5,0,0,5,male_carc,South West England
10,male,0,0,0,1e-8,30660,carc,0,50,10,0,0,5,male_carc,South West England
11,male,0,0,0,1e-8,30660,carc,0,50,10,0,0,5,male_carc,South West England
12,male,0,0,0,1e-8,30660,carc,0,50,10,0,0,5,male_carc,South West England
13,male,0,0,0,1e-8,30660,carc,0,50,10,0,0,5,male_carc,South West England
14,male,0,0,0,1e-8,30660,carc,0,50,10,0,0,5,male_carc,South West England
15,male,3.722448444168777e-7,1.571232960600171e-6,1.4139551708666e-5,1.9972519199906987e-6,31440,carc,0,50,15,0,0,5,male_carc,South West England
16,male,3.722448444168777e-7,1.571232960600171e-6,1.4139551708666e-5,1.9972519199906987e-6,31440,carc,0,50,15,0,0,5,male_carc,South West England
17,male,3.722448444168777e-7,1.571232960600171e-6,1.4139551708666e-5,1.9972519199906987e-6,31440,carc,0,50,15,0,0,5,male_carc,South West England
18,male,3.722448444168777e-7,1.571232960600171e-6,1.4139551708666e-5,1.9972519199906987e-6,31440,carc,0,50,15,0,0,5,male_carc,South West England
19,male,3.722448444168777e-7,1.571232960600171e-6,1.4139551708666e-5,1.9972519199906987e-6,31440,carc,0,50,15,0,0,5,male_carc,South West England
