age,sex,mort,ylds (years lived with disability)_rate_brsc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,34171,brsc,0,10,0,0,0,5,female_brsc,West Midlands
1,female,0,0,0,1e-8,34171,brsc,0,10,0,0,0,5,female_brsc,West Midlands
2,female,0,0,0,1e-8,34171,brsc,0,10,0,0,0,5,female_brsc,West Midlands
3,female,0,0,0,1e-8,34171,brsc,0,10,0,0,0,5,female_brsc,West Midlands
4,female,0,0,0,1e-8,34171,brsc,0,10,0,0,0,5,female_brsc,West Midlands
5,female,0,0,0,1e-8,36971,brsc,0,10,5,0,0,5,female_brsc,West Midlands
6,female,0,0,0,1e-8,36971,brsc,0,10,5,0,0,5,female_brsc,West Midlands
7,female,0,0,0,1e-8,36971,brsc,0,10,5,0,0,5,female_brsc,West Midlands
8,female,0,0,0,1e-8,36971,brsc,0,10,5,0,0,5,female_brsc,West Midlands
9,female,0,0,0,1e-8,36971,brsc,0,10,5,0,0,5,female_brsc,West Midlands
10,female,0,0,0,1e-8,34534,brsc,0,50,10,0,0,5,female_brsc,West Midlands
11,female,0,0,0,1e-8,34534,brsc,0,50,10,0,0,5,female_brsc,West Midlands
12,female,0,0,0,1e-8,34534,brsc,0,50,10,0,0,5,female_brsc,West Midlands
13,female,0,0,0,1e-8,34534,brsc,0,50,10,0,0,5,female_brsc,West Midlands
14,female,0,0,0,1e-8,34534,brsc,0,50,10,0,0,5,female_brsc,West Midlands
15,female,2.2166808824181705e-7,2.211005921073701e-6,2.6969392282769733e-5,2.7533714963197584e-6,34104,brsc,0,50,15,0,0,5,female_brsc,West Midlands
16,female,2.2166808824181705e-7,2.211005921073701e-6,2.6969392282769733e-5,2.7533714963197584e-6,34104,brsc,0,50,15,0,0,5,female_brsc,West Midlands
17,female,2.2166808824181705e-7,2.211005921073701e-6,2.6969392282769733e-5,2.7533714963197584e-6,34104,brsc,0,50,15,0,0,5,female_brsc,West Midlands
18,female,2.2166808824181705e-7,2.211005921073701e-6,2.6969392282769733e-5,2.7533714963197584e-6,34104,brsc,0,50,15,0,0,5,female_brsc,West Midlands
19,female,2.2166808824181705e-7,2.211005921073701e-6,2.6969392282769733e-5,2.7533714963197584e-6,34104,brsc,0,50,15,0,0,5,female_brsc,West Midlands
20,female,1.5018817464448387e-6,1.6977616498822397e-5,2.0336744725135838e-4,2.1759809453491427e-5,36760,brsc,0,50,20,0,0,5,female_brsc,West Midlands
21,female,1.5018817464448387e-6,1.6977616498822397e-5,2.0336744725135838e-4,2.1759809453491427e-5,36760,brsc,0,50,20,0,0,5,female_brsc,West Midlands
22,female,1.5018817464448387e-6,1.6977616498822397e-5,2.0336744725135838e-4,2.1759809453491427e-5,36760,brsc,0,50,20,0,0,5,female_brsc,West Midlands
23,female,1.5018817464448387e-6,1.6977616498822397e-5,2.0336744725135838e-4,2.1759809453491427e-5,36760,brsc,0,50,20,0,0,5,female_brsc,West Midlands
24,female,1.5018817464448387e-6,1.6977616498822397e-5,2.0336744725135838e-4,2.1759809453491427e-5,36760,brsc,0,50,20,0,0,5,female_brsc,West Midlands
25,female,1.0547654686002026e-5,1.3273760294733452e-4,0.0015508983270873704,1.765583758471229e-4,39886,brsc,0,50,25,0,0,5,female_brsc,West Midlands
26,female,1.0547654686002026e-5,1.3273760294733452e-4,0.0015508983270873704,1.765583758471229e-4,39886,brsc,0,50,25,0,0,5,female_brsc,West Midlands
27,female,1.0547654686002026e-5,1.3273760294733452e-4,0.0015508983270873704,1.765583758471229e-4,39886,brsc,0,50,25,0,0,5,female_brsc,West Midlands
28,female,1.0547654686002026e-5,1.3273760294733452e-4,0.0015508983270873704,1.765583758471229e-4,39886,brsc,0,50,25,0,0,5,female_brsc,West Midlands
29,female,1.0547654686002026e-5,1.3273760294733452e-4,0.0015508983270873704,1.765583758471229e-4,39886,brsc,0,50,25,0,0,5,female_brsc,West Midlands
30,female,4.131785347030576e-5,3.197485074223984e-4,0.0038388530523475487,4.430469703657615e-4,39261,brsc,0,50,30,0,2,5,female_brsc,West Midlands
31,female,4.131785347030576e-5,3.197485074223984e-4,0.0038388530523475487,4.430469703657615e-4,39261,brsc,0,50,30,0,2,5,female_brsc,West Midlands
