age,sex,mort,ylds (years lived with disability)_rate_carc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,34171,carc,0,10,0,0,0,5,female_carc,West Midlands
1,female,0,0,0,1e-8,34171,carc,0,10,0,0,0,5,female_carc,West Midlands
2,female,0,0,0,1e-8,34171,carc,0,10,0,0,0,5,female_carc,West Midlands
3,female,0,0,0,1e-8,34171,carc,0,10,0,0,0,5,female_carc,West Midlands
4,female,0,0,0,1e-8,34171,carc,0,10,0,0,0,5,female_carc,West Midlands
5,female,0,0,0,1e-8,36971,carc,0,10,5,0,0,5,female_carc,West Midlands
6,female,0,0,0,1e-8,36971,carc,0,10,5,0,0,5,female_carc,West Midlands
7,female,0,0,0,1e-8,36971,carc,0,10,5,0,0,5,female_carc,West Midlands
8,female,0,0,0,1e-8,36971,carc,0,10,5,0,0,5,female_carc,West Midlands
9,female,0,0,0,1e-8,36971,carc,0,10,5,0,0,5,female_carc,West Midlands
10,female,0,0,0,1e-8,34534,carc,0,50,10,0,0,5,female_carc,West Midlands
11,female,0,0,0,1e-8,34534,carc,0,50,10,0,0,5,female_carc,West Midlands
12,female,0,0,0,1e-8,34534,carc,0,50,10,0,0,5,female_carc,West Midlands
13,female,0,0,0,1e-8,34534,carc,0,50,10,0,0,5,female_carc,West Midlands
14,female,0,0,0,1e-8,34534,carc,0,50,10,0,0,5,female_carc,West Midlands
15,female,3.101893704737065e-7,1.1378412355884024e-6,1.0242397760507665e-5,1.4746726380068136e-6,34104,carc,0,50,15,0,0,5,female_carc,West Midlands
16,female,3.101893704737065e-7,1.1378412355884024e-6,1.0242397760507665e-5,1.4746726380068136e-6,34104,carc,0,50,15,0,0,5,female_carc,West Midlands
17,female,3.101893704737065e-7,1.1378412355884024e-6,1.0242397760507665e-5,1.4746726380068136e-6,34104,carc,0,50,15,0,0,5,female_carc,West Midlands
18,female,3.101893704737065e-7,1.1378412355884024e-6,1.0242397760507665e-5,1.4746726380068136e-6,34104,carc,0,50,15,0,0,5,female_carc,West Midlands
19,female,3.101893704737065e-7,1.1378412355884024e-6,1.0242397760507665e-5,1.4746726380068136e-6,34104,carc,0,50,15,0,0,5,female_carc,West Midlands
20,female,1.8318561384345784e-6,7.635904344522478e-6,7.163781600656294e-5,1.017159252347714e-5,36760,carc,0,50,20,0,0,5,female_carc,West Midlands
21,female,1.8318561384345784e-6,7.635904344522478e-6,7.163781600656294e-5,1.017159252347714e-5,36760,carc,0,50,20,0,0,5,female_carc,West Midlands
22,female,1.8318561384345784e-6,7.635904344522478e-6,7.163781600656294e-5,1.017159252347714e-5,36760,carc,0,50,20,0,0,5,female_carc,West Midlands
23,female,1.8318561384345784e-6,7.635904344522478e-6,7.163781600656294e-5,1.017159252347714e-5,36760,carc,0,50,20,0,0,5,female_carc,West Midlands
24,female,1.8318561384345784e-6,7.635904344522478e-6,7.163781600656294e-5,1.017159252347714e-5,36760,carc,0,50,20,0,0,5,female_carc,West Midlands
25,female,4.68313938285974e-6,1.9107343831289546e-5,1.8929898995276564e-4,2.682848720490855e-5,39886,carc,0,50,25,0,0,5,female_carc,West Midlands
26,female,4.68313938285974e-6,1.9107343831289546e-5,1.8929898995276564e-4,2.682848720490855e-5,39886,carc,0,50,25,0,0,5,female_carc,West Midlands
27,female,4.68313938285974e-6,1.9107343831289546e-5,1.8929898995276564e-4,2.682848720490855e-5,39886,carc,0,50,25,0,0,5,female_carc,West Midlands
28,female,4.68313938285974e-6,1.9107343831289546e-5,1.8929898995276564e-4,2.682848720490855e-5,39886,carc,0,50,25,0,0,5,female_carc,West Midlands
29,female,4.68313938285974e-6,1.9107343831289546e-5,1.8929898995276564e-4,2.682848720490855e-5,39886,carc,0,50,25,0,0,5,female_carc,West Midlands
30,female,1.1532091313751046e-5,4.214961647253654e-5,4.5225747466646804e-4,6.469843056949158e-5,39261,carc,0,50,30,0,0,5,female_carc,West Midlands
31,female,1.1532091313751046e-5,4.214961647253654e-5,4.5225747466646804e-4,6.469843056949158e-5,39261,carc,0,50,30,0,0,5,female_carc,West Midlands
32,female,1.1532091313751046e-5,4.214961647253654e-5,4.5225747466646804e-4,6.469843056949158e-5,39261,carc,0,50,30,0,0,5,female_carc,West Midlands
33,female,1.1532091313751046e-5,4.214961647253654e-5,4.5225747466646804e-4,6.469843056949158e-5,39261,carc,0,50,30,0,0,5,female_carc,West Midlands
34,female,1.1532091313751046e-5,4.214961647253654e-5,4.5225747466646804e-4,6.469843056949158e-5,39261,carc,0,50,30,0,0,5,female_carc,West Midlands
35,female,2.051508649142812e-5,6.526256318215922e-5,7.372407023539226e-4,1.0480733376887952e-4,37196,carc,0,50,35,0,1,5,female_carc,West Midlands
36,female,2.051508649142812e-5,6.526256318215922e-5,7.372407023539226e-4,1.0480733376887952e-4,37196,carc,0,50,35,0,1,5,female_carc,West Midlands
37,female,2.051508649142812e-5,6.526256318215922e-5,7.372407023539226e-4,1.0480733376887952e-4,37196,carc,0,50,35,0,1,5,female_carc,West Midlands
38,female,2.051508649142812e-5,6.526256318215922e-5,7.372407023539226e-4,1.0480733376887952e-4,37196,carc,0,50,35,0,1,5,female_carc,West Midlands
39,female,2.051508649142812e-5,6.526256318215922e-5,7.372407023539226e-4,1.0480733376887952e-4,37196,carc,0,50,35,0,1,5,female_carc,West Midlands
40,female,3.5343469241168013e-5,1.0104677651449925e-4,0.00116457958499703,1.6524414040292636e-4,35495,carc,0,50,40,0,1,5,female_carc,West Midlands
41,female,3.5343469241168013e-5,1.0104677651449925e-4,0.00116457958499703,1.6524414040292636e-4,35495,carc,0,50,40,0,1,5,female_carc,West Midlands
42,female,3.5343469241168013e-5,1.0104677651449925e-4,0.00116457958499703,1.6524414040292636e-4,35495,carc,0,50,40,0,1,5,female_carc,West Midlands
43,female,3.5343469241168013e-5,1.0104677651449925e-4,0.00116457958499703,1.6524414040292636e-4,35495,carc,0,50,40,0,1,5,female_carc,West Midlands
44,female,3.5343469241168013e-5,1.0104677651449925e-4,0.00116457958499703,1.6524414040292636e-4,35495,carc,0,50,40,0,1,5,female_carc,West Midlands
45,female,5.929697311701641e-5,1.3210457358618885e-4,0.0015324991333863724,2.2341517417167746e-4,41203,carc,0,50,45,0,2,5,female_carc,West Midlands
46,female,5.929697311701641e-5,1.3210457358618885e-4,0.0015324991333863724,2.2341517417167746e-4,41203,carc,0,50,45,0,2,5,female_carc,West Midlands
47,female,5.929697311701641e-5,1.3210457358618885e-4,0.0015324991333863724,2.2341517417167746e-4,41203,carc,0,50,45,0,2,5,female_carc,West Midlands
48,female,5.929697311701641e-5,1.3210457358618885e-4,0.0015324991333863724,2.2341517417167746e-4,41203,carc,0,50,45,0,2,5,female_carc,West Midlands
49,female,5.929697311701641e-5,1.3210457358618885e-4,0.0015324991333863724,2.2341517417167746e-4,41203,carc,0,50,45,0,2,5,female_carc,West Midlands
50,female,1.1228925179119557e-4,2.3158193134331867e-4,0.002771450133870513,4.068963949343697e-4,41177,carc,0,50,50,0,5,5,female_carc,West Midlands
51,female,1.1228925179119557e-4,2.3158193134331867e-4,0.002771450133870513,4.068963949343697e-4,41177,carc,0,50,50,0,5,5,female_carc,West Midlands
52,female,1.1228925179119557e-4,2.3158193134331867e-4,0.002771450133870513,4.068963949343697e-4,41177,carc,0,50,50,0,5,5,female_carc,West Midlands
53,female,1.1228925179119557e-4,2.3158193134331867e-4,0.002771450133870513,4.068963949343697e-4,41177,carc,0,50,50,0,5,5,female_carc,West Midlands
