age,sex,mort,ylds (years lived with disability)_rate_iscs,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,6.904785718042235e-7,3.117447989797403e-5,2.1609575716948845e-4,1.0157323626561196e-4,34171,iscs,0,10,0,0,0,5,female_iscs,West Midlands
1,female,6.904785718042235e-7,3.117447989797403e-5,2.1609575716948845e-4,1.0157323626561196e-4,34171,iscs,0,10,0,0,0,5,female_iscs,West Midlands
2,female,6.904785718042235e-7,3.117447989797403e-5,2.1609575716948845e-4,1.0157323626561196e-4,34171,iscs,0,10,0,0,0,5,female_iscs,West Midlands
3,female,6.904785718042235e-7,3.117447989797403e-5,2.1609575716948845e-4,1.0157323626561196e-4,34171,iscs,0,10,0,0,0,5,female_iscs,West Midlands
4,female,6.904785718042235e-7,3.117447989797403e-5,2.1609575716948845e-4,1.0157323626561196e-4,34171,iscs,0,10,0,0,0,5,female_iscs,West Midlands
5,female,9.045195505368336e-8,7.407591525274206e-5,5.266476866486255e-4,3.6008913699610606e-5,36971,iscs,0,10,5,0,0,5,female_iscs,West Midlands
6,female,9.045195505368336e-8,7.407591525274206e-5,5.266476866486255e-4,3.6008913699610606e-5,36971,iscs,0,10,5,0,0,5,female_iscs,West Midlands
7,female,9.045195505368336e-8,7.407591525274206e-5,5.266476866486255e-4,3.6008913699610606e-5,36971,iscs,0,10,5,0,0,5,female_iscs,West Midlands
8,female,9.045195505368336e-8,7.407591525274206e-5,5.266476866486255e-4,3.6008913699610606e-5,36971,iscs,0,10,5,0,0,5,female_iscs,West Midlands
9,female,9.045195505368336e-8,7.407591525274206e-5,5.266476866486255e-4,3.6008913699610606e-5,36971,iscs,0,10,5,0,0,5,female_iscs,West Midlands
10,female,8.636791307859793e-8,1.0869851138572688e-4,7.768290311977275e-4,3.2201164064705444e-5,34534,iscs,0,50,10,0,0,5,female_iscs,West Midlands
11,female,8.636791307859793e-8,1.0869851138572688e-4,7.768290311977275e-4,3.2201164064705444e-5,34534,iscs,0,50,10,0,0,5,female_iscs,West Midlands
12,female,8.636791307859793e-8,1.0869851138572688e-4,7.768290311977275e-4,3.2201164064705444e-5,34534,iscs,0,50,10,0,0,5,female_iscs,West Midlands
13,female,8.636791307859793e-8,1.0869851138572688e-4,7.768290311977275e-4,3.2201164064705444e-5,34534,iscs,0,50,10,0,0,5,female_iscs,West Midlands
14,female,8.636791307859793e-8,1.0869851138572688e-4,7.768290311977275e-4,3.2201164064705444e-5,34534,iscs,0,50,10,0,0,5,female_iscs,West Midlands
15,female,2.839207802698383e-7,1.4088504349233928e-4,0.0010161798531648724,2.907549144275897e-5,34104,iscs,0,50,15,0,0,5,female_iscs,West Midlands
16,female,2.839207802698383e-7,1.4088504349233928e-4,0.0010161798531648724,2.907549144275897e-5,34104,iscs,0,50,15,0,0,5,female_iscs,West Midlands
17,female,2.839207802698383e-7,1.4088504349233928e-4,0.0010161798531648724,2.907549144275897e-5,34104,iscs,0,50,15,0,0,5,female_iscs,West Midlands
18,female,2.839207802698383e-7,1.4088504349233928e-4,0.0010161798531648724,2.907549144275897e-5,34104,iscs,0,50,15,0,0,5,female_iscs,West Midlands
19,female,2.839207802698383e-7,1.4088504349233928e-4,0.0010161798531648724,2.907549144275897e-5,34104,iscs,0,50,15,0,0,5,female_iscs,West Midlands
20,female,8.041863317082008e-7,1.7556233051334598e-4,0.0012685147196561555,3.415984024003399e-5,36760,iscs,0,50,20,0,0,5,female_iscs,West Midlands
