age,sex,mort,ylds (years lived with disability)_rate_ishd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,34171,ishd,0,10,0,0,0,5,female_ishd,West Midlands
1,female,0,0,0,1e-8,34171,ishd,0,10,0,0,0,5,female_ishd,West Midlands
2,female,0,0,0,1e-8,34171,ishd,0,10,0,0,0,5,female_ishd,West Midlands
3,female,0,0,0,1e-8,34171,ishd,0,10,0,0,0,5,female_ishd,West Midlands
4,female,0,0,0,1e-8,34171,ishd,0,10,0,0,0,5,female_ishd,West Midlands
5,female,0,0,0,1e-8,36971,ishd,0,10,5,0,0,5,female_ishd,West Midlands
6,female,0,0,0,1e-8,36971,ishd,0,10,5,0,0,5,female_ishd,West Midlands
7,female,0,0,0,1e-8,36971,ishd,0,10,5,0,0,5,female_ishd,West Midlands
8,female,0,0,0,1e-8,36971,ishd,0,10,5,0,0,5,female_ishd,West Midlands
9,female,0,0,0,1e-8,36971,ishd,0,10,5,0,0,5,female_ishd,West Midlands
10,female,0,0,0,1e-8,34534,ishd,0,50,10,0,0,5,female_ishd,West Midlands
11,female,0,0,0,1e-8,34534,ishd,0,50,10,0,0,5,female_ishd,West Midlands
12,female,0,0,0,1e-8,34534,ishd,0,50,10,0,0,5,female_ishd,West Midlands
13,female,0,0,0,1e-8,34534,ishd,0,50,10,0,0,5,female_ishd,West Midlands
14,female,0,0,0,1e-8,34534,ishd,0,50,10,0,0,5,female_ishd,West Midlands
15,female,6.278515843871166e-7,4.442435193865458e-6,1.1926829862411106e-4,1.6189672646815096e-5,34104,ishd,0,50,15,0,0,5,female_ishd,West Midlands
16,female,6.278515843871166e-7,4.442435193865458e-6,1.1926829862411106e-4,1.6189672646815096e-5,34104,ishd,0,50,15,0,0,5,female_ishd,West Midlands
17,female,6.278515843871166e-7,4.442435193865458e-6,1.1926829862411106e-4,1.6189672646815096e-5,34104,ishd,0,50,15,0,0,5,female_ishd,West Midlands
18,female,6.278515843871166e-7,4.442435193865458e-6,1.1926829862411106e-4,1.6189672646815096e-5,34104,ishd,0,50,15,0,0,5,female_ishd,West Midlands
19,female,6.278515843871166e-7,4.442435193865458e-6,1.1926829862411106e-4,1.6189672646815096e-5,34104,ishd,0,50,15,0,0,5,female_ishd,West Midlands
20,female,2.1941573261465207e-6,1.918114916576335e-5,3.8811494817276475e-4,3.764313079595467e-5,36760,ishd,0,50,20,0,0,5,female_ishd,West Midlands
21,female,2.1941573261465207e-6,1.918114916576335e-5,3.8811494817276475e-4,3.764313079595467e-5,36760,ishd,0,50,20,0,0,5,female_ishd,West Midlands
22,female,2.1941573261465207e-6,1.918114916576335e-5,3.8811494817276475e-4,3.764313079595467e-5,36760,ishd,0,50,20,0,0,5,female_ishd,West Midlands
23,female,2.1941573261465207e-6,1.918114916576335e-5,3.8811494817276475e-4,3.764313079595467e-5,36760,ishd,0,50,20,0,0,5,female_ishd,West Midlands
24,female,2.1941573261465207e-6,1.918114916576335e-5,3.8811494817276475e-4,3.764313079595467e-5,36760,ishd,0,50,20,0,0,5,female_ishd,West Midlands
25,female,3.492073723470568e-6,3.893351382698584e-5,8.256605036950148e-4,4.810534580777429e-5,39886,ishd,0,50,25,0,0,5,female_ishd,West Midlands
26,female,3.492073723470568e-6,3.893351382698584e-5,8.256605036950148e-4,4.810534580777429e-5,39886,ishd,0,50,25,0,0,5,female_ishd,West Midlands
27,female,3.492073723470568e-6,3.893351382698584e-5,8.256605036950148e-4,4.810534580777429e-5,39886,ishd,0,50,25,0,0,5,female_ishd,West Midlands
28,female,3.492073723470568e-6,3.893351382698584e-5,8.256605036950148e-4,4.810534580777429e-5,39886,ishd,0,50,25,0,0,5,female_ishd,West Midlands
29,female,3.492073723470568e-6,3.893351382698584e-5,8.256605036950148e-4,4.810534580777429e-5,39886,ishd,0,50,25,0,0,5,female_ishd,West Midlands
30,female,1.0550968713690378e-5,7.452084324044422e-5,0.0016069185586259369,1.0231592137849311e-4,39261,ishd,0,50,30,0,0,5,female_ishd,West Midlands
31,female,1.0550968713690378e-5,7.452084324044422e-5,0.0016069185586259369,1.0231592137849311e-4,39261,ishd,0,50,30,0,0,5,female_ishd,West Midlands
32,female,1.0550968713690378e-5,7.452084324044422e-5,0.0016069185586259369,1.0231592137849311e-4,39261,ishd,0,50,30,0,0,5,female_ishd,West Midlands
33,female,1.0550968713690378e-5,7.452084324044422e-5,0.0016069185586259369,1.0231592137849311e-4,39261,ishd,0,50,30,0,0,5,female_ishd,West Midlands
34,female,1.0550968713690378e-5,7.452084324044422e-5,0.0016069185586259369,1.0231592137849311e-4,39261,ishd,0,50,30,0,0,5,female_ishd,West Midlands
35,female,2.4252017363950536e-5,1.33814917851407e-4,0.0031373022464358086,2.00282628350063e-4,37196,ishd,0,50,35,0,1,5,female_ishd,West Midlands
36,female,2.4252017363950536e-5,1.33814917851407e-4,0.0031373022464358086,2.00282628350063e-4,37196,ishd,0,50,35,0,1,5,female_ishd,West Midlands
37,female,2.4252017363950536e-5,1.33814917851407e-4,0.0031373022464358086,2.00282628350063e-4,37196,ishd,0,50,35,0,1,5,female_ishd,West Midlands
38,female,2.4252017363950536e-5,1.33814917851407e-4,0.0031373022464358086,2.00282628350063e-4,37196,ishd,0,50,35,0,1,5,female_ishd,West Midlands
39,female,2.4252017363950536e-5,1.33814917851407e-4,0.0031373022464358086,2.00282628350063e-4,37196,ishd,0,50,35,0,1,5,female_ishd,West Midlands
40,female,4.7792276973909546e-5,2.465854044352507e-4,0.005983857156104098,3.906055163721255e-4,35495,ishd,0,50,40,0,2,5,female_ishd,West Midlands
41,female,4.7792276973909546e-5,2.465854044352507e-4,0.005983857156104098,3.906055163721255e-4,35495,ishd,0,50,40,0,2,5,female_ishd,West Midlands
42,female,4.7792276973909546e-5,2.465854044352507e-4,0.005983857156104098,3.906055163721255e-4,35495,ishd,0,50,40,0,2,5,female_ishd,West Midlands
43,female,4.7792276973909546e-5,2.465854044352507e-4,0.005983857156104098,3.906055163721255e-4,35495,ishd,0,50,40,0,2,5,female_ishd,West Midlands
44,female,4.7792276973909546e-5,2.465854044352507e-4,0.005983857156104098,3.906055163721255e-4,35495,ishd,0,50,40,0,2,5,female_ishd,West Midlands
45,female,8.334992068215366e-5,4.1290404233100395e-4,0.01030036625462816,6.733931845957639e-4,41203,ishd,0,50,45,1,3,5,female_ishd,West Midlands
46,female,8.334992068215366e-5,4.1290404233100395e-4,0.01030036625462816,6.733931845957639e-4,41203,ishd,0,50,45,1,3,5,female_ishd,West Midlands
47,female,8.334992068215366e-5,4.1290404233100395e-4,0.01030036625462816,6.733931845957639e-4,41203,ishd,0,50,45,1,3,5,female_ishd,West Midlands
48,female,8.334992068215366e-5,4.1290404233100395e-4,0.01030036625462816,6.733931845957639e-4,41203,ishd,0,50,45,1,3,5,female_ishd,West Midlands
49,female,8.334992068215366e-5,4.1290404233100395e-4,0.01030036625462816,6.733931845957639e-4,41203,ishd,0,50,45,1,3,5,female_ishd,West Midlands
50,female,1.633506898669446e-4,6.276854629516476e-4,0.016536503041183783,0.0011871967656090644,41177,ishd,0,50,50,1,7,5,female_ishd,West Midlands
51,female,1.633506898669446e-4,6.276854629516476e-4,0.016536503041183783,0.0011871967656090644,41177,ishd,0,50,50,1,7,5,female_ishd,West Midlands
52,female,1.633506898669446e-4,6.276854629516476e-4,0.016536503041183783,0.0011871967656090644,41177,ishd,0,50,50,1,7,5,female_ishd,West Midlands
53,female,1.633506898669446e-4,6.276854629516476e-4,0.016536503041183783,0.0011871967656090644,41177,ishd,0,50,50,1,7,5,female_ishd,West Midlands
54,female,1.633506898669446e-4,6.276854629516476e-4,0.016536503041183783,0.0011871967656090644,41177,ishd,0,50,50,1,7,5,female_ishd,West Midlands
55,female,2.8399253324142145e-4,9.117123466759187e-4,0.02544655950637273,0.0019318609857970133,35779,ishd,0,50,55,1,10,5,female_ishd,West Midlands
56,female,2.8399253324142145e-4,9.117123466759187e-4,0.02544655950637273,0.0019318609857970133,35779,ishd,0,50,55,1,10,5,female_ishd,West Midlands
57,female,2.8399253324142145e-4,9.117123466759187e-4,0.02544655950637273,0.0019318609857970133,35779,ishd,0,50,55,1,10,5,female_ishd,West Midlands
58,female,2.8399253324142145e-4,9.117123466759187e-4,0.02544655950637273,0.0019318609857970133,35779,ishd,0,50,55,1,10,5,female_ishd,West Midlands
59,female,2.8399253324142145e-4,9.117123466759187e-4,0.02544655950637273,0.0019318609857970133,35779,ishd,0,50,55,1,10,5,female_ishd,West Midlands
60,female,5.072585843551451e-4,0.0013196190792599152,0.03807501092464604,0.0035072640138460883,31469,ishd,0,50,60,2,16,5,female_ishd,West Midlands
61,female,5.072585843551451e-4,0.0013196190792599152,0.03807501092464604,0.0035072640138460883,31469,ishd,0,50,60,2,16,5,female_ishd,West Midlands
62,female,5.072585843551451e-4,0.0013196190792599152,0.03807501092464604,0.0035072640138460883,31469,ishd,0,50,60,2,16,5,female_ishd,West Midlands
63,female,5.072585843551451e-4,0.0013196190792599152,0.03807501092464604,0.0035072640138460883,31469,ishd,0,50,60,2,16,5,female_ishd,West Midlands
64,female,5.072585843551451e-4,0.0013196190792599152,0.03807501092464604,0.0035072640138460883,31469,ishd,0,50,60,2,16,5,female_ishd,West Midlands
65,female,9.292594316279758e-4,0.0019799544279876283,0.06046746555890761,0.005909518767080837,31341,ishd,0,50,65,3,29,5,female_ishd,West Midlands
66,female,9.292594316279758e-4,0.0019799544279876283,0.06046746555890761,0.005909518767080837,31341,ishd,0,50,65,3,29,5,female_ishd,West Midlands
67,female,9.292594316279758e-4,0.0019799544279876283,0.06046746555890761,0.005909518767080837,31341,ishd,0,50,65,3,29,5,female_ishd,West Midlands
68,female,9.292594316279758e-4,0.0019799544279876283,0.06046746555890761,0.005909518767080837,31341,ishd,0,50,65,3,29,5,female_ishd,West Midlands
69,female,9.292594316279758e-4,0.0019799544279876283,0.06046746555890761,0.005909518767080837,31341,ishd,0,50,65,3,29,5,female_ishd,West Midlands
70,female,0.0015503070870416442,0.0028266325013135045,0.08785511946257929,0.010206749441765717,28629,ishd,0,50,70,4,44,5,female_ishd,West Midlands
71,female,0.0015503070870416442,0.0028266325013135045,0.08785511946257929,0.010206749441765717,28629,ishd,0,50,70,4,44,5,female_ishd,West Midlands
72,female,0.0015503070870416442,0.0028266325013135045,0.08785511946257929,0.010206749441765717,28629,ishd,0,50,70,4,44,5,female_ishd,West Midlands
73,female,0.0015503070870416442,0.0028266325013135045,0.08785511946257929,0.010206749441765717,28629,ishd,0,50,70,4,44,5,female_ishd,West Midlands
74,female,0.0015503070870416442,0.0028266325013135045,0.08785511946257929,0.010206749441765717,28629,ishd,0,50,70,4,44,5,female_ishd,West Midlands
75,female,0.003132353689496137,0.0037460029565696265,0.1219300629870593,0.016416598320237594,21447,ishd,0,50,75,6,67,5,female_ishd,West Midlands
76,female,0.003132353689496137,0.0037460029565696265,0.1219300629870593,0.016416598320237594,21447,ishd,0,50,75,6,67,5,female_ishd,West Midlands
77,female,0.003132353689496137,0.0037460029565696265,0.1219300629870593,0.016416598320237594,21447,ishd,0,50,75,6,67,5,female_ishd,West Midlands
78,female,0.003132353689496137,0.0037460029565696265,0.1219300629870593,0.016416598320237594,21447,ishd,0,50,75,6,67,5,female_ishd,West Midlands
79,female,0.003132353689496137,0.0037460029565696265,0.1219300629870593,0.016416598320237594,21447,ishd,0,50,75,6,67,5,female_ishd,West Midlands
80,female,0.006368423663902499,0.004732884297539618,0.15258655590331396,0.023344953357694972,16377,ishd,0,20,80,3,104,5,female_ishd,West Midlands
81,female,0.006368423663902499,0.004732884297539618,0.15258655590331396,0.023344953357694972,16377,ishd,0,20,80,3,104,5,female_ishd,West Midlands
82,female,0.006368423663902499,0.004732884297539618,0.15258655590331396,0.023344953357694972,16377,ishd,0,20,80,3,104,5,female_ishd,West Midlands
83,female,0.006368423663902499,0.004732884297539618,0.15258655590331396,0.023344953357694972,16377,ishd,0,20,80,3,104,5,female_ishd,West Midlands
84,female,0.006368423663902499,0.004732884297539618,0.15258655590331396,0.023344953357694972,16377,ishd,0,20,80,3,104,5,female_ishd,West Midlands
85,female,0.014108390026351881,0.005458099649599437,0.16884769302771233,0.03096162743404777,10787,ishd,0,20,85,3,151,5,female_ishd,West Midlands
86,female,0.014108390026351881,0.005458099649599437,0.16884769302771233,0.03096162743404777,10787,ishd,0,20,85,3,151,5,female_ishd,West Midlands
87,female,0.014108390026351881,0.005458099649599437,0.16884769302771233,0.03096162743404777,10787,ishd,0,20,85,3,151,5,female_ishd,West Midlands
88,female,0.014108390026351881,0.005458099649599437,0.16884769302771233,0.03096162743404777,10787,ishd,0,20,85,3,151,5,female_ishd,West Midlands
89,female,0.014108390026351881,0.005458099649599437,0.16884769302771233,0.03096162743404777,10787,ishd,0,20,85,3,151,5,female_ishd,West Midlands
90,female,0.024061877295649004,0.005397581732724192,0.15290896928451067,0.03663543629873297,5333,ishd,0,10,90,2,127,5,female_ishd,West Midlands
