age,sex,mort,ylds (years lived with disability)_rate_adaod,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,35979,adaod,0,10,0,0,0,5,male_adaod,West Midlands
1,male,0,0,0,1e-8,35979,adaod,0,10,0,0,0,5,male_adaod,West Midlands
2,male,0,0,0,1e-8,35979,adaod,0,10,0,0,0,5,male_adaod,West Midlands
3,male,0,0,0,1e-8,35979,adaod,0,10,0,0,0,5,male_adaod,West Midlands
4,male,0,0,0,1e-8,35979,adaod,0,10,0,0,0,5,male_adaod,West Midlands
5,male,0,0,0,1e-8,38768,adaod,0,10,5,0,0,5,male_adaod,West Midlands
6,male,0,0,0,1e-8,38768,adaod,0,10,5,0,0,5,male_adaod,West Midlands
7,male,0,0,0,1e-8,38768,adaod,0,10,5,0,0,5,male_adaod,West Midlands
8,male,0,0,0,1e-8,38768,adaod,0,10,5,0,0,5,male_adaod,West Midlands
9,male,0,0,0,1e-8,38768,adaod,0,10,5,0,0,5,male_adaod,West Midlands
10,male,0,0,0,1e-8,36298,adaod,0,50,10,0,0,5,male_adaod,West Midlands
11,male,0,0,0,1e-8,36298,adaod,0,50,10,0,0,5,male_adaod,West Midlands
12,male,0,0,0,1e-8,36298,adaod,0,50,10,0,0,5,male_adaod,West Midlands
13,male,0,0,0,1e-8,36298,adaod,0,50,10,0,0,5,male_adaod,West Midlands
14,male,0,0,0,1e-8,36298,adaod,0,50,10,0,0,5,male_adaod,West Midlands
15,male,0,0,0,1e-8,35985,adaod,0,50,15,0,0,5,male_adaod,West Midlands
16,male,0,0,0,1e-8,35985,adaod,0,50,15,0,0,5,male_adaod,West Midlands
17,male,0,0,0,1e-8,35985,adaod,0,50,15,0,0,5,male_adaod,West Midlands
18,male,0,0,0,1e-8,35985,adaod,0,50,15,0,0,5,male_adaod,West Midlands
19,male,0,0,0,1e-8,35985,adaod,0,50,15,0,0,5,male_adaod,West Midlands
20,male,0,0,0,1e-8,38125,adaod,0,50,20,0,0,5,male_adaod,West Midlands
21,male,0,0,0,1e-8,38125,adaod,0,50,20,0,0,5,male_adaod,West Midlands
22,male,0,0,0,1e-8,38125,adaod,0,50,20,0,0,5,male_adaod,West Midlands
23,male,0,0,0,1e-8,38125,adaod,0,50,20,0,0,5,male_adaod,West Midlands
24,male,0,0,0,1e-8,38125,adaod,0,50,20,0,0,5,male_adaod,West Midlands
25,male,0,0,0,1e-8,40740,adaod,0,50,25,0,0,5,male_adaod,West Midlands
26,male,0,0,0,1e-8,40740,adaod,0,50,25,0,0,5,male_adaod,West Midlands
27,male,0,0,0,1e-8,40740,adaod,0,50,25,0,0,5,male_adaod,West Midlands
28,male,0,0,0,1e-8,40740,adaod,0,50,25,0,0,5,male_adaod,West Midlands
29,male,0,0,0,1e-8,40740,adaod,0,50,25,0,0,5,male_adaod,West Midlands
30,male,0,0,0,1e-8,39996,adaod,0,50,30,0,0,5,male_adaod,West Midlands
31,male,0,0,0,1e-8,39996,adaod,0,50,30,0,0,5,male_adaod,West Midlands
32,male,0,0,0,1e-8,39996,adaod,0,50,30,0,0,5,male_adaod,West Midlands
33,male,0,0,0,1e-8,39996,adaod,0,50,30,0,0,5,male_adaod,West Midlands
34,male,0,0,0,1e-8,39996,adaod,0,50,30,0,0,5,male_adaod,West Midlands
35,male,0,0,0,1e-8,37672,adaod,0,50,35,0,0,5,male_adaod,West Midlands
36,male,0,0,0,1e-8,37672,adaod,0,50,35,0,0,5,male_adaod,West Midlands
37,male,0,0,0,1e-8,37672,adaod,0,50,35,0,0,5,male_adaod,West Midlands
38,male,0,0,0,1e-8,37672,adaod,0,50,35,0,0,5,male_adaod,West Midlands
39,male,0,0,0,1e-8,37672,adaod,0,50,35,0,0,5,male_adaod,West Midlands
40,male,1.862301781406027e-6,7.935211143606479e-6,5.9600931943493146e-5,3.546129707346551e-5,35953,adaod,0,50,40,0,0,5,male_adaod,West Midlands
41,male,1.862301781406027e-6,7.935211143606479e-6,5.9600931943493146e-5,3.546129707346551e-5,35953,adaod,0,50,40,0,0,5,male_adaod,West Midlands
42,male,1.862301781406027e-6,7.935211143606479e-6,5.9600931943493146e-5,3.546129707346551e-5,35953,adaod,0,50,40,0,0,5,male_adaod,West Midlands
43,male,1.862301781406027e-6,7.935211143606479e-6,5.9600931943493146e-5,3.546129707346551e-5,35953,adaod,0,50,40,0,0,5,male_adaod,West Midlands
44,male,1.862301781406027e-6,7.935211143606479e-6,5.9600931943493146e-5,3.546129707346551e-5,35953,adaod,0,50,40,0,0,5,male_adaod,West Midlands
45,male,6.3109969659917054e-6,5.496583366145874e-5,4.2191446341784795e-4,1.1814930174282576e-4,40917,adaod,0,50,45,0,0,5,male_adaod,West Midlands
46,male,6.3109969659917054e-6,5.496583366145874e-5,4.2191446341784795e-4,1.1814930174282576e-4,40917,adaod,0,50,45,0,0,5,male_adaod,West Midlands
47,male,6.3109969659917054e-6,5.496583366145874e-5,4.2191446341784795e-4,1.1814930174282576e-4,40917,adaod,0,50,45,0,0,5,male_adaod,West Midlands
48,male,6.3109969659917054e-6,5.496583366145874e-5,4.2191446341784795e-4,1.1814930174282576e-4,40917,adaod,0,50,45,0,0,5,male_adaod,West Midlands
49,male,6.3109969659917054e-6,5.496583366145874e-5,4.2191446341784795e-4,1.1814930174282576e-4,40917,adaod,0,50,45,0,0,5,male_adaod,West Midlands
50,male,1.5425691944464758e-5,1.5021070885529156e-4,0.0011966044223372379,2.028684629993522e-4,40732,adaod,0,50,50,0,1,5,male_adaod,West Midlands
51,male,1.5425691944464758e-5,1.5021070885529156e-4,0.0011966044223372379,2.028684629993522e-4,40732,adaod,0,50,50,0,1,5,male_adaod,West Midlands
52,male,1.5425691944464758e-5,1.5021070885529156e-4,0.0011966044223372379,2.028684629993522e-4,40732,adaod,0,50,50,0,1,5,male_adaod,West Midlands
53,male,1.5425691944464758e-5,1.5021070885529156e-4,0.0011966044223372379,2.028684629993522e-4,40732,adaod,0,50,50,0,1,5,male_adaod,West Midlands
54,male,1.5425691944464758e-5,1.5021070885529156e-4,0.0011966044223372379,2.028684629993522e-4,40732,adaod,0,50,50,0,1,5,male_adaod,West Midlands
55,male,3.833634682608072e-5,3.0148770387445636e-4,0.0024780971089780773,3.8095607270401295e-4,35430,adaod,0,50,55,0,1,5,male_adaod,West Midlands
56,male,3.833634682608072e-5,3.0148770387445636e-4,0.0024780971089780773,3.8095607270401295e-4,35430,adaod,0,50,55,0,1,5,male_adaod,West Midlands
57,male,3.833634682608072e-5,3.0148770387445636e-4,0.0024780971089780773,3.8095607270401295e-4,35430,adaod,0,50,55,0,1,5,male_adaod,West Midlands
58,male,3.833634682608072e-5,3.0148770387445636e-4,0.0024780971089780773,3.8095607270401295e-4,35430,adaod,0,50,55,0,1,5,male_adaod,West Midlands
59,male,3.833634682608072e-5,3.0148770387445636e-4,0.0024780971089780773,3.8095607270401295e-4,35430,adaod,0,50,55,0,1,5,male_adaod,West Midlands
60,male,1.0106109996495878e-4,6.121349653289993e-4,0.005111569564950398,8.432996797487564e-4,30814,adaod,0,50,60,0,3,5,male_adaod,West Midlands
61,male,1.0106109996495878e-4,6.121349653289993e-4,0.005111569564950398,8.432996797487564e-4,30814,adaod,0,50,60,0,3,5,male_adaod,West Midlands
62,male,1.0106109996495878e-4,6.121349653289993e-4,0.005111569564950398,8.432996797487564e-4,30814,adaod,0,50,60,0,3,5,male_adaod,West Midlands
63,male,1.0106109996495878e-4,6.121349653289993e-4,0.005111569564950398,8.432996797487564e-4,30814,adaod,0,50,60,0,3,5,male_adaod,West Midlands
64,male,1.0106109996495878e-4,6.121349653289993e-4,0.005111569564950398,8.432996797487564e-4,30814,adaod,0,50,60,0,3,5,male_adaod,West Midlands
65,male,2.6489800830986686e-4,0.0012820045612891256,0.010845811304539257,0.001902242281570986,30100,adaod,0,50,65,1,8,5,male_adaod,West Midlands
66,male,2.6489800830986686e-4,0.0012820045612891256,0.010845811304539257,0.001902242281570986,30100,adaod,0,50,65,1,8,5,male_adaod,West Midlands
67,male,2.6489800830986686e-4,0.0012820045612891256,0.010845811304539257,0.001902242281570986,30100,adaod,0,50,65,1,8,5,male_adaod,West Midlands
68,male,2.6489800830986686e-4,0.0012820045612891256,0.010845811304539257,0.001902242281570986,30100,adaod,0,50,65,1,8,5,male_adaod,West Midlands
69,male,2.6489800830986686e-4,0.0012820045612891256,0.010845811304539257,0.001902242281570986,30100,adaod,0,50,65,1,8,5,male_adaod,West Midlands
70,male,6.909992031718669e-4,0.003292982198296388,0.023997214959010794,0.004591849238278017,26536,adaod,0,50,70,1,18,5,male_adaod,West Midlands
71,male,6.909992031718669e-4,0.003292982198296388,0.023997214959010794,0.004591849238278017,26536,adaod,0,50,70,1,18,5,male_adaod,West Midlands
72,male,6.909992031718669e-4,0.003292982198296388,0.023997214959010794,0.004591849238278017,26536,adaod,0,50,70,1,18,5,male_adaod,West Midlands
73,male,6.909992031718669e-4,0.003292982198296388,0.023997214959010794,0.004591849238278017,26536,adaod,0,50,70,1,18,5,male_adaod,West Midlands
74,male,6.909992031718669e-4,0.003292982198296388,0.023997214959010794,0.004591849238278017,26536,adaod,0,50,70,1,18,5,male_adaod,West Midlands
75,male,0.0023486249781811716,0.0072082418926309256,0.05350545798149216,0.010322464713978049,18782,adaod,0,50,75,3,44,5,male_adaod,West Midlands
76,male,0.0023486249781811716,0.0072082418926309256,0.05350545798149216,0.010322464713978049,18782,adaod,0,50,75,3,44,5,male_adaod,West Midlands
77,male,0.0023486249781811716,0.0072082418926309256,0.05350545798149216,0.010322464713978049,18782,adaod,0,50,75,3,44,5,male_adaod,West Midlands
78,male,0.0023486249781811716,0.0072082418926309256,0.05350545798149216,0.010322464713978049,18782,adaod,0,50,75,3,44,5,male_adaod,West Midlands
79,male,0.0023486249781811716,0.0072082418926309256,0.05350545798149216,0.010322464713978049,18782,adaod,0,50,75,3,44,5,male_adaod,West Midlands
80,male,0.006449180617720886,0.0175563224066487,0.10737026789624732,0.018490888593390268,12675,adaod,0,20,80,2,81,5,male_adaod,West Midlands
81,male,0.006449180617720886,0.0175563224066487,0.10737026789624732,0.018490888593390268,12675,adaod,0,20,80,2,81,5,male_adaod,West Midlands
82,male,0.006449180617720886,0.0175563224066487,0.10737026789624732,0.018490888593390268,12675,adaod,0,20,80,2,81,5,male_adaod,West Midlands
83,male,0.006449180617720886,0.0175563224066487,0.10737026789624732,0.018490888593390268,12675,adaod,0,20,80,2,81,5,male_adaod,West Midlands
84,male,0.006449180617720886,0.0175563224066487,0.10737026789624732,0.018490888593390268,12675,adaod,0,20,80,2,81,5,male_adaod,West Midlands
85,male,0.017312363786320024,0.02889666442667639,0.18132474303300838,0.027299826032892587,6746,adaod,0,20,85,4,116,5,male_adaod,West Midlands
86,male,0.017312363786320024,0.02889666442667639,0.18132474303300838,0.027299826032892587,6746,adaod,0,20,85,4,116,5,male_adaod,West Midlands
