age,sex,mort,ylds (years lived with disability)_rate_iscs,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,8.614599437796101e-7,2.4816034793303276e-5,2.0323003949529564e-4,1.0401717355729866e-4,35979,iscs,0,10,0,0,0,5,male_iscs,West Midlands
1,male,8.614599437796101e-7,2.4816034793303276e-5,2.0323003949529564e-4,1.0401717355729866e-4,35979,iscs,0,10,0,0,0,5,male_iscs,West Midlands
2,male,8.614599437796101e-7,2.4816034793303276e-5,2.0323003949529564e-4,1.0401717355729866e-4,35979,iscs,0,10,0,0,0,5,male_iscs,West Midlands
3,male,8.614599437796101e-7,2.4816034793303276e-5,2.0323003949529564e-4,1.0401717355729866e-4,35979,iscs,0,10,0,0,0,5,male_iscs,West Midlands
4,male,8.614599437796101e-7,2.4816034793303276e-5,2.0323003949529564e-4,1.0401717355729866e-4,35979,iscs,0,10,0,0,0,5,male_iscs,West Midlands
5,male,1.1256023873038052e-7,5.552259737840895e-5,4.727739137261148e-4,3.119909908026259e-5,38768,iscs,0,10,5,0,0,5,male_iscs,West Midlands
6,male,1.1256023873038052e-7,5.552259737840895e-5,4.727739137261148e-4,3.119909908026259e-5,38768,iscs,0,10,5,0,0,5,male_iscs,West Midlands
7,male,1.1256023873038052e-7,5.552259737840895e-5,4.727739137261148e-4,3.119909908026259e-5,38768,iscs,0,10,5,0,0,5,male_iscs,West Midlands
8,male,1.1256023873038052e-7,5.552259737840895e-5,4.727739137261148e-4,3.119909908026259e-5,38768,iscs,0,10,5,0,0,5,male_iscs,West Midlands
9,male,1.1256023873038052e-7,5.552259737840895e-5,4.727739137261148e-4,3.119909908026259e-5,38768,iscs,0,10,5,0,0,5,male_iscs,West Midlands
10,male,1.0633086310626075e-7,8.229281875288537e-5,6.881654977561637e-4,2.7665862872216536e-5,36298,iscs,0,50,10,0,0,5,male_iscs,West Midlands
11,male,1.0633086310626075e-7,8.229281875288537e-5,6.881654977561637e-4,2.7665862872216536e-5,36298,iscs,0,50,10,0,0,5,male_iscs,West Midlands
12,male,1.0633086310626075e-7,8.229281875288537e-5,6.881654977561637e-4,2.7665862872216536e-5,36298,iscs,0,50,10,0,0,5,male_iscs,West Midlands
13,male,1.0633086310626075e-7,8.229281875288537e-5,6.881654977561637e-4,2.7665862872216536e-5,36298,iscs,0,50,10,0,0,5,male_iscs,West Midlands
14,male,1.0633086310626075e-7,8.229281875288537e-5,6.881654977561637e-4,2.7665862872216536e-5,36298,iscs,0,50,10,0,0,5,male_iscs,West Midlands
15,male,2.667898985551839e-7,1.0478092571197116e-4,8.897735590713497e-4,2.394449379078558e-5,35985,iscs,0,50,15,0,0,5,male_iscs,West Midlands
16,male,2.667898985551839e-7,1.0478092571197116e-4,8.897735590713497e-4,2.394449379078558e-5,35985,iscs,0,50,15,0,0,5,male_iscs,West Midlands
17,male,2.667898985551839e-7,1.0478092571197116e-4,8.897735590713497e-4,2.394449379078558e-5,35985,iscs,0,50,15,0,0,5,male_iscs,West Midlands
18,male,2.667898985551839e-7,1.0478092571197116e-4,8.897735590713497e-4,2.394449379078558e-5,35985,iscs,0,50,15,0,0,5,male_iscs,West Midlands
19,male,2.667898985551839e-7,1.0478092571197116e-4,8.897735590713497e-4,2.394449379078558e-5,35985,iscs,0,50,15,0,0,5,male_iscs,West Midlands
20,male,4.128991601135023e-7,1.313489126829153e-4,0.0010924961300706076,2.468104469707221e-5,38125,iscs,0,50,20,0,0,5,male_iscs,West Midlands
21,male,4.128991601135023e-7,1.313489126829153e-4,0.0010924961300706076,2.468104469707221e-5,38125,iscs,0,50,20,0,0,5,male_iscs,West Midlands
22,male,4.128991601135023e-7,1.313489126829153e-4,0.0010924961300706076,2.468104469707221e-5,38125,iscs,0,50,20,0,0,5,male_iscs,West Midlands
23,male,4.128991601135023e-7,1.313489126829153e-4,0.0010924961300706076,2.468104469707221e-5,38125,iscs,0,50,20,0,0,5,male_iscs,West Midlands
24,male,4.128991601135023e-7,1.313489126829153e-4,0.0010924961300706076,2.468104469707221e-5,38125,iscs,0,50,20,0,0,5,male_iscs,West Midlands
25,male,7.790269819409381e-7,1.5868776213702056e-4,0.0013252684592269537,2.9860829924097716e-5,40740,iscs,0,50,25,0,0,5,male_iscs,West Midlands
26,male,7.790269819409381e-7,1.5868776213702056e-4,0.0013252684592269537,2.9860829924097716e-5,40740,iscs,0,50,25,0,0,5,male_iscs,West Midlands
27,male,7.790269819409381e-7,1.5868776213702056e-4,0.0013252684592269537,2.9860829924097716e-5,40740,iscs,0,50,25,0,0,5,male_iscs,West Midlands
28,male,7.790269819409381e-7,1.5868776213702056e-4,0.0013252684592269537,2.9860829924097716e-5,40740,iscs,0,50,25,0,0,5,male_iscs,West Midlands
