age,sex,mort,ylds (years lived with disability)_rate_ishd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,35979,ishd,0,10,0,0,0,5,male_ishd,West Midlands
1,male,0,0,0,1e-8,35979,ishd,0,10,0,0,0,5,male_ishd,West Midlands
2,male,0,0,0,1e-8,35979,ishd,0,10,0,0,0,5,male_ishd,West Midlands
3,male,0,0,0,1e-8,35979,ishd,0,10,0,0,0,5,male_ishd,West Midlands
4,male,0,0,0,1e-8,35979,ishd,0,10,0,0,0,5,male_ishd,West Midlands
5,male,0,0,0,1e-8,38768,ishd,0,10,5,0,0,5,male_ishd,West Midlands
6,male,0,0,0,1e-8,38768,ishd,0,10,5,0,0,5,male_ishd,West Midlands
7,male,0,0,0,1e-8,38768,ishd,0,10,5,0,0,5,male_ishd,West Midlands
8,male,0,0,0,1e-8,38768,ishd,0,10,5,0,0,5,male_ishd,West Midlands
9,male,0,0,0,1e-8,38768,ishd,0,10,5,0,0,5,male_ishd,West Midlands
10,male,0,0,0,1e-8,36298,ishd,0,50,10,0,0,5,male_ishd,West Midlands
11,male,0,0,0,1e-8,36298,ishd,0,50,10,0,0,5,male_ishd,West Midlands
12,male,0,0,0,1e-8,36298,ishd,0,50,10,0,0,5,male_ishd,West Midlands
13,male,0,0,0,1e-8,36298,ishd,0,50,10,0,0,5,male_ishd,West Midlands
14,male,0,0,0,1e-8,36298,ishd,0,50,10,0,0,5,male_ishd,West Midlands
15,male,9.623896750374293e-7,5.104014894573582e-6,1.259129070361461e-4,2.0994616743757856e-5,35985,ishd,0,50,15,0,0,5,male_ishd,West Midlands
16,male,9.623896750374293e-7,5.104014894573582e-6,1.259129070361461e-4,2.0994616743757856e-5,35985,ishd,0,50,15,0,0,5,male_ishd,West Midlands
17,male,9.623896750374293e-7,5.104014894573582e-6,1.259129070361461e-4,2.0994616743757856e-5,35985,ishd,0,50,15,0,0,5,male_ishd,West Midlands
18,male,9.623896750374293e-7,5.104014894573582e-6,1.259129070361461e-4,2.0994616743757856e-5,35985,ishd,0,50,15,0,0,5,male_ishd,West Midlands
19,male,9.623896750374293e-7,5.104014894573582e-6,1.259129070361461e-4,2.0994616743757856e-5,35985,ishd,0,50,15,0,0,5,male_ishd,West Midlands
20,male,3.5311600186120145e-6,2.1098743177466744e-5,4.3006935447775644e-4,6.367825631931019e-5,38125,ishd,0,50,20,0,0,5,male_ishd,West Midlands
21,male,3.5311600186120145e-6,2.1098743177466744e-5,4.3006935447775644e-4,6.367825631931019e-5,38125,ishd,0,50,20,0,0,5,male_ishd,West Midlands
22,male,3.5311600186120145e-6,2.1098743177466744e-5,4.3006935447775644e-4,6.367825631931019e-5,38125,ishd,0,50,20,0,0,5,male_ishd,West Midlands
23,male,3.5311600186120145e-6,2.1098743177466744e-5,4.3006935447775644e-4,6.367825631931019e-5,38125,ishd,0,50,20,0,0,5,male_ishd,West Midlands
24,male,3.5311600186120145e-6,2.1098743177466744e-5,4.3006935447775644e-4,6.367825631931019e-5,38125,ishd,0,50,20,0,0,5,male_ishd,West Midlands
25,male,1.1646487940652133e-5,4.421378170087868e-5,9.909494699138547e-4,1.0700563064884122e-4,40740,ishd,0,50,25,0,0,5,male_ishd,West Midlands
26,male,1.1646487940652133e-5,4.421378170087868e-5,9.909494699138547e-4,1.0700563064884122e-4,40740,ishd,0,50,25,0,0,5,male_ishd,West Midlands
27,male,1.1646487940652133e-5,4.421378170087868e-5,9.909494699138547e-4,1.0700563064884122e-4,40740,ishd,0,50,25,0,0,5,male_ishd,West Midlands
28,male,1.1646487940652133e-5,4.421378170087868e-5,9.909494699138547e-4,1.0700563064884122e-4,40740,ishd,0,50,25,0,0,5,male_ishd,West Midlands
