age,sex,mort,ylds (years lived with disability)_rate_lvrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,35979,lvrc,0,10,0,0,0,5,male_lvrc,West Midlands
1,male,0,0,0,1e-8,35979,lvrc,0,10,0,0,0,5,male_lvrc,West Midlands
2,male,0,0,0,1e-8,35979,lvrc,0,10,0,0,0,5,male_lvrc,West Midlands
3,male,0,0,0,1e-8,35979,lvrc,0,10,0,0,0,5,male_lvrc,West Midlands
4,male,0,0,0,1e-8,35979,lvrc,0,10,0,0,0,5,male_lvrc,West Midlands
5,male,4.179519722283406e-7,2.6637475825369073e-7,0,1.2338098645915845e-6,38768,lvrc,0,10,5,0,0,5,male_lvrc,West Midlands
6,male,4.179519722283406e-7,2.6637475825369073e-7,0,1.2338098645915845e-6,38768,lvrc,0,10,5,0,0,5,male_lvrc,West Midlands
7,male,4.179519722283406e-7,2.6637475825369073e-7,0,1.2338098645915845e-6,38768,lvrc,0,10,5,0,0,5,male_lvrc,West Midlands
8,male,4.179519722283406e-7,2.6637475825369073e-7,0,1.2338098645915845e-6,38768,lvrc,0,10,5,0,0,5,male_lvrc,West Midlands
9,male,4.179519722283406e-7,2.6637475825369073e-7,0,1.2338098645915845e-6,38768,lvrc,0,10,5,0,0,5,male_lvrc,West Midlands
10,male,5.737898332837721e-7,3.6355467102573085e-7,0,1.6580637951773855e-6,36298,lvrc,0,50,10,0,0,5,male_lvrc,West Midlands
11,male,5.737898332837721e-7,3.6355467102573085e-7,0,1.6580637951773855e-6,36298,lvrc,0,50,10,0,0,5,male_lvrc,West Midlands
12,male,5.737898332837721e-7,3.6355467102573085e-7,0,1.6580637951773855e-6,36298,lvrc,0,50,10,0,0,5,male_lvrc,West Midlands
13,male,5.737898332837721e-7,3.6355467102573085e-7,0,1.6580637951773855e-6,36298,lvrc,0,50,10,0,0,5,male_lvrc,West Midlands
14,male,5.737898332837721e-7,3.6355467102573085e-7,0,1.6580637951773855e-6,36298,lvrc,0,50,10,0,0,5,male_lvrc,West Midlands
15,male,6.723586053248257e-7,5.249054925125835e-7,0,2.3855617308758117e-6,35985,lvrc,0,50,15,0,0,5,male_lvrc,West Midlands
16,male,6.723586053248257e-7,5.249054925125835e-7,0,2.3855617308758117e-6,35985,lvrc,0,50,15,0,0,5,male_lvrc,West Midlands
