age,sex,mort,ylds (years lived with disability)_rate_stmc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,35979,stmc,0,10,0,0,0,5,male_stmc,West Midlands
1,male,0,0,0,1e-8,35979,stmc,0,10,0,0,0,5,male_stmc,West Midlands
2,male,0,0,0,1e-8,35979,stmc,0,10,0,0,0,5,male_stmc,West Midlands
3,male,0,0,0,1e-8,35979,stmc,0,10,0,0,0,5,male_stmc,West Midlands
4,male,0,0,0,1e-8,35979,stmc,0,10,0,0,0,5,male_stmc,West Midlands
5,male,0,0,0,1e-8,38768,stmc,0,10,5,0,0,5,male_stmc,West Midlands
6,male,0,0,0,1e-8,38768,stmc,0,10,5,0,0,5,male_stmc,West Midlands
7,male,0,0,0,1e-8,38768,stmc,0,10,5,0,0,5,male_stmc,West Midlands
8,male,0,0,0,1e-8,38768,stmc,0,10,5,0,0,5,male_stmc,West Midlands
9,male,0,0,0,1e-8,38768,stmc,0,10,5,0,0,5,male_stmc,West Midlands
10,male,0,0,0,1e-8,36298,stmc,0,50,10,0,0,5,male_stmc,West Midlands
11,male,0,0,0,1e-8,36298,stmc,0,50,10,0,0,5,male_stmc,West Midlands
12,male,0,0,0,1e-8,36298,stmc,0,50,10,0,0,5,male_stmc,West Midlands
13,male,0,0,0,1e-8,36298,stmc,0,50,10,0,0,5,male_stmc,West Midlands
14,male,0,0,0,1e-8,36298,stmc,0,50,10,0,0,5,male_stmc,West Midlands
15,male,1.8517305404106603e-7,2.974593670358317e-7,2.9661567935729326e-6,7.418549738232119e-7,35985,stmc,0,50,15,0,0,5,male_stmc,West Midlands
16,male,1.8517305404106603e-7,2.974593670358317e-7,2.9661567935729326e-6,7.418549738232119e-7,35985,stmc,0,50,15,0,0,5,male_stmc,West Midlands
17,male,1.8517305404106603e-7,2.974593670358317e-7,2.9661567935729326e-6,7.418549738232119e-7,35985,stmc,0,50,15,0,0,5,male_stmc,West Midlands
18,male,1.8517305404106603e-7,2.974593670358317e-7,2.9661567935729326e-6,7.418549738232119e-7,35985,stmc,0,50,15,0,0,5,male_stmc,West Midlands
19,male,1.8517305404106603e-7,2.974593670358317e-7,2.9661567935729326e-6,7.418549738232119e-7,35985,stmc,0,50,15,0,0,5,male_stmc,West Midlands
20,male,5.090668946466719e-7,8.16840448989981e-7,8.26324845248463e-6,2.007856173427104e-6,38125,stmc,0,50,20,0,0,5,male_stmc,West Midlands
21,male,5.090668946466719e-7,8.16840448989981e-7,8.26324845248463e-6,2.007856173427104e-6,38125,stmc,0,50,20,0,0,5,male_stmc,West Midlands
22,male,5.090668946466719e-7,8.16840448989981e-7,8.26324845248463e-6,2.007856173427104e-6,38125,stmc,0,50,20,0,0,5,male_stmc,West Midlands
23,male,5.090668946466719e-7,8.16840448989981e-7,8.26324845248463e-6,2.007856173427104e-6,38125,stmc,0,50,20,0,0,5,male_stmc,West Midlands
24,male,5.090668946466719e-7,8.16840448989981e-7,8.26324845248463e-6,2.007856173427104e-6,38125,stmc,0,50,20,0,0,5,male_stmc,West Midlands
25,male,1.4161288050551356e-6,1.958517149096942e-6,1.9360559274958682e-5,4.9346334313257265e-6,40740,stmc,0,50,25,0,0,5,male_stmc,West Midlands
26,male,1.4161288050551356e-6,1.958517149096942e-6,1.9360559274958682e-5,4.9346334313257265e-6,40740,stmc,0,50,25,0,0,5,male_stmc,West Midlands
27,male,1.4161288050551356e-6,1.958517149096942e-6,1.9360559274958682e-5,4.9346334313257265e-6,40740,stmc,0,50,25,0,0,5,male_stmc,West Midlands
28,male,1.4161288050551356e-6,1.958517149096942e-6,1.9360559274958682e-5,4.9346334313257265e-6,40740,stmc,0,50,25,0,0,5,male_stmc,West Midlands
29,male,1.4161288050551356e-6,1.958517149096942e-6,1.9360559274958682e-5,4.9346334313257265e-6,40740,stmc,0,50,25,0,0,5,male_stmc,West Midlands
30,male,5.079283797346566e-6,6.908751904949168e-6,6.938148023036469e-5,1.7123509664082668e-5,39996,stmc,0,50,30,0,0,5,male_stmc,West Midlands
