age,sex,mort,ylds (years lived with disability)_rate_tbalc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,35979,tbalc,0,10,0,0,0,5,male_tbalc,West Midlands
1,male,0,0,0,1e-8,35979,tbalc,0,10,0,0,0,5,male_tbalc,West Midlands
2,male,0,0,0,1e-8,35979,tbalc,0,10,0,0,0,5,male_tbalc,West Midlands
3,male,0,0,0,1e-8,35979,tbalc,0,10,0,0,0,5,male_tbalc,West Midlands
4,male,0,0,0,1e-8,35979,tbalc,0,10,0,0,0,5,male_tbalc,West Midlands
5,male,0,0,0,1e-8,38768,tbalc,0,10,5,0,0,5,male_tbalc,West Midlands
6,male,0,0,0,1e-8,38768,tbalc,0,10,5,0,0,5,male_tbalc,West Midlands
7,male,0,0,0,1e-8,38768,tbalc,0,10,5,0,0,5,male_tbalc,West Midlands
8,male,0,0,0,1e-8,38768,tbalc,0,10,5,0,0,5,male_tbalc,West Midlands
9,male,0,0,0,1e-8,38768,tbalc,0,10,5,0,0,5,male_tbalc,West Midlands
10,male,0,0,0,1e-8,36298,tbalc,0,50,10,0,0,5,male_tbalc,West Midlands
11,male,0,0,0,1e-8,36298,tbalc,0,50,10,0,0,5,male_tbalc,West Midlands
12,male,0,0,0,1e-8,36298,tbalc,0,50,10,0,0,5,male_tbalc,West Midlands
13,male,0,0,0,1e-8,36298,tbalc,0,50,10,0,0,5,male_tbalc,West Midlands
14,male,0,0,0,1e-8,36298,tbalc,0,50,10,0,0,5,male_tbalc,West Midlands
15,male,1.3464733492137766e-7,4.502523042570216e-8,1.9513439779707112e-7,1.7497208041614055e-7,35985,tbalc,0,50,15,0,0,5,male_tbalc,West Midlands
16,male,1.3464733492137766e-7,4.502523042570216e-8,1.9513439779707112e-7,1.7497208041614055e-7,35985,tbalc,0,50,15,0,0,5,male_tbalc,West Midlands
17,male,1.3464733492137766e-7,4.502523042570216e-8,1.9513439779707112e-7,1.7497208041614055e-7,35985,tbalc,0,50,15,0,0,5,male_tbalc,West Midlands
