age,sex,mort,ylds (years lived with disability)_rate_utrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,35979,utrc,0,10,0,0,0,5,male_utrc,West Midlands
1,male,0,0,0,1e-8,35979,utrc,0,10,0,0,0,5,male_utrc,West Midlands
2,male,0,0,0,1e-8,35979,utrc,0,10,0,0,0,5,male_utrc,West Midlands
3,male,0,0,0,1e-8,35979,utrc,0,10,0,0,0,5,male_utrc,West Midlands
4,male,0,0,0,1e-8,35979,utrc,0,10,0,0,0,5,male_utrc,West Midlands
5,male,0,0,0,1e-8,38768,utrc,0,10,5,0,0,5,male_utrc,West Midlands
6,male,0,0,0,1e-8,38768,utrc,0,10,5,0,0,5,male_utrc,West Midlands
7,male,0,0,0,1e-8,38768,utrc,0,10,5,0,0,5,male_utrc,West Midlands
8,male,0,0,0,1e-8,38768,utrc,0,10,5,0,0,5,male_utrc,West Midlands
9,male,0,0,0,1e-8,38768,utrc,0,10,5,0,0,5,male_utrc,West Midlands
10,male,0,0,0,1e-8,36298,utrc,0,50,10,0,0,5,male_utrc,West Midlands
11,male,0,0,0,1e-8,36298,utrc,0,50,10,0,0,5,male_utrc,West Midlands
12,male,0,0,0,1e-8,36298,utrc,0,50,10,0,0,5,male_utrc,West Midlands
13,male,0,0,0,1e-8,36298,utrc,0,50,10,0,0,5,male_utrc,West Midlands
14,male,0,0,0,1e-8,36298,utrc,0,50,10,0,0,5,male_utrc,West Midlands
15,male,0,0,0,1e-8,35985,utrc,0,50,15,0,0,5,male_utrc,West Midlands
16,male,0,0,0,1e-8,35985,utrc,0,50,15,0,0,5,male_utrc,West Midlands
17,male,0,0,0,1e-8,35985,utrc,0,50,15,0,0,5,male_utrc,West Midlands
18,male,0,0,0,1e-8,35985,utrc,0,50,15,0,0,5,male_utrc,West Midlands
19,male,0,0,0,1e-8,35985,utrc,0,50,15,0,0,5,male_utrc,West Midlands
20,male,0,0,0,1e-8,38125,utrc,0,50,20,0,0,5,male_utrc,West Midlands
21,male,0,0,0,1e-8,38125,utrc,0,50,20,0,0,5,male_utrc,West Midlands
22,male,0,0,0,1e-8,38125,utrc,0,50,20,0,0,5,male_utrc,West Midlands
23,male,0,0,0,1e-8,38125,utrc,0,50,20,0,0,5,male_utrc,West Midlands
24,male,0,0,0,1e-8,38125,utrc,0,50,20,0,0,5,male_utrc,West Midlands
25,male,0,0,0,1e-8,40740,utrc,0,50,25,0,0,5,male_utrc,West Midlands
26,male,0,0,0,1e-8,40740,utrc,0,50,25,0,0,5,male_utrc,West Midlands
27,male,0,0,0,1e-8,40740,utrc,0,50,25,0,0,5,male_utrc,West Midlands
28,male,0,0,0,1e-8,40740,utrc,0,50,25,0,0,5,male_utrc,West Midlands
29,male,0,0,0,1e-8,40740,utrc,0,50,25,0,0,5,male_utrc,West Midlands
30,male,0,0,0,1e-8,39996,utrc,0,50,30,0,0,5,male_utrc,West Midlands
31,male,0,0,0,1e-8,39996,utrc,0,50,30,0,0,5,male_utrc,West Midlands
32,male,0,0,0,1e-8,39996,utrc,0,50,30,0,0,5,male_utrc,West Midlands
33,male,0,0,0,1e-8,39996,utrc,0,50,30,0,0,5,male_utrc,West Midlands
34,male,0,0,0,1e-8,39996,utrc,0,50,30,0,0,5,male_utrc,West Midlands
35,male,0,0,0,1e-8,37672,utrc,0,50,35,0,0,5,male_utrc,West Midlands
36,male,0,0,0,1e-8,37672,utrc,0,50,35,0,0,5,male_utrc,West Midlands
37,male,0,0,0,1e-8,37672,utrc,0,50,35,0,0,5,male_utrc,West Midlands
38,male,0,0,0,1e-8,37672,utrc,0,50,35,0,0,5,male_utrc,West Midlands
39,male,0,0,0,1e-8,37672,utrc,0,50,35,0,0,5,male_utrc,West Midlands
40,male,0,0,0,1e-8,35953,utrc,0,50,40,0,0,5,male_utrc,West Midlands
41,male,0,0,0,1e-8,35953,utrc,0,50,40,0,0,5,male_utrc,West Midlands
42,male,0,0,0,1e-8,35953,utrc,0,50,40,0,0,5,male_utrc,West Midlands
43,male,0,0,0,1e-8,35953,utrc,0,50,40,0,0,5,male_utrc,West Midlands
44,male,0,0,0,1e-8,35953,utrc,0,50,40,0,0,5,male_utrc,West Midlands
45,male,0,0,0,1e-8,40917,utrc,0,50,45,0,0,5,male_utrc,West Midlands
46,male,0,0,0,1e-8,40917,utrc,0,50,45,0,0,5,male_utrc,West Midlands
47,male,0,0,0,1e-8,40917,utrc,0,50,45,0,0,5,male_utrc,West Midlands
48,male,0,0,0,1e-8,40917,utrc,0,50,45,0,0,5,male_utrc,West Midlands
49,male,0,0,0,1e-8,40917,utrc,0,50,45,0,0,5,male_utrc,West Midlands
50,male,0,0,0,1e-8,40732,utrc,0,50,50,0,0,5,male_utrc,West Midlands
51,male,0,0,0,1e-8,40732,utrc,0,50,50,0,0,5,male_utrc,West Midlands
52,male,0,0,0,1e-8,40732,utrc,0,50,50,0,0,5,male_utrc,West Midlands
53,male,0,0,0,1e-8,40732,utrc,0,50,50,0,0,5,male_utrc,West Midlands
54,male,0,0,0,1e-8,40732,utrc,0,50,50,0,0,5,male_utrc,West Midlands
55,male,0,0,0,1e-8,35430,utrc,0,50,55,0,0,5,male_utrc,West Midlands
