age,sex,mort,ylds (years lived with disability)_rate_carc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,6598,carc,0,10,0,0,0,5,female_carc,bristol
1,female,0,0,0,1e-8,6598,carc,0,10,0,0,0,5,female_carc,bristol
2,female,0,0,0,1e-8,6598,carc,0,10,0,0,0,5,female_carc,bristol
3,female,0,0,0,1e-8,6598,carc,0,10,0,0,0,5,female_carc,bristol
4,female,0,0,0,1e-8,6598,carc,0,10,0,0,0,5,female_carc,bristol
5,female,0,0,0,1e-8,6603,carc,0,10,5,0,0,5,female_carc,bristol
6,female,0,0,0,1e-8,6603,carc,0,10,5,0,0,5,female_carc,bristol
7,female,0,0,0,1e-8,6603,carc,0,10,5,0,0,5,female_carc,bristol
8,female,0,0,0,1e-8,6603,carc,0,10,5,0,0,5,female_carc,bristol
9,female,0,0,0,1e-8,6603,carc,0,10,5,0,0,5,female_carc,bristol
10,female,0,0,0,1e-8,6051,carc,0,50,10,0,0,5,female_carc,bristol
11,female,0,0,0,1e-8,6051,carc,0,50,10,0,0,5,female_carc,bristol
12,female,0,0,0,1e-8,6051,carc,0,50,10,0,0,5,female_carc,bristol
13,female,0,0,0,1e-8,6051,carc,0,50,10,0,0,5,female_carc,bristol
14,female,0,0,0,1e-8,6051,carc,0,50,10,0,0,5,female_carc,bristol
15,female,3.4726398455655083e-7,1.4880815158339187e-6,1.345163761026501e-5,1.8997671729563166e-6,6338,carc,0,50,15,0,0,5,female_carc,bristol
16,female,3.4726398455655083e-7,1.4880815158339187e-6,1.345163761026501e-5,1.8997671729563166e-6,6338,carc,0,50,15,0,0,5,female_carc,bristol
17,female,3.4726398455655083e-7,1.4880815158339187e-6,1.345163761026501e-5,1.8997671729563166e-6,6338,carc,0,50,15,0,0,5,female_carc,bristol
18,female,3.4726398455655083e-7,1.4880815158339187e-6,1.345163761026501e-5,1.8997671729563166e-6,6338,carc,0,50,15,0,0,5,female_carc,bristol
19,female,3.4726398455655083e-7,1.4880815158339187e-6,1.345163761026501e-5,1.8997671729563166e-6,6338,carc,0,50,15,0,0,5,female_carc,bristol
20,female,1.1804383912871255e-6,5.815655085273519e-6,5.480544058737377e-5,7.596502790409446e-6,7828,carc,0,50,20,0,0,5,female_carc,bristol
21,female,1.1804383912871255e-6,5.815655085273519e-6,5.480544058737377e-5,7.596502790409446e-6,7828,carc,0,50,20,0,0,5,female_carc,bristol
22,female,1.1804383912871255e-6,5.815655085273519e-6,5.480544058737377e-5,7.596502790409446e-6,7828,carc,0,50,20,0,0,5,female_carc,bristol
23,female,1.1804383912871255e-6,5.815655085273519e-6,5.480544058737377e-5,7.596502790409446e-6,7828,carc,0,50,20,0,0,5,female_carc,bristol
24,female,1.1804383912871255e-6,5.815655085273519e-6,5.480544058737377e-5,7.596502790409446e-6,7828,carc,0,50,20,0,0,5,female_carc,bristol
25,female,3.2323195501964506e-6,1.3707736663812503e-5,1.35243391798145e-4,1.8868315340820804e-5,8833,carc,0,50,25,0,0,5,female_carc,bristol
26,female,3.2323195501964506e-6,1.3707736663812503e-5,1.35243391798145e-4,1.8868315340820804e-5,8833,carc,0,50,25,0,0,5,female_carc,bristol
27,female,3.2323195501964506e-6,1.3707736663812503e-5,1.35243391798145e-4,1.8868315340820804e-5,8833,carc,0,50,25,0,0,5,female_carc,bristol
28,female,3.2323195501964506e-6,1.3707736663812503e-5,1.35243391798145e-4,1.8868315340820804e-5,8833,carc,0,50,25,0,0,5,female_carc,bristol
29,female,3.2323195501964506e-6,1.3707736663812503e-5,1.35243391798145e-4,1.8868315340820804e-5,8833,carc,0,50,25,0,0,5,female_carc,bristol
30,female,7.804051582500978e-6,3.176940003634e-5,3.4005082360685627e-4,4.744159388921228e-5,7963,carc,0,50,30,0,0,5,female_carc,bristol
31,female,7.804051582500978e-6,3.176940003634e-5,3.4005082360685627e-4,4.744159388921228e-5,7963,carc,0,50,30,0,0,5,female_carc,bristol
32,female,7.804051582500978e-6,3.176940003634e-5,3.4005082360685627e-4,4.744159388921228e-5,7963,carc,0,50,30,0,0,5,female_carc,bristol
33,female,7.804051582500978e-6,3.176940003634e-5,3.4005082360685627e-4,4.744159388921228e-5,7963,carc,0,50,30,0,0,5,female_carc,bristol
34,female,7.804051582500978e-6,3.176940003634e-5,3.4005082360685627e-4,4.744159388921228e-5,7963,carc,0,50,30,0,0,5,female_carc,bristol
35,female,1.6006952225691075e-5,5.693610488285804e-5,6.440333458861805e-4,8.944540854456255e-5,7482,carc,0,50,35,0,0,5,female_carc,bristol
36,female,1.6006952225691075e-5,5.693610488285804e-5,6.440333458861805e-4,8.944540854456255e-5,7482,carc,0,50,35,0,0,5,female_carc,bristol
37,female,1.6006952225691075e-5,5.693610488285804e-5,6.440333458861805e-4,8.944540854456255e-5,7482,carc,0,50,35,0,0,5,female_carc,bristol
38,female,1.6006952225691075e-5,5.693610488285804e-5,6.440333458861805e-4,8.944540854456255e-5,7482,carc,0,50,35,0,0,5,female_carc,bristol
39,female,1.6006952225691075e-5,5.693610488285804e-5,6.440333458861805e-4,8.944540854456255e-5,7482,carc,0,50,35,0,0,5,female_carc,bristol
40,female,2.8209051329305414e-5,9.563919328701168e-5,0.0011086084618790368,1.5362032397819473e-4,6901,carc,0,50,40,0,0,5,female_carc,bristol
41,female,2.8209051329305414e-5,9.563919328701168e-5,0.0011086084618790368,1.5362032397819473e-4,6901,carc,0,50,40,0,0,5,female_carc,bristol
42,female,2.8209051329305414e-5,9.563919328701168e-5,0.0011086084618790368,1.5362032397819473e-4,6901,carc,0,50,40,0,0,5,female_carc,bristol
43,female,2.8209051329305414e-5,9.563919328701168e-5,0.0011086084618790368,1.5362032397819473e-4,6901,carc,0,50,40,0,0,5,female_carc,bristol
44,female,2.8209051329305414e-5,9.563919328701168e-5,0.0011086084618790368,1.5362032397819473e-4,6901,carc,0,50,40,0,0,5,female_carc,bristol
45,female,5.891657047408581e-5,1.536954940003819e-4,0.0018060507041151692,2.5691152141112475e-4,7531,carc,0,50,45,0,0,5,female_carc,bristol
46,female,5.891657047408581e-5,1.536954940003819e-4,0.0018060507041151692,2.5691152141112475e-4,7531,carc,0,50,45,0,0,5,female_carc,bristol
