age,sex,mort,ylds (years lived with disability)_rate_crdd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,8.325840780160657e-6,6.315009276660286e-5,1.9706168545276603e-4,3.069264505494289e-4,6598,crdd,0,10,0,0,0,5,female_crdd,bristol
1,female,8.325840780160657e-6,6.315009276660286e-5,1.9706168545276603e-4,3.069264505494289e-4,6598,crdd,0,10,0,0,0,5,female_crdd,bristol
2,female,8.325840780160657e-6,6.315009276660286e-5,1.9706168545276603e-4,3.069264505494289e-4,6598,crdd,0,10,0,0,0,5,female_crdd,bristol
3,female,8.325840780160657e-6,6.315009276660286e-5,1.9706168545276603e-4,3.069264505494289e-4,6598,crdd,0,10,0,0,0,5,female_crdd,bristol
4,female,8.325840780160657e-6,6.315009276660286e-5,1.9706168545276603e-4,3.069264505494289e-4,6598,crdd,0,10,0,0,0,5,female_crdd,bristol
5,female,1.553207243799155e-6,1.2093176018351317e-4,2.0826554450222235e-4,2.6714534181908e-4,6603,crdd,0,10,5,0,0,5,female_crdd,bristol
6,female,1.553207243799155e-6,1.2093176018351317e-4,2.0826554450222235e-4,2.6714534181908e-4,6603,crdd,0,10,5,0,0,5,female_crdd,bristol
7,female,1.553207243799155e-6,1.2093176018351317e-4,2.0826554450222235e-4,2.6714534181908e-4,6603,crdd,0,10,5,0,0,5,female_crdd,bristol
8,female,1.553207243799155e-6,1.2093176018351317e-4,2.0826554450222235e-4,2.6714534181908e-4,6603,crdd,0,10,5,0,0,5,female_crdd,bristol
9,female,1.553207243799155e-6,1.2093176018351317e-4,2.0826554450222235e-4,2.6714534181908e-4,6603,crdd,0,10,5,0,0,5,female_crdd,bristol
10,female,2.494843289861546e-6,2.208327673638208e-4,0.0013348334401265954,2.3540189407796996e-4,6051,crdd,0,50,10,0,0,5,female_crdd,bristol
11,female,2.494843289861546e-6,2.208327673638208e-4,0.0013348334401265954,2.3540189407796996e-4,6051,crdd,0,50,10,0,0,5,female_crdd,bristol
12,female,2.494843289861546e-6,2.208327673638208e-4,0.0013348334401265954,2.3540189407796996e-4,6051,crdd,0,50,10,0,0,5,female_crdd,bristol
13,female,2.494843289861546e-6,2.208327673638208e-4,0.0013348334401265954,2.3540189407796996e-4,6051,crdd,0,50,10,0,0,5,female_crdd,bristol
14,female,2.494843289861546e-6,2.208327673638208e-4,0.0013348334401265954,2.3540189407796996e-4,6051,crdd,0,50,10,0,0,5,female_crdd,bristol
15,female,9.657138681113028e-6,5.37621795783058e-4,0.006538927403519333,3.1083562545832367e-4,6338,crdd,0,50,15,0,0,5,female_crdd,bristol
16,female,9.657138681113028e-6,5.37621795783058e-4,0.006538927403519333,3.1083562545832367e-4,6338,crdd,0,50,15,0,0,5,female_crdd,bristol
17,female,9.657138681113028e-6,5.37621795783058e-4,0.006538927403519333,3.1083562545832367e-4,6338,crdd,0,50,15,0,0,5,female_crdd,bristol
18,female,9.657138681113028e-6,5.37621795783058e-4,0.006538927403519333,3.1083562545832367e-4,6338,crdd,0,50,15,0,0,5,female_crdd,bristol
19,female,9.657138681113028e-6,5.37621795783058e-4,0.006538927403519333,3.1083562545832367e-4,6338,crdd,0,50,15,0,0,5,female_crdd,bristol
20,female,1.3557112059453252e-5,6.728240862689446e-4,0.008195010944030655,5.614293959817398e-4,7828,crdd,0,50,20,0,0,5,female_crdd,bristol
21,female,1.3557112059453252e-5,6.728240862689446e-4,0.008195010944030655,5.614293959817398e-4,7828,crdd,0,50,20,0,0,5,female_crdd,bristol
22,female,1.3557112059453252e-5,6.728240862689446e-4,0.008195010944030655,5.614293959817398e-4,7828,crdd,0,50,20,0,0,5,female_crdd,bristol
23,female,1.3557112059453252e-5,6.728240862689446e-4,0.008195010944030655,5.614293959817398e-4,7828,crdd,0,50,20,0,0,5,female_crdd,bristol
24,female,1.3557112059453252e-5,6.728240862689446e-4,0.008195010944030655,5.614293959817398e-4,7828,crdd,0,50,20,0,0,5,female_crdd,bristol
25,female,1.883261251050492e-5,0.00108369091728571,0.015088043247357968,0.0010022347148908677,8833,crdd,0,50,25,1,0,5,female_crdd,bristol
26,female,1.883261251050492e-5,0.00108369091728571,0.015088043247357968,0.0010022347148908677,8833,crdd,0,50,25,1,0,5,female_crdd,bristol
27,female,1.883261251050492e-5,0.00108369091728571,0.015088043247357968,0.0010022347148908677,8833,crdd,0,50,25,1,0,5,female_crdd,bristol
28,female,1.883261251050492e-5,0.00108369091728571,0.015088043247357968,0.0010022347148908677,8833,crdd,0,50,25,1,0,5,female_crdd,bristol
29,female,1.883261251050492e-5,0.00108369091728571,0.015088043247357968,0.0010022347148908677,8833,crdd,0,50,25,1,0,5,female_crdd,bristol
30,female,3.2470679296730885e-5,0.0012861777538748583,0.018509565223407017,0.0017767529084283093,7963,crdd,0,50,30,1,0,5,female_crdd,bristol
31,female,3.2470679296730885e-5,0.0012861777538748583,0.018509565223407017,0.0017767529084283093,7963,crdd,0,50,30,1,0,5,female_crdd,bristol
32,female,3.2470679296730885e-5,0.0012861777538748583,0.018509565223407017,0.0017767529084283093,7963,crdd,0,50,30,1,0,5,female_crdd,bristol
33,female,3.2470679296730885e-5,0.0012861777538748583,0.018509565223407017,0.0017767529084283093,7963,crdd,0,50,30,1,0,5,female_crdd,bristol
34,female,3.2470679296730885e-5,0.0012861777538748583,0.018509565223407017,0.0017767529084283093,7963,crdd,0,50,30,1,0,5,female_crdd,bristol
35,female,6.314759840767e-5,0.0013257574875433825,0.01930588086157895,0.0028718900976401566,7482,crdd,0,50,35,1,0,5,female_crdd,bristol
36,female,6.314759840767e-5,0.0013257574875433825,0.01930588086157895,0.0028718900976401566,7482,crdd,0,50,35,1,0,5,female_crdd,bristol
37,female,6.314759840767e-5,0.0013257574875433825,0.01930588086157895,0.0028718900976401566,7482,crdd,0,50,35,1,0,5,female_crdd,bristol
38,female,6.314759840767e-5,0.0013257574875433825,0.01930588086157895,0.0028718900976401566,7482,crdd,0,50,35,1,0,5,female_crdd,bristol
39,female,6.314759840767e-5,0.0013257574875433825,0.01930588086157895,0.0028718900976401566,7482,crdd,0,50,35,1,0,5,female_crdd,bristol
40,female,1.0798357466517742e-4,0.0020835869760870433,0.04306566225284482,0.005940486613886814,6901,crdd,0,50,40,2,1,5,female_crdd,bristol
41,female,1.0798357466517742e-4,0.0020835869760870433,0.04306566225284482,0.005940486613886814,6901,crdd,0,50,40,2,1,5,female_crdd,bristol
42,female,1.0798357466517742e-4,0.0020835869760870433,0.04306566225284482,0.005940486613886814,6901,crdd,0,50,40,2,1,5,female_crdd,bristol
43,female,1.0798357466517742e-4,0.0020835869760870433,0.04306566225284482,0.005940486613886814,6901,crdd,0,50,40,2,1,5,female_crdd,bristol
44,female,1.0798357466517742e-4,0.0020835869760870433,0.04306566225284482,0.005940486613886814,6901,crdd,0,50,40,2,1,5,female_crdd,bristol
45,female,2.0006182335999997e-4,0.0028349933573557735,0.05852682879438931,0.007324447960589644,7531,crdd,0,50,45,3,2,5,female_crdd,bristol
46,female,2.0006182335999997e-4,0.0028349933573557735,0.05852682879438931,0.007324447960589644,7531,crdd,0,50,45,3,2,5,female_crdd,bristol
47,female,2.0006182335999997e-4,0.0028349933573557735,0.05852682879438931,0.007324447960589644,7531,crdd,0,50,45,3,2,5,female_crdd,bristol
48,female,2.0006182335999997e-4,0.0028349933573557735,0.05852682879438931,0.007324447960589644,7531,crdd,0,50,45,3,2,5,female_crdd,bristol
49,female,2.0006182335999997e-4,0.0028349933573557735,0.05852682879438931,0.007324447960589644,7531,crdd,0,50,45,3,2,5,female_crdd,bristol
50,female,3.0628005283854563e-4,0.0037805837061516442,0.07583974788811719,0.009942999158794949,7629,crdd,0,50,50,4,2,5,female_crdd,bristol
51,female,3.0628005283854563e-4,0.0037805837061516442,0.07583974788811719,0.009942999158794949,7629,crdd,0,50,50,4,2,5,female_crdd,bristol
52,female,3.0628005283854563e-4,0.0037805837061516442,0.07583974788811719,0.009942999158794949,7629,crdd,0,50,50,4,2,5,female_crdd,bristol
53,female,3.0628005283854563e-4,0.0037805837061516442,0.07583974788811719,0.009942999158794949,7629,crdd,0,50,50,4,2,5,female_crdd,bristol
54,female,3.0628005283854563e-4,0.0037805837061516442,0.07583974788811719,0.009942999158794949,7629,crdd,0,50,50,4,2,5,female_crdd,bristol
55,female,5.065471329580818e-4,0.005491414214637356,0.10657043325515575,0.014698417474139046,6580,crdd,0,50,55,5,3,5,female_crdd,bristol
56,female,5.065471329580818e-4,0.005491414214637356,0.10657043325515575,0.014698417474139046,6580,crdd,0,50,55,5,3,5,female_crdd,bristol
57,female,5.065471329580818e-4,0.005491414214637356,0.10657043325515575,0.014698417474139046,6580,crdd,0,50,55,5,3,5,female_crdd,bristol
58,female,5.065471329580818e-4,0.005491414214637356,0.10657043325515575,0.014698417474139046,6580,crdd,0,50,55,5,3,5,female_crdd,bristol
59,female,5.065471329580818e-4,0.005491414214637356,0.10657043325515575,0.014698417474139046,6580,crdd,0,50,55,5,3,5,female_crdd,bristol
60,female,9.624657207308752e-4,0.008090525167782064,0.15412414930706725,0.023758723322645548,5725,crdd,0,50,60,8,6,5,female_crdd,bristol
61,female,9.624657207308752e-4,0.008090525167782064,0.15412414930706725,0.023758723322645548,5725,crdd,0,50,60,8,6,5,female_crdd,bristol
62,female,9.624657207308752e-4,0.008090525167782064,0.15412414930706725,0.023758723322645548,5725,crdd,0,50,60,8,6,5,female_crdd,bristol
63,female,9.624657207308752e-4,0.008090525167782064,0.15412414930706725,0.023758723322645548,5725,crdd,0,50,60,8,6,5,female_crdd,bristol
64,female,9.624657207308752e-4,0.008090525167782064,0.15412414930706725,0.023758723322645548,5725,crdd,0,50,60,8,6,5,female_crdd,bristol
65,female,0.0017224833000100959,0.01155332759087241,0.22268805136798697,0.039922765286082906,5670,crdd,0,50,65,11,10,5,female_crdd,bristol
66,female,0.0017224833000100959,0.01155332759087241,0.22268805136798697,0.039922765286082906,5670,crdd,0,50,65,11,10,5,female_crdd,bristol
67,female,0.0017224833000100959,0.01155332759087241,0.22268805136798697,0.039922765286082906,5670,crdd,0,50,65,11,10,5,female_crdd,bristol
68,female,0.0017224833000100959,0.01155332759087241,0.22268805136798697,0.039922765286082906,5670,crdd,0,50,65,11,10,5,female_crdd,bristol
69,female,0.0017224833000100959,0.01155332759087241,0.22268805136798697,0.039922765286082906,5670,crdd,0,50,65,11,10,5,female_crdd,bristol
70,female,0.00338065941414701,0.01644321465965405,0.30285628211948873,0.06155500591847276,5104,crdd,0,50,70,15,17,5,female_crdd,bristol
71,female,0.00338065941414701,0.01644321465965405,0.30285628211948873,0.06155500591847276,5104,crdd,0,50,70,15,17,5,female_crdd,bristol
72,female,0.00338065941414701,0.01644321465965405,0.30285628211948873,0.06155500591847276,5104,crdd,0,50,70,15,17,5,female_crdd,bristol
73,female,0.00338065941414701,0.01644321465965405,0.30285628211948873,0.06155500591847276,5104,crdd,0,50,70,15,17,5,female_crdd,bristol
74,female,0.00338065941414701,0.01644321465965405,0.30285628211948873,0.06155500591847276,5104,crdd,0,50,70,15,17,5,female_crdd,bristol
75,female,0.00722417462410963,0.02336577698372002,0.3894944687967121,0.08818852680475846,3792,crdd,0,50,75,19,27,5,female_crdd,bristol
76,female,0.00722417462410963,0.02336577698372002,0.3894944687967121,0.08818852680475846,3792,crdd,0,50,75,19,27,5,female_crdd,bristol
77,female,0.00722417462410963,0.02336577698372002,0.3894944687967121,0.08818852680475846,3792,crdd,0,50,75,19,27,5,female_crdd,bristol
78,female,0.00722417462410963,0.02336577698372002,0.3894944687967121,0.08818852680475846,3792,crdd,0,50,75,19,27,5,female_crdd,bristol
79,female,0.00722417462410963,0.02336577698372002,0.3894944687967121,0.08818852680475846,3792,crdd,0,50,75,19,27,5,female_crdd,bristol
80,female,0.015905658522941367,0.030380318020470344,0.4505308283135672,0.12027217205345188,2983,crdd,0,20,80,9,47,5,female_crdd,bristol
81,female,0.015905658522941367,0.030380318020470344,0.4505308283135672,0.12027217205345188,2983,crdd,0,20,80,9,47,5,female_crdd,bristol
82,female,0.015905658522941367,0.030380318020470344,0.4505308283135672,0.12027217205345188,2983,crdd,0,20,80,9,47,5,female_crdd,bristol
83,female,0.015905658522941367,0.030380318020470344,0.4505308283135672,0.12027217205345188,2983,crdd,0,20,80,9,47,5,female_crdd,bristol
84,female,0.015905658522941367,0.030380318020470344,0.4505308283135672,0.12027217205345188,2983,crdd,0,20,80,9,47,5,female_crdd,bristol
85,female,0.03603607428245805,0.03698063283178599,0.48355557976577596,0.1518422065373522,2001,crdd,0,20,85,10,71,5,female_crdd,bristol
86,female,0.03603607428245805,0.03698063283178599,0.48355557976577596,0.1518422065373522,2001,crdd,0,20,85,10,71,5,female_crdd,bristol
87,female,0.03603607428245805,0.03698063283178599,0.48355557976577596,0.1518422065373522,2001,crdd,0,20,85,10,71,5,female_crdd,bristol
