age,sex,mort,ylds (years lived with disability)_rate_iscs,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,3.2285918997994543e-7,2.0307485188157304e-5,1.4304214629048628e-4,4.528417573177724e-5,6598,iscs,0,10,0,0,0,5,female_iscs,bristol
1,female,3.2285918997994543e-7,2.0307485188157304e-5,1.4304214629048628e-4,4.528417573177724e-5,6598,iscs,0,10,0,0,0,5,female_iscs,bristol
2,female,3.2285918997994543e-7,2.0307485188157304e-5,1.4304214629048628e-4,4.528417573177724e-5,6598,iscs,0,10,0,0,0,5,female_iscs,bristol
3,female,3.2285918997994543e-7,2.0307485188157304e-5,1.4304214629048628e-4,4.528417573177724e-5,6598,iscs,0,10,0,0,0,5,female_iscs,bristol
4,female,3.2285918997994543e-7,2.0307485188157304e-5,1.4304214629048628e-4,4.528417573177724e-5,6598,iscs,0,10,0,0,0,5,female_iscs,bristol
5,female,4.547016375643979e-8,5.625103820298765e-5,3.9933029670320344e-4,3.529477985164631e-5,6603,iscs,0,10,5,0,0,5,female_iscs,bristol
6,female,4.547016375643979e-8,5.625103820298765e-5,3.9933029670320344e-4,3.529477985164631e-5,6603,iscs,0,10,5,0,0,5,female_iscs,bristol
7,female,4.547016375643979e-8,5.625103820298765e-5,3.9933029670320344e-4,3.529477985164631e-5,6603,iscs,0,10,5,0,0,5,female_iscs,bristol
8,female,4.547016375643979e-8,5.625103820298765e-5,3.9933029670320344e-4,3.529477985164631e-5,6603,iscs,0,10,5,0,0,5,female_iscs,bristol
9,female,4.547016375643979e-8,5.625103820298765e-5,3.9933029670320344e-4,3.529477985164631e-5,6603,iscs,0,10,5,0,0,5,female_iscs,bristol
10,female,6.608555661431066e-8,8.875563430550173e-5,6.265304152981668e-4,3.2199930180634816e-5,6051,iscs,0,50,10,0,0,5,female_iscs,bristol
11,female,6.608555661431066e-8,8.875563430550173e-5,6.265304152981668e-4,3.2199930180634816e-5,6051,iscs,0,50,10,0,0,5,female_iscs,bristol
12,female,6.608555661431066e-8,8.875563430550173e-5,6.265304152981668e-4,3.2199930180634816e-5,6051,iscs,0,50,10,0,0,5,female_iscs,bristol
13,female,6.608555661431066e-8,8.875563430550173e-5,6.265304152981668e-4,3.2199930180634816e-5,6051,iscs,0,50,10,0,0,5,female_iscs,bristol
14,female,6.608555661431066e-8,8.875563430550173e-5,6.265304152981668e-4,3.2199930180634816e-5,6051,iscs,0,50,10,0,0,5,female_iscs,bristol
15,female,2.839668119019909e-7,1.1739577779179647e-4,8.443978352989536e-4,2.856878680991851e-5,6338,iscs,0,50,15,0,0,5,female_iscs,bristol
16,female,2.839668119019909e-7,1.1739577779179647e-4,8.443978352989536e-4,2.856878680991851e-5,6338,iscs,0,50,15,0,0,5,female_iscs,bristol
17,female,2.839668119019909e-7,1.1739577779179647e-4,8.443978352989536e-4,2.856878680991851e-5,6338,iscs,0,50,15,0,0,5,female_iscs,bristol
18,female,2.839668119019909e-7,1.1739577779179647e-4,8.443978352989536e-4,2.856878680991851e-5,6338,iscs,0,50,15,0,0,5,female_iscs,bristol
19,female,2.839668119019909e-7,1.1739577779179647e-4,8.443978352989536e-4,2.856878680991851e-5,6338,iscs,0,50,15,0,0,5,female_iscs,bristol
20,female,4.337063984639162e-7,1.484345790870536e-4,0.0010691501744091636,3.3359845828259135e-5,7828,iscs,0,50,20,0,0,5,female_iscs,bristol
21,female,4.337063984639162e-7,1.484345790870536e-4,0.0010691501744091636,3.3359845828259135e-5,7828,iscs,0,50,20,0,0,5,female_iscs,bristol
22,female,4.337063984639162e-7,1.484345790870536e-4,0.0010691501744091636,3.3359845828259135e-5,7828,iscs,0,50,20,0,0,5,female_iscs,bristol
23,female,4.337063984639162e-7,1.484345790870536e-4,0.0010691501744091636,3.3359845828259135e-5,7828,iscs,0,50,20,0,0,5,female_iscs,bristol
24,female,4.337063984639162e-7,1.484345790870536e-4,0.0010691501744091636,3.3359845828259135e-5,7828,iscs,0,50,20,0,0,5,female_iscs,bristol
25,female,7.720108105740541e-7,1.8590203056299208e-4,0.0013377292795524849,4.666703994012078e-5,8833,iscs,0,50,25,0,0,5,female_iscs,bristol
26,female,7.720108105740541e-7,1.8590203056299208e-4,0.0013377292795524849,4.666703994012078e-5,8833,iscs,0,50,25,0,0,5,female_iscs,bristol
27,female,7.720108105740541e-7,1.8590203056299208e-4,0.0013377292795524849,4.666703994012078e-5,8833,iscs,0,50,25,0,0,5,female_iscs,bristol
28,female,7.720108105740541e-7,1.8590203056299208e-4,0.0013377292795524849,4.666703994012078e-5,8833,iscs,0,50,25,0,0,5,female_iscs,bristol
29,female,7.720108105740541e-7,1.8590203056299208e-4,0.0013377292795524849,4.666703994012078e-5,8833,iscs,0,50,25,0,0,5,female_iscs,bristol
30,female,1.04038273731638e-6,2.2334593407825836e-4,0.001704062644030914,8.232538663519669e-5,7963,iscs,0,50,30,0,0,5,female_iscs,bristol
31,female,1.04038273731638e-6,2.2334593407825836e-4,0.001704062644030914,8.232538663519669e-5,7963,iscs,0,50,30,0,0,5,female_iscs,bristol
32,female,1.04038273731638e-6,2.2334593407825836e-4,0.001704062644030914,8.232538663519669e-5,7963,iscs,0,50,30,0,0,5,female_iscs,bristol
33,female,1.04038273731638e-6,2.2334593407825836e-4,0.001704062644030914,8.232538663519669e-5,7963,iscs,0,50,30,0,0,5,female_iscs,bristol
34,female,1.04038273731638e-6,2.2334593407825836e-4,0.001704062644030914,8.232538663519669e-5,7963,iscs,0,50,30,0,0,5,female_iscs,bristol
35,female,1.6758053828593557e-6,3.051849274809283e-4,0.002352876129351745,1.4041966454100987e-4,7482,iscs,0,50,35,0,0,5,female_iscs,bristol
36,female,1.6758053828593557e-6,3.051849274809283e-4,0.002352876129351745,1.4041966454100987e-4,7482,iscs,0,50,35,0,0,5,female_iscs,bristol
37,female,1.6758053828593557e-6,3.051849274809283e-4,0.002352876129351745,1.4041966454100987e-4,7482,iscs,0,50,35,0,0,5,female_iscs,bristol
38,female,1.6758053828593557e-6,3.051849274809283e-4,0.002352876129351745,1.4041966454100987e-4,7482,iscs,0,50,35,0,0,5,female_iscs,bristol
39,female,1.6758053828593557e-6,3.051849274809283e-4,0.002352876129351745,1.4041966454100987e-4,7482,iscs,0,50,35,0,0,5,female_iscs,bristol
40,female,2.9342526516433494e-6,4.3485190927168327e-4,0.00338089807206773,2.274890115076695e-4,6901,iscs,0,50,40,0,0,5,female_iscs,bristol
41,female,2.9342526516433494e-6,4.3485190927168327e-4,0.00338089807206773,2.274890115076695e-4,6901,iscs,0,50,40,0,0,5,female_iscs,bristol
42,female,2.9342526516433494e-6,4.3485190927168327e-4,0.00338089807206773,2.274890115076695e-4,6901,iscs,0,50,40,0,0,5,female_iscs,bristol
43,female,2.9342526516433494e-6,4.3485190927168327e-4,0.00338089807206773,2.274890115076695e-4,6901,iscs,0,50,40,0,0,5,female_iscs,bristol
44,female,2.9342526516433494e-6,4.3485190927168327e-4,0.00338089807206773,2.274890115076695e-4,6901,iscs,0,50,40,0,0,5,female_iscs,bristol
45,female,6.4045269817327875e-6,6.310284529297375e-4,0.005012851562574797,3.4335603248897344e-4,7531,iscs,0,50,45,0,0,5,female_iscs,bristol
46,female,6.4045269817327875e-6,6.310284529297375e-4,0.005012851562574797,3.4335603248897344e-4,7531,iscs,0,50,45,0,0,5,female_iscs,bristol
47,female,6.4045269817327875e-6,6.310284529297375e-4,0.005012851562574797,3.4335603248897344e-4,7531,iscs,0,50,45,0,0,5,female_iscs,bristol
48,female,6.4045269817327875e-6,6.310284529297375e-4,0.005012851562574797,3.4335603248897344e-4,7531,iscs,0,50,45,0,0,5,female_iscs,bristol
49,female,6.4045269817327875e-6,6.310284529297375e-4,0.005012851562574797,3.4335603248897344e-4,7531,iscs,0,50,45,0,0,5,female_iscs,bristol
50,female,9.671806894634975e-6,9.495617598410198e-4,0.007410681356216077,5.288091364790065e-4,7629,iscs,0,50,50,0,0,5,female_iscs,bristol
51,female,9.671806894634975e-6,9.495617598410198e-4,0.007410681356216077,5.288091364790065e-4,7629,iscs,0,50,50,0,0,5,female_iscs,bristol
52,female,9.671806894634975e-6,9.495617598410198e-4,0.007410681356216077,5.288091364790065e-4,7629,iscs,0,50,50,0,0,5,female_iscs,bristol
53,female,9.671806894634975e-6,9.495617598410198e-4,0.007410681356216077,5.288091364790065e-4,7629,iscs,0,50,50,0,0,5,female_iscs,bristol
54,female,9.671806894634975e-6,9.495617598410198e-4,0.007410681356216077,5.288091364790065e-4,7629,iscs,0,50,50,0,0,5,female_iscs,bristol
55,female,1.6477693320658363e-5,0.0014577997043979944,0.010971057661626262,7.838715511183812e-4,6580,iscs,0,50,55,1,0,5,female_iscs,bristol
56,female,1.6477693320658363e-5,0.0014577997043979944,0.010971057661626262,7.838715511183812e-4,6580,iscs,0,50,55,1,0,5,female_iscs,bristol
57,female,1.6477693320658363e-5,0.0014577997043979944,0.010971057661626262,7.838715511183812e-4,6580,iscs,0,50,55,1,0,5,female_iscs,bristol
58,female,1.6477693320658363e-5,0.0014577997043979944,0.010971057661626262,7.838715511183812e-4,6580,iscs,0,50,55,1,0,5,female_iscs,bristol
59,female,1.6477693320658363e-5,0.0014577997043979944,0.010971057661626262,7.838715511183812e-4,6580,iscs,0,50,55,1,0,5,female_iscs,bristol
60,female,5.1774788412641565e-5,0.0021847737839526538,0.01602084941029419,0.0012454128965674503,5725,iscs,0,50,60,1,0,5,female_iscs,bristol
61,female,5.1774788412641565e-5,0.0021847737839526538,0.01602084941029419,0.0012454128965674503,5725,iscs,0,50,60,1,0,5,female_iscs,bristol
62,female,5.1774788412641565e-5,0.0021847737839526538,0.01602084941029419,0.0012454128965674503,5725,iscs,0,50,60,1,0,5,female_iscs,bristol
63,female,5.1774788412641565e-5,0.0021847737839526538,0.01602084941029419,0.0012454128965674503,5725,iscs,0,50,60,1,0,5,female_iscs,bristol
64,female,5.1774788412641565e-5,0.0021847737839526538,0.01602084941029419,0.0012454128965674503,5725,iscs,0,50,60,1,0,5,female_iscs,bristol
65,female,1.0562025958828738e-4,0.0032725753747218436,0.023477876018507333,0.0019134996542386218,5670,iscs,0,50,65,1,1,5,female_iscs,bristol
66,female,1.0562025958828738e-4,0.0032725753747218436,0.023477876018507333,0.0019134996542386218,5670,iscs,0,50,65,1,1,5,female_iscs,bristol
67,female,1.0562025958828738e-4,0.0032725753747218436,0.023477876018507333,0.0019134996542386218,5670,iscs,0,50,65,1,1,5,female_iscs,bristol
68,female,1.0562025958828738e-4,0.0032725753747218436,0.023477876018507333,0.0019134996542386218,5670,iscs,0,50,65,1,1,5,female_iscs,bristol
69,female,1.0562025958828738e-4,0.0032725753747218436,0.023477876018507333,0.0019134996542386218,5670,iscs,0,50,65,1,1,5,female_iscs,bristol
70,female,3.1850992509277443e-4,0.005125065959823607,0.03365691857576869,0.002663022239585842,5104,iscs,0,50,70,2,2,5,female_iscs,bristol
71,female,3.1850992509277443e-4,0.005125065959823607,0.03365691857576869,0.002663022239585842,5104,iscs,0,50,70,2,2,5,female_iscs,bristol
72,female,3.1850992509277443e-4,0.005125065959823607,0.03365691857576869,0.002663022239585842,5104,iscs,0,50,70,2,2,5,female_iscs,bristol
73,female,3.1850992509277443e-4,0.005125065959823607,0.03365691857576869,0.002663022239585842,5104,iscs,0,50,70,2,2,5,female_iscs,bristol
74,female,3.1850992509277443e-4,0.005125065959823607,0.03365691857576869,0.002663022239585842,5104,iscs,0,50,70,2,2,5,female_iscs,bristol
75,female,8.082566383116386e-4,0.007975137611286029,0.04702488716519364,0.003489736598245829,3792,iscs,0,50,75,2,3,5,female_iscs,bristol
76,female,8.082566383116386e-4,0.007975137611286029,0.04702488716519364,0.003489736598245829,3792,iscs,0,50,75,2,3,5,female_iscs,bristol
77,female,8.082566383116386e-4,0.007975137611286029,0.04702488716519364,0.003489736598245829,3792,iscs,0,50,75,2,3,5,female_iscs,bristol
