age,sex,mort,ylds (years lived with disability)_rate_stmc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,6598,stmc,0,10,0,0,0,5,female_stmc,bristol
1,female,0,0,0,1e-8,6598,stmc,0,10,0,0,0,5,female_stmc,bristol
2,female,0,0,0,1e-8,6598,stmc,0,10,0,0,0,5,female_stmc,bristol
3,female,0,0,0,1e-8,6598,stmc,0,10,0,0,0,5,female_stmc,bristol
4,female,0,0,0,1e-8,6598,stmc,0,10,0,0,0,5,female_stmc,bristol
5,female,0,0,0,1e-8,6603,stmc,0,10,5,0,0,5,female_stmc,bristol
6,female,0,0,0,1e-8,6603,stmc,0,10,5,0,0,5,female_stmc,bristol
7,female,0,0,0,1e-8,6603,stmc,0,10,5,0,0,5,female_stmc,bristol
8,female,0,0,0,1e-8,6603,stmc,0,10,5,0,0,5,female_stmc,bristol
9,female,0,0,0,1e-8,6603,stmc,0,10,5,0,0,5,female_stmc,bristol
10,female,0,0,0,1e-8,6051,stmc,0,50,10,0,0,5,female_stmc,bristol
11,female,0,0,0,1e-8,6051,stmc,0,50,10,0,0,5,female_stmc,bristol
12,female,0,0,0,1e-8,6051,stmc,0,50,10,0,0,5,female_stmc,bristol
13,female,0,0,0,1e-8,6051,stmc,0,50,10,0,0,5,female_stmc,bristol
14,female,0,0,0,1e-8,6051,stmc,0,50,10,0,0,5,female_stmc,bristol
15,female,1.7250242160444044e-7,2.0078089341306704e-7,1.9480446052385284e-6,5.515351702455047e-7,6338,stmc,0,50,15,0,0,5,female_stmc,bristol
16,female,1.7250242160444044e-7,2.0078089341306704e-7,1.9480446052385284e-6,5.515351702455047e-7,6338,stmc,0,50,15,0,0,5,female_stmc,bristol
17,female,1.7250242160444044e-7,2.0078089341306704e-7,1.9480446052385284e-6,5.515351702455047e-7,6338,stmc,0,50,15,0,0,5,female_stmc,bristol
18,female,1.7250242160444044e-7,2.0078089341306704e-7,1.9480446052385284e-6,5.515351702455047e-7,6338,stmc,0,50,15,0,0,5,female_stmc,bristol
19,female,1.7250242160444044e-7,2.0078089341306704e-7,1.9480446052385284e-6,5.515351702455047e-7,6338,stmc,0,50,15,0,0,5,female_stmc,bristol
20,female,3.921670140790797e-7,5.146428763425046e-7,5.133170989946578e-6,1.3765972610166095e-6,7828,stmc,0,50,20,0,0,5,female_stmc,bristol
21,female,3.921670140790797e-7,5.146428763425046e-7,5.133170989946578e-6,1.3765972610166095e-6,7828,stmc,0,50,20,0,0,5,female_stmc,bristol
22,female,3.921670140790797e-7,5.146428763425046e-7,5.133170989946578e-6,1.3765972610166095e-6,7828,stmc,0,50,20,0,0,5,female_stmc,bristol
23,female,3.921670140790797e-7,5.146428763425046e-7,5.133170989946578e-6,1.3765972610166095e-6,7828,stmc,0,50,20,0,0,5,female_stmc,bristol
24,female,3.921670140790797e-7,5.146428763425046e-7,5.133170989946578e-6,1.3765972610166095e-6,7828,stmc,0,50,20,0,0,5,female_stmc,bristol
25,female,1.4039794974326344e-6,1.7673579543013052e-6,1.7633918770652656e-5,4.7235647128144475e-6,8833,stmc,0,50,25,0,0,5,female_stmc,bristol
26,female,1.4039794974326344e-6,1.7673579543013052e-6,1.7633918770652656e-5,4.7235647128144475e-6,8833,stmc,0,50,25,0,0,5,female_stmc,bristol
27,female,1.4039794974326344e-6,1.7673579543013052e-6,1.7633918770652656e-5,4.7235647128144475e-6,8833,stmc,0,50,25,0,0,5,female_stmc,bristol
28,female,1.4039794974326344e-6,1.7673579543013052e-6,1.7633918770652656e-5,4.7235647128144475e-6,8833,stmc,0,50,25,0,0,5,female_stmc,bristol
29,female,1.4039794974326344e-6,1.7673579543013052e-6,1.7633918770652656e-5,4.7235647128144475e-6,8833,stmc,0,50,25,0,0,5,female_stmc,bristol
30,female,3.345475654486049e-6,4.163384379391938e-6,4.2096000509001436e-5,1.0965633152184894e-5,7963,stmc,0,50,30,0,0,5,female_stmc,bristol
31,female,3.345475654486049e-6,4.163384379391938e-6,4.2096000509001436e-5,1.0965633152184894e-5,7963,stmc,0,50,30,0,0,5,female_stmc,bristol
32,female,3.345475654486049e-6,4.163384379391938e-6,4.2096000509001436e-5,1.0965633152184894e-5,7963,stmc,0,50,30,0,0,5,female_stmc,bristol
33,female,3.345475654486049e-6,4.163384379391938e-6,4.2096000509001436e-5,1.0965633152184894e-5,7963,stmc,0,50,30,0,0,5,female_stmc,bristol
34,female,3.345475654486049e-6,4.163384379391938e-6,4.2096000509001436e-5,1.0965633152184894e-5,7963,stmc,0,50,30,0,0,5,female_stmc,bristol
35,female,6.277287421220051e-6,6.556894004515664e-6,6.361681859020157e-5,1.792901345243239e-5,7482,stmc,0,50,35,0,0,5,female_stmc,bristol
36,female,6.277287421220051e-6,6.556894004515664e-6,6.361681859020157e-5,1.792901345243239e-5,7482,stmc,0,50,35,0,0,5,female_stmc,bristol
37,female,6.277287421220051e-6,6.556894004515664e-6,6.361681859020157e-5,1.792901345243239e-5,7482,stmc,0,50,35,0,0,5,female_stmc,bristol
38,female,6.277287421220051e-6,6.556894004515664e-6,6.361681859020157e-5,1.792901345243239e-5,7482,stmc,0,50,35,0,0,5,female_stmc,bristol
39,female,6.277287421220051e-6,6.556894004515664e-6,6.361681859020157e-5,1.792901345243239e-5,7482,stmc,0,50,35,0,0,5,female_stmc,bristol
40,female,1.1187724762126368e-5,1.0051592254866691e-5,9.593893838837402e-5,2.7856534472091804e-5,6901,stmc,0,50,40,0,0,5,female_stmc,bristol
41,female,1.1187724762126368e-5,1.0051592254866691e-5,9.593893838837402e-5,2.7856534472091804e-5,6901,stmc,0,50,40,0,0,5,female_stmc,bristol
42,female,1.1187724762126368e-5,1.0051592254866691e-5,9.593893838837402e-5,2.7856534472091804e-5,6901,stmc,0,50,40,0,0,5,female_stmc,bristol
43,female,1.1187724762126368e-5,1.0051592254866691e-5,9.593893838837402e-5,2.7856534472091804e-5,6901,stmc,0,50,40,0,0,5,female_stmc,bristol
44,female,1.1187724762126368e-5,1.0051592254866691e-5,9.593893838837402e-5,2.7856534472091804e-5,6901,stmc,0,50,40,0,0,5,female_stmc,bristol
45,female,1.7261763866139537e-5,1.5119582377744376e-5,1.4681048247716633e-4,4.1931882694041526e-5,7531,stmc,0,50,45,0,0,5,female_stmc,bristol
46,female,1.7261763866139537e-5,1.5119582377744376e-5,1.4681048247716633e-4,4.1931882694041526e-5,7531,stmc,0,50,45,0,0,5,female_stmc,bristol
47,female,1.7261763866139537e-5,1.5119582377744376e-5,1.4681048247716633e-4,4.1931882694041526e-5,7531,stmc,0,50,45,0,0,5,female_stmc,bristol
48,female,1.7261763866139537e-5,1.5119582377744376e-5,1.4681048247716633e-4,4.1931882694041526e-5,7531,stmc,0,50,45,0,0,5,female_stmc,bristol
49,female,1.7261763866139537e-5,1.5119582377744376e-5,1.4681048247716633e-4,4.1931882694041526e-5,7531,stmc,0,50,45,0,0,5,female_stmc,bristol
50,female,2.6706426748490544e-5,2.1244117760340516e-5,2.0691774509564673e-4,6.053594786441481e-5,7629,stmc,0,50,50,0,0,5,female_stmc,bristol
51,female,2.6706426748490544e-5,2.1244117760340516e-5,2.0691774509564673e-4,6.053594786441481e-5,7629,stmc,0,50,50,0,0,5,female_stmc,bristol
52,female,2.6706426748490544e-5,2.1244117760340516e-5,2.0691774509564673e-4,6.053594786441481e-5,7629,stmc,0,50,50,0,0,5,female_stmc,bristol
