age,sex,mort,ylds (years lived with disability)_rate_iscs,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,3.877153836039816e-7,1.5203083978031477e-5,1.2776449463152136e-4,3.9635888642072345e-5,6980,iscs,0,10,0,0,0,5,male_iscs,bristol
1,male,3.877153836039816e-7,1.5203083978031477e-5,1.2776449463152136e-4,3.9635888642072345e-5,6980,iscs,0,10,0,0,0,5,male_iscs,bristol
2,male,3.877153836039816e-7,1.5203083978031477e-5,1.2776449463152136e-4,3.9635888642072345e-5,6980,iscs,0,10,0,0,0,5,male_iscs,bristol
3,male,3.877153836039816e-7,1.5203083978031477e-5,1.2776449463152136e-4,3.9635888642072345e-5,6980,iscs,0,10,0,0,0,5,male_iscs,bristol
4,male,3.877153836039816e-7,1.5203083978031477e-5,1.2776449463152136e-4,3.9635888642072345e-5,6980,iscs,0,10,0,0,0,5,male_iscs,bristol
5,male,6.079196772689444e-8,4.073562772160799e-5,3.4611882686836357e-4,3.010028939419975e-5,6917,iscs,0,10,5,0,0,5,male_iscs,bristol
6,male,6.079196772689444e-8,4.073562772160799e-5,3.4611882686836357e-4,3.010028939419975e-5,6917,iscs,0,10,5,0,0,5,male_iscs,bristol
7,male,6.079196772689444e-8,4.073562772160799e-5,3.4611882686836357e-4,3.010028939419975e-5,6917,iscs,0,10,5,0,0,5,male_iscs,bristol
8,male,6.079196772689444e-8,4.073562772160799e-5,3.4611882686836357e-4,3.010028939419975e-5,6917,iscs,0,10,5,0,0,5,male_iscs,bristol
9,male,6.079196772689444e-8,4.073562772160799e-5,3.4611882686836357e-4,3.010028939419975e-5,6917,iscs,0,10,5,0,0,5,male_iscs,bristol
10,male,6.421322295364604e-8,6.489304872562043e-5,5.419692565530272e-4,2.7630872592886736e-5,6234,iscs,0,50,10,0,0,5,male_iscs,bristol
