age,sex,mort,ylds (years lived with disability)_rate_lvrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,6980,lvrc,0,10,0,0,0,5,male_lvrc,bristol
1,male,0,0,0,1e-8,6980,lvrc,0,10,0,0,0,5,male_lvrc,bristol
2,male,0,0,0,1e-8,6980,lvrc,0,10,0,0,0,5,male_lvrc,bristol
3,male,0,0,0,1e-8,6980,lvrc,0,10,0,0,0,5,male_lvrc,bristol
4,male,0,0,0,1e-8,6980,lvrc,0,10,0,0,0,5,male_lvrc,bristol
5,male,2.8202498122932607e-7,2.9642415209098656e-7,0,1.4345130995696148e-6,6917,lvrc,0,10,5,0,0,5,male_lvrc,bristol
6,male,2.8202498122932607e-7,2.9642415209098656e-7,0,1.4345130995696148e-6,6917,lvrc,0,10,5,0,0,5,male_lvrc,bristol
7,male,2.8202498122932607e-7,2.9642415209098656e-7,0,1.4345130995696148e-6,6917,lvrc,0,10,5,0,0,5,male_lvrc,bristol
8,male,2.8202498122932607e-7,2.9642415209098656e-7,0,1.4345130995696148e-6,6917,lvrc,0,10,5,0,0,5,male_lvrc,bristol
9,male,2.8202498122932607e-7,2.9642415209098656e-7,0,1.4345130995696148e-6,6917,lvrc,0,10,5,0,0,5,male_lvrc,bristol
10,male,4.272936949913202e-7,4.4912975802141736e-7,0,2.128204088366775e-6,6234,lvrc,0,50,10,0,0,5,male_lvrc,bristol
11,male,4.272936949913202e-7,4.4912975802141736e-7,0,2.128204088366775e-6,6234,lvrc,0,50,10,0,0,5,male_lvrc,bristol
12,male,4.272936949913202e-7,4.4912975802141736e-7,0,2.128204088366775e-6,6234,lvrc,0,50,10,0,0,5,male_lvrc,bristol
13,male,4.272936949913202e-7,4.4912975802141736e-7,0,2.128204088366775e-6,6234,lvrc,0,50,10,0,0,5,male_lvrc,bristol
14,male,4.272936949913202e-7,4.4912975802141736e-7,0,2.128204088366775e-6,6234,lvrc,0,50,10,0,0,5,male_lvrc,bristol
15,male,5.260536352918002e-7,6.815557424870294e-7,0,3.2213608999134906e-6,6436,lvrc,0,50,15,0,0,5,male_lvrc,bristol
16,male,5.260536352918002e-7,6.815557424870294e-7,0,3.2213608999134906e-6,6436,lvrc,0,50,15,0,0,5,male_lvrc,bristol
17,male,5.260536352918002e-7,6.815557424870294e-7,0,3.2213608999134906e-6,6436,lvrc,0,50,15,0,0,5,male_lvrc,bristol
18,male,5.260536352918002e-7,6.815557424870294e-7,0,3.2213608999134906e-6,6436,lvrc,0,50,15,0,0,5,male_lvrc,bristol
19,male,5.260536352918002e-7,6.815557424870294e-7,0,3.2213608999134906e-6,6436,lvrc,0,50,15,0,0,5,male_lvrc,bristol
20,male,9.052433011716576e-7,1.2442394611185833e-6,0,5.906740477366014e-6,7845,lvrc,0,50,20,0,0,5,male_lvrc,bristol
21,male,9.052433011716576e-7,1.2442394611185833e-6,0,5.906740477366014e-6,7845,lvrc,0,50,20,0,0,5,male_lvrc,bristol
22,male,9.052433011716576e-7,1.2442394611185833e-6,0,5.906740477366014e-6,7845,lvrc,0,50,20,0,0,5,male_lvrc,bristol
23,male,9.052433011716576e-7,1.2442394611185833e-6,0,5.906740477366014e-6,7845,lvrc,0,50,20,0,0,5,male_lvrc,bristol
24,male,9.052433011716576e-7,1.2442394611185833e-6,0,5.906740477366014e-6,7845,lvrc,0,50,20,0,0,5,male_lvrc,bristol
25,male,1.5680935133692208e-6,1.3619832492146296e-6,0,4.981613564931409e-6,9023,lvrc,0,50,25,0,0,5,male_lvrc,bristol
26,male,1.5680935133692208e-6,1.3619832492146296e-6,0,4.981613564931409e-6,9023,lvrc,0,50,25,0,0,5,male_lvrc,bristol
27,male,1.5680935133692208e-6,1.3619832492146296e-6,0,4.981613564931409e-6,9023,lvrc,0,50,25,0,0,5,male_lvrc,bristol
28,male,1.5680935133692208e-6,1.3619832492146296e-6,0,4.981613564931409e-6,9023,lvrc,0,50,25,0,0,5,male_lvrc,bristol
29,male,1.5680935133692208e-6,1.3619832492146296e-6,0,4.981613564931409e-6,9023,lvrc,0,50,25,0,0,5,male_lvrc,bristol
30,male,2.955751886752346e-6,3.009014993154834e-6,0,1.0559407337069863e-5,8448,lvrc,0,50,30,0,0,5,male_lvrc,bristol
31,male,2.955751886752346e-6,3.009014993154834e-6,0,1.0559407337069863e-5,8448,lvrc,0,50,30,0,0,5,male_lvrc,bristol
32,male,2.955751886752346e-6,3.009014993154834e-6,0,1.0559407337069863e-5,8448,lvrc,0,50,30,0,0,5,male_lvrc,bristol
33,male,2.955751886752346e-6,3.009014993154834e-6,0,1.0559407337069863e-5,8448,lvrc,0,50,30,0,0,5,male_lvrc,bristol
34,male,2.955751886752346e-6,3.009014993154834e-6,0,1.0559407337069863e-5,8448,lvrc,0,50,30,0,0,5,male_lvrc,bristol
35,male,3.938529255534157e-6,2.9821441630170487e-6,0,9.813097469656636e-6,7997,lvrc,0,50,35,0,0,5,male_lvrc,bristol
36,male,3.938529255534157e-6,2.9821441630170487e-6,0,9.813097469656636e-6,7997,lvrc,0,50,35,0,0,5,male_lvrc,bristol
37,male,3.938529255534157e-6,2.9821441630170487e-6,0,9.813097469656636e-6,7997,lvrc,0,50,35,0,0,5,male_lvrc,bristol
38,male,3.938529255534157e-6,2.9821441630170487e-6,0,9.813097469656636e-6,7997,lvrc,0,50,35,0,0,5,male_lvrc,bristol
39,male,3.938529255534157e-6,2.9821441630170487e-6,0,9.813097469656636e-6,7997,lvrc,0,50,35,0,0,5,male_lvrc,bristol
40,male,1.0555096931941626e-5,7.193087369923879e-6,0,2.3876465596859217e-5,7179,lvrc,0,50,40,0,0,5,male_lvrc,bristol
41,male,1.0555096931941626e-5,7.193087369923879e-6,0,2.3876465596859217e-5,7179,lvrc,0,50,40,0,0,5,male_lvrc,bristol
