age,sex,mort,ylds (years lived with disability)_rate_stmc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,6980,stmc,0,10,0,0,0,5,male_stmc,bristol
1,male,0,0,0,1e-8,6980,stmc,0,10,0,0,0,5,male_stmc,bristol
2,male,0,0,0,1e-8,6980,stmc,0,10,0,0,0,5,male_stmc,bristol
3,male,0,0,0,1e-8,6980,stmc,0,10,0,0,0,5,male_stmc,bristol
4,male,0,0,0,1e-8,6980,stmc,0,10,0,0,0,5,male_stmc,bristol
5,male,0,0,0,1e-8,6917,stmc,0,10,5,0,0,5,male_stmc,bristol
6,male,0,0,0,1e-8,6917,stmc,0,10,5,0,0,5,male_stmc,bristol
7,male,0,0,0,1e-8,6917,stmc,0,10,5,0,0,5,male_stmc,bristol
8,male,0,0,0,1e-8,6917,stmc,0,10,5,0,0,5,male_stmc,bristol
9,male,0,0,0,1e-8,6917,stmc,0,10,5,0,0,5,male_stmc,bristol
10,male,0,0,0,1e-8,6234,stmc,0,50,10,0,0,5,male_stmc,bristol
11,male,0,0,0,1e-8,6234,stmc,0,50,10,0,0,5,male_stmc,bristol
12,male,0,0,0,1e-8,6234,stmc,0,50,10,0,0,5,male_stmc,bristol
13,male,0,0,0,1e-8,6234,stmc,0,50,10,0,0,5,male_stmc,bristol
14,male,0,0,0,1e-8,6234,stmc,0,50,10,0,0,5,male_stmc,bristol
15,male,1.2582738512396012e-7,3.281507016362271e-7,3.44872893464394e-6,7.741797839975e-7,6436,stmc,0,50,15,0,0,5,male_stmc,bristol
16,male,1.2582738512396012e-7,3.281507016362271e-7,3.44872893464394e-6,7.741797839975e-7,6436,stmc,0,50,15,0,0,5,male_stmc,bristol
17,male,1.2582738512396012e-7,3.281507016362271e-7,3.44872893464394e-6,7.741797839975e-7,6436,stmc,0,50,15,0,0,5,male_stmc,bristol
18,male,1.2582738512396012e-7,3.281507016362271e-7,3.44872893464394e-6,7.741797839975e-7,6436,stmc,0,50,15,0,0,5,male_stmc,bristol
19,male,1.2582738512396012e-7,3.281507016362271e-7,3.44872893464394e-6,7.741797839975e-7,6436,stmc,0,50,15,0,0,5,male_stmc,bristol
20,male,3.7371381030010704e-7,7.463533667629859e-7,7.797629592770186e-6,1.7741019513968246e-6,7845,stmc,0,50,20,0,0,5,male_stmc,bristol
21,male,3.7371381030010704e-7,7.463533667629859e-7,7.797629592770186e-6,1.7741019513968246e-6,7845,stmc,0,50,20,0,0,5,male_stmc,bristol
22,male,3.7371381030010704e-7,7.463533667629859e-7,7.797629592770186e-6,1.7741019513968246e-6,7845,stmc,0,50,20,0,0,5,male_stmc,bristol
23,male,3.7371381030010704e-7,7.463533667629859e-7,7.797629592770186e-6,1.7741019513968246e-6,7845,stmc,0,50,20,0,0,5,male_stmc,bristol
24,male,3.7371381030010704e-7,7.463533667629859e-7,7.797629592770186e-6,1.7741019513968246e-6,7845,stmc,0,50,20,0,0,5,male_stmc,bristol
25,male,1.086556035331308e-6,1.599520628555955e-6,1.595360487893651e-5,3.995831195848552e-6,9023,stmc,0,50,25,0,0,5,male_stmc,bristol
26,male,1.086556035331308e-6,1.599520628555955e-6,1.595360487893651e-5,3.995831195848552e-6,9023,stmc,0,50,25,0,0,5,male_stmc,bristol
27,male,1.086556035331308e-6,1.599520628555955e-6,1.595360487893651e-5,3.995831195848552e-6,9023,stmc,0,50,25,0,0,5,male_stmc,bristol
28,male,1.086556035331308e-6,1.599520628555955e-6,1.595360487893651e-5,3.995831195848552e-6,9023,stmc,0,50,25,0,0,5,male_stmc,bristol
29,male,1.086556035331308e-6,1.599520628555955e-6,1.595360487893651e-5,3.995831195848552e-6,9023,stmc,0,50,25,0,0,5,male_stmc,bristol
30,male,2.886602626151132e-6,4.096866770981217e-6,4.143085981712362e-5,1.0080896273746811e-5,8448,stmc,0,50,30,0,0,5,male_stmc,bristol
31,male,2.886602626151132e-6,4.096866770981217e-6,4.143085981712362e-5,1.0080896273746811e-5,8448,stmc,0,50,30,0,0,5,male_stmc,bristol
32,male,2.886602626151132e-6,4.096866770981217e-6,4.143085981712362e-5,1.0080896273746811e-5,8448,stmc,0,50,30,0,0,5,male_stmc,bristol
33,male,2.886602626151132e-6,4.096866770981217e-6,4.143085981712362e-5,1.0080896273746811e-5,8448,stmc,0,50,30,0,0,5,male_stmc,bristol
34,male,2.886602626151132e-6,4.096866770981217e-6,4.143085981712362e-5,1.0080896273746811e-5,8448,stmc,0,50,30,0,0,5,male_stmc,bristol
35,male,6.444258381639916e-6,9.319160127961074e-6,9.472947171797689e-5,2.279961241495867e-5,7997,stmc,0,50,35,0,0,5,male_stmc,bristol
36,male,6.444258381639916e-6,9.319160127961074e-6,9.472947171797689e-5,2.279961241495867e-5,7997,stmc,0,50,35,0,0,5,male_stmc,bristol
37,male,6.444258381639916e-6,9.319160127961074e-6,9.472947171797689e-5,2.279961241495867e-5,7997,stmc,0,50,35,0,0,5,male_stmc,bristol
38,male,6.444258381639916e-6,9.319160127961074e-6,9.472947171797689e-5,2.279961241495867e-5,7997,stmc,0,50,35,0,0,5,male_stmc,bristol
39,male,6.444258381639916e-6,9.319160127961074e-6,9.472947171797689e-5,2.279961241495867e-5,7997,stmc,0,50,35,0,0,5,male_stmc,bristol
40,male,1.5870051229813833e-5,2.04244855582794e-5,2.1153149276364542e-4,5.113403409022924e-5,7179,stmc,0,50,40,0,0,5,male_stmc,bristol
41,male,1.5870051229813833e-5,2.04244855582794e-5,2.1153149276364542e-4,5.113403409022924e-5,7179,stmc,0,50,40,0,0,5,male_stmc,bristol
42,male,1.5870051229813833e-5,2.04244855582794e-5,2.1153149276364542e-4,5.113403409022924e-5,7179,stmc,0,50,40,0,0,5,male_stmc,bristol
43,male,1.5870051229813833e-5,2.04244855582794e-5,2.1153149276364542e-4,5.113403409022924e-5,7179,stmc,0,50,40,0,0,5,male_stmc,bristol
44,male,1.5870051229813833e-5,2.04244855582794e-5,2.1153149276364542e-4,5.113403409022924e-5,7179,stmc,0,50,40,0,0,5,male_stmc,bristol
45,male,3.03019152282513e-5,3.4256548378603464e-5,3.46757076899829e-4,8.72466669699293e-5,7628,stmc,0,50,45,0,0,5,male_stmc,bristol
46,male,3.03019152282513e-5,3.4256548378603464e-5,3.46757076899829e-4,8.72466669699293e-5,7628,stmc,0,50,45,0,0,5,male_stmc,bristol
47,male,3.03019152282513e-5,3.4256548378603464e-5,3.46757076899829e-4,8.72466669699293e-5,7628,stmc,0,50,45,0,0,5,male_stmc,bristol
