age,sex,mort,ylds (years lived with disability)_rate_brsc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,17920,brsc,0,10,0,0,0,5,female_brsc,greatermanchester
1,female,0,0,0,1e-8,17920,brsc,0,10,0,0,0,5,female_brsc,greatermanchester
2,female,0,0,0,1e-8,17920,brsc,0,10,0,0,0,5,female_brsc,greatermanchester
3,female,0,0,0,1e-8,17920,brsc,0,10,0,0,0,5,female_brsc,greatermanchester
4,female,0,0,0,1e-8,17920,brsc,0,10,0,0,0,5,female_brsc,greatermanchester
5,female,0,0,0,1e-8,18647,brsc,0,10,5,0,0,5,female_brsc,greatermanchester
6,female,0,0,0,1e-8,18647,brsc,0,10,5,0,0,5,female_brsc,greatermanchester
7,female,0,0,0,1e-8,18647,brsc,0,10,5,0,0,5,female_brsc,greatermanchester
8,female,0,0,0,1e-8,18647,brsc,0,10,5,0,0,5,female_brsc,greatermanchester
9,female,0,0,0,1e-8,18647,brsc,0,10,5,0,0,5,female_brsc,greatermanchester
10,female,0,0,0,1e-8,16775,brsc,0,50,10,0,0,5,female_brsc,greatermanchester
11,female,0,0,0,1e-8,16775,brsc,0,50,10,0,0,5,female_brsc,greatermanchester
12,female,0,0,0,1e-8,16775,brsc,0,50,10,0,0,5,female_brsc,greatermanchester
13,female,0,0,0,1e-8,16775,brsc,0,50,10,0,0,5,female_brsc,greatermanchester
14,female,0,0,0,1e-8,16775,brsc,0,50,10,0,0,5,female_brsc,greatermanchester
15,female,2.0106995327645647e-7,1.917204727279012e-6,2.3573843520591886e-5,2.375583583809621e-6,16204,brsc,0,50,15,0,0,5,female_brsc,greatermanchester
16,female,2.0106995327645647e-7,1.917204727279012e-6,2.3573843520591886e-5,2.375583583809621e-6,16204,brsc,0,50,15,0,0,5,female_brsc,greatermanchester
17,female,2.0106995327645647e-7,1.917204727279012e-6,2.3573843520591886e-5,2.375583583809621e-6,16204,brsc,0,50,15,0,0,5,female_brsc,greatermanchester
18,female,2.0106995327645647e-7,1.917204727279012e-6,2.3573843520591886e-5,2.375583583809621e-6,16204,brsc,0,50,15,0,0,5,female_brsc,greatermanchester
19,female,2.0106995327645647e-7,1.917204727279012e-6,2.3573843520591886e-5,2.375583583809621e-6,16204,brsc,0,50,15,0,0,5,female_brsc,greatermanchester
20,female,8.861326329560413e-7,9.965468081898666e-6,1.2060146164822965e-4,1.2272699464970238e-5,18708,brsc,0,50,20,0,0,5,female_brsc,greatermanchester
21,female,8.861326329560413e-7,9.965468081898666e-6,1.2060146164822965e-4,1.2272699464970238e-5,18708,brsc,0,50,20,0,0,5,female_brsc,greatermanchester
22,female,8.861326329560413e-7,9.965468081898666e-6,1.2060146164822965e-4,1.2272699464970238e-5,18708,brsc,0,50,20,0,0,5,female_brsc,greatermanchester
23,female,8.861326329560413e-7,9.965468081898666e-6,1.2060146164822965e-4,1.2272699464970238e-5,18708,brsc,0,50,20,0,0,5,female_brsc,greatermanchester
24,female,8.861326329560413e-7,9.965468081898666e-6,1.2060146164822965e-4,1.2272699464970238e-5,18708,brsc,0,50,20,0,0,5,female_brsc,greatermanchester
25,female,6.191975946778935e-6,7.33630422278214e-5,8.65214653408803e-4,9.76731744652697e-5,22105,brsc,0,50,25,0,0,5,female_brsc,greatermanchester
26,female,6.191975946778935e-6,7.33630422278214e-5,8.65214653408803e-4,9.76731744652697e-5,22105,brsc,0,50,25,0,0,5,female_brsc,greatermanchester
27,female,6.191975946778935e-6,7.33630422278214e-5,8.65214653408803e-4,9.76731744652697e-5,22105,brsc,0,50,25,0,0,5,female_brsc,greatermanchester
28,female,6.191975946778935e-6,7.33630422278214e-5,8.65214653408803e-4,9.76731744652697e-5,22105,brsc,0,50,25,0,0,5,female_brsc,greatermanchester
29,female,6.191975946778935e-6,7.33630422278214e-5,8.65214653408803e-4,9.76731744652697e-5,22105,brsc,0,50,25,0,0,5,female_brsc,greatermanchester
30,female,3.340452178586914e-5,2.486698040659994e-4,0.0029689338173072037,3.423046212416157e-4,21601,brsc,0,50,30,0,1,5,female_brsc,greatermanchester
31,female,3.340452178586914e-5,2.486698040659994e-4,0.0029689338173072037,3.423046212416157e-4,21601,brsc,0,50,30,0,1,5,female_brsc,greatermanchester
32,female,3.340452178586914e-5,2.486698040659994e-4,0.0029689338173072037,3.423046212416157e-4,21601,brsc,0,50,30,0,1,5,female_brsc,greatermanchester
33,female,3.340452178586914e-5,2.486698040659994e-4,0.0029689338173072037,3.423046212416157e-4,21601,brsc,0,50,30,0,1,5,female_brsc,greatermanchester
34,female,3.340452178586914e-5,2.486698040659994e-4,0.0029689338173072037,3.423046212416157e-4,21601,brsc,0,50,30,0,1,5,female_brsc,greatermanchester
35,female,8.633762535423603e-5,5.211457516553647e-4,0.006408712457147923,7.355569588944053e-4,19614,brsc,0,50,35,0,2,5,female_brsc,greatermanchester
36,female,8.633762535423603e-5,5.211457516553647e-4,0.006408712457147923,7.355569588944053e-4,19614,brsc,0,50,35,0,2,5,female_brsc,greatermanchester
37,female,8.633762535423603e-5,5.211457516553647e-4,0.006408712457147923,7.355569588944053e-4,19614,brsc,0,50,35,0,2,5,female_brsc,greatermanchester
38,female,8.633762535423603e-5,5.211457516553647e-4,0.006408712457147923,7.355569588944053e-4,19614,brsc,0,50,35,0,2,5,female_brsc,greatermanchester
39,female,8.633762535423603e-5,5.211457516553647e-4,0.006408712457147923,7.355569588944053e-4,19614,brsc,0,50,35,0,2,5,female_brsc,greatermanchester
40,female,1.6387104712141406e-4,9.40931198707596e-4,0.011721880420482177,0.0013300869693097799,17730,brsc,0,50,40,1,3,5,female_brsc,greatermanchester
41,female,1.6387104712141406e-4,9.40931198707596e-4,0.011721880420482177,0.0013300869693097799,17730,brsc,0,50,40,1,3,5,female_brsc,greatermanchester
42,female,1.6387104712141406e-4,9.40931198707596e-4,0.011721880420482177,0.0013300869693097799,17730,brsc,0,50,40,1,3,5,female_brsc,greatermanchester
43,female,1.6387104712141406e-4,9.40931198707596e-4,0.011721880420482177,0.0013300869693097799,17730,brsc,0,50,40,1,3,5,female_brsc,greatermanchester
44,female,1.6387104712141406e-4,9.40931198707596e-4,0.011721880420482177,0.0013300869693097799,17730,brsc,0,50,40,1,3,5,female_brsc,greatermanchester
45,female,2.737194237075575e-4,0.001457684044859961,0.018283038535173,0.002040960924814666,19811,brsc,0,50,45,1,5,5,female_brsc,greatermanchester
46,female,2.737194237075575e-4,0.001457684044859961,0.018283038535173,0.002040960924814666,19811,brsc,0,50,45,1,5,5,female_brsc,greatermanchester
47,female,2.737194237075575e-4,0.001457684044859961,0.018283038535173,0.002040960924814666,19811,brsc,0,50,45,1,5,5,female_brsc,greatermanchester
48,female,2.737194237075575e-4,0.001457684044859961,0.018283038535173,0.002040960924814666,19811,brsc,0,50,45,1,5,5,female_brsc,greatermanchester
49,female,2.737194237075575e-4,0.001457684044859961,0.018283038535173,0.002040960924814666,19811,brsc,0,50,45,1,5,5,female_brsc,greatermanchester
50,female,3.985567241786144e-4,0.0017225914227216536,0.022041092663217954,0.0024023984424270386,19394,brsc,0,50,50,1,8,5,female_brsc,greatermanchester
51,female,3.985567241786144e-4,0.0017225914227216536,0.022041092663217954,0.0024023984424270386,19394,brsc,0,50,50,1,8,5,female_brsc,greatermanchester
52,female,3.985567241786144e-4,0.0017225914227216536,0.022041092663217954,0.0024023984424270386,19394,brsc,0,50,50,1,8,5,female_brsc,greatermanchester
