age,sex,mort,ylds (years lived with disability)_rate_carc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,17920,carc,0,10,0,0,0,5,female_carc,greatermanchester
1,female,0,0,0,1e-8,17920,carc,0,10,0,0,0,5,female_carc,greatermanchester
2,female,0,0,0,1e-8,17920,carc,0,10,0,0,0,5,female_carc,greatermanchester
3,female,0,0,0,1e-8,17920,carc,0,10,0,0,0,5,female_carc,greatermanchester
4,female,0,0,0,1e-8,17920,carc,0,10,0,0,0,5,female_carc,greatermanchester
5,female,0,0,0,1e-8,18647,carc,0,10,5,0,0,5,female_carc,greatermanchester
6,female,0,0,0,1e-8,18647,carc,0,10,5,0,0,5,female_carc,greatermanchester
7,female,0,0,0,1e-8,18647,carc,0,10,5,0,0,5,female_carc,greatermanchester
8,female,0,0,0,1e-8,18647,carc,0,10,5,0,0,5,female_carc,greatermanchester
9,female,0,0,0,1e-8,18647,carc,0,10,5,0,0,5,female_carc,greatermanchester
10,female,0,0,0,1e-8,16775,carc,0,50,10,0,0,5,female_carc,greatermanchester
11,female,0,0,0,1e-8,16775,carc,0,50,10,0,0,5,female_carc,greatermanchester
12,female,0,0,0,1e-8,16775,carc,0,50,10,0,0,5,female_carc,greatermanchester
13,female,0,0,0,1e-8,16775,carc,0,50,10,0,0,5,female_carc,greatermanchester
14,female,0,0,0,1e-8,16775,carc,0,50,10,0,0,5,female_carc,greatermanchester
15,female,2.97613938362715e-7,1.0348572059293272e-6,9.29678856158974e-6,1.3476941408941936e-6,16204,carc,0,50,15,0,0,5,female_carc,greatermanchester
16,female,2.97613938362715e-7,1.0348572059293272e-6,9.29678856158974e-6,1.3476941408941936e-6,16204,carc,0,50,15,0,0,5,female_carc,greatermanchester
17,female,2.97613938362715e-7,1.0348572059293272e-6,9.29678856158974e-6,1.3476941408941936e-6,16204,carc,0,50,15,0,0,5,female_carc,greatermanchester
18,female,2.97613938362715e-7,1.0348572059293272e-6,9.29678856158974e-6,1.3476941408941936e-6,16204,carc,0,50,15,0,0,5,female_carc,greatermanchester
19,female,2.97613938362715e-7,1.0348572059293272e-6,9.29678856158974e-6,1.3476941408941936e-6,16204,carc,0,50,15,0,0,5,female_carc,greatermanchester
