age,sex,mort,ylds (years lived with disability)_rate_ishd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,17920,ishd,0,10,0,0,0,5,female_ishd,greatermanchester
1,female,0,0,0,1e-8,17920,ishd,0,10,0,0,0,5,female_ishd,greatermanchester
2,female,0,0,0,1e-8,17920,ishd,0,10,0,0,0,5,female_ishd,greatermanchester
3,female,0,0,0,1e-8,17920,ishd,0,10,0,0,0,5,female_ishd,greatermanchester
4,female,0,0,0,1e-8,17920,ishd,0,10,0,0,0,5,female_ishd,greatermanchester
5,female,0,0,0,1e-8,18647,ishd,0,10,5,0,0,5,female_ishd,greatermanchester
6,female,0,0,0,1e-8,18647,ishd,0,10,5,0,0,5,female_ishd,greatermanchester
7,female,0,0,0,1e-8,18647,ishd,0,10,5,0,0,5,female_ishd,greatermanchester
8,female,0,0,0,1e-8,18647,ishd,0,10,5,0,0,5,female_ishd,greatermanchester
9,female,0,0,0,1e-8,18647,ishd,0,10,5,0,0,5,female_ishd,greatermanchester
10,female,0,0,0,1e-8,16775,ishd,0,50,10,0,0,5,female_ishd,greatermanchester
11,female,0,0,0,1e-8,16775,ishd,0,50,10,0,0,5,female_ishd,greatermanchester
12,female,0,0,0,1e-8,16775,ishd,0,50,10,0,0,5,female_ishd,greatermanchester
13,female,0,0,0,1e-8,16775,ishd,0,50,10,0,0,5,female_ishd,greatermanchester
14,female,0,0,0,1e-8,16775,ishd,0,50,10,0,0,5,female_ishd,greatermanchester
15,female,8.058844320373693e-7,4.65257994004192e-6,1.2691899187497e-4,1.6802956505299874e-5,16204,ishd,0,50,15,0,0,5,female_ishd,greatermanchester
16,female,8.058844320373693e-7,4.65257994004192e-6,1.2691899187497e-4,1.6802956505299874e-5,16204,ishd,0,50,15,0,0,5,female_ishd,greatermanchester
17,female,8.058844320373693e-7,4.65257994004192e-6,1.2691899187497e-4,1.6802956505299874e-5,16204,ishd,0,50,15,0,0,5,female_ishd,greatermanchester
18,female,8.058844320373693e-7,4.65257994004192e-6,1.2691899187497e-4,1.6802956505299874e-5,16204,ishd,0,50,15,0,0,5,female_ishd,greatermanchester
19,female,8.058844320373693e-7,4.65257994004192e-6,1.2691899187497e-4,1.6802956505299874e-5,16204,ishd,0,50,15,0,0,5,female_ishd,greatermanchester
20,female,1.7256017087270068e-6,2.0333426780837717e-5,4.126570344763764e-4,3.927113679935361e-5,18708,ishd,0,50,20,0,0,5,female_ishd,greatermanchester
21,female,1.7256017087270068e-6,2.0333426780837717e-5,4.126570344763764e-4,3.927113679935361e-5,18708,ishd,0,50,20,0,0,5,female_ishd,greatermanchester
22,female,1.7256017087270068e-6,2.0333426780837717e-5,4.126570344763764e-4,3.927113679935361e-5,18708,ishd,0,50,20,0,0,5,female_ishd,greatermanchester
23,female,1.7256017087270068e-6,2.0333426780837717e-5,4.126570344763764e-4,3.927113679935361e-5,18708,ishd,0,50,20,0,0,5,female_ishd,greatermanchester
24,female,1.7256017087270068e-6,2.0333426780837717e-5,4.126570344763764e-4,3.927113679935361e-5,18708,ishd,0,50,20,0,0,5,female_ishd,greatermanchester
25,female,2.7705960538439504e-6,4.1977377229069374e-5,8.862828932300231e-4,5.061677990318353e-5,22105,ishd,0,50,25,0,0,5,female_ishd,greatermanchester
26,female,2.7705960538439504e-6,4.1977377229069374e-5,8.862828932300231e-4,5.061677990318353e-5,22105,ishd,0,50,25,0,0,5,female_ishd,greatermanchester
27,female,2.7705960538439504e-6,4.1977377229069374e-5,8.862828932300231e-4,5.061677990318353e-5,22105,ishd,0,50,25,0,0,5,female_ishd,greatermanchester
28,female,2.7705960538439504e-6,4.1977377229069374e-5,8.862828932300231e-4,5.061677990318353e-5,22105,ishd,0,50,25,0,0,5,female_ishd,greatermanchester
29,female,2.7705960538439504e-6,4.1977377229069374e-5,8.862828932300231e-4,5.061677990318353e-5,22105,ishd,0,50,25,0,0,5,female_ishd,greatermanchester
30,female,1.1181120570940884e-5,8.1224872816306e-5,0.001730178940915697,1.0806474707973266e-4,21601,ishd,0,50,30,0,0,5,female_ishd,greatermanchester
31,female,1.1181120570940884e-5,8.1224872816306e-5,0.001730178940915697,1.0806474707973266e-4,21601,ishd,0,50,30,0,0,5,female_ishd,greatermanchester
32,female,1.1181120570940884e-5,8.1224872816306e-5,0.001730178940915697,1.0806474707973266e-4,21601,ishd,0,50,30,0,0,5,female_ishd,greatermanchester
33,female,1.1181120570940884e-5,8.1224872816306e-5,0.001730178940915697,1.0806474707973266e-4,21601,ishd,0,50,30,0,0,5,female_ishd,greatermanchester
34,female,1.1181120570940884e-5,8.1224872816306e-5,0.001730178940915697,1.0806474707973266e-4,21601,ishd,0,50,30,0,0,5,female_ishd,greatermanchester
35,female,2.7607911867117403e-5,1.4540910060255012e-4,0.0033832840182489387,2.11606255781954e-4,19614,ishd,0,50,35,0,1,5,female_ishd,greatermanchester
36,female,2.7607911867117403e-5,1.4540910060255012e-4,0.0033832840182489387,2.11606255781954e-4,19614,ishd,0,50,35,0,1,5,female_ishd,greatermanchester
37,female,2.7607911867117403e-5,1.4540910060255012e-4,0.0033832840182489387,2.11606255781954e-4,19614,ishd,0,50,35,0,1,5,female_ishd,greatermanchester
38,female,2.7607911867117403e-5,1.4540910060255012e-4,0.0033832840182489387,2.11606255781954e-4,19614,ishd,0,50,35,0,1,5,female_ishd,greatermanchester
39,female,2.7607911867117403e-5,1.4540910060255012e-4,0.0033832840182489387,2.11606255781954e-4,19614,ishd,0,50,35,0,1,5,female_ishd,greatermanchester
40,female,6.121928190522057e-5,2.6865269293411913e-4,0.0064692641956680865,4.128702771483653e-4,17730,ishd,0,50,40,0,1,5,female_ishd,greatermanchester
41,female,6.121928190522057e-5,2.6865269293411913e-4,0.0064692641956680865,4.128702771483653e-4,17730,ishd,0,50,40,0,1,5,female_ishd,greatermanchester
42,female,6.121928190522057e-5,2.6865269293411913e-4,0.0064692641956680865,4.128702771483653e-4,17730,ishd,0,50,40,0,1,5,female_ishd,greatermanchester
43,female,6.121928190522057e-5,2.6865269293411913e-4,0.0064692641956680865,4.128702771483653e-4,17730,ishd,0,50,40,0,1,5,female_ishd,greatermanchester
