age,sex,mort,ylds (years lived with disability)_rate_tbalc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,17920,tbalc,0,10,0,0,0,5,female_tbalc,greatermanchester
1,female,0,0,0,1e-8,17920,tbalc,0,10,0,0,0,5,female_tbalc,greatermanchester
2,female,0,0,0,1e-8,17920,tbalc,0,10,0,0,0,5,female_tbalc,greatermanchester
3,female,0,0,0,1e-8,17920,tbalc,0,10,0,0,0,5,female_tbalc,greatermanchester
4,female,0,0,0,1e-8,17920,tbalc,0,10,0,0,0,5,female_tbalc,greatermanchester
5,female,0,0,0,1e-8,18647,tbalc,0,10,5,0,0,5,female_tbalc,greatermanchester
6,female,0,0,0,1e-8,18647,tbalc,0,10,5,0,0,5,female_tbalc,greatermanchester
7,female,0,0,0,1e-8,18647,tbalc,0,10,5,0,0,5,female_tbalc,greatermanchester
8,female,0,0,0,1e-8,18647,tbalc,0,10,5,0,0,5,female_tbalc,greatermanchester
9,female,0,0,0,1e-8,18647,tbalc,0,10,5,0,0,5,female_tbalc,greatermanchester
10,female,0,0,0,1e-8,16775,tbalc,0,50,10,0,0,5,female_tbalc,greatermanchester
11,female,0,0,0,1e-8,16775,tbalc,0,50,10,0,0,5,female_tbalc,greatermanchester
12,female,0,0,0,1e-8,16775,tbalc,0,50,10,0,0,5,female_tbalc,greatermanchester
13,female,0,0,0,1e-8,16775,tbalc,0,50,10,0,0,5,female_tbalc,greatermanchester
14,female,0,0,0,1e-8,16775,tbalc,0,50,10,0,0,5,female_tbalc,greatermanchester
15,female,3.891054671822326e-7,1.3871220299159095e-7,6.858452643049419e-7,5.204406823970266e-7,16204,tbalc,0,50,15,0,0,5,female_tbalc,greatermanchester
16,female,3.891054671822326e-7,1.3871220299159095e-7,6.858452643049419e-7,5.204406823970266e-7,16204,tbalc,0,50,15,0,0,5,female_tbalc,greatermanchester
17,female,3.891054671822326e-7,1.3871220299159095e-7,6.858452643049419e-7,5.204406823970266e-7,16204,tbalc,0,50,15,0,0,5,female_tbalc,greatermanchester
18,female,3.891054671822326e-7,1.3871220299159095e-7,6.858452643049419e-7,5.204406823970266e-7,16204,tbalc,0,50,15,0,0,5,female_tbalc,greatermanchester
19,female,3.891054671822326e-7,1.3871220299159095e-7,6.858452643049419e-7,5.204406823970266e-7,16204,tbalc,0,50,15,0,0,5,female_tbalc,greatermanchester
20,female,6.586664401693712e-7,2.938440232674284e-7,1.761771979652383e-6,1.0269766664980797e-6,18708,tbalc,0,50,20,0,0,5,female_tbalc,greatermanchester
21,female,6.586664401693712e-7,2.938440232674284e-7,1.761771979652383e-6,1.0269766664980797e-6,18708,tbalc,0,50,20,0,0,5,female_tbalc,greatermanchester
22,female,6.586664401693712e-7,2.938440232674284e-7,1.761771979652383e-6,1.0269766664980797e-6,18708,tbalc,0,50,20,0,0,5,female_tbalc,greatermanchester
23,female,6.586664401693712e-7,2.938440232674284e-7,1.761771979652383e-6,1.0269766664980797e-6,18708,tbalc,0,50,20,0,0,5,female_tbalc,greatermanchester
24,female,6.586664401693712e-7,2.938440232674284e-7,1.761771979652383e-6,1.0269766664980797e-6,18708,tbalc,0,50,20,0,0,5,female_tbalc,greatermanchester
25,female,1.3963235851599547e-6,7.367359832231162e-7,4.754260802945732e-6,2.494894766920365e-6,22105,tbalc,0,50,25,0,0,5,female_tbalc,greatermanchester
26,female,1.3963235851599547e-6,7.367359832231162e-7,4.754260802945732e-6,2.494894766920365e-6,22105,tbalc,0,50,25,0,0,5,female_tbalc,greatermanchester
27,female,1.3963235851599547e-6,7.367359832231162e-7,4.754260802945732e-6,2.494894766920365e-6,22105,tbalc,0,50,25,0,0,5,female_tbalc,greatermanchester
28,female,1.3963235851599547e-6,7.367359832231162e-7,4.754260802945732e-6,2.494894766920365e-6,22105,tbalc,0,50,25,0,0,5,female_tbalc,greatermanchester
29,female,1.3963235851599547e-6,7.367359832231162e-7,4.754260802945732e-6,2.494894766920365e-6,22105,tbalc,0,50,25,0,0,5,female_tbalc,greatermanchester
30,female,6.630965403052552e-6,3.0225042833036874e-6,1.733886585967265e-5,1.0753895888360374e-5,21601,tbalc,0,50,30,0,0,5,female_tbalc,greatermanchester
31,female,6.630965403052552e-6,3.0225042833036874e-6,1.733886585967265e-5,1.0753895888360374e-5,21601,tbalc,0,50,30,0,0,5,female_tbalc,greatermanchester
32,female,6.630965403052552e-6,3.0225042833036874e-6,1.733886585967265e-5,1.0753895888360374e-5,21601,tbalc,0,50,30,0,0,5,female_tbalc,greatermanchester
33,female,6.630965403052552e-6,3.0225042833036874e-6,1.733886585967265e-5,1.0753895888360374e-5,21601,tbalc,0,50,30,0,0,5,female_tbalc,greatermanchester
34,female,6.630965403052552e-6,3.0225042833036874e-6,1.733886585967265e-5,1.0753895888360374e-5,21601,tbalc,0,50,30,0,0,5,female_tbalc,greatermanchester
35,female,1.6334014506194914e-5,6.601182469571383e-6,3.773013828521818e-5,2.3523988435050465e-5,19614,tbalc,0,50,35,0,0,5,female_tbalc,greatermanchester
36,female,1.6334014506194914e-5,6.601182469571383e-6,3.773013828521818e-5,2.3523988435050465e-5,19614,tbalc,0,50,35,0,0,5,female_tbalc,greatermanchester
37,female,1.6334014506194914e-5,6.601182469571383e-6,3.773013828521818e-5,2.3523988435050465e-5,19614,tbalc,0,50,35,0,0,5,female_tbalc,greatermanchester
38,female,1.6334014506194914e-5,6.601182469571383e-6,3.773013828521818e-5,2.3523988435050465e-5,19614,tbalc,0,50,35,0,0,5,female_tbalc,greatermanchester
39,female,1.6334014506194914e-5,6.601182469571383e-6,3.773013828521818e-5,2.3523988435050465e-5,19614,tbalc,0,50,35,0,0,5,female_tbalc,greatermanchester
40,female,4.989129237453396e-5,1.7865312975959486e-5,1.0135693767734188e-4,6.386612430897358e-5,17730,tbalc,0,50,40,0,1,5,female_tbalc,greatermanchester
41,female,4.989129237453396e-5,1.7865312975959486e-5,1.0135693767734188e-4,6.386612430897358e-5,17730,tbalc,0,50,40,0,1,5,female_tbalc,greatermanchester
42,female,4.989129237453396e-5,1.7865312975959486e-5,1.0135693767734188e-4,6.386612430897358e-5,17730,tbalc,0,50,40,0,1,5,female_tbalc,greatermanchester
43,female,4.989129237453396e-5,1.7865312975959486e-5,1.0135693767734188e-4,6.386612430897358e-5,17730,tbalc,0,50,40,0,1,5,female_tbalc,greatermanchester
44,female,4.989129237453396e-5,1.7865312975959486e-5,1.0135693767734188e-4,6.386612430897358e-5,17730,tbalc,0,50,40,0,1,5,female_tbalc,greatermanchester
45,female,1.401557540815071e-4,4.7185720013497734e-5,2.6420815554498796e-4,1.7190708903840643e-4,19811,tbalc,0,50,45,0,3,5,female_tbalc,greatermanchester
46,female,1.401557540815071e-4,4.7185720013497734e-5,2.6420815554498796e-4,1.7190708903840643e-4,19811,tbalc,0,50,45,0,3,5,female_tbalc,greatermanchester
47,female,1.401557540815071e-4,4.7185720013497734e-5,2.6420815554498796e-4,1.7190708903840643e-4,19811,tbalc,0,50,45,0,3,5,female_tbalc,greatermanchester
48,female,1.401557540815071e-4,4.7185720013497734e-5,2.6420815554498796e-4,1.7190708903840643e-4,19811,tbalc,0,50,45,0,3,5,female_tbalc,greatermanchester
49,female,1.401557540815071e-4,4.7185720013497734e-5,2.6420815554498796e-4,1.7190708903840643e-4,19811,tbalc,0,50,45,0,3,5,female_tbalc,greatermanchester
50,female,3.002862571609983e-4,1.0496611191872414e-4,7.10980321217783e-4,3.890265144965768e-4,19394,tbalc,0,50,50,0,6,5,female_tbalc,greatermanchester
51,female,3.002862571609983e-4,1.0496611191872414e-4,7.10980321217783e-4,3.890265144965768e-4,19394,tbalc,0,50,50,0,6,5,female_tbalc,greatermanchester
52,female,3.002862571609983e-4,1.0496611191872414e-4,7.10980321217783e-4,3.890265144965768e-4,19394,tbalc,0,50,50,0,6,5,female_tbalc,greatermanchester
53,female,3.002862571609983e-4,1.0496611191872414e-4,7.10980321217783e-4,3.890265144965768e-4,19394,tbalc,0,50,50,0,6,5,female_tbalc,greatermanchester
54,female,3.002862571609983e-4,1.0496611191872414e-4,7.10980321217783e-4,3.890265144965768e-4,19394,tbalc,0,50,50,0,6,5,female_tbalc,greatermanchester
55,female,6.099257300716211e-4,2.324337329173272e-4,0.0017329718127865308,8.354352558815934e-4,16604,tbalc,0,50,55,0,10,5,female_tbalc,greatermanchester
56,female,6.099257300716211e-4,2.324337329173272e-4,0.0017329718127865308,8.354352558815934e-4,16604,tbalc,0,50,55,0,10,5,female_tbalc,greatermanchester
57,female,6.099257300716211e-4,2.324337329173272e-4,0.0017329718127865308,8.354352558815934e-4,16604,tbalc,0,50,55,0,10,5,female_tbalc,greatermanchester
58,female,6.099257300716211e-4,2.324337329173272e-4,0.0017329718127865308,8.354352558815934e-4,16604,tbalc,0,50,55,0,10,5,female_tbalc,greatermanchester
59,female,6.099257300716211e-4,2.324337329173272e-4,0.0017329718127865308,8.354352558815934e-4,16604,tbalc,0,50,55,0,10,5,female_tbalc,greatermanchester
60,female,0.0011413440839774679,4.1117997033510525e-4,0.0031007079306482176,0.0015295338765733,13567,tbalc,0,50,60,0,15,5,female_tbalc,greatermanchester
61,female,0.0011413440839774679,4.1117997033510525e-4,0.0031007079306482176,0.0015295338765733,13567,tbalc,0,50,60,0,15,5,female_tbalc,greatermanchester
62,female,0.0011413440839774679,4.1117997033510525e-4,0.0031007079306482176,0.0015295338765733,13567,tbalc,0,50,60,0,15,5,female_tbalc,greatermanchester
63,female,0.0011413440839774679,4.1117997033510525e-4,0.0031007079306482176,0.0015295338765733,13567,tbalc,0,50,60,0,15,5,female_tbalc,greatermanchester
64,female,0.0011413440839774679,4.1117997033510525e-4,0.0031007079306482176,0.0015295338765733,13567,tbalc,0,50,60,0,15,5,female_tbalc,greatermanchester
65,female,0.0019122910465856815,6.57364789554827e-4,0.004940893645249678,0.002508328618351593,13518,tbalc,0,50,65,0,26,5,female_tbalc,greatermanchester
66,female,0.0019122910465856815,6.57364789554827e-4,0.004940893645249678,0.002508328618351593,13518,tbalc,0,50,65,0,26,5,female_tbalc,greatermanchester
67,female,0.0019122910465856815,6.57364789554827e-4,0.004940893645249678,0.002508328618351593,13518,tbalc,0,50,65,0,26,5,female_tbalc,greatermanchester
68,female,0.0019122910465856815,6.57364789554827e-4,0.004940893645249678,0.002508328618351593,13518,tbalc,0,50,65,0,26,5,female_tbalc,greatermanchester
69,female,0.0019122910465856815,6.57364789554827e-4,0.004940893645249678,0.002508328618351593,13518,tbalc,0,50,65,0,26,5,female_tbalc,greatermanchester
70,female,0.0025897003957293086,8.346200257423788e-4,0.006104589890458147,0.0032932741501504187,11627,tbalc,0,50,70,0,30,5,female_tbalc,greatermanchester
71,female,0.0025897003957293086,8.346200257423788e-4,0.006104589890458147,0.0032932741501504187,11627,tbalc,0,50,70,0,30,5,female_tbalc,greatermanchester
72,female,0.0025897003957293086,8.346200257423788e-4,0.006104589890458147,0.0032932741501504187,11627,tbalc,0,50,70,0,30,5,female_tbalc,greatermanchester
73,female,0.0025897003957293086,8.346200257423788e-4,0.006104589890458147,0.0032932741501504187,11627,tbalc,0,50,70,0,30,5,female_tbalc,greatermanchester
74,female,0.0025897003957293086,8.346200257423788e-4,0.006104589890458147,0.0032932741501504187,11627,tbalc,0,50,70,0,30,5,female_tbalc,greatermanchester
75,female,0.003292713857079777,9.831088785709535e-4,0.006784991153432305,0.0040787112101848075,8768,tbalc,0,50,75,0,29,5,female_tbalc,greatermanchester
76,female,0.003292713857079777,9.831088785709535e-4,0.006784991153432305,0.0040787112101848075,8768,tbalc,0,50,75,0,29,5,female_tbalc,greatermanchester
77,female,0.003292713857079777,9.831088785709535e-4,0.006784991153432305,0.0040787112101848075,8768,tbalc,0,50,75,0,29,5,female_tbalc,greatermanchester
78,female,0.003292713857079777,9.831088785709535e-4,0.006784991153432305,0.0040787112101848075,8768,tbalc,0,50,75,0,29,5,female_tbalc,greatermanchester
79,female,0.003292713857079777,9.831088785709535e-4,0.006784991153432305,0.0040787112101848075,8768,tbalc,0,50,75,0,29,5,female_tbalc,greatermanchester
80,female,0.0038308488621997443,9.099198148653149e-4,0.005187211224255548,0.004200406102719224,6502,tbalc,0,20,80,0,25,5,female_tbalc,greatermanchester
81,female,0.0038308488621997443,9.099198148653149e-4,0.005187211224255548,0.004200406102719224,6502,tbalc,0,20,80,0,25,5,female_tbalc,greatermanchester
82,female,0.0038308488621997443,9.099198148653149e-4,0.005187211224255548,0.004200406102719224,6502,tbalc,0,20,80,0,25,5,female_tbalc,greatermanchester
83,female,0.0038308488621997443,9.099198148653149e-4,0.005187211224255548,0.004200406102719224,6502,tbalc,0,20,80,0,25,5,female_tbalc,greatermanchester
84,female,0.0038308488621997443,9.099198148653149e-4,0.005187211224255548,0.004200406102719224,6502,tbalc,0,20,80,0,25,5,female_tbalc,greatermanchester
85,female,0.004041536128448175,9.213796992296057e-4,0.005053460212266891,0.004432549041600832,4056,tbalc,0,20,85,0,16,5,female_tbalc,greatermanchester
86,female,0.004041536128448175,9.213796992296057e-4,0.005053460212266891,0.004432549041600832,4056,tbalc,0,20,85,0,16,5,female_tbalc,greatermanchester
87,female,0.004041536128448175,9.213796992296057e-4,0.005053460212266891,0.004432549041600832,4056,tbalc,0,20,85,0,16,5,female_tbalc,greatermanchester
88,female,0.004041536128448175,9.213796992296057e-4,0.005053460212266891,0.004432549041600832,4056,tbalc,0,20,85,0,16,5,female_tbalc,greatermanchester
89,female,0.004041536128448175,9.213796992296057e-4,0.005053460212266891,0.004432549041600832,4056,tbalc,0,20,85,0,16,5,female_tbalc,greatermanchester
90,female,0.004039749475003383,8.826422063610098e-4,0.004545794312304996,0.00444323919147658,1921,tbalc,0,10,90,0,8,5,female_tbalc,greatermanchester
91,female,0.004039749475003383,8.826422063610098e-4,0.004545794312304996,0.00444323919147658,1921,tbalc,0,10,90,0,8,5,female_tbalc,greatermanchester
92,female,0.004039749475003383,8.826422063610098e-4,0.004545794312304996,0.00444323919147658,1921,tbalc,0,10,90,0,8,5,female_tbalc,greatermanchester
93,female,0.004039749475003383,8.826422063610098e-4,0.004545794312304996,0.00444323919147658,1921,tbalc,0,10,90,0,8,5,female_tbalc,greatermanchester
94,female,0.004039749475003383,8.826422063610098e-4,0.004545794312304996,0.00444323919147658,1921,tbalc,0,10,90,0,8,5,female_tbalc,greatermanchester
95,female,0.004559296228290552,8.669116281113907e-4,0.002795456106540998,0.005018677000397701,483,tbalc,0,10,95,0,2,6,female_tbalc,greatermanchester
96,female,0.004559296228290552,8.669116281113907e-4,0.002795456106540998,0.005018677000397701,483,tbalc,0,10,95,0,2,6,female_tbalc,greatermanchester
97,female,0.004559296228290552,8.669116281113907e-4,0.002795456106540998,0.005018677000397701,483,tbalc,0,10,95,0,2,6,female_tbalc,greatermanchester
98,female,0.004559296228290552,8.669116281113907e-4,0.002795456106540998,0.005018677000397701,483,tbalc,0,10,95,0,2,6,female_tbalc,greatermanchester
99,female,0.004559296228290552,8.669116281113907e-4,0.002795456106540998,0.005018677000397701,483,tbalc,0,10,95,0,2,6,female_tbalc,greatermanchester
100,female,0.004559296228290552,8.669116281113907e-4,0.002795456106540998,0.005018677000397701,483,tbalc,0,10,95,0,2,6,female_tbalc,greatermanchester
