age,sex,mort,ylds (years lived with disability)_rate_ishd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,18823,ishd,0,10,0,0,0,5,male_ishd,greatermanchester
1,male,0,0,0,1e-8,18823,ishd,0,10,0,0,0,5,male_ishd,greatermanchester
2,male,0,0,0,1e-8,18823,ishd,0,10,0,0,0,5,male_ishd,greatermanchester
3,male,0,0,0,1e-8,18823,ishd,0,10,0,0,0,5,male_ishd,greatermanchester
4,male,0,0,0,1e-8,18823,ishd,0,10,0,0,0,5,male_ishd,greatermanchester
5,male,0,0,0,1e-8,19596,ishd,0,10,5,0,0,5,male_ishd,greatermanchester
6,male,0,0,0,1e-8,19596,ishd,0,10,5,0,0,5,male_ishd,greatermanchester
7,male,0,0,0,1e-8,19596,ishd,0,10,5,0,0,5,male_ishd,greatermanchester
8,male,0,0,0,1e-8,19596,ishd,0,10,5,0,0,5,male_ishd,greatermanchester
9,male,0,0,0,1e-8,19596,ishd,0,10,5,0,0,5,male_ishd,greatermanchester
10,male,0,0,0,1e-8,17668,ishd,0,50,10,0,0,5,male_ishd,greatermanchester
11,male,0,0,0,1e-8,17668,ishd,0,50,10,0,0,5,male_ishd,greatermanchester
12,male,0,0,0,1e-8,17668,ishd,0,50,10,0,0,5,male_ishd,greatermanchester
13,male,0,0,0,1e-8,17668,ishd,0,50,10,0,0,5,male_ishd,greatermanchester
14,male,0,0,0,1e-8,17668,ishd,0,50,10,0,0,5,male_ishd,greatermanchester
15,male,1.2923246046584574e-6,5.280442898180324e-6,1.3228546945332582e-4,2.21865860935523e-5,17023,ishd,0,50,15,0,0,5,male_ishd,greatermanchester
16,male,1.2923246046584574e-6,5.280442898180324e-6,1.3228546945332582e-4,2.21865860935523e-5,17023,ishd,0,50,15,0,0,5,male_ishd,greatermanchester
17,male,1.2923246046584574e-6,5.280442898180324e-6,1.3228546945332582e-4,2.21865860935523e-5,17023,ishd,0,50,15,0,0,5,male_ishd,greatermanchester
18,male,1.2923246046584574e-6,5.280442898180324e-6,1.3228546945332582e-4,2.21865860935523e-5,17023,ishd,0,50,15,0,0,5,male_ishd,greatermanchester
19,male,1.2923246046584574e-6,5.280442898180324e-6,1.3228546945332582e-4,2.21865860935523e-5,17023,ishd,0,50,15,0,0,5,male_ishd,greatermanchester
20,male,3.323573558535475e-6,2.1869561830453414e-5,4.4826655186239124e-4,6.727098938022594e-5,19229,ishd,0,50,20,0,0,5,male_ishd,greatermanchester
21,male,3.323573558535475e-6,2.1869561830453414e-5,4.4826655186239124e-4,6.727098938022594e-5,19229,ishd,0,50,20,0,0,5,male_ishd,greatermanchester
22,male,3.323573558535475e-6,2.1869561830453414e-5,4.4826655186239124e-4,6.727098938022594e-5,19229,ishd,0,50,20,0,0,5,male_ishd,greatermanchester
23,male,3.323573558535475e-6,2.1869561830453414e-5,4.4826655186239124e-4,6.727098938022594e-5,19229,ishd,0,50,20,0,0,5,male_ishd,greatermanchester
24,male,3.323573558535475e-6,2.1869561830453414e-5,4.4826655186239124e-4,6.727098938022594e-5,19229,ishd,0,50,20,0,0,5,male_ishd,greatermanchester
25,male,1.1597164492870198e-5,4.638675847646544e-5,0.0010461982296149173,1.1308331543296889e-4,22384,ishd,0,50,25,0,0,5,male_ishd,greatermanchester
26,male,1.1597164492870198e-5,4.638675847646544e-5,0.0010461982296149173,1.1308331543296889e-4,22384,ishd,0,50,25,0,0,5,male_ishd,greatermanchester
27,male,1.1597164492870198e-5,4.638675847646544e-5,0.0010461982296149173,1.1308331543296889e-4,22384,ishd,0,50,25,0,0,5,male_ishd,greatermanchester
28,male,1.1597164492870198e-5,4.638675847646544e-5,0.0010461982296149173,1.1308331543296889e-4,22384,ishd,0,50,25,0,0,5,male_ishd,greatermanchester
29,male,1.1597164492870198e-5,4.638675847646544e-5,0.0010461982296149173,1.1308331543296889e-4,22384,ishd,0,50,25,0,0,5,male_ishd,greatermanchester
30,male,2.9776838914209443e-5,9.151685662584439e-5,0.0022973834189600377,3.122491971061883e-4,21883,ishd,0,50,30,0,1,5,male_ishd,greatermanchester
31,male,2.9776838914209443e-5,9.151685662584439e-5,0.0022973834189600377,3.122491971061883e-4,21883,ishd,0,50,30,0,1,5,male_ishd,greatermanchester
32,male,2.9776838914209443e-5,9.151685662584439e-5,0.0022973834189600377,3.122491971061883e-4,21883,ishd,0,50,30,0,1,5,male_ishd,greatermanchester
33,male,2.9776838914209443e-5,9.151685662584439e-5,0.0022973834189600377,3.122491971061883e-4,21883,ishd,0,50,30,0,1,5,male_ishd,greatermanchester
34,male,2.9776838914209443e-5,9.151685662584439e-5,0.0022973834189600377,3.122491971061883e-4,21883,ishd,0,50,30,0,1,5,male_ishd,greatermanchester
35,male,8.0529607653821e-5,1.7479201170666277e-4,0.005131388198300045,6.645685437120887e-4,20183,ishd,0,50,35,0,2,5,male_ishd,greatermanchester
36,male,8.0529607653821e-5,1.7479201170666277e-4,0.005131388198300045,6.645685437120887e-4,20183,ishd,0,50,35,0,2,5,male_ishd,greatermanchester
37,male,8.0529607653821e-5,1.7479201170666277e-4,0.005131388198300045,6.645685437120887e-4,20183,ishd,0,50,35,0,2,5,male_ishd,greatermanchester
38,male,8.0529607653821e-5,1.7479201170666277e-4,0.005131388198300045,6.645685437120887e-4,20183,ishd,0,50,35,0,2,5,male_ishd,greatermanchester
39,male,8.0529607653821e-5,1.7479201170666277e-4,0.005131388198300045,6.645685437120887e-4,20183,ishd,0,50,35,0,2,5,male_ishd,greatermanchester
40,male,2.2997463482327216e-4,3.440298658539523e-4,0.01070614632843978,0.0013801030070835422,18035,ishd,0,50,40,1,4,5,male_ishd,greatermanchester
41,male,2.2997463482327216e-4,3.440298658539523e-4,0.01070614632843978,0.0013801030070835422,18035,ishd,0,50,40,1,4,5,male_ishd,greatermanchester
