age,sex,mort,ylds (years lived with disability)_rate_lvrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,18823,lvrc,0,10,0,0,0,5,male_lvrc,greatermanchester
1,male,0,0,0,1e-8,18823,lvrc,0,10,0,0,0,5,male_lvrc,greatermanchester
2,male,0,0,0,1e-8,18823,lvrc,0,10,0,0,0,5,male_lvrc,greatermanchester
3,male,0,0,0,1e-8,18823,lvrc,0,10,0,0,0,5,male_lvrc,greatermanchester
4,male,0,0,0,1e-8,18823,lvrc,0,10,0,0,0,5,male_lvrc,greatermanchester
5,male,3.454736868573406e-7,2.113741429535499e-7,0,9.76991722479156e-7,19596,lvrc,0,10,5,0,0,5,male_lvrc,greatermanchester
6,male,3.454736868573406e-7,2.113741429535499e-7,0,9.76991722479156e-7,19596,lvrc,0,10,5,0,0,5,male_lvrc,greatermanchester
7,male,3.454736868573406e-7,2.113741429535499e-7,0,9.76991722479156e-7,19596,lvrc,0,10,5,0,0,5,male_lvrc,greatermanchester
8,male,3.454736868573406e-7,2.113741429535499e-7,0,9.76991722479156e-7,19596,lvrc,0,10,5,0,0,5,male_lvrc,greatermanchester
9,male,3.454736868573406e-7,2.113741429535499e-7,0,9.76991722479156e-7,19596,lvrc,0,10,5,0,0,5,male_lvrc,greatermanchester
10,male,7.842315120202478e-7,4.6248548448901953e-7,0,2.100430257483533e-6,17668,lvrc,0,50,10,0,0,5,male_lvrc,greatermanchester
11,male,7.842315120202478e-7,4.6248548448901953e-7,0,2.100430257483533e-6,17668,lvrc,0,50,10,0,0,5,male_lvrc,greatermanchester
12,male,7.842315120202478e-7,4.6248548448901953e-7,0,2.100430257483533e-6,17668,lvrc,0,50,10,0,0,5,male_lvrc,greatermanchester
13,male,7.842315120202478e-7,4.6248548448901953e-7,0,2.100430257483533e-6,17668,lvrc,0,50,10,0,0,5,male_lvrc,greatermanchester
14,male,7.842315120202478e-7,4.6248548448901953e-7,0,2.100430257483533e-6,17668,lvrc,0,50,10,0,0,5,male_lvrc,greatermanchester
15,male,8.550024038612841e-7,5.928414041311777e-7,0,2.670946619080667e-6,17023,lvrc,0,50,15,0,0,5,male_lvrc,greatermanchester
16,male,8.550024038612841e-7,5.928414041311777e-7,0,2.670946619080667e-6,17023,lvrc,0,50,15,0,0,5,male_lvrc,greatermanchester
17,male,8.550024038612841e-7,5.928414041311777e-7,0,2.670946619080667e-6,17023,lvrc,0,50,15,0,0,5,male_lvrc,greatermanchester
18,male,8.550024038612841e-7,5.928414041311777e-7,0,2.670946619080667e-6,17023,lvrc,0,50,15,0,0,5,male_lvrc,greatermanchester
19,male,8.550024038612841e-7,5.928414041311777e-7,0,2.670946619080667e-6,17023,lvrc,0,50,15,0,0,5,male_lvrc,greatermanchester
20,male,9.708351549383384e-7,7.566164203572167e-7,0,3.445421869658426e-6,19229,lvrc,0,50,20,0,0,5,male_lvrc,greatermanchester
21,male,9.708351549383384e-7,7.566164203572167e-7,0,3.445421869658426e-6,19229,lvrc,0,50,20,0,0,5,male_lvrc,greatermanchester
22,male,9.708351549383384e-7,7.566164203572167e-7,0,3.445421869658426e-6,19229,lvrc,0,50,20,0,0,5,male_lvrc,greatermanchester
23,male,9.708351549383384e-7,7.566164203572167e-7,0,3.445421869658426e-6,19229,lvrc,0,50,20,0,0,5,male_lvrc,greatermanchester
24,male,9.708351549383384e-7,7.566164203572167e-7,0,3.445421869658426e-6,19229,lvrc,0,50,20,0,0,5,male_lvrc,greatermanchester
25,male,1.8186410917965872e-6,1.2894156694000684e-6,0,4.798635773789015e-6,22384,lvrc,0,50,25,0,0,5,male_lvrc,greatermanchester
26,male,1.8186410917965872e-6,1.2894156694000684e-6,0,4.798635773789015e-6,22384,lvrc,0,50,25,0,0,5,male_lvrc,greatermanchester
27,male,1.8186410917965872e-6,1.2894156694000684e-6,0,4.798635773789015e-6,22384,lvrc,0,50,25,0,0,5,male_lvrc,greatermanchester
28,male,1.8186410917965872e-6,1.2894156694000684e-6,0,4.798635773789015e-6,22384,lvrc,0,50,25,0,0,5,male_lvrc,greatermanchester
29,male,1.8186410917965872e-6,1.2894156694000684e-6,0,4.798635773789015e-6,22384,lvrc,0,50,25,0,0,5,male_lvrc,greatermanchester
30,male,3.2923538377626077e-6,2.3977698617516384e-6,0,8.851031261515516e-6,21883,lvrc,0,50,30,0,0,5,male_lvrc,greatermanchester
31,male,3.2923538377626077e-6,2.3977698617516384e-6,0,8.851031261515516e-6,21883,lvrc,0,50,30,0,0,5,male_lvrc,greatermanchester
