age,sex,mort,ylds (years lived with disability)_rate_strk,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,2.4024390727246705e-6,2.8254934899800788e-5,7.196828742921769e-6,9.626510677432017e-5,18823,strk,0,10,0,0,0,5,male_strk,greatermanchester
1,male,2.4024390727246705e-6,2.8254934899800788e-5,7.196828742921769e-6,9.626510677432017e-5,18823,strk,0,10,0,0,0,5,male_strk,greatermanchester
2,male,2.4024390727246705e-6,2.8254934899800788e-5,7.196828742921769e-6,9.626510677432017e-5,18823,strk,0,10,0,0,0,5,male_strk,greatermanchester
3,male,2.4024390727246705e-6,2.8254934899800788e-5,7.196828742921769e-6,9.626510677432017e-5,18823,strk,0,10,0,0,0,5,male_strk,greatermanchester
4,male,2.4024390727246705e-6,2.8254934899800788e-5,7.196828742921769e-6,9.626510677432017e-5,18823,strk,0,10,0,0,0,5,male_strk,greatermanchester
5,male,6.557456501365506e-7,7.09037079746418e-5,2.981581227367075e-4,5.328673548425396e-5,19596,strk,0,10,5,0,0,5,male_strk,greatermanchester
6,male,6.557456501365506e-7,7.09037079746418e-5,2.981581227367075e-4,5.328673548425396e-5,19596,strk,0,10,5,0,0,5,male_strk,greatermanchester
7,male,6.557456501365506e-7,7.09037079746418e-5,2.981581227367075e-4,5.328673548425396e-5,19596,strk,0,10,5,0,0,5,male_strk,greatermanchester
8,male,6.557456501365506e-7,7.09037079746418e-5,2.981581227367075e-4,5.328673548425396e-5,19596,strk,0,10,5,0,0,5,male_strk,greatermanchester
9,male,6.557456501365506e-7,7.09037079746418e-5,2.981581227367075e-4,5.328673548425396e-5,19596,strk,0,10,5,0,0,5,male_strk,greatermanchester
10,male,2.180995719001363e-6,1.1043925449826654e-4,4.388609880384285e-4,4.9637074556342504e-5,17668,strk,0,50,10,0,0,5,male_strk,greatermanchester
11,male,2.180995719001363e-6,1.1043925449826654e-4,4.388609880384285e-4,4.9637074556342504e-5,17668,strk,0,50,10,0,0,5,male_strk,greatermanchester
12,male,2.180995719001363e-6,1.1043925449826654e-4,4.388609880384285e-4,4.9637074556342504e-5,17668,strk,0,50,10,0,0,5,male_strk,greatermanchester
13,male,2.180995719001363e-6,1.1043925449826654e-4,4.388609880384285e-4,4.9637074556342504e-5,17668,strk,0,50,10,0,0,5,male_strk,greatermanchester
14,male,2.180995719001363e-6,1.1043925449826654e-4,4.388609880384285e-4,4.9637074556342504e-5,17668,strk,0,50,10,0,0,5,male_strk,greatermanchester
15,male,3.873781760892145e-6,1.4703769091776187e-4,7.110595924071153e-4,4.775801557366923e-5,17023,strk,0,50,15,0,0,5,male_strk,greatermanchester
16,male,3.873781760892145e-6,1.4703769091776187e-4,7.110595924071153e-4,4.775801557366923e-5,17023,strk,0,50,15,0,0,5,male_strk,greatermanchester
17,male,3.873781760892145e-6,1.4703769091776187e-4,7.110595924071153e-4,4.775801557366923e-5,17023,strk,0,50,15,0,0,5,male_strk,greatermanchester
18,male,3.873781760892145e-6,1.4703769091776187e-4,7.110595924071153e-4,4.775801557366923e-5,17023,strk,0,50,15,0,0,5,male_strk,greatermanchester
19,male,3.873781760892145e-6,1.4703769091776187e-4,7.110595924071153e-4,4.775801557366923e-5,17023,strk,0,50,15,0,0,5,male_strk,greatermanchester
20,male,5.1951863409252935e-6,1.9111250400547132e-4,9.577904253165616e-4,5.954377096955648e-5,19229,strk,0,50,20,0,0,5,male_strk,greatermanchester
21,male,5.1951863409252935e-6,1.9111250400547132e-4,9.577904253165616e-4,5.954377096955648e-5,19229,strk,0,50,20,0,0,5,male_strk,greatermanchester
22,male,5.1951863409252935e-6,1.9111250400547132e-4,9.577904253165616e-4,5.954377096955648e-5,19229,strk,0,50,20,0,0,5,male_strk,greatermanchester
23,male,5.1951863409252935e-6,1.9111250400547132e-4,9.577904253165616e-4,5.954377096955648e-5,19229,strk,0,50,20,0,0,5,male_strk,greatermanchester
24,male,5.1951863409252935e-6,1.9111250400547132e-4,9.577904253165616e-4,5.954377096955648e-5,19229,strk,0,50,20,0,0,5,male_strk,greatermanchester
25,male,9.478115479589456e-6,2.4313697624910044e-4,0.001438716787584727,8.4735806939099e-5,22384,strk,0,50,25,0,0,5,male_strk,greatermanchester
26,male,9.478115479589456e-6,2.4313697624910044e-4,0.001438716787584727,8.4735806939099e-5,22384,strk,0,50,25,0,0,5,male_strk,greatermanchester
27,male,9.478115479589456e-6,2.4313697624910044e-4,0.001438716787584727,8.4735806939099e-5,22384,strk,0,50,25,0,0,5,male_strk,greatermanchester
28,male,9.478115479589456e-6,2.4313697624910044e-4,0.001438716787584727,8.4735806939099e-5,22384,strk,0,50,25,0,0,5,male_strk,greatermanchester
29,male,9.478115479589456e-6,2.4313697624910044e-4,0.001438716787584727,8.4735806939099e-5,22384,strk,0,50,25,0,0,5,male_strk,greatermanchester
30,male,1.5538190783776502e-5,3.176772873619607e-4,0.0021392893369733567,1.5978648572667736e-4,21883,strk,0,50,30,0,0,5,male_strk,greatermanchester
31,male,1.5538190783776502e-5,3.176772873619607e-4,0.0021392893369733567,1.5978648572667736e-4,21883,strk,0,50,30,0,0,5,male_strk,greatermanchester
32,male,1.5538190783776502e-5,3.176772873619607e-4,0.0021392893369733567,1.5978648572667736e-4,21883,strk,0,50,30,0,0,5,male_strk,greatermanchester
33,male,1.5538190783776502e-5,3.176772873619607e-4,0.0021392893369733567,1.5978648572667736e-4,21883,strk,0,50,30,0,0,5,male_strk,greatermanchester
34,male,1.5538190783776502e-5,3.176772873619607e-4,0.0021392893369733567,1.5978648572667736e-4,21883,strk,0,50,30,0,0,5,male_strk,greatermanchester
35,male,3.0499579391340753e-5,4.4353981699418835e-4,0.0034519420347945006,2.846192333743373e-4,20183,strk,0,50,35,0,1,5,male_strk,greatermanchester
36,male,3.0499579391340753e-5,4.4353981699418835e-4,0.0034519420347945006,2.846192333743373e-4,20183,strk,0,50,35,0,1,5,male_strk,greatermanchester
37,male,3.0499579391340753e-5,4.4353981699418835e-4,0.0034519420347945006,2.846192333743373e-4,20183,strk,0,50,35,0,1,5,male_strk,greatermanchester
