age,sex,mort,ylds (years lived with disability)_rate_tbalc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,18823,tbalc,0,10,0,0,0,5,male_tbalc,greatermanchester
1,male,0,0,0,1e-8,18823,tbalc,0,10,0,0,0,5,male_tbalc,greatermanchester
2,male,0,0,0,1e-8,18823,tbalc,0,10,0,0,0,5,male_tbalc,greatermanchester
3,male,0,0,0,1e-8,18823,tbalc,0,10,0,0,0,5,male_tbalc,greatermanchester
4,male,0,0,0,1e-8,18823,tbalc,0,10,0,0,0,5,male_tbalc,greatermanchester
5,male,0,0,0,1e-8,19596,tbalc,0,10,5,0,0,5,male_tbalc,greatermanchester
6,male,0,0,0,1e-8,19596,tbalc,0,10,5,0,0,5,male_tbalc,greatermanchester
7,male,0,0,0,1e-8,19596,tbalc,0,10,5,0,0,5,male_tbalc,greatermanchester
8,male,0,0,0,1e-8,19596,tbalc,0,10,5,0,0,5,male_tbalc,greatermanchester
9,male,0,0,0,1e-8,19596,tbalc,0,10,5,0,0,5,male_tbalc,greatermanchester
10,male,0,0,0,1e-8,17668,tbalc,0,50,10,0,0,5,male_tbalc,greatermanchester
11,male,0,0,0,1e-8,17668,tbalc,0,50,10,0,0,5,male_tbalc,greatermanchester
12,male,0,0,0,1e-8,17668,tbalc,0,50,10,0,0,5,male_tbalc,greatermanchester
13,male,0,0,0,1e-8,17668,tbalc,0,50,10,0,0,5,male_tbalc,greatermanchester
14,male,0,0,0,1e-8,17668,tbalc,0,50,10,0,0,5,male_tbalc,greatermanchester
15,male,1.6341486664828567e-7,5.356468548987896e-8,2.251333206486001e-7,2.0986465962331226e-7,17023,tbalc,0,50,15,0,0,5,male_tbalc,greatermanchester
16,male,1.6341486664828567e-7,5.356468548987896e-8,2.251333206486001e-7,2.0986465962331226e-7,17023,tbalc,0,50,15,0,0,5,male_tbalc,greatermanchester
17,male,1.6341486664828567e-7,5.356468548987896e-8,2.251333206486001e-7,2.0986465962331226e-7,17023,tbalc,0,50,15,0,0,5,male_tbalc,greatermanchester
18,male,1.6341486664828567e-7,5.356468548987896e-8,2.251333206486001e-7,2.0986465962331226e-7,17023,tbalc,0,50,15,0,0,5,male_tbalc,greatermanchester
19,male,1.6341486664828567e-7,5.356468548987896e-8,2.251333206486001e-7,2.0986465962331226e-7,17023,tbalc,0,50,15,0,0,5,male_tbalc,greatermanchester
20,male,4.8201539440296e-7,2.0370011954397024e-7,1.1416565809449163e-6,7.26155276602704e-7,19229,tbalc,0,50,20,0,0,5,male_tbalc,greatermanchester
21,male,4.8201539440296e-7,2.0370011954397024e-7,1.1416565809449163e-6,7.26155276602704e-7,19229,tbalc,0,50,20,0,0,5,male_tbalc,greatermanchester
22,male,4.8201539440296e-7,2.0370011954397024e-7,1.1416565809449163e-6,7.26155276602704e-7,19229,tbalc,0,50,20,0,0,5,male_tbalc,greatermanchester
23,male,4.8201539440296e-7,2.0370011954397024e-7,1.1416565809449163e-6,7.26155276602704e-7,19229,tbalc,0,50,20,0,0,5,male_tbalc,greatermanchester
24,male,4.8201539440296e-7,2.0370011954397024e-7,1.1416565809449163e-6,7.26155276602704e-7,19229,tbalc,0,50,20,0,0,5,male_tbalc,greatermanchester
25,male,1.2821826400607404e-6,6.39350526024297e-7,3.855724365980443e-6,2.2111639155797735e-6,22384,tbalc,0,50,25,0,0,5,male_tbalc,greatermanchester
26,male,1.2821826400607404e-6,6.39350526024297e-7,3.855724365980443e-6,2.2111639155797735e-6,22384,tbalc,0,50,25,0,0,5,male_tbalc,greatermanchester
27,male,1.2821826400607404e-6,6.39350526024297e-7,3.855724365980443e-6,2.2111639155797735e-6,22384,tbalc,0,50,25,0,0,5,male_tbalc,greatermanchester
28,male,1.2821826400607404e-6,6.39350526024297e-7,3.855724365980443e-6,2.2111639155797735e-6,22384,tbalc,0,50,25,0,0,5,male_tbalc,greatermanchester
29,male,1.2821826400607404e-6,6.39350526024297e-7,3.855724365980443e-6,2.2111639155797735e-6,22384,tbalc,0,50,25,0,0,5,male_tbalc,greatermanchester
30,male,4.17176367464951e-6,1.7821730972560561e-6,9.360704798624305e-6,6.5135092979707274e-6,21883,tbalc,0,50,30,0,0,5,male_tbalc,greatermanchester
31,male,4.17176367464951e-6,1.7821730972560561e-6,9.360704798624305e-6,6.5135092979707274e-6,21883,tbalc,0,50,30,0,0,5,male_tbalc,greatermanchester
32,male,4.17176367464951e-6,1.7821730972560561e-6,9.360704798624305e-6,6.5135092979707274e-6,21883,tbalc,0,50,30,0,0,5,male_tbalc,greatermanchester
33,male,4.17176367464951e-6,1.7821730972560561e-6,9.360704798624305e-6,6.5135092979707274e-6,21883,tbalc,0,50,30,0,0,5,male_tbalc,greatermanchester
34,male,4.17176367464951e-6,1.7821730972560561e-6,9.360704798624305e-6,6.5135092979707274e-6,21883,tbalc,0,50,30,0,0,5,male_tbalc,greatermanchester
35,male,1.4493128690189478e-5,5.471269383499574e-6,2.8430643971037767e-5,2.005594095943708e-5,20183,tbalc,0,50,35,0,0,5,male_tbalc,greatermanchester
36,male,1.4493128690189478e-5,5.471269383499574e-6,2.8430643971037767e-5,2.005594095943708e-5,20183,tbalc,0,50,35,0,0,5,male_tbalc,greatermanchester
37,male,1.4493128690189478e-5,5.471269383499574e-6,2.8430643971037767e-5,2.005594095943708e-5,20183,tbalc,0,50,35,0,0,5,male_tbalc,greatermanchester
38,male,1.4493128690189478e-5,5.471269383499574e-6,2.8430643971037767e-5,2.005594095943708e-5,20183,tbalc,0,50,35,0,0,5,male_tbalc,greatermanchester
39,male,1.4493128690189478e-5,5.471269383499574e-6,2.8430643971037767e-5,2.005594095943708e-5,20183,tbalc,0,50,35,0,0,5,male_tbalc,greatermanchester
40,male,5.151781845489071e-5,1.7364144695312652e-5,9.038392156240528e-5,6.362421188374849e-5,18035,tbalc,0,50,40,0,1,5,male_tbalc,greatermanchester
41,male,5.151781845489071e-5,1.7364144695312652e-5,9.038392156240528e-5,6.362421188374849e-5,18035,tbalc,0,50,40,0,1,5,male_tbalc,greatermanchester
42,male,5.151781845489071e-5,1.7364144695312652e-5,9.038392156240528e-5,6.362421188374849e-5,18035,tbalc,0,50,40,0,1,5,male_tbalc,greatermanchester
43,male,5.151781845489071e-5,1.7364144695312652e-5,9.038392156240528e-5,6.362421188374849e-5,18035,tbalc,0,50,40,0,1,5,male_tbalc,greatermanchester
44,male,5.151781845489071e-5,1.7364144695312652e-5,9.038392156240528e-5,6.362421188374849e-5,18035,tbalc,0,50,40,0,1,5,male_tbalc,greatermanchester
45,male,1.42746832539285e-4,4.479640599851283e-5,2.254496480168209e-4,1.6769760753254954e-4,19810,tbalc,0,50,45,0,3,5,male_tbalc,greatermanchester
46,male,1.42746832539285e-4,4.479640599851283e-5,2.254496480168209e-4,1.6769760753254954e-4,19810,tbalc,0,50,45,0,3,5,male_tbalc,greatermanchester
47,male,1.42746832539285e-4,4.479640599851283e-5,2.254496480168209e-4,1.6769760753254954e-4,19810,tbalc,0,50,45,0,3,5,male_tbalc,greatermanchester
48,male,1.42746832539285e-4,4.479640599851283e-5,2.254496480168209e-4,1.6769760753254954e-4,19810,tbalc,0,50,45,0,3,5,male_tbalc,greatermanchester
49,male,1.42746832539285e-4,4.479640599851283e-5,2.254496480168209e-4,1.6769760753254954e-4,19810,tbalc,0,50,45,0,3,5,male_tbalc,greatermanchester
50,male,3.0655184944291023e-4,9.21113495026652e-5,5.088585982266705e-4,3.6195101795981767e-4,19479,tbalc,0,50,50,0,6,5,male_tbalc,greatermanchester
51,male,3.0655184944291023e-4,9.21113495026652e-5,5.088585982266705e-4,3.6195101795981767e-4,19479,tbalc,0,50,50,0,6,5,male_tbalc,greatermanchester
52,male,3.0655184944291023e-4,9.21113495026652e-5,5.088585982266705e-4,3.6195101795981767e-4,19479,tbalc,0,50,50,0,6,5,male_tbalc,greatermanchester
53,male,3.0655184944291023e-4,9.21113495026652e-5,5.088585982266705e-4,3.6195101795981767e-4,19479,tbalc,0,50,50,0,6,5,male_tbalc,greatermanchester
54,male,3.0655184944291023e-4,9.21113495026652e-5,5.088585982266705e-4,3.6195101795981767e-4,19479,tbalc,0,50,50,0,6,5,male_tbalc,greatermanchester
55,male,6.636716142097548e-4,2.113918399511471e-4,0.0012846000080329934,8.123115169265819e-4,16692,tbalc,0,50,55,0,11,5,male_tbalc,greatermanchester
56,male,6.636716142097548e-4,2.113918399511471e-4,0.0012846000080329934,8.123115169265819e-4,16692,tbalc,0,50,55,0,11,5,male_tbalc,greatermanchester
57,male,6.636716142097548e-4,2.113918399511471e-4,0.0012846000080329934,8.123115169265819e-4,16692,tbalc,0,50,55,0,11,5,male_tbalc,greatermanchester
58,male,6.636716142097548e-4,2.113918399511471e-4,0.0012846000080329934,8.123115169265819e-4,16692,tbalc,0,50,55,0,11,5,male_tbalc,greatermanchester
59,male,6.636716142097548e-4,2.113918399511471e-4,0.0012846000080329934,8.123115169265819e-4,16692,tbalc,0,50,55,0,11,5,male_tbalc,greatermanchester
60,male,0.0012771168449804322,4.103847529370542e-4,0.002725230313883833,0.0016048729041540555,13833,tbalc,0,50,60,0,18,5,male_tbalc,greatermanchester
61,male,0.0012771168449804322,4.103847529370542e-4,0.002725230313883833,0.0016048729041540555,13833,tbalc,0,50,60,0,18,5,male_tbalc,greatermanchester
62,male,0.0012771168449804322,4.103847529370542e-4,0.002725230313883833,0.0016048729041540555,13833,tbalc,0,50,60,0,18,5,male_tbalc,greatermanchester
63,male,0.0012771168449804322,4.103847529370542e-4,0.002725230313883833,0.0016048729041540555,13833,tbalc,0,50,60,0,18,5,male_tbalc,greatermanchester
64,male,0.0012771168449804322,4.103847529370542e-4,0.002725230313883833,0.0016048729041540555,13833,tbalc,0,50,60,0,18,5,male_tbalc,greatermanchester
65,male,0.0022418244743612195,7.073478220629891e-4,0.004719046046504443,0.0028138027887497927,13390,tbalc,0,50,65,0,30,5,male_tbalc,greatermanchester
66,male,0.0022418244743612195,7.073478220629891e-4,0.004719046046504443,0.0028138027887497927,13390,tbalc,0,50,65,0,30,5,male_tbalc,greatermanchester
67,male,0.0022418244743612195,7.073478220629891e-4,0.004719046046504443,0.0028138027887497927,13390,tbalc,0,50,65,0,30,5,male_tbalc,greatermanchester
68,male,0.0022418244743612195,7.073478220629891e-4,0.004719046046504443,0.0028138027887497927,13390,tbalc,0,50,65,0,30,5,male_tbalc,greatermanchester
69,male,0.0022418244743612195,7.073478220629891e-4,0.004719046046504443,0.0028138027887497927,13390,tbalc,0,50,65,0,30,5,male_tbalc,greatermanchester
70,male,0.003328171606296578,9.959113821855446e-4,0.006485352909320591,0.004089854756710765,10636,tbalc,0,50,70,0,35,5,male_tbalc,greatermanchester
71,male,0.003328171606296578,9.959113821855446e-4,0.006485352909320591,0.004089854756710765,10636,tbalc,0,50,70,0,35,5,male_tbalc,greatermanchester
72,male,0.003328171606296578,9.959113821855446e-4,0.006485352909320591,0.004089854756710765,10636,tbalc,0,50,70,0,35,5,male_tbalc,greatermanchester
73,male,0.003328171606296578,9.959113821855446e-4,0.006485352909320591,0.004089854756710765,10636,tbalc,0,50,70,0,35,5,male_tbalc,greatermanchester
74,male,0.003328171606296578,9.959113821855446e-4,0.006485352909320591,0.004089854756710765,10636,tbalc,0,50,70,0,35,5,male_tbalc,greatermanchester
75,male,0.004589517148543589,0.001252888065155848,0.007531068959103758,0.005444147138940542,7373,tbalc,0,50,75,0,34,5,male_tbalc,greatermanchester
76,male,0.004589517148543589,0.001252888065155848,0.007531068959103758,0.005444147138940542,7373,tbalc,0,50,75,0,34,5,male_tbalc,greatermanchester
77,male,0.004589517148543589,0.001252888065155848,0.007531068959103758,0.005444147138940542,7373,tbalc,0,50,75,0,34,5,male_tbalc,greatermanchester
78,male,0.004589517148543589,0.001252888065155848,0.007531068959103758,0.005444147138940542,7373,tbalc,0,50,75,0,34,5,male_tbalc,greatermanchester
79,male,0.004589517148543589,0.001252888065155848,0.007531068959103758,0.005444147138940542,7373,tbalc,0,50,75,0,34,5,male_tbalc,greatermanchester
80,male,0.0058034990245744746,0.001299823079830162,0.0064832558750483275,0.0061983066452445295,4911,tbalc,0,20,80,0,28,5,male_tbalc,greatermanchester
81,male,0.0058034990245744746,0.001299823079830162,0.0064832558750483275,0.0061983066452445295,4911,tbalc,0,20,80,0,28,5,male_tbalc,greatermanchester
82,male,0.0058034990245744746,0.001299823079830162,0.0064832558750483275,0.0061983066452445295,4911,tbalc,0,20,80,0,28,5,male_tbalc,greatermanchester
83,male,0.0058034990245744746,0.001299823079830162,0.0064832558750483275,0.0061983066452445295,4911,tbalc,0,20,80,0,28,5,male_tbalc,greatermanchester
84,male,0.0058034990245744746,0.001299823079830162,0.0064832558750483275,0.0061983066452445295,4911,tbalc,0,20,80,0,28,5,male_tbalc,greatermanchester
85,male,0.007113371523957325,0.0015368148817549924,0.007353569880854483,0.007606612387082034,2464,tbalc,0,20,85,0,17,5,male_tbalc,greatermanchester
86,male,0.007113371523957325,0.0015368148817549924,0.007353569880854483,0.007606612387082034,2464,tbalc,0,20,85,0,17,5,male_tbalc,greatermanchester
87,male,0.007113371523957325,0.0015368148817549924,0.007353569880854483,0.007606612387082034,2464,tbalc,0,20,85,0,17,5,male_tbalc,greatermanchester
88,male,0.007113371523957325,0.0015368148817549924,0.007353569880854483,0.007606612387082034,2464,tbalc,0,20,85,0,17,5,male_tbalc,greatermanchester
89,male,0.007113371523957325,0.0015368148817549924,0.007353569880854483,0.007606612387082034,2464,tbalc,0,20,85,0,17,5,male_tbalc,greatermanchester
90,male,0.006397551209093325,0.0013355576315959058,0.006086848349031168,0.0068549950416901375,934,tbalc,0,10,90,0,6,5,male_tbalc,greatermanchester
91,male,0.006397551209093325,0.0013355576315959058,0.006086848349031168,0.0068549950416901375,934,tbalc,0,10,90,0,6,5,male_tbalc,greatermanchester
92,male,0.006397551209093325,0.0013355576315959058,0.006086848349031168,0.0068549950416901375,934,tbalc,0,10,90,0,6,5,male_tbalc,greatermanchester
93,male,0.006397551209093325,0.0013355576315959058,0.006086848349031168,0.0068549950416901375,934,tbalc,0,10,90,0,6,5,male_tbalc,greatermanchester
94,male,0.006397551209093325,0.0013355576315959058,0.006086848349031168,0.0068549950416901375,934,tbalc,0,10,90,0,6,5,male_tbalc,greatermanchester
95,male,0.0058849938015156835,0.0011025078751881966,0.003454265527591713,0.0063310613703707825,148,tbalc,0,10,95,0,1,6,male_tbalc,greatermanchester
96,male,0.0058849938015156835,0.0011025078751881966,0.003454265527591713,0.0063310613703707825,148,tbalc,0,10,95,0,1,6,male_tbalc,greatermanchester
97,male,0.0058849938015156835,0.0011025078751881966,0.003454265527591713,0.0063310613703707825,148,tbalc,0,10,95,0,1,6,male_tbalc,greatermanchester
98,male,0.0058849938015156835,0.0011025078751881966,0.003454265527591713,0.0063310613703707825,148,tbalc,0,10,95,0,1,6,male_tbalc,greatermanchester
99,male,0.0058849938015156835,0.0011025078751881966,0.003454265527591713,0.0063310613703707825,148,tbalc,0,10,95,0,1,6,male_tbalc,greatermanchester
100,male,0.0058849938015156835,0.0011025078751881966,0.003454265527591713,0.0063310613703707825,148,tbalc,0,10,95,0,1,6,male_tbalc,greatermanchester
