age,sex,mort,ylds (years lived with disability)_rate_adaod,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,14830,adaod,0,10,0,0,0,5,female_adaod,leeds
1,female,0,0,0,1e-8,14830,adaod,0,10,0,0,0,5,female_adaod,leeds
2,female,0,0,0,1e-8,14830,adaod,0,10,0,0,0,5,female_adaod,leeds
3,female,0,0,0,1e-8,14830,adaod,0,10,0,0,0,5,female_adaod,leeds
4,female,0,0,0,1e-8,14830,adaod,0,10,0,0,0,5,female_adaod,leeds
5,female,0,0,0,1e-8,15480,adaod,0,10,5,0,0,5,female_adaod,leeds
6,female,0,0,0,1e-8,15480,adaod,0,10,5,0,0,5,female_adaod,leeds
7,female,0,0,0,1e-8,15480,adaod,0,10,5,0,0,5,female_adaod,leeds
8,female,0,0,0,1e-8,15480,adaod,0,10,5,0,0,5,female_adaod,leeds
9,female,0,0,0,1e-8,15480,adaod,0,10,5,0,0,5,female_adaod,leeds
10,female,0,0,0,1e-8,14032,adaod,0,50,10,0,0,5,female_adaod,leeds
11,female,0,0,0,1e-8,14032,adaod,0,50,10,0,0,5,female_adaod,leeds
12,female,0,0,0,1e-8,14032,adaod,0,50,10,0,0,5,female_adaod,leeds
13,female,0,0,0,1e-8,14032,adaod,0,50,10,0,0,5,female_adaod,leeds
14,female,0,0,0,1e-8,14032,adaod,0,50,10,0,0,5,female_adaod,leeds
15,female,0,0,0,1e-8,13771,adaod,0,50,15,0,0,5,female_adaod,leeds
16,female,0,0,0,1e-8,13771,adaod,0,50,15,0,0,5,female_adaod,leeds
17,female,0,0,0,1e-8,13771,adaod,0,50,15,0,0,5,female_adaod,leeds
18,female,0,0,0,1e-8,13771,adaod,0,50,15,0,0,5,female_adaod,leeds
19,female,0,0,0,1e-8,13771,adaod,0,50,15,0,0,5,female_adaod,leeds
20,female,0,0,0,1e-8,15636,adaod,0,50,20,0,0,5,female_adaod,leeds
21,female,0,0,0,1e-8,15636,adaod,0,50,20,0,0,5,female_adaod,leeds
22,female,0,0,0,1e-8,15636,adaod,0,50,20,0,0,5,female_adaod,leeds
23,female,0,0,0,1e-8,15636,adaod,0,50,20,0,0,5,female_adaod,leeds
24,female,0,0,0,1e-8,15636,adaod,0,50,20,0,0,5,female_adaod,leeds
25,female,0,0,0,1e-8,17527,adaod,0,50,25,0,0,5,female_adaod,leeds
26,female,0,0,0,1e-8,17527,adaod,0,50,25,0,0,5,female_adaod,leeds
27,female,0,0,0,1e-8,17527,adaod,0,50,25,0,0,5,female_adaod,leeds
28,female,0,0,0,1e-8,17527,adaod,0,50,25,0,0,5,female_adaod,leeds
29,female,0,0,0,1e-8,17527,adaod,0,50,25,0,0,5,female_adaod,leeds
30,female,0,0,0,1e-8,16803,adaod,0,50,30,0,0,5,female_adaod,leeds
31,female,0,0,0,1e-8,16803,adaod,0,50,30,0,0,5,female_adaod,leeds
32,female,0,0,0,1e-8,16803,adaod,0,50,30,0,0,5,female_adaod,leeds
33,female,0,0,0,1e-8,16803,adaod,0,50,30,0,0,5,female_adaod,leeds
34,female,0,0,0,1e-8,16803,adaod,0,50,30,0,0,5,female_adaod,leeds
35,female,0,0,0,1e-8,15901,adaod,0,50,35,0,0,5,female_adaod,leeds
36,female,0,0,0,1e-8,15901,adaod,0,50,35,0,0,5,female_adaod,leeds
37,female,0,0,0,1e-8,15901,adaod,0,50,35,0,0,5,female_adaod,leeds
38,female,0,0,0,1e-8,15901,adaod,0,50,35,0,0,5,female_adaod,leeds
39,female,0,0,0,1e-8,15901,adaod,0,50,35,0,0,5,female_adaod,leeds
40,female,1.8098927975480585e-6,9.79361623849811e-6,7.354315076202127e-5,4.368915329913231e-5,14492,adaod,0,50,40,0,0,5,female_adaod,leeds
41,female,1.8098927975480585e-6,9.79361623849811e-6,7.354315076202127e-5,4.368915329913231e-5,14492,adaod,0,50,40,0,0,5,female_adaod,leeds
42,female,1.8098927975480585e-6,9.79361623849811e-6,7.354315076202127e-5,4.368915329913231e-5,14492,adaod,0,50,40,0,0,5,female_adaod,leeds
43,female,1.8098927975480585e-6,9.79361623849811e-6,7.354315076202127e-5,4.368915329913231e-5,14492,adaod,0,50,40,0,0,5,female_adaod,leeds
44,female,1.8098927975480585e-6,9.79361623849811e-6,7.354315076202127e-5,4.368915329913231e-5,14492,adaod,0,50,40,0,0,5,female_adaod,leeds
45,female,6.612099165100813e-6,6.500079070410473e-5,5.007603505877159e-4,1.3376821527466478e-4,16102,adaod,0,50,45,0,0,5,female_adaod,leeds
46,female,6.612099165100813e-6,6.500079070410473e-5,5.007603505877159e-4,1.3376821527466478e-4,16102,adaod,0,50,45,0,0,5,female_adaod,leeds
47,female,6.612099165100813e-6,6.500079070410473e-5,5.007603505877159e-4,1.3376821527466478e-4,16102,adaod,0,50,45,0,0,5,female_adaod,leeds
48,female,6.612099165100813e-6,6.500079070410473e-5,5.007603505877159e-4,1.3376821527466478e-4,16102,adaod,0,50,45,0,0,5,female_adaod,leeds
49,female,6.612099165100813e-6,6.500079070410473e-5,5.007603505877159e-4,1.3376821527466478e-4,16102,adaod,0,50,45,0,0,5,female_adaod,leeds
50,female,1.657932627683068e-5,1.6561382194604392e-4,0.0013298830115313542,2.1187126640565164e-4,15679,adaod,0,50,50,0,0,5,female_adaod,leeds
51,female,1.657932627683068e-5,1.6561382194604392e-4,0.0013298830115313542,2.1187126640565164e-4,15679,adaod,0,50,50,0,0,5,female_adaod,leeds
52,female,1.657932627683068e-5,1.6561382194604392e-4,0.0013298830115313542,2.1187126640565164e-4,15679,adaod,0,50,50,0,0,5,female_adaod,leeds
53,female,1.657932627683068e-5,1.6561382194604392e-4,0.0013298830115313542,2.1187126640565164e-4,15679,adaod,0,50,50,0,0,5,female_adaod,leeds
54,female,1.657932627683068e-5,1.6561382194604392e-4,0.0013298830115313542,2.1187126640565164e-4,15679,adaod,0,50,50,0,0,5,female_adaod,leeds
55,female,4.194866071847605e-5,3.186205709837401e-4,0.0026408085302951816,3.935168823612234e-4,14060,adaod,0,50,55,0,1,5,female_adaod,leeds
56,female,4.194866071847605e-5,3.186205709837401e-4,0.0026408085302951816,3.935168823612234e-4,14060,adaod,0,50,55,0,1,5,female_adaod,leeds
57,female,4.194866071847605e-5,3.186205709837401e-4,0.0026408085302951816,3.935168823612234e-4,14060,adaod,0,50,55,0,1,5,female_adaod,leeds
58,female,4.194866071847605e-5,3.186205709837401e-4,0.0026408085302951816,3.935168823612234e-4,14060,adaod,0,50,55,0,1,5,female_adaod,leeds
59,female,4.194866071847605e-5,3.186205709837401e-4,0.0026408085302951816,3.935168823612234e-4,14060,adaod,0,50,55,0,1,5,female_adaod,leeds
60,female,1.1154752182819508e-4,6.53411276697846e-4,0.005471210475292294,9.345588429176998e-4,11888,adaod,0,50,60,0,1,5,female_adaod,leeds
61,female,1.1154752182819508e-4,6.53411276697846e-4,0.005471210475292294,9.345588429176998e-4,11888,adaod,0,50,60,0,1,5,female_adaod,leeds
62,female,1.1154752182819508e-4,6.53411276697846e-4,0.005471210475292294,9.345588429176998e-4,11888,adaod,0,50,60,0,1,5,female_adaod,leeds
63,female,1.1154752182819508e-4,6.53411276697846e-4,0.005471210475292294,9.345588429176998e-4,11888,adaod,0,50,60,0,1,5,female_adaod,leeds
64,female,1.1154752182819508e-4,6.53411276697846e-4,0.005471210475292294,9.345588429176998e-4,11888,adaod,0,50,60,0,1,5,female_adaod,leeds
65,female,2.8686075218447275e-4,0.0014096322938537476,0.011954806780034558,0.0021481797658520524,11885,adaod,0,50,65,1,3,5,female_adaod,leeds
66,female,2.8686075218447275e-4,0.0014096322938537476,0.011954806780034558,0.0021481797658520524,11885,adaod,0,50,65,1,3,5,female_adaod,leeds
67,female,2.8686075218447275e-4,0.0014096322938537476,0.011954806780034558,0.0021481797658520524,11885,adaod,0,50,65,1,3,5,female_adaod,leeds
68,female,2.8686075218447275e-4,0.0014096322938537476,0.011954806780034558,0.0021481797658520524,11885,adaod,0,50,65,1,3,5,female_adaod,leeds
69,female,2.8686075218447275e-4,0.0014096322938537476,0.011954806780034558,0.0021481797658520524,11885,adaod,0,50,65,1,3,5,female_adaod,leeds
70,female,7.851653354049478e-4,0.0036719357890506285,0.026759855333534168,0.005130095970599168,9908,adaod,0,50,70,1,8,5,female_adaod,leeds
71,female,7.851653354049478e-4,0.0036719357890506285,0.026759855333534168,0.005130095970599168,9908,adaod,0,50,70,1,8,5,female_adaod,leeds
72,female,7.851653354049478e-4,0.0036719357890506285,0.026759855333534168,0.005130095970599168,9908,adaod,0,50,70,1,8,5,female_adaod,leeds
73,female,7.851653354049478e-4,0.0036719357890506285,0.026759855333534168,0.005130095970599168,9908,adaod,0,50,70,1,8,5,female_adaod,leeds
74,female,7.851653354049478e-4,0.0036719357890506285,0.026759855333534168,0.005130095970599168,9908,adaod,0,50,70,1,8,5,female_adaod,leeds
75,female,0.0026713233025814982,0.008072932166817695,0.059801705393853134,0.011550741343753166,7460,adaod,0,50,75,3,20,5,female_adaod,leeds
76,female,0.0026713233025814982,0.008072932166817695,0.059801705393853134,0.011550741343753166,7460,adaod,0,50,75,3,20,5,female_adaod,leeds
77,female,0.0026713233025814982,0.008072932166817695,0.059801705393853134,0.011550741343753166,7460,adaod,0,50,75,3,20,5,female_adaod,leeds
78,female,0.0026713233025814982,0.008072932166817695,0.059801705393853134,0.011550741343753166,7460,adaod,0,50,75,3,20,5,female_adaod,leeds
79,female,0.0026713233025814982,0.008072932166817695,0.059801705393853134,0.011550741343753166,7460,adaod,0,50,75,3,20,5,female_adaod,leeds
80,female,0.007526212152961157,0.019774776332356817,0.1209959787704927,0.021034530931632534,5835,adaod,0,20,80,2,44,5,female_adaod,leeds
81,female,0.007526212152961157,0.019774776332356817,0.1209959787704927,0.021034530931632534,5835,adaod,0,20,80,2,44,5,female_adaod,leeds
82,female,0.007526212152961157,0.019774776332356817,0.1209959787704927,0.021034530931632534,5835,adaod,0,20,80,2,44,5,female_adaod,leeds
83,female,0.007526212152961157,0.019774776332356817,0.1209959787704927,0.021034530931632534,5835,adaod,0,20,80,2,44,5,female_adaod,leeds
84,female,0.007526212152961157,0.019774776332356817,0.1209959787704927,0.021034530931632534,5835,adaod,0,20,80,2,44,5,female_adaod,leeds
85,female,0.020229395118074107,0.033115395055522544,0.2079997166656127,0.03162680808349323,3737,adaod,0,20,85,4,75,5,female_adaod,leeds
86,female,0.020229395118074107,0.033115395055522544,0.2079997166656127,0.03162680808349323,3737,adaod,0,20,85,4,75,5,female_adaod,leeds
87,female,0.020229395118074107,0.033115395055522544,0.2079997166656127,0.03162680808349323,3737,adaod,0,20,85,4,75,5,female_adaod,leeds
88,female,0.020229395118074107,0.033115395055522544,0.2079997166656127,0.03162680808349323,3737,adaod,0,20,85,4,75,5,female_adaod,leeds
89,female,0.020229395118074107,0.033115395055522544,0.2079997166656127,0.03162680808349323,3737,adaod,0,20,85,4,75,5,female_adaod,leeds
90,female,0.04452816823862161,0.046371166246161576,0.2977015806145733,0.0419137889929073,1727,adaod,0,10,90,3,75,5,female_adaod,leeds
91,female,0.04452816823862161,0.046371166246161576,0.2977015806145733,0.0419137889929073,1727,adaod,0,10,90,3,75,5,female_adaod,leeds
92,female,0.04452816823862161,0.046371166246161576,0.2977015806145733,0.0419137889929073,1727,adaod,0,10,90,3,75,5,female_adaod,leeds
93,female,0.04452816823862161,0.046371166246161576,0.2977015806145733,0.0419137889929073,1727,adaod,0,10,90,3,75,5,female_adaod,leeds
94,female,0.04452816823862161,0.046371166246161576,0.2977015806145733,0.0419137889929073,1727,adaod,0,10,90,3,75,5,female_adaod,leeds
95,female,0.08263732879628309,0.055673702422556176,0.36407595287519484,0.049819352374650114,430,adaod,0,10,95,4,34,6,female_adaod,leeds
96,female,0.08263732879628309,0.055673702422556176,0.36407595287519484,0.049819352374650114,430,adaod,0,10,95,4,34,6,female_adaod,leeds
97,female,0.08263732879628309,0.055673702422556176,0.36407595287519484,0.049819352374650114,430,adaod,0,10,95,4,34,6,female_adaod,leeds
98,female,0.08263732879628309,0.055673702422556176,0.36407595287519484,0.049819352374650114,430,adaod,0,10,95,4,34,6,female_adaod,leeds
99,female,0.08263732879628309,0.055673702422556176,0.36407595287519484,0.049819352374650114,430,adaod,0,10,95,4,34,6,female_adaod,leeds
100,female,0.08263732879628309,0.055673702422556176,0.36407595287519484,0.049819352374650114,430,adaod,0,10,95,4,34,6,female_adaod,leeds
