age,sex,mort,ylds (years lived with disability)_rate_carc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,14830,carc,0,10,0,0,0,5,female_carc,leeds
1,female,0,0,0,1e-8,14830,carc,0,10,0,0,0,5,female_carc,leeds
2,female,0,0,0,1e-8,14830,carc,0,10,0,0,0,5,female_carc,leeds
3,female,0,0,0,1e-8,14830,carc,0,10,0,0,0,5,female_carc,leeds
4,female,0,0,0,1e-8,14830,carc,0,10,0,0,0,5,female_carc,leeds
5,female,0,0,0,1e-8,15480,carc,0,10,5,0,0,5,female_carc,leeds
6,female,0,0,0,1e-8,15480,carc,0,10,5,0,0,5,female_carc,leeds
7,female,0,0,0,1e-8,15480,carc,0,10,5,0,0,5,female_carc,leeds
8,female,0,0,0,1e-8,15480,carc,0,10,5,0,0,5,female_carc,leeds
9,female,0,0,0,1e-8,15480,carc,0,10,5,0,0,5,female_carc,leeds
10,female,0,0,0,1e-8,14032,carc,0,50,10,0,0,5,female_carc,leeds
11,female,0,0,0,1e-8,14032,carc,0,50,10,0,0,5,female_carc,leeds
12,female,0,0,0,1e-8,14032,carc,0,50,10,0,0,5,female_carc,leeds
13,female,0,0,0,1e-8,14032,carc,0,50,10,0,0,5,female_carc,leeds
14,female,0,0,0,1e-8,14032,carc,0,50,10,0,0,5,female_carc,leeds
15,female,2.434964218846042e-7,9.057760908545796e-7,8.168360136699768e-6,1.171247721245625e-6,13771,carc,0,50,15,0,0,5,female_carc,leeds
16,female,2.434964218846042e-7,9.057760908545796e-7,8.168360136699768e-6,1.171247721245625e-6,13771,carc,0,50,15,0,0,5,female_carc,leeds
17,female,2.434964218846042e-7,9.057760908545796e-7,8.168360136699768e-6,1.171247721245625e-6,13771,carc,0,50,15,0,0,5,female_carc,leeds
18,female,2.434964218846042e-7,9.057760908545796e-7,8.168360136699768e-6,1.171247721245625e-6,13771,carc,0,50,15,0,0,5,female_carc,leeds
19,female,2.434964218846042e-7,9.057760908545796e-7,8.168360136699768e-6,1.171247721245625e-6,13771,carc,0,50,15,0,0,5,female_carc,leeds
20,female,1.2515766995112503e-6,5.2960110307513235e-6,4.968423614355345e-5,7.016099598372881e-6,15636,carc,0,50,20,0,0,5,female_carc,leeds
21,female,1.2515766995112503e-6,5.2960110307513235e-6,4.968423614355345e-5,7.016099598372881e-6,15636,carc,0,50,20,0,0,5,female_carc,leeds
22,female,1.2515766995112503e-6,5.2960110307513235e-6,4.968423614355345e-5,7.016099598372881e-6,15636,carc,0,50,20,0,0,5,female_carc,leeds
23,female,1.2515766995112503e-6,5.2960110307513235e-6,4.968423614355345e-5,7.016099598372881e-6,15636,carc,0,50,20,0,0,5,female_carc,leeds
24,female,1.2515766995112503e-6,5.2960110307513235e-6,4.968423614355345e-5,7.016099598372881e-6,15636,carc,0,50,20,0,0,5,female_carc,leeds
25,female,3.600947200140745e-6,1.4944169848998576e-5,1.4733466877658071e-4,2.077342218240338e-5,17527,carc,0,50,25,0,0,5,female_carc,leeds
26,female,3.600947200140745e-6,1.4944169848998576e-5,1.4733466877658071e-4,2.077342218240338e-5,17527,carc,0,50,25,0,0,5,female_carc,leeds
