age,sex,mort,ylds (years lived with disability)_rate_crdd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,1.3241496810806345e-5,8.149589452301926e-5,4.264842454817919e-4,3.4719913969762453e-4,14830,crdd,0,10,0,0,0,5,female_crdd,leeds
1,female,1.3241496810806345e-5,8.149589452301926e-5,4.264842454817919e-4,3.4719913969762453e-4,14830,crdd,0,10,0,0,0,5,female_crdd,leeds
2,female,1.3241496810806345e-5,8.149589452301926e-5,4.264842454817919e-4,3.4719913969762453e-4,14830,crdd,0,10,0,0,0,5,female_crdd,leeds
3,female,1.3241496810806345e-5,8.149589452301926e-5,4.264842454817919e-4,3.4719913969762453e-4,14830,crdd,0,10,0,0,0,5,female_crdd,leeds
4,female,1.3241496810806345e-5,8.149589452301926e-5,4.264842454817919e-4,3.4719913969762453e-4,14830,crdd,0,10,0,0,0,5,female_crdd,leeds
5,female,3.2825748124638757e-6,1.426791110562199e-4,3.809042266803755e-4,2.6710233053142424e-4,15480,crdd,0,10,5,0,0,5,female_crdd,leeds
6,female,3.2825748124638757e-6,1.426791110562199e-4,3.809042266803755e-4,2.6710233053142424e-4,15480,crdd,0,10,5,0,0,5,female_crdd,leeds
7,female,3.2825748124638757e-6,1.426791110562199e-4,3.809042266803755e-4,2.6710233053142424e-4,15480,crdd,0,10,5,0,0,5,female_crdd,leeds
8,female,3.2825748124638757e-6,1.426791110562199e-4,3.809042266803755e-4,2.6710233053142424e-4,15480,crdd,0,10,5,0,0,5,female_crdd,leeds
9,female,3.2825748124638757e-6,1.426791110562199e-4,3.809042266803755e-4,2.6710233053142424e-4,15480,crdd,0,10,5,0,0,5,female_crdd,leeds
10,female,3.6128299368879723e-6,2.734587177036308e-4,0.0021581183236767097,2.343791536133552e-4,14032,crdd,0,50,10,0,0,5,female_crdd,leeds
11,female,3.6128299368879723e-6,2.734587177036308e-4,0.0021581183236767097,2.343791536133552e-4,14032,crdd,0,50,10,0,0,5,female_crdd,leeds
