age,sex,mort,ylds (years lived with disability)_rate_stmc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,14830,stmc,0,10,0,0,0,5,female_stmc,leeds
1,female,0,0,0,1e-8,14830,stmc,0,10,0,0,0,5,female_stmc,leeds
2,female,0,0,0,1e-8,14830,stmc,0,10,0,0,0,5,female_stmc,leeds
3,female,0,0,0,1e-8,14830,stmc,0,10,0,0,0,5,female_stmc,leeds
4,female,0,0,0,1e-8,14830,stmc,0,10,0,0,0,5,female_stmc,leeds
5,female,0,0,0,1e-8,15480,stmc,0,10,5,0,0,5,female_stmc,leeds
6,female,0,0,0,1e-8,15480,stmc,0,10,5,0,0,5,female_stmc,leeds
7,female,0,0,0,1e-8,15480,stmc,0,10,5,0,0,5,female_stmc,leeds
8,female,0,0,0,1e-8,15480,stmc,0,10,5,0,0,5,female_stmc,leeds
9,female,0,0,0,1e-8,15480,stmc,0,10,5,0,0,5,female_stmc,leeds
10,female,0,0,0,1e-8,14032,stmc,0,50,10,0,0,5,female_stmc,leeds
11,female,0,0,0,1e-8,14032,stmc,0,50,10,0,0,5,female_stmc,leeds
12,female,0,0,0,1e-8,14032,stmc,0,50,10,0,0,5,female_stmc,leeds
13,female,0,0,0,1e-8,14032,stmc,0,50,10,0,0,5,female_stmc,leeds
14,female,0,0,0,1e-8,14032,stmc,0,50,10,0,0,5,female_stmc,leeds
15,female,1.4226343463525136e-7,1.2018342922377243e-7,1.0707175025617736e-6,3.5264176892589406e-7,13771,stmc,0,50,15,0,0,5,female_stmc,leeds
16,female,1.4226343463525136e-7,1.2018342922377243e-7,1.0707175025617736e-6,3.5264176892589406e-7,13771,stmc,0,50,15,0,0,5,female_stmc,leeds
17,female,1.4226343463525136e-7,1.2018342922377243e-7,1.0707175025617736e-6,3.5264176892589406e-7,13771,stmc,0,50,15,0,0,5,female_stmc,leeds
18,female,1.4226343463525136e-7,1.2018342922377243e-7,1.0707175025617736e-6,3.5264176892589406e-7,13771,stmc,0,50,15,0,0,5,female_stmc,leeds
19,female,1.4226343463525136e-7,1.2018342922377243e-7,1.0707175025617736e-6,3.5264176892589406e-7,13771,stmc,0,50,15,0,0,5,female_stmc,leeds
20,female,4.830265482298795e-7,4.809641682863188e-7,4.4628377603902785e-6,1.3660220048683296e-6,15636,stmc,0,50,20,0,0,5,female_stmc,leeds
21,female,4.830265482298795e-7,4.809641682863188e-7,4.4628377603902785e-6,1.3660220048683296e-6,15636,stmc,0,50,20,0,0,5,female_stmc,leeds
22,female,4.830265482298795e-7,4.809641682863188e-7,4.4628377603902785e-6,1.3660220048683296e-6,15636,stmc,0,50,20,0,0,5,female_stmc,leeds
23,female,4.830265482298795e-7,4.809641682863188e-7,4.4628377603902785e-6,1.3660220048683296e-6,15636,stmc,0,50,20,0,0,5,female_stmc,leeds
24,female,4.830265482298795e-7,4.809641682863188e-7,4.4628377603902785e-6,1.3660220048683296e-6,15636,stmc,0,50,20,0,0,5,female_stmc,leeds
25,female,1.8126456540811572e-6,1.957764231699963e-6,1.8477955755587906e-5,5.4843605166030145e-6,17527,stmc,0,50,25,0,0,5,female_stmc,leeds
26,female,1.8126456540811572e-6,1.957764231699963e-6,1.8477955755587906e-5,5.4843605166030145e-6,17527,stmc,0,50,25,0,0,5,female_stmc,leeds
27,female,1.8126456540811572e-6,1.957764231699963e-6,1.8477955755587906e-5,5.4843605166030145e-6,17527,stmc,0,50,25,0,0,5,female_stmc,leeds
28,female,1.8126456540811572e-6,1.957764231699963e-6,1.8477955755587906e-5,5.4843605166030145e-6,17527,stmc,0,50,25,0,0,5,female_stmc,leeds
29,female,1.8126456540811572e-6,1.957764231699963e-6,1.8477955755587906e-5,5.4843605166030145e-6,17527,stmc,0,50,25,0,0,5,female_stmc,leeds
30,female,4.560951547701033e-6,4.861059802992532e-6,4.65981581797274e-5,1.3433892175659622e-5,16803,stmc,0,50,30,0,0,5,female_stmc,leeds
31,female,4.560951547701033e-6,4.861059802992532e-6,4.65981581797274e-5,1.3433892175659622e-5,16803,stmc,0,50,30,0,0,5,female_stmc,leeds
32,female,4.560951547701033e-6,4.861059802992532e-6,4.65981581797274e-5,1.3433892175659622e-5,16803,stmc,0,50,30,0,0,5,female_stmc,leeds
