age,sex,mort,ylds (years lived with disability)_rate_brsc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,15449,brsc,0,10,0,0,0,5,male_brsc,leeds
1,male,0,0,0,1e-8,15449,brsc,0,10,0,0,0,5,male_brsc,leeds
2,male,0,0,0,1e-8,15449,brsc,0,10,0,0,0,5,male_brsc,leeds
3,male,0,0,0,1e-8,15449,brsc,0,10,0,0,0,5,male_brsc,leeds
4,male,0,0,0,1e-8,15449,brsc,0,10,0,0,0,5,male_brsc,leeds
5,male,0,0,0,1e-8,16043,brsc,0,10,5,0,0,5,male_brsc,leeds
6,male,0,0,0,1e-8,16043,brsc,0,10,5,0,0,5,male_brsc,leeds
7,male,0,0,0,1e-8,16043,brsc,0,10,5,0,0,5,male_brsc,leeds
8,male,0,0,0,1e-8,16043,brsc,0,10,5,0,0,5,male_brsc,leeds
9,male,0,0,0,1e-8,16043,brsc,0,10,5,0,0,5,male_brsc,leeds
10,male,0,0,0,1e-8,14506,brsc,0,50,10,0,0,5,male_brsc,leeds
11,male,0,0,0,1e-8,14506,brsc,0,50,10,0,0,5,male_brsc,leeds
12,male,0,0,0,1e-8,14506,brsc,0,50,10,0,0,5,male_brsc,leeds
13,male,0,0,0,1e-8,14506,brsc,0,50,10,0,0,5,male_brsc,leeds
14,male,0,0,0,1e-8,14506,brsc,0,50,10,0,0,5,male_brsc,leeds
15,male,9.871319541907754e-8,5.680976160522588e-7,6.075787495411986e-6,6.833596369480306e-7,13985,brsc,0,50,15,0,0,5,male_brsc,leeds
16,male,9.871319541907754e-8,5.680976160522588e-7,6.075787495411986e-6,6.833596369480306e-7,13985,brsc,0,50,15,0,0,5,male_brsc,leeds
17,male,9.871319541907754e-8,5.680976160522588e-7,6.075787495411986e-6,6.833596369480306e-7,13985,brsc,0,50,15,0,0,5,male_brsc,leeds
18,male,9.871319541907754e-8,5.680976160522588e-7,6.075787495411986e-6,6.833596369480306e-7,13985,brsc,0,50,15,0,0,5,male_brsc,leeds
19,male,9.871319541907754e-8,5.680976160522588e-7,6.075787495411986e-6,6.833596369480306e-7,13985,brsc,0,50,15,0,0,5,male_brsc,leeds
20,male,9.487852310374689e-8,6.822382960697265e-7,7.848622001968128e-6,7.664901179859274e-7,15610,brsc,0,50,20,0,0,5,male_brsc,leeds
21,male,9.487852310374689e-8,6.822382960697265e-7,7.848622001968128e-6,7.664901179859274e-7,15610,brsc,0,50,20,0,0,5,male_brsc,leeds
22,male,9.487852310374689e-8,6.822382960697265e-7,7.848622001968128e-6,7.664901179859274e-7,15610,brsc,0,50,20,0,0,5,male_brsc,leeds
23,male,9.487852310374689e-8,6.822382960697265e-7,7.848622001968128e-6,7.664901179859274e-7,15610,brsc,0,50,20,0,0,5,male_brsc,leeds
24,male,9.487852310374689e-8,6.822382960697265e-7,7.848622001968128e-6,7.664901179859274e-7,15610,brsc,0,50,20,0,0,5,male_brsc,leeds
25,male,1.1433316056318339e-7,9.422721817387856e-7,1.0938496505323749e-5,1.0587100145003147e-6,17383,brsc,0,50,25,0,0,5,male_brsc,leeds
26,male,1.1433316056318339e-7,9.422721817387856e-7,1.0938496505323749e-5,1.0587100145003147e-6,17383,brsc,0,50,25,0,0,5,male_brsc,leeds
27,male,1.1433316056318339e-7,9.422721817387856e-7,1.0938496505323749e-5,1.0587100145003147e-6,17383,brsc,0,50,25,0,0,5,male_brsc,leeds
28,male,1.1433316056318339e-7,9.422721817387856e-7,1.0938496505323749e-5,1.0587100145003147e-6,17383,brsc,0,50,25,0,0,5,male_brsc,leeds
29,male,1.1433316056318339e-7,9.422721817387856e-7,1.0938496505323749e-5,1.0587100145003147e-6,17383,brsc,0,50,25,0,0,5,male_brsc,leeds
30,male,1.949728130315489e-7,1.0733249332040721e-6,1.238324379026264e-5,1.2256408143821573e-6,17049,brsc,0,50,30,0,0,5,male_brsc,leeds
31,male,1.949728130315489e-7,1.0733249332040721e-6,1.238324379026264e-5,1.2256408143821573e-6,17049,brsc,0,50,30,0,0,5,male_brsc,leeds
32,male,1.949728130315489e-7,1.0733249332040721e-6,1.238324379026264e-5,1.2256408143821573e-6,17049,brsc,0,50,30,0,0,5,male_brsc,leeds
33,male,1.949728130315489e-7,1.0733249332040721e-6,1.238324379026264e-5,1.2256408143821573e-6,17049,brsc,0,50,30,0,0,5,male_brsc,leeds
34,male,1.949728130315489e-7,1.0733249332040721e-6,1.238324379026264e-5,1.2256408143821573e-6,17049,brsc,0,50,30,0,0,5,male_brsc,leeds
35,male,5.281249657437808e-7,2.2406594978572104e-6,2.4595367474940276e-5,2.665538314917703e-6,16810,brsc,0,50,35,0,0,5,male_brsc,leeds
36,male,5.281249657437808e-7,2.2406594978572104e-6,2.4595367474940276e-5,2.665538314917703e-6,16810,brsc,0,50,35,0,0,5,male_brsc,leeds
37,male,5.281249657437808e-7,2.2406594978572104e-6,2.4595367474940276e-5,2.665538314917703e-6,16810,brsc,0,50,35,0,0,5,male_brsc,leeds
38,male,5.281249657437808e-7,2.2406594978572104e-6,2.4595367474940276e-5,2.665538314917703e-6,16810,brsc,0,50,35,0,0,5,male_brsc,leeds
39,male,5.281249657437808e-7,2.2406594978572104e-6,2.4595367474940276e-5,2.665538314917703e-6,16810,brsc,0,50,35,0,0,5,male_brsc,leeds
40,male,1.0150185010090945e-6,3.9103031242427355e-6,4.220176988834059e-5,4.698574643959915e-6,15300,brsc,0,50,40,0,0,5,male_brsc,leeds
41,male,1.0150185010090945e-6,3.9103031242427355e-6,4.220176988834059e-5,4.698574643959915e-6,15300,brsc,0,50,40,0,0,5,male_brsc,leeds
42,male,1.0150185010090945e-6,3.9103031242427355e-6,4.220176988834059e-5,4.698574643959915e-6,15300,brsc,0,50,40,0,0,5,male_brsc,leeds
43,male,1.0150185010090945e-6,3.9103031242427355e-6,4.220176988834059e-5,4.698574643959915e-6,15300,brsc,0,50,40,0,0,5,male_brsc,leeds
44,male,1.0150185010090945e-6,3.9103031242427355e-6,4.220176988834059e-5,4.698574643959915e-6,15300,brsc,0,50,40,0,0,5,male_brsc,leeds
45,male,1.7056848769581755e-6,5.7947746097994395e-6,6.186120310654118e-5,6.926464775305913e-6,16462,brsc,0,50,45,0,0,5,male_brsc,leeds
46,male,1.7056848769581755e-6,5.7947746097994395e-6,6.186120310654118e-5,6.926464775305913e-6,16462,brsc,0,50,45,0,0,5,male_brsc,leeds
47,male,1.7056848769581755e-6,5.7947746097994395e-6,6.186120310654118e-5,6.926464775305913e-6,16462,brsc,0,50,45,0,0,5,male_brsc,leeds
48,male,1.7056848769581755e-6,5.7947746097994395e-6,6.186120310654118e-5,6.926464775305913e-6,16462,brsc,0,50,45,0,0,5,male_brsc,leeds
49,male,1.7056848769581755e-6,5.7947746097994395e-6,6.186120310654118e-5,6.926464775305913e-6,16462,brsc,0,50,45,0,0,5,male_brsc,leeds
50,male,2.8722313792209013e-6,7.373339081244228e-6,7.85440114458698e-5,8.831169738729723e-6,15661,brsc,0,50,50,0,0,5,male_brsc,leeds
