age,sex,mort,ylds (years lived with disability)_rate_dmt2,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,15449,dmt2,0,10,0,0,0,5,male_dmt2,leeds
1,male,0,0,0,1e-8,15449,dmt2,0,10,0,0,0,5,male_dmt2,leeds
2,male,0,0,0,1e-8,15449,dmt2,0,10,0,0,0,5,male_dmt2,leeds
3,male,0,0,0,1e-8,15449,dmt2,0,10,0,0,0,5,male_dmt2,leeds
4,male,0,0,0,1e-8,15449,dmt2,0,10,0,0,0,5,male_dmt2,leeds
5,male,0,0,0,1e-8,16043,dmt2,0,10,5,0,0,5,male_dmt2,leeds
6,male,0,0,0,1e-8,16043,dmt2,0,10,5,0,0,5,male_dmt2,leeds
7,male,0,0,0,1e-8,16043,dmt2,0,10,5,0,0,5,male_dmt2,leeds
8,male,0,0,0,1e-8,16043,dmt2,0,10,5,0,0,5,male_dmt2,leeds
9,male,0,0,0,1e-8,16043,dmt2,0,10,5,0,0,5,male_dmt2,leeds
10,male,0,2.616460681515606e-5,5.228621589613939e-4,6.32117254510158e-4,14506,dmt2,0,50,10,0,0,5,male_dmt2,leeds
11,male,0,2.616460681515606e-5,5.228621589613939e-4,6.32117254510158e-4,14506,dmt2,0,50,10,0,0,5,male_dmt2,leeds
12,male,0,2.616460681515606e-5,5.228621589613939e-4,6.32117254510158e-4,14506,dmt2,0,50,10,0,0,5,male_dmt2,leeds
13,male,0,2.616460681515606e-5,5.228621589613939e-4,6.32117254510158e-4,14506,dmt2,0,50,10,0,0,5,male_dmt2,leeds
14,male,0,2.616460681515606e-5,5.228621589613939e-4,6.32117254510158e-4,14506,dmt2,0,50,10,0,0,5,male_dmt2,leeds
15,male,1.0778732176417732e-7,4.5456803274944793e-4,0.00864438861177593,0.002845278032914279,13985,dmt2,0,50,15,0,0,5,male_dmt2,leeds
16,male,1.0778732176417732e-7,4.5456803274944793e-4,0.00864438861177593,0.002845278032914279,13985,dmt2,0,50,15,0,0,5,male_dmt2,leeds
17,male,1.0778732176417732e-7,4.5456803274944793e-4,0.00864438861177593,0.002845278032914279,13985,dmt2,0,50,15,0,0,5,male_dmt2,leeds
18,male,1.0778732176417732e-7,4.5456803274944793e-4,0.00864438861177593,0.002845278032914279,13985,dmt2,0,50,15,0,0,5,male_dmt2,leeds
19,male,1.0778732176417732e-7,4.5456803274944793e-4,0.00864438861177593,0.002845278032914279,13985,dmt2,0,50,15,0,0,5,male_dmt2,leeds
