age,sex,mort,ylds (years lived with disability)_rate_iscs,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,8.407450949923925e-7,2.1527382859911274e-5,1.7907478232882953e-4,6.921883539758665e-5,15449,iscs,0,10,0,0,0,5,male_iscs,leeds
1,male,8.407450949923925e-7,2.1527382859911274e-5,1.7907478232882953e-4,6.921883539758665e-5,15449,iscs,0,10,0,0,0,5,male_iscs,leeds
2,male,8.407450949923925e-7,2.1527382859911274e-5,1.7907478232882953e-4,6.921883539758665e-5,15449,iscs,0,10,0,0,0,5,male_iscs,leeds
3,male,8.407450949923925e-7,2.1527382859911274e-5,1.7907478232882953e-4,6.921883539758665e-5,15449,iscs,0,10,0,0,0,5,male_iscs,leeds
4,male,8.407450949923925e-7,2.1527382859911274e-5,1.7907478232882953e-4,6.921883539758665e-5,15449,iscs,0,10,0,0,0,5,male_iscs,leeds
5,male,1.0213934869393873e-7,5.201924498283785e-5,4.4295625565958334e-4,3.107822107348709e-5,16043,iscs,0,10,5,0,0,5,male_iscs,leeds
6,male,1.0213934869393873e-7,5.201924498283785e-5,4.4295625565958334e-4,3.107822107348709e-5,16043,iscs,0,10,5,0,0,5,male_iscs,leeds
7,male,1.0213934869393873e-7,5.201924498283785e-5,4.4295625565958334e-4,3.107822107348709e-5,16043,iscs,0,10,5,0,0,5,male_iscs,leeds
8,male,1.0213934869393873e-7,5.201924498283785e-5,4.4295625565958334e-4,3.107822107348709e-5,16043,iscs,0,10,5,0,0,5,male_iscs,leeds
9,male,1.0213934869393873e-7,5.201924498283785e-5,4.4295625565958334e-4,3.107822107348709e-5,16043,iscs,0,10,5,0,0,5,male_iscs,leeds
10,male,6.369738591232037e-8,7.94358059848317e-5,6.637989921940688e-4,2.8435514090414903e-5,14506,iscs,0,50,10,0,0,5,male_iscs,leeds
11,male,6.369738591232037e-8,7.94358059848317e-5,6.637989921940688e-4,2.8435514090414903e-5,14506,iscs,0,50,10,0,0,5,male_iscs,leeds
12,male,6.369738591232037e-8,7.94358059848317e-5,6.637989921940688e-4,2.8435514090414903e-5,14506,iscs,0,50,10,0,0,5,male_iscs,leeds
