age,sex,mort,ylds (years lived with disability)_rate_ishd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,15449,ishd,0,10,0,0,0,5,male_ishd,leeds
1,male,0,0,0,1e-8,15449,ishd,0,10,0,0,0,5,male_ishd,leeds
2,male,0,0,0,1e-8,15449,ishd,0,10,0,0,0,5,male_ishd,leeds
3,male,0,0,0,1e-8,15449,ishd,0,10,0,0,0,5,male_ishd,leeds
4,male,0,0,0,1e-8,15449,ishd,0,10,0,0,0,5,male_ishd,leeds
5,male,0,0,0,1e-8,16043,ishd,0,10,5,0,0,5,male_ishd,leeds
6,male,0,0,0,1e-8,16043,ishd,0,10,5,0,0,5,male_ishd,leeds
7,male,0,0,0,1e-8,16043,ishd,0,10,5,0,0,5,male_ishd,leeds
8,male,0,0,0,1e-8,16043,ishd,0,10,5,0,0,5,male_ishd,leeds
9,male,0,0,0,1e-8,16043,ishd,0,10,5,0,0,5,male_ishd,leeds
10,male,0,0,0,1e-8,14506,ishd,0,50,10,0,0,5,male_ishd,leeds
11,male,0,0,0,1e-8,14506,ishd,0,50,10,0,0,5,male_ishd,leeds
12,male,0,0,0,1e-8,14506,ishd,0,50,10,0,0,5,male_ishd,leeds
13,male,0,0,0,1e-8,14506,ishd,0,50,10,0,0,5,male_ishd,leeds
14,male,0,0,0,1e-8,14506,ishd,0,50,10,0,0,5,male_ishd,leeds
15,male,1.470405037164548e-6,5.214992705252187e-6,1.30316769126813e-4,2.1762811790749605e-5,13985,ishd,0,50,15,0,0,5,male_ishd,leeds
16,male,1.470405037164548e-6,5.214992705252187e-6,1.30316769126813e-4,2.1762811790749605e-5,13985,ishd,0,50,15,0,0,5,male_ishd,leeds
17,male,1.470405037164548e-6,5.214992705252187e-6,1.30316769126813e-4,2.1762811790749605e-5,13985,ishd,0,50,15,0,0,5,male_ishd,leeds
18,male,1.470405037164548e-6,5.214992705252187e-6,1.30316769126813e-4,2.1762811790749605e-5,13985,ishd,0,50,15,0,0,5,male_ishd,leeds
19,male,1.470405037164548e-6,5.214992705252187e-6,1.30316769126813e-4,2.1762811790749605e-5,13985,ishd,0,50,15,0,0,5,male_ishd,leeds
20,male,4.174761239895831e-6,2.16004433876023e-5,4.4137615330155775e-4,6.614389272992211e-5,15610,ishd,0,50,20,0,0,5,male_ishd,leeds
21,male,4.174761239895831e-6,2.16004433876023e-5,4.4137615330155775e-4,6.614389272992211e-5,15610,ishd,0,50,20,0,0,5,male_ishd,leeds
22,male,4.174761239895831e-6,2.16004433876023e-5,4.4137615330155775e-4,6.614389272992211e-5,15610,ishd,0,50,20,0,0,5,male_ishd,leeds
23,male,4.174761239895831e-6,2.16004433876023e-5,4.4137615330155775e-4,6.614389272992211e-5,15610,ishd,0,50,20,0,0,5,male_ishd,leeds
24,male,4.174761239895831e-6,2.16004433876023e-5,4.4137615330155775e-4,6.614389272992211e-5,15610,ishd,0,50,20,0,0,5,male_ishd,leeds
25,male,1.3887639391681173e-5,4.5670948203302003e-005,0.0010296792368081063,1.1145806963960944e-4,17383,ishd,0,50,25,0,0,5,male_ishd,leeds
26,male,1.3887639391681173e-5,4.5670948203302003e-005,0.0010296792368081063,1.1145806963960944e-4,17383,ishd,0,50,25,0,0,5,male_ishd,leeds
27,male,1.3887639391681173e-5,4.5670948203302003e-005,0.0010296792368081063,1.1145806963960944e-4,17383,ishd,0,50,25,0,0,5,male_ishd,leeds
28,male,1.3887639391681173e-5,4.5670948203302003e-005,0.0010296792368081063,1.1145806963960944e-4,17383,ishd,0,50,25,0,0,5,male_ishd,leeds
29,male,1.3887639391681173e-5,4.5670948203302003e-005,0.0010296792368081063,1.1145806963960944e-4,17383,ishd,0,50,25,0,0,5,male_ishd,leeds
30,male,3.4431579162740786e-5,8.993217512220129e-5,0.0022632228575956504,3.0611148517108947e-4,17049,ishd,0,50,30,0,1,5,male_ishd,leeds
31,male,3.4431579162740786e-5,8.993217512220129e-5,0.0022632228575956504,3.0611148517108947e-4,17049,ishd,0,50,30,0,1,5,male_ishd,leeds
32,male,3.4431579162740786e-5,8.993217512220129e-5,0.0022632228575956504,3.0611148517108947e-4,17049,ishd,0,50,30,0,1,5,male_ishd,leeds
33,male,3.4431579162740786e-5,8.993217512220129e-5,0.0022632228575956504,3.0611148517108947e-4,17049,ishd,0,50,30,0,1,5,male_ishd,leeds
34,male,3.4431579162740786e-5,8.993217512220129e-5,0.0022632228575956504,3.0611148517108947e-4,17049,ishd,0,50,30,0,1,5,male_ishd,leeds
35,male,9.041118987107474e-5,1.7266300594930616e-4,0.005053477109409269,6.498951130347056e-4,16810,ishd,0,50,35,0,2,5,male_ishd,leeds
36,male,9.041118987107474e-5,1.7266300594930616e-4,0.005053477109409269,6.498951130347056e-4,16810,ishd,0,50,35,0,2,5,male_ishd,leeds
37,male,9.041118987107474e-5,1.7266300594930616e-4,0.005053477109409269,6.498951130347056e-4,16810,ishd,0,50,35,0,2,5,male_ishd,leeds
38,male,9.041118987107474e-5,1.7266300594930616e-4,0.005053477109409269,6.498951130347056e-4,16810,ishd,0,50,35,0,2,5,male_ishd,leeds
39,male,9.041118987107474e-5,1.7266300594930616e-4,0.005053477109409269,6.498951130347056e-4,16810,ishd,0,50,35,0,2,5,male_ishd,leeds
40,male,2.1776326494068408e-4,3.397109294368783e-4,0.010527680392384244,0.0013494273892714012,15300,ishd,0,50,40,1,3,5,male_ishd,leeds
41,male,2.1776326494068408e-4,3.397109294368783e-4,0.010527680392384244,0.0013494273892714012,15300,ishd,0,50,40,1,3,5,male_ishd,leeds
