age,sex,mort,ylds (years lived with disability)_rate_lvrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,15449,lvrc,0,10,0,0,0,5,male_lvrc,leeds
1,male,0,0,0,1e-8,15449,lvrc,0,10,0,0,0,5,male_lvrc,leeds
2,male,0,0,0,1e-8,15449,lvrc,0,10,0,0,0,5,male_lvrc,leeds
3,male,0,0,0,1e-8,15449,lvrc,0,10,0,0,0,5,male_lvrc,leeds
4,male,0,0,0,1e-8,15449,lvrc,0,10,0,0,0,5,male_lvrc,leeds
5,male,3.6217336359484497e-7,2.588914883582838e-7,0,1.220194598742291e-6,16043,lvrc,0,10,5,0,0,5,male_lvrc,leeds
6,male,3.6217336359484497e-7,2.588914883582838e-7,0,1.220194598742291e-6,16043,lvrc,0,10,5,0,0,5,male_lvrc,leeds
7,male,3.6217336359484497e-7,2.588914883582838e-7,0,1.220194598742291e-6,16043,lvrc,0,10,5,0,0,5,male_lvrc,leeds
8,male,3.6217336359484497e-7,2.588914883582838e-7,0,1.220194598742291e-6,16043,lvrc,0,10,5,0,0,5,male_lvrc,leeds
9,male,3.6217336359484497e-7,2.588914883582838e-7,0,1.220194598742291e-6,16043,lvrc,0,10,5,0,0,5,male_lvrc,leeds
10,male,3.360860105963948e-7,2.4352920120506315e-7,0,1.130715314313154e-6,14506,lvrc,0,50,10,0,0,5,male_lvrc,leeds
11,male,3.360860105963948e-7,2.4352920120506315e-7,0,1.130715314313154e-6,14506,lvrc,0,50,10,0,0,5,male_lvrc,leeds
12,male,3.360860105963948e-7,2.4352920120506315e-7,0,1.130715314313154e-6,14506,lvrc,0,50,10,0,0,5,male_lvrc,leeds
13,male,3.360860105963948e-7,2.4352920120506315e-7,0,1.130715314313154e-6,14506,lvrc,0,50,10,0,0,5,male_lvrc,leeds
14,male,3.360860105963948e-7,2.4352920120506315e-7,0,1.130715314313154e-6,14506,lvrc,0,50,10,0,0,5,male_lvrc,leeds
15,male,8.703717481077644e-7,7.49113797671251e-7,0,3.4578099586530527e-6,13985,lvrc,0,50,15,0,0,5,male_lvrc,leeds
16,male,8.703717481077644e-7,7.49113797671251e-7,0,3.4578099586530527e-6,13985,lvrc,0,50,15,0,0,5,male_lvrc,leeds
17,male,8.703717481077644e-7,7.49113797671251e-7,0,3.4578099586530527e-6,13985,lvrc,0,50,15,0,0,5,male_lvrc,leeds
18,male,8.703717481077644e-7,7.49113797671251e-7,0,3.4578099586530527e-6,13985,lvrc,0,50,15,0,0,5,male_lvrc,leeds
19,male,8.703717481077644e-7,7.49113797671251e-7,0,3.4578099586530527e-6,13985,lvrc,0,50,15,0,0,5,male_lvrc,leeds
20,male,1.1882599385794945e-6,1.1250967503056263e-6,0,5.245181021508271e-6,15610,lvrc,0,50,20,0,0,5,male_lvrc,leeds
21,male,1.1882599385794945e-6,1.1250967503056263e-6,0,5.245181021508271e-6,15610,lvrc,0,50,20,0,0,5,male_lvrc,leeds
22,male,1.1882599385794945e-6,1.1250967503056263e-6,0,5.245181021508271e-6,15610,lvrc,0,50,20,0,0,5,male_lvrc,leeds
23,male,1.1882599385794945e-6,1.1250967503056263e-6,0,5.245181021508271e-6,15610,lvrc,0,50,20,0,0,5,male_lvrc,leeds
24,male,1.1882599385794945e-6,1.1250967503056263e-6,0,5.245181021508271e-6,15610,lvrc,0,50,20,0,0,5,male_lvrc,leeds
25,male,1.9865303414040997e-6,1.5559804684383407e-6,0,5.709794429855211e-6,17383,lvrc,0,50,25,0,0,5,male_lvrc,leeds
