age,sex,mort,ylds (years lived with disability)_rate_stmc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,15449,stmc,0,10,0,0,0,5,male_stmc,leeds
1,male,0,0,0,1e-8,15449,stmc,0,10,0,0,0,5,male_stmc,leeds
2,male,0,0,0,1e-8,15449,stmc,0,10,0,0,0,5,male_stmc,leeds
3,male,0,0,0,1e-8,15449,stmc,0,10,0,0,0,5,male_stmc,leeds
4,male,0,0,0,1e-8,15449,stmc,0,10,0,0,0,5,male_stmc,leeds
5,male,0,0,0,1e-8,16043,stmc,0,10,5,0,0,5,male_stmc,leeds
6,male,0,0,0,1e-8,16043,stmc,0,10,5,0,0,5,male_stmc,leeds
7,male,0,0,0,1e-8,16043,stmc,0,10,5,0,0,5,male_stmc,leeds
8,male,0,0,0,1e-8,16043,stmc,0,10,5,0,0,5,male_stmc,leeds
9,male,0,0,0,1e-8,16043,stmc,0,10,5,0,0,5,male_stmc,leeds
10,male,0,0,0,1e-8,14506,stmc,0,50,10,0,0,5,male_stmc,leeds
11,male,0,0,0,1e-8,14506,stmc,0,50,10,0,0,5,male_stmc,leeds
12,male,0,0,0,1e-8,14506,stmc,0,50,10,0,0,5,male_stmc,leeds
13,male,0,0,0,1e-8,14506,stmc,0,50,10,0,0,5,male_stmc,leeds
14,male,0,0,0,1e-8,14506,stmc,0,50,10,0,0,5,male_stmc,leeds
15,male,2.307448260361504e-7,3.8409309458925096e-7,3.862496879549134e-6,9.544603124638822e-7,13985,stmc,0,50,15,0,0,5,male_stmc,leeds
16,male,2.307448260361504e-7,3.8409309458925096e-7,3.862496879549134e-6,9.544603124638822e-7,13985,stmc,0,50,15,0,0,5,male_stmc,leeds
17,male,2.307448260361504e-7,3.8409309458925096e-7,3.862496879549134e-6,9.544603124638822e-7,13985,stmc,0,50,15,0,0,5,male_stmc,leeds
18,male,2.307448260361504e-7,3.8409309458925096e-7,3.862496879549134e-6,9.544603124638822e-7,13985,stmc,0,50,15,0,0,5,male_stmc,leeds
19,male,2.307448260361504e-7,3.8409309458925096e-7,3.862496879549134e-6,9.544603124638822e-7,13985,stmc,0,50,15,0,0,5,male_stmc,leeds
20,male,5.267680655858377e-7,8.786544029340743e-7,8.953981656958158e-6,2.1450232191507658e-6,15610,stmc,0,50,20,0,0,5,male_stmc,leeds
21,male,5.267680655858377e-7,8.786544029340743e-7,8.953981656958158e-6,2.1450232191507658e-6,15610,stmc,0,50,20,0,0,5,male_stmc,leeds
22,male,5.267680655858377e-7,8.786544029340743e-7,8.953981656958158e-6,2.1450232191507658e-6,15610,stmc,0,50,20,0,0,5,male_stmc,leeds
23,male,5.267680655858377e-7,8.786544029340743e-7,8.953981656958158e-6,2.1450232191507658e-6,15610,stmc,0,50,20,0,0,5,male_stmc,leeds
24,male,5.267680655858377e-7,8.786544029340743e-7,8.953981656958158e-6,2.1450232191507658e-6,15610,stmc,0,50,20,0,0,5,male_stmc,leeds
25,male,1.4981761718597882e-6,2.1262834127718294e-6,2.1179115350522067e-5,5.322576578429192e-6,17383,stmc,0,50,25,0,0,5,male_stmc,leeds
26,male,1.4981761718597882e-6,2.1262834127718294e-6,2.1179115350522067e-5,5.322576578429192e-6,17383,stmc,0,50,25,0,0,5,male_stmc,leeds
27,male,1.4981761718597882e-6,2.1262834127718294e-6,2.1179115350522067e-5,5.322576578429192e-6,17383,stmc,0,50,25,0,0,5,male_stmc,leeds
28,male,1.4981761718597882e-6,2.1262834127718294e-6,2.1179115350522067e-5,5.322576578429192e-6,17383,stmc,0,50,25,0,0,5,male_stmc,leeds
29,male,1.4981761718597882e-6,2.1262834127718294e-6,2.1179115350522067e-5,5.322576578429192e-6,17383,stmc,0,50,25,0,0,5,male_stmc,leeds
30,male,3.724719912193048e-6,5.1861373993382e-6,5.2383643864732204e-5,1.2752452723816009e-5,17049,stmc,0,50,30,0,0,5,male_stmc,leeds
31,male,3.724719912193048e-6,5.1861373993382e-6,5.2383643864732204e-5,1.2752452723816009e-5,17049,stmc,0,50,30,0,0,5,male_stmc,leeds
32,male,3.724719912193048e-6,5.1861373993382e-6,5.2383643864732204e-5,1.2752452723816009e-5,17049,stmc,0,50,30,0,0,5,male_stmc,leeds
33,male,3.724719912193048e-6,5.1861373993382e-6,5.2383643864732204e-5,1.2752452723816009e-5,17049,stmc,0,50,30,0,0,5,male_stmc,leeds
34,male,3.724719912193048e-6,5.1861373993382e-6,5.2383643864732204e-5,1.2752452723816009e-5,17049,stmc,0,50,30,0,0,5,male_stmc,leeds
35,male,8.822962007917913e-6,1.1927307275025712e-5,1.214798826524495e-4,2.959683643195041e-5,16810,stmc,0,50,35,0,0,5,male_stmc,leeds
36,male,8.822962007917913e-6,1.1927307275025712e-5,1.214798826524495e-4,2.959683643195041e-5,16810,stmc,0,50,35,0,0,5,male_stmc,leeds
37,male,8.822962007917913e-6,1.1927307275025712e-5,1.214798826524495e-4,2.959683643195041e-5,16810,stmc,0,50,35,0,0,5,male_stmc,leeds
38,male,8.822962007917913e-6,1.1927307275025712e-5,1.214798826524495e-4,2.959683643195041e-5,16810,stmc,0,50,35,0,0,5,male_stmc,leeds
39,male,8.822962007917913e-6,1.1927307275025712e-5,1.214798826524495e-4,2.959683643195041e-5,16810,stmc,0,50,35,0,0,5,male_stmc,leeds
40,male,1.8065102635352512e-5,2.011994390070498e-5,2.0127590689570382e-4,5.1444037586081156e-5,15300,stmc,0,50,40,0,0,5,male_stmc,leeds
41,male,1.8065102635352512e-5,2.011994390070498e-5,2.0127590689570382e-4,5.1444037586081156e-5,15300,stmc,0,50,40,0,0,5,male_stmc,leeds
