age,sex,mort,ylds (years lived with disability)_rate_tbalc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,15449,tbalc,0,10,0,0,0,5,male_tbalc,leeds
1,male,0,0,0,1e-8,15449,tbalc,0,10,0,0,0,5,male_tbalc,leeds
2,male,0,0,0,1e-8,15449,tbalc,0,10,0,0,0,5,male_tbalc,leeds
3,male,0,0,0,1e-8,15449,tbalc,0,10,0,0,0,5,male_tbalc,leeds
4,male,0,0,0,1e-8,15449,tbalc,0,10,0,0,0,5,male_tbalc,leeds
5,male,0,0,0,1e-8,16043,tbalc,0,10,5,0,0,5,male_tbalc,leeds
6,male,0,0,0,1e-8,16043,tbalc,0,10,5,0,0,5,male_tbalc,leeds
7,male,0,0,0,1e-8,16043,tbalc,0,10,5,0,0,5,male_tbalc,leeds
8,male,0,0,0,1e-8,16043,tbalc,0,10,5,0,0,5,male_tbalc,leeds
9,male,0,0,0,1e-8,16043,tbalc,0,10,5,0,0,5,male_tbalc,leeds
10,male,0,0,0,1e-8,14506,tbalc,0,50,10,0,0,5,male_tbalc,leeds
11,male,0,0,0,1e-8,14506,tbalc,0,50,10,0,0,5,male_tbalc,leeds
12,male,0,0,0,1e-8,14506,tbalc,0,50,10,0,0,5,male_tbalc,leeds
13,male,0,0,0,1e-8,14506,tbalc,0,50,10,0,0,5,male_tbalc,leeds
14,male,0,0,0,1e-8,14506,tbalc,0,50,10,0,0,5,male_tbalc,leeds
15,male,1.7509711701075237e-7,5.8933271311114374e-8,2.5443431029360777e-7,2.290029069303455e-7,13985,tbalc,0,50,15,0,0,5,male_tbalc,leeds
16,male,1.7509711701075237e-7,5.8933271311114374e-8,2.5443431029360777e-7,2.290029069303455e-7,13985,tbalc,0,50,15,0,0,5,male_tbalc,leeds
17,male,1.7509711701075237e-7,5.8933271311114374e-8,2.5443431029360777e-7,2.290029069303455e-7,13985,tbalc,0,50,15,0,0,5,male_tbalc,leeds
18,male,1.7509711701075237e-7,5.8933271311114374e-8,2.5443431029360777e-7,2.290029069303455e-7,13985,tbalc,0,50,15,0,0,5,male_tbalc,leeds
19,male,1.7509711701075237e-7,5.8933271311114374e-8,2.5443431029360777e-7,2.290029069303455e-7,13985,tbalc,0,50,15,0,0,5,male_tbalc,leeds
20,male,6.205993323710082e-7,2.688880347212013e-7,1.5574416403270828e-6,9.460755187838265e-7,15610,tbalc,0,50,20,0,0,5,male_tbalc,leeds
21,male,6.205993323710082e-7,2.688880347212013e-7,1.5574416403270828e-6,9.460755187838265e-7,15610,tbalc,0,50,20,0,0,5,male_tbalc,leeds
22,male,6.205993323710082e-7,2.688880347212013e-7,1.5574416403270828e-6,9.460755187838265e-7,15610,tbalc,0,50,20,0,0,5,male_tbalc,leeds
23,male,6.205993323710082e-7,2.688880347212013e-7,1.5574416403270828e-6,9.460755187838265e-7,15610,tbalc,0,50,20,0,0,5,male_tbalc,leeds
24,male,6.205993323710082e-7,2.688880347212013e-7,1.5574416403270828e-6,9.460755187838265e-7,15610,tbalc,0,50,20,0,0,5,male_tbalc,leeds
25,male,1.4792572643637832e-6,7.614467241318609e-7,4.7230540741988e-6,2.5977399564141028e-6,17383,tbalc,0,50,25,0,0,5,male_tbalc,leeds
26,male,1.4792572643637832e-6,7.614467241318609e-7,4.7230540741988e-6,2.5977399564141028e-6,17383,tbalc,0,50,25,0,0,5,male_tbalc,leeds
27,male,1.4792572643637832e-6,7.614467241318609e-7,4.7230540741988e-6,2.5977399564141028e-6,17383,tbalc,0,50,25,0,0,5,male_tbalc,leeds
28,male,1.4792572643637832e-6,7.614467241318609e-7,4.7230540741988e-6,2.5977399564141028e-6,17383,tbalc,0,50,25,0,0,5,male_tbalc,leeds
29,male,1.4792572643637832e-6,7.614467241318609e-7,4.7230540741988e-6,2.5977399564141028e-6,17383,tbalc,0,50,25,0,0,5,male_tbalc,leeds
30,male,4.6485976910572866e-6,2.0543952769211763e-6,1.1273823994918288e-5,7.392195953944797e-6,17049,tbalc,0,50,30,0,0,5,male_tbalc,leeds
31,male,4.6485976910572866e-6,2.0543952769211763e-6,1.1273823994918288e-5,7.392195953944797e-6,17049,tbalc,0,50,30,0,0,5,male_tbalc,leeds
32,male,4.6485976910572866e-6,2.0543952769211763e-6,1.1273823994918288e-5,7.392195953944797e-6,17049,tbalc,0,50,30,0,0,5,male_tbalc,leeds
33,male,4.6485976910572866e-6,2.0543952769211763e-6,1.1273823994918288e-5,7.392195953944797e-6,17049,tbalc,0,50,30,0,0,5,male_tbalc,leeds
34,male,4.6485976910572866e-6,2.0543952769211763e-6,1.1273823994918288e-5,7.392195953944797e-6,17049,tbalc,0,50,30,0,0,5,male_tbalc,leeds
