age,sex,mort,ylds (years lived with disability)_rate_brsc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,7499,brsc,0,10,0,0,0,5,female_brsc,liverpool
1,female,0,0,0,1e-8,7499,brsc,0,10,0,0,0,5,female_brsc,liverpool
2,female,0,0,0,1e-8,7499,brsc,0,10,0,0,0,5,female_brsc,liverpool
3,female,0,0,0,1e-8,7499,brsc,0,10,0,0,0,5,female_brsc,liverpool
4,female,0,0,0,1e-8,7499,brsc,0,10,0,0,0,5,female_brsc,liverpool
5,female,0,0,0,1e-8,7726,brsc,0,10,5,0,0,5,female_brsc,liverpool
6,female,0,0,0,1e-8,7726,brsc,0,10,5,0,0,5,female_brsc,liverpool
7,female,0,0,0,1e-8,7726,brsc,0,10,5,0,0,5,female_brsc,liverpool
8,female,0,0,0,1e-8,7726,brsc,0,10,5,0,0,5,female_brsc,liverpool
9,female,0,0,0,1e-8,7726,brsc,0,10,5,0,0,5,female_brsc,liverpool
10,female,0,0,0,1e-8,7268,brsc,0,50,10,0,0,5,female_brsc,liverpool
11,female,0,0,0,1e-8,7268,brsc,0,50,10,0,0,5,female_brsc,liverpool
12,female,0,0,0,1e-8,7268,brsc,0,50,10,0,0,5,female_brsc,liverpool
13,female,0,0,0,1e-8,7268,brsc,0,50,10,0,0,5,female_brsc,liverpool
14,female,0,0,0,1e-8,7268,brsc,0,50,10,0,0,5,female_brsc,liverpool
15,female,2.70355722178937e-7,2.5583778488658956e-6,3.0939458514882925e-5,3.217806409856797e-6,7653,brsc,0,50,15,0,0,5,female_brsc,liverpool
16,female,2.70355722178937e-7,2.5583778488658956e-6,3.0939458514882925e-5,3.217806409856797e-6,7653,brsc,0,50,15,0,0,5,female_brsc,liverpool
17,female,2.70355722178937e-7,2.5583778488658956e-6,3.0939458514882925e-5,3.217806409856797e-6,7653,brsc,0,50,15,0,0,5,female_brsc,liverpool
18,female,2.70355722178937e-7,2.5583778488658956e-6,3.0939458514882925e-5,3.217806409856797e-6,7653,brsc,0,50,15,0,0,5,female_brsc,liverpool
19,female,2.70355722178937e-7,2.5583778488658956e-6,3.0939458514882925e-5,3.217806409856797e-6,7653,brsc,0,50,15,0,0,5,female_brsc,liverpool
20,female,1.057078128721497e-6,1.1776911337001817e-5,1.419761336343358e-4,1.469752691600089e-5,8896,brsc,0,50,20,0,0,5,female_brsc,liverpool
21,female,1.057078128721497e-6,1.1776911337001817e-5,1.419761336343358e-4,1.469752691600089e-5,8896,brsc,0,50,20,0,0,5,female_brsc,liverpool
22,female,1.057078128721497e-6,1.1776911337001817e-5,1.419761336343358e-4,1.469752691600089e-5,8896,brsc,0,50,20,0,0,5,female_brsc,liverpool
23,female,1.057078128721497e-6,1.1776911337001817e-5,1.419761336343358e-4,1.469752691600089e-5,8896,brsc,0,50,20,0,0,5,female_brsc,liverpool
24,female,1.057078128721497e-6,1.1776911337001817e-5,1.419761336343358e-4,1.469752691600089e-5,8896,brsc,0,50,20,0,0,5,female_brsc,liverpool
25,female,7.803685412105278e-6,9.309809878563516e-5,0.0010997951167001755,1.2466190337549147e-4,9954,brsc,0,50,25,0,0,5,female_brsc,liverpool
26,female,7.803685412105278e-6,9.309809878563516e-5,0.0010997951167001755,1.2466190337549147e-4,9954,brsc,0,50,25,0,0,5,female_brsc,liverpool
27,female,7.803685412105278e-6,9.309809878563516e-5,0.0010997951167001755,1.2466190337549147e-4,9954,brsc,0,50,25,0,0,5,female_brsc,liverpool
28,female,7.803685412105278e-6,9.309809878563516e-5,0.0010997951167001755,1.2466190337549147e-4,9954,brsc,0,50,25,0,0,5,female_brsc,liverpool
29,female,7.803685412105278e-6,9.309809878563516e-5,0.0010997951167001755,1.2466190337549147e-4,9954,brsc,0,50,25,0,0,5,female_brsc,liverpool
