age,sex,mort,ylds (years lived with disability)_rate_carc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,7499,carc,0,10,0,0,0,5,female_carc,liverpool
1,female,0,0,0,1e-8,7499,carc,0,10,0,0,0,5,female_carc,liverpool
2,female,0,0,0,1e-8,7499,carc,0,10,0,0,0,5,female_carc,liverpool
3,female,0,0,0,1e-8,7499,carc,0,10,0,0,0,5,female_carc,liverpool
4,female,0,0,0,1e-8,7499,carc,0,10,0,0,0,5,female_carc,liverpool
5,female,0,0,0,1e-8,7726,carc,0,10,5,0,0,5,female_carc,liverpool
6,female,0,0,0,1e-8,7726,carc,0,10,5,0,0,5,female_carc,liverpool
7,female,0,0,0,1e-8,7726,carc,0,10,5,0,0,5,female_carc,liverpool
8,female,0,0,0,1e-8,7726,carc,0,10,5,0,0,5,female_carc,liverpool
9,female,0,0,0,1e-8,7726,carc,0,10,5,0,0,5,female_carc,liverpool
10,female,0,0,0,1e-8,7268,carc,0,50,10,0,0,5,female_carc,liverpool
11,female,0,0,0,1e-8,7268,carc,0,50,10,0,0,5,female_carc,liverpool
12,female,0,0,0,1e-8,7268,carc,0,50,10,0,0,5,female_carc,liverpool
13,female,0,0,0,1e-8,7268,carc,0,50,10,0,0,5,female_carc,liverpool
14,female,0,0,0,1e-8,7268,carc,0,50,10,0,0,5,female_carc,liverpool
15,female,4.023382638253744e-7,1.4031135151389072e-6,1.259964584228839e-5,1.830217143925982e-6,7653,carc,0,50,15,0,0,5,female_carc,liverpool
16,female,4.023382638253744e-7,1.4031135151389072e-6,1.259964584228839e-5,1.830217143925982e-6,7653,carc,0,50,15,0,0,5,female_carc,liverpool
17,female,4.023382638253744e-7,1.4031135151389072e-6,1.259964584228839e-5,1.830217143925982e-6,7653,carc,0,50,15,0,0,5,female_carc,liverpool
18,female,4.023382638253744e-7,1.4031135151389072e-6,1.259964584228839e-5,1.830217143925982e-6,7653,carc,0,50,15,0,0,5,female_carc,liverpool
19,female,4.023382638253744e-7,1.4031135151389072e-6,1.259964584228839e-5,1.830217143925982e-6,7653,carc,0,50,15,0,0,5,female_carc,liverpool
20,female,1.4008979509239206e-6,5.588815112832002e-6,5.230862404298557e-5,7.4334126957740685e-6,8896,carc,0,50,20,0,0,5,female_carc,liverpool
21,female,1.4008979509239206e-6,5.588815112832002e-6,5.230862404298557e-5,7.4334126957740685e-6,8896,carc,0,50,20,0,0,5,female_carc,liverpool
22,female,1.4008979509239206e-6,5.588815112832002e-6,5.230862404298557e-5,7.4334126957740685e-6,8896,carc,0,50,20,0,0,5,female_carc,liverpool
23,female,1.4008979509239206e-6,5.588815112832002e-6,5.230862404298557e-5,7.4334126957740685e-6,8896,carc,0,50,20,0,0,5,female_carc,liverpool
24,female,1.4008979509239206e-6,5.588815112832002e-6,5.230862404298557e-5,7.4334126957740685e-6,8896,carc,0,50,20,0,0,5,female_carc,liverpool
25,female,3.7929457407401023e-6,1.5458546087073415e-5,1.5198291769389507e-4,2.1556926516705556e-5,9954,carc,0,50,25,0,0,5,female_carc,liverpool
26,female,3.7929457407401023e-6,1.5458546087073415e-5,1.5198291769389507e-4,2.1556926516705556e-5,9954,carc,0,50,25,0,0,5,female_carc,liverpool
27,female,3.7929457407401023e-6,1.5458546087073415e-5,1.5198291769389507e-4,2.1556926516705556e-5,9954,carc,0,50,25,0,0,5,female_carc,liverpool
28,female,3.7929457407401023e-6,1.5458546087073415e-5,1.5198291769389507e-4,2.1556926516705556e-5,9954,carc,0,50,25,0,0,5,female_carc,liverpool
29,female,3.7929457407401023e-6,1.5458546087073415e-5,1.5198291769389507e-4,2.1556926516705556e-5,9954,carc,0,50,25,0,0,5,female_carc,liverpool
30,female,1.2800250288055002e-5,4.4889512384430644e-5,4.8694570488184383e-4,7.006521617867517e-5,9292,carc,0,50,30,0,0,5,female_carc,liverpool
31,female,1.2800250288055002e-5,4.4889512384430644e-5,4.8694570488184383e-4,7.006521617867517e-5,9292,carc,0,50,30,0,0,5,female_carc,liverpool
32,female,1.2800250288055002e-5,4.4889512384430644e-5,4.8694570488184383e-4,7.006521617867517e-5,9292,carc,0,50,30,0,0,5,female_carc,liverpool
33,female,1.2800250288055002e-5,4.4889512384430644e-5,4.8694570488184383e-4,7.006521617867517e-5,9292,carc,0,50,30,0,0,5,female_carc,liverpool
34,female,1.2800250288055002e-5,4.4889512384430644e-5,4.8694570488184383e-4,7.006521617867517e-5,9292,carc,0,50,30,0,0,5,female_carc,liverpool
35,female,2.671572688869776e-5,8.218662887735895e-5,9.305888398496272e-4,1.3335944776234407e-4,8441,carc,0,50,35,0,0,5,female_carc,liverpool
36,female,2.671572688869776e-5,8.218662887735895e-5,9.305888398496272e-4,1.3335944776234407e-4,8441,carc,0,50,35,0,0,5,female_carc,liverpool
37,female,2.671572688869776e-5,8.218662887735895e-5,9.305888398496272e-4,1.3335944776234407e-4,8441,carc,0,50,35,0,0,5,female_carc,liverpool
38,female,2.671572688869776e-5,8.218662887735895e-5,9.305888398496272e-4,1.3335944776234407e-4,8441,carc,0,50,35,0,0,5,female_carc,liverpool
