age,sex,mort,ylds (years lived with disability)_rate_copd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,1.5416742670872428e-6,2.9128778349514272e-5,3.947921930345157e-4,1.332781258862866e-4,7499,copd,0,10,0,0,0,5,female_copd,liverpool
1,female,1.5416742670872428e-6,2.9128778349514272e-5,3.947921930345157e-4,1.332781258862866e-4,7499,copd,0,10,0,0,0,5,female_copd,liverpool
2,female,1.5416742670872428e-6,2.9128778349514272e-5,3.947921930345157e-4,1.332781258862866e-4,7499,copd,0,10,0,0,0,5,female_copd,liverpool
3,female,1.5416742670872428e-6,2.9128778349514272e-5,3.947921930345157e-4,1.332781258862866e-4,7499,copd,0,10,0,0,0,5,female_copd,liverpool
4,female,1.5416742670872428e-6,2.9128778349514272e-5,3.947921930345157e-4,1.332781258862866e-4,7499,copd,0,10,0,0,0,5,female_copd,liverpool
5,female,1.181774010314812e-6,8.999538294357119e-5,0.0012439665011654024,1.6731245890475767e-4,7726,copd,0,10,5,0,0,5,female_copd,liverpool
6,female,1.181774010314812e-6,8.999538294357119e-5,0.0012439665011654024,1.6731245890475767e-4,7726,copd,0,10,5,0,0,5,female_copd,liverpool
7,female,1.181774010314812e-6,8.999538294357119e-5,0.0012439665011654024,1.6731245890475767e-4,7726,copd,0,10,5,0,0,5,female_copd,liverpool
8,female,1.181774010314812e-6,8.999538294357119e-5,0.0012439665011654024,1.6731245890475767e-4,7726,copd,0,10,5,0,0,5,female_copd,liverpool
9,female,1.181774010314812e-6,8.999538294357119e-5,0.0012439665011654024,1.6731245890475767e-4,7726,copd,0,10,5,0,0,5,female_copd,liverpool
10,female,1.140955066989129e-6,1.7013182269851564e-4,0.0024171025366826336,3.6531232822379755e-4,7268,copd,0,50,10,0,0,5,female_copd,liverpool
11,female,1.140955066989129e-6,1.7013182269851564e-4,0.0024171025366826336,3.6531232822379755e-4,7268,copd,0,50,10,0,0,5,female_copd,liverpool
12,female,1.140955066989129e-6,1.7013182269851564e-4,0.0024171025366826336,3.6531232822379755e-4,7268,copd,0,50,10,0,0,5,female_copd,liverpool
