age,sex,mort,ylds (years lived with disability)_rate_dmt2,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,7499,dmt2,0,10,0,0,0,5,female_dmt2,liverpool
1,female,0,0,0,1e-8,7499,dmt2,0,10,0,0,0,5,female_dmt2,liverpool
2,female,0,0,0,1e-8,7499,dmt2,0,10,0,0,0,5,female_dmt2,liverpool
3,female,0,0,0,1e-8,7499,dmt2,0,10,0,0,0,5,female_dmt2,liverpool
4,female,0,0,0,1e-8,7499,dmt2,0,10,0,0,0,5,female_dmt2,liverpool
5,female,0,0,0,1e-8,7726,dmt2,0,10,5,0,0,5,female_dmt2,liverpool
6,female,0,0,0,1e-8,7726,dmt2,0,10,5,0,0,5,female_dmt2,liverpool
7,female,0,0,0,1e-8,7726,dmt2,0,10,5,0,0,5,female_dmt2,liverpool
8,female,0,0,0,1e-8,7726,dmt2,0,10,5,0,0,5,female_dmt2,liverpool
9,female,0,0,0,1e-8,7726,dmt2,0,10,5,0,0,5,female_dmt2,liverpool
10,female,0,2.445129797237947e-4,0.00491047198308681,0.0022637464700039633,7268,dmt2,0,50,10,0,0,5,female_dmt2,liverpool
11,female,0,2.445129797237947e-4,0.00491047198308681,0.0022637464700039633,7268,dmt2,0,50,10,0,0,5,female_dmt2,liverpool
12,female,0,2.445129797237947e-4,0.00491047198308681,0.0022637464700039633,7268,dmt2,0,50,10,0,0,5,female_dmt2,liverpool
13,female,0,2.445129797237947e-4,0.00491047198308681,0.0022637464700039633,7268,dmt2,0,50,10,0,0,5,female_dmt2,liverpool
14,female,0,2.445129797237947e-4,0.00491047198308681,0.0022637464700039633,7268,dmt2,0,50,10,0,0,5,female_dmt2,liverpool
15,female,1.6236821601991362e-7,0.0012082452940440096,0.023167826307849408,0.003978135657461525,7653,dmt2,0,50,15,1,0,5,female_dmt2,liverpool
16,female,1.6236821601991362e-7,0.0012082452940440096,0.023167826307849408,0.003978135657461525,7653,dmt2,0,50,15,1,0,5,female_dmt2,liverpool
17,female,1.6236821601991362e-7,0.0012082452940440096,0.023167826307849408,0.003978135657461525,7653,dmt2,0,50,15,1,0,5,female_dmt2,liverpool
18,female,1.6236821601991362e-7,0.0012082452940440096,0.023167826307849408,0.003978135657461525,7653,dmt2,0,50,15,1,0,5,female_dmt2,liverpool
19,female,1.6236821601991362e-7,0.0012082452940440096,0.023167826307849408,0.003978135657461525,7653,dmt2,0,50,15,1,0,5,female_dmt2,liverpool
20,female,1.6754305225920707e-7,0.0021801781614753466,0.03940305039322933,0.002730728060764774,8896,dmt2,0,50,20,2,0,5,female_dmt2,liverpool
21,female,1.6754305225920707e-7,0.0021801781614753466,0.03940305039322933,0.002730728060764774,8896,dmt2,0,50,20,2,0,5,female_dmt2,liverpool
22,female,1.6754305225920707e-7,0.0021801781614753466,0.03940305039322933,0.002730728060764774,8896,dmt2,0,50,20,2,0,5,female_dmt2,liverpool
23,female,1.6754305225920707e-7,0.0021801781614753466,0.03940305039322933,0.002730728060764774,8896,dmt2,0,50,20,2,0,5,female_dmt2,liverpool
