age,sex,mort,ylds (years lived with disability)_rate_lvrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,7499,lvrc,0,10,0,0,0,5,female_lvrc,liverpool
1,female,0,0,0,1e-8,7499,lvrc,0,10,0,0,0,5,female_lvrc,liverpool
2,female,0,0,0,1e-8,7499,lvrc,0,10,0,0,0,5,female_lvrc,liverpool
3,female,0,0,0,1e-8,7499,lvrc,0,10,0,0,0,5,female_lvrc,liverpool
4,female,0,0,0,1e-8,7499,lvrc,0,10,0,0,0,5,female_lvrc,liverpool
5,female,4.1260737669620226e-7,1.9849764638194248e-7,0,8.970381139907184e-7,7726,lvrc,0,10,5,0,0,5,female_lvrc,liverpool
6,female,4.1260737669620226e-7,1.9849764638194248e-7,0,8.970381139907184e-7,7726,lvrc,0,10,5,0,0,5,female_lvrc,liverpool
7,female,4.1260737669620226e-7,1.9849764638194248e-7,0,8.970381139907184e-7,7726,lvrc,0,10,5,0,0,5,female_lvrc,liverpool
8,female,4.1260737669620226e-7,1.9849764638194248e-7,0,8.970381139907184e-7,7726,lvrc,0,10,5,0,0,5,female_lvrc,liverpool
9,female,4.1260737669620226e-7,1.9849764638194248e-7,0,8.970381139907184e-7,7726,lvrc,0,10,5,0,0,5,female_lvrc,liverpool
10,female,3.980684542149811e-7,1.7304275997681496e-7,0,7.650934705321893e-7,7268,lvrc,0,50,10,0,0,5,female_lvrc,liverpool
11,female,3.980684542149811e-7,1.7304275997681496e-7,0,7.650934705321893e-7,7268,lvrc,0,50,10,0,0,5,female_lvrc,liverpool
12,female,3.980684542149811e-7,1.7304275997681496e-7,0,7.650934705321893e-7,7268,lvrc,0,50,10,0,0,5,female_lvrc,liverpool
13,female,3.980684542149811e-7,1.7304275997681496e-7,0,7.650934705321893e-7,7268,lvrc,0,50,10,0,0,5,female_lvrc,liverpool
14,female,3.980684542149811e-7,1.7304275997681496e-7,0,7.650934705321893e-7,7268,lvrc,0,50,10,0,0,5,female_lvrc,liverpool
15,female,1.2811537839398591e-6,6.88048641464743e-7,0,3.0175144414737473e-6,7653,lvrc,0,50,15,0,0,5,female_lvrc,liverpool
16,female,1.2811537839398591e-6,6.88048641464743e-7,0,3.0175144414737473e-6,7653,lvrc,0,50,15,0,0,5,female_lvrc,liverpool
17,female,1.2811537839398591e-6,6.88048641464743e-7,0,3.0175144414737473e-6,7653,lvrc,0,50,15,0,0,5,female_lvrc,liverpool
18,female,1.2811537839398591e-6,6.88048641464743e-7,0,3.0175144414737473e-6,7653,lvrc,0,50,15,0,0,5,female_lvrc,liverpool
19,female,1.2811537839398591e-6,6.88048641464743e-7,0,3.0175144414737473e-6,7653,lvrc,0,50,15,0,0,5,female_lvrc,liverpool
20,female,1.1148038823321705e-6,6.764751809972588e-7,0,3.004279361062072e-6,8896,lvrc,0,50,20,0,0,5,female_lvrc,liverpool
21,female,1.1148038823321705e-6,6.764751809972588e-7,0,3.004279361062072e-6,8896,lvrc,0,50,20,0,0,5,female_lvrc,liverpool
22,female,1.1148038823321705e-6,6.764751809972588e-7,0,3.004279361062072e-6,8896,lvrc,0,50,20,0,0,5,female_lvrc,liverpool
23,female,1.1148038823321705e-6,6.764751809972588e-7,0,3.004279361062072e-6,8896,lvrc,0,50,20,0,0,5,female_lvrc,liverpool
24,female,1.1148038823321705e-6,6.764751809972588e-7,0,3.004279361062072e-6,8896,lvrc,0,50,20,0,0,5,female_lvrc,liverpool
25,female,1.753013024350138e-6,1.0803150158014657e-6,0,4.161506921956645e-6,9954,lvrc,0,50,25,0,0,5,female_lvrc,liverpool
26,female,1.753013024350138e-6,1.0803150158014657e-6,0,4.161506921956645e-6,9954,lvrc,0,50,25,0,0,5,female_lvrc,liverpool
27,female,1.753013024350138e-6,1.0803150158014657e-6,0,4.161506921956645e-6,9954,lvrc,0,50,25,0,0,5,female_lvrc,liverpool
28,female,1.753013024350138e-6,1.0803150158014657e-6,0,4.161506921956645e-6,9954,lvrc,0,50,25,0,0,5,female_lvrc,liverpool
29,female,1.753013024350138e-6,1.0803150158014657e-6,0,4.161506921956645e-6,9954,lvrc,0,50,25,0,0,5,female_lvrc,liverpool
30,female,3.1522245024239085e-6,1.89117647973159e-6,0,7.327164036498973e-6,9292,lvrc,0,50,30,0,0,5,female_lvrc,liverpool
